,Time,H2O,H+,OH-
0,0,2000000000000000000000000,600,600
1000,1000,1999999847680487011334411,152319512988666189,152319512988666189
2000,2000,1999999807191152705608834,192808847294391766,192808847294391766
3000,3000,1999999800992964297932735,199007035702067865,199007035702067865
4000,4000,1999999800131936336234088,199868063663766512,199868063663766512
5000,5000,1999999800015986012944949,199984013987055651,199984013987055651
6000,6000,1999999800000749463271504,199999250536729096,199999250536729096
7000,7000,1999999799991572438449193,200008427561551407,200008427561551407
8000,8000,1999999800001883165394148,199998116834606452,199998116834606452
9000,9000,1999999800002558471289226,199997441528711374,199997441528711374
10000,10000,1999999799999120338025788,200000879661974812,200000879661974812
