,Time\ information,r1_2_200,r2_1_300,Time\ infoAddUp,r1_2_200,r2_1_300,Time\ entropy,r1_2_200,r2_1_300
0,0,26.24139785147703,0.0,0,26.24139785147703,0.0,0,  - ,  - 
1000,1000,25.089500146554393,25.070469605505416,1000,25890.52336491891,24226.698787250116,1000,  - ,  - 
2000,2000,25.74770167758133,26.792075067621727,2000,51660.73294129143,49891.30694410179,2000,  - ,  - 
3000,3000,27.43901012317524,25.138949451636584,3000,77480.13948026138,75631.53883479482,3000,  - ,  - 
4000,4000,25.15481599730111,25.36701802201048,4000,103308.9550354228,101375.75478139438,4000,  - ,  - 
5000,5000,25.89164525162466,25.2917647192151,5000,129114.30163725716,127156.55048844854,5000,  - ,  - 
6000,6000,26.309080364321453,25.728841631176124,6000,154928.97802526638,153001.85892006813,6000,  - ,  - 
7000,7000,25.488490527223256,26.43517131097573,7000,180778.7961087536,178811.18218538305,7000,  - ,  - 
8000,8000,26.518602240643585,25.10953548137365,8000,206609.9564823292,204648.92608456514,8000,  - ,  - 
9000,9000,25.668267381997595,26.596654299451398,9000,232473.24070168147,230484.38171819254,9000,  - ,  - 
10000,10000,25.483322369945096,25.049881830002803,10000,258283.29045695617,256259.92565207716,10000,  - ,  - 
