,Time\ information,r2_1_100,r2_1_200,r2_1_300,r2_1_400,Time\ infoAddUp,r2_1_100,r2_1_200,r2_1_300,r2_1_400,Time\ entropy,r2_1_100,r2_1_200,r2_1_300,r2_1_400
0,0,13.221558690732886,0.0,0.0,0.0,0,13.221558690732886,0.0,0.0,0.0,0,  - ,  - ,  - ,  - 
1000,1000,12.656674832768802,12.42143197975047,11.720355223948662,11.348397117874146,1000,13390.475900735968,12637.895579489908,11382.745977495882,9856.166310590608,1000,  - ,  - ,  - ,  - 
2000,2000,13.406395836136522,12.015062853244316,12.023025034603695,11.7119806982382,2000,26002.025168100416,25528.11998983164,24042.58313281494,22018.482046372836,2000,  - ,  - ,  - ,  - 
3000,3000,11.069816416742748,11.99307412871066,12.010203872224443,11.964563252701652,3000,37865.71428870186,38087.97653698388,36702.733555326886,34516.07022116807,3000,  - ,  - ,  - ,  - 
4000,4000,12.469664515352008,11.31187307343465,12.149522730960832,11.78128492472607,4000,49071.6895775019,50190.37072942116,49187.62690642221,47033.68938008294,4000,  - ,  - ,  - ,  - 
5000,5000,9.438420858664072,11.237333035594537,11.831838247191284,11.593793604116485,5000,59505.01794846731,61717.05867345869,61265.612107851506,59404.85704558935,5000,  - ,  - ,  - ,  - 
6000,6000,9.295016034477237,10.07841809658504,11.662271044871742,12.634459706202247,6000,69243.34991723015,72694.48838452304,73028.45972679781,71519.94731855868,6000,  - ,  - ,  - ,  - 
7000,7000,12.544073092158708,12.601153359198882,10.491959178550989,10.938221042181283,7000,78326.20082282941,83066.49071325499,84224.13314574536,83307.35553703578,7000,  - ,  - ,  - ,  - 
8000,8000,7.669114659689753,10.928563236276178,14.149426260523155,11.089319153114747,8000,86700.3641730985,92932.25672061468,94977.58220968887,94656.84961410772,8000,  - ,  - ,  - ,  - 
9000,9000,7.584684283633072,8.20976454972341,9.285039836731864,10.683905163770733,9000,94397.10917565905,102121.4567364166,105193.05791208659,105608.68921970484,9000,  - ,  - ,  - ,  - 
10000,10000,5.943990112907902,7.663070522912045,9.754575112744726,11.563731257481477,10000,101350.02413263833,110729.66384382077,114872.11440664165,116126.26806241639,10000,  - ,  - ,  - ,  - 
