,Time,Hb,O2,Hb-O2,Hb-(O2)2,Hb-(O2)3,Hb-(O2)4
0,0,10000000000,1000000000000,0,0,0,0
1000,1000,3722297691,977742068637,914744402,47935385,12773897,5302248625
2000,2000,1409849272,966740265487,353163754,18320539,4736059,8213930376
3000,3000,537719467,962570832919,134747479,7071938,1568738,9318892378
4000,4000,205643784,960983340276,51531747,2736314,697271,9739390884
5000,5000,78725454,960376429296,19729529,1038832,261229,9900244956
6000,6000,30154784,960144189280,7557148,399841,99018,9961789209
7000,7000,11553310,960055235592,2894621,151791,34907,9985365371
8000,8000,4423699,960021149359,1106970,58733,16187,9994394411
9000,9000,1696281,960008110478,424600,22552,6450,9997850117
10000,10000,649639,960003107113,163007,8633,2270,9999176451
