,Time\ information,r2_1_100,r2_1_200,r2_1_300,r2_1_400,Time\ infoAddUp,r2_1_100,r2_1_200,r2_1_300,r2_1_400,Time\ entropy,r2_1_100,r2_1_200,r2_1_300,r2_1_400
0,0,13.013232241965902,9.23105747165621,0.0,0.0,0,13.013232241965902,9.23105747165621,0.0,0.0,0,  - ,  - ,  - ,  - 
1000,1000,12.359806689559946,12.508072693776738,12.409633243589663,12.274841205189972,1000,13326.825028304951,13142.231093191096,13088.43301603688,12890.445985781824,1000,  - ,  - ,  - ,  - 
2000,2000,11.539795891176825,12.486329393250566,11.648907138599242,11.54927948063917,2000,25957.578579908604,25836.58925950944,25806.863161558394,25382.98758480796,2000,  - ,  - ,  - ,  - 
3000,3000,11.159880107364357,12.77557950970646,11.65177709800596,10.789688413912904,3000,37880.11171912129,37839.31371318814,37819.883651826334,37141.14456135663,3000,  - ,  - ,  - ,  - 
4000,4000,10.21647231393011,10.28610461461036,10.261108188243975,9.95490283628389,4000,49118.37948996355,49200.6286524745,49183.99427622742,48216.79325426726,4000,  - ,  - ,  - ,  - 
5000,5000,9.46914195848926,9.625219567124592,9.538823835487515,9.447489976921004,5000,59708.75939436723,59912.77029363342,59813.5370782421,58600.908694565296,5000,  - ,  - ,  - ,  - 
6000,6000,8.889688370911655,8.97694550703817,8.878032096698258,8.881506578755928,6000,69513.46641444215,69838.98884481838,69709.64722584725,68320.16430944775,6000,  - ,  - ,  - ,  - 
7000,7000,8.067274212188423,8.945889188028746,8.252479876163056,8.291458302576464,7000,78629.06244892727,79137.19336539642,78901.66562177391,77349.33731191937,7000,  - ,  - ,  - ,  - 
8000,8000,7.454294744400563,7.511007214283708,7.428178133965614,7.420931556255692,8000,87060.8581009523,87690.40280948007,87464.75528134269,85634.43825646507,8000,  - ,  - ,  - ,  - 
9000,9000,7.318008785238777,6.8745888988577475,6.821619462096498,6.768133736531991,9000,94855.2547123546,95533.75145729815,95341.76599094308,93267.6844683597,9000,  - ,  - ,  - ,  - 
10000,10000,6.563527204125455,7.579707775389365,6.104124725200421,6.338204415821421,10000,101853.03564354524,102705.14229919434,102462.60987441636,100159.25476692748,10000,  - ,  - ,  - ,  - 
