,Time\ information,r2_1_100,r1_2_200,r1_2_300,Time\ infoAddUp,r2_1_100,r1_2_200,r1_2_300,Time\ entropy,r2_1_100,r1_2_200,r1_2_300
0,0,3.812791182305213,3.218212428006354,2.5569434515684817,0,3.812791182305213,3.218212428006354,2.5569434515684817,0,  - ,  - ,  - 
2000,2000,6.81525514895617,2.8495892163334084,3.408642486900037,2000,7868.073119465633,7118.651904666527,7205.759311796885,2000,  - ,  - ,  - 
4000,4000,3.8415033998015455,2.586483460768236,4.322375068821384,4000,15723.731684726628,13968.982657344384,14262.7455927214,4000,  - ,  - ,  - 
6000,6000,4.641446606409392,2.8002141149649264,4.966706926989978,6000,23449.45456682866,20532.0336204126,20987.97430285507,6000,  - ,  - ,  - 
8000,8000,3.000941936246926,2.397779031941171,2.8211659423954782,8000,30938.809217241225,26702.628971558093,27297.19757351948,8000,  - ,  - ,  - 
10000,10000,3.390154909388344,2.9220308277019145,5.713088047216113,10000,38032.29679469294,32199.983497369874,33043.78992846916,10000,  - ,  - ,  - 
12000,12000,2.878144723839296,2.1146759056443116,3.275682734908816,12000,44452.85184520678,36764.471698719695,37964.78479669785,12000,  - ,  - ,  - 
14000,14000,2.0377049954365174,1.3466060686030177,1.3075956155474928,14000,49921.21857804563,40206.142251492936,41700.604987317216,14000,  - ,  - ,  - 
16000,16000,1.9755252247764443,1.2877123795494496,0.0,16000,54174.237678052756,42626.89210423798,44354.96169007171,16000,  - ,  - ,  - 
18000,18000,1.460772644291028,0.0,1.4939888406736654,18000,57129.417386144065,44221.355172796306,46054.15750771628,18000,  - ,  - ,  - 
20000,20000,6.664391819943312,0.0,0.0,20000,59068.802492063405,45197.55314923343,47083.94933549332,20000,  - ,  - ,  - 
