,Time\ information,r2_1_100,Time\ infoAddUp,r2_1_100,Time\ entropy,r2_1_100
0,0,2.996717079227837,0,2.996717079227837,0,  - 
1000,1000,2.4928605925710148,1000,3295.744998482779,1000,  - 
2000,2000,2.057469817248471,2000,5514.20036317701,2000,  - 
3000,3000,1.6643839103394371,3000,6802.0832396548485,3000,  - 
4000,4000,0.0,4000,7569.061744879769,4000,  - 
5000,5000,0.0,5000,7965.632157735472,5000,  - 
6000,6000,0.0,6000,8189.581137614879,6000,  - 
7000,7000,0.0,7000,8352.904955151685,7000,  - 
8000,8000,0.0,8000,8445.336040471564,8000,  - 
9000,9000,0.0,9000,8454.456391530985,9000,  - 
10000,10000,0.0,10000,8464.575460735245,10000,  - 
