,Time\ information,r2_1_100,r1_2_200,Time\ infoAddUp,r2_1_100,r1_2_200,Time\ entropy,r2_1_100,r1_2_200
0,0,3.78182917075139,0.0,0,3.78182917075139,0.0,0,  - ,  - 
1000,1000,2.9308498992531042,5.972527434331518,1000,3659.558411496745,3479.0469959744573,1000,  - ,  - 
2000,2000,2.9233524118285126,2.9441927125730145,2000,7262.773429058293,7039.455349811072,2000,  - ,  - 
3000,3000,4.2725929497289465,2.857175307412157,3000,10840.598246111731,10630.959267380264,3000,  - ,  - 
4000,4000,2.921008126962385,2.9211930840072013,4000,14456.859273175145,14171.960268706145,4000,  - ,  - 
5000,5000,3.373584380374182,2.9832152901675966,5000,18128.248627042994,17776.22921340963,5000,  - ,  - 
6000,6000,3.3627730107760274,2.9170452387996413,6000,21754.521548266097,21398.87263711737,6000,  - ,  - 
7000,7000,3.446154609279537,3.2699288818004293,7000,25414.95290367299,24982.887248679664,7000,  - ,  - 
8000,8000,2.9232454540906296,2.9335378382490767,8000,29112.201344879722,28601.156860679665,8000,  - ,  - 
9000,9000,3.7666790584308836,2.8904922702774343,9000,32782.801369530214,32278.05443197174,9000,  - ,  - 
10000,10000,3.3361847598284338,3.129888116402753,10000,36414.07570460319,35858.38619013148,10000,  - ,  - 
