,Time,rna,mRNA,amino,protain,stimulus,DNA,DNA_d,ribosome
0,0,100000,0,100000,0,100,1,0,100
100,100,99940,6,100000,0,99,1,0,100
200,200,99880,12,100000,0,98,1,0,100
300,300,99840,16,100000,0,96,1,0,100
400,400,99730,26,100000,0,96,1,0,100
500,500,99610,38,100000,0,96,1,0,100
600,600,99530,46,100000,0,95,1,0,100
700,700,99470,52,100000,0,95,1,0,100
800,800,99430,56,99990,1,95,1,0,100
900,900,99320,65,99990,1,93,1,0,100
1000,1000,99220,72,99990,1,92,1,0,100
1100,1100,99150,77,99980,2,92,1,0,100
1200,1200,99080,82,99980,2,92,1,0,100
1300,1300,99000,89,99980,2,91,1,0,100
1400,1400,98930,96,99980,2,90,1,0,100
1500,1500,98870,98,99980,2,90,1,0,100
1600,1600,98840,97,99980,2,88,1,0,100
1700,1700,98810,98,99960,4,88,1,0,100
1800,1800,98710,107,99950,5,87,1,0,100
1900,1900,98660,110,99950,5,85,1,0,100
2000,2000,98550,120,99920,8,83,1,0,100
2100,2100,98490,126,99890,11,82,1,0,100
2200,2200,98450,127,99870,13,82,1,0,100
2300,2300,98360,131,99860,14,81,1,0,100
2400,2400,98270,136,99850,15,80,1,0,100
2500,2500,98190,143,99840,16,79,1,0,100
2600,2600,98120,148,99810,19,78,1,0,100
2700,2700,98020,154,99810,19,74,1,0,100
2800,2800,97900,164,99800,20,74,1,0,100
2900,2900,97840,168,99800,20,73,1,0,100
3000,3000,97810,166,99800,20,72,1,0,100
3100,3100,97790,163,99780,22,72,1,0,100
3200,3200,97710,165,99780,22,72,1,0,100
3300,3300,97620,172,99770,23,71,1,0,100
3400,3400,97600,170,99760,24,71,1,0,100
3500,3500,97530,170,99740,26,71,1,0,100
3600,3600,97450,173,99700,30,71,1,0,100
3700,3700,97420,171,99670,33,71,1,0,100
3800,3800,97340,175,99650,35,71,1,0,100
3900,3900,97290,177,99650,34,69,0,1,100
4000,4000,97290,173,99650,34,68,0,1,100
4100,4100,97290,173,99630,36,67,0,1,100
4200,4200,97290,172,99610,38,67,0,1,100
4300,4300,97290,170,99610,38,66,0,1,100
4400,4400,97290,168,99610,38,65,0,1,100
4500,4500,97290,165,99590,40,63,0,1,100
4600,4600,97290,162,99590,40,63,0,1,100
4700,4700,97290,160,99570,42,63,0,1,100
4800,4800,97290,157,99560,43,62,0,1,100
4900,4900,97290,156,99560,43,62,0,1,100
5000,5000,97290,150,99560,43,62,0,1,100
5100,5100,97290,145,99540,45,59,0,1,100
5200,5200,97290,142,99540,45,59,0,1,100
5300,5300,97290,136,99540,45,59,0,1,100
5400,5400,97290,133,99540,45,59,0,1,100
5500,5500,97290,131,99530,46,58,0,1,100
5600,5600,97290,125,99530,46,57,0,1,100
5700,5700,97290,121,99520,47,57,0,1,100
5800,5800,97290,121,99520,47,57,0,1,100
5900,5900,97290,120,99480,51,57,0,1,100
6000,6000,97290,115,99470,52,55,0,1,100
6100,6100,97290,111,99450,54,54,0,1,100
6200,6200,97290,109,99450,54,53,0,1,100
6300,6300,97290,108,99450,54,53,0,1,100
6400,6400,97290,105,99450,54,53,0,1,100
6500,6500,97290,103,99440,55,51,0,1,100
6600,6600,97290,98,99440,55,51,0,1,100
6700,6700,97290,96,99440,55,51,0,1,100
6800,6800,97290,94,99430,56,51,0,1,100
6900,6900,97290,91,99430,56,51,0,1,100
7000,7000,97290,91,99410,58,50,0,1,100
7100,7100,97290,86,99410,58,49,0,1,100
7200,7200,97290,82,99400,59,49,0,1,100
7300,7300,97290,82,99400,59,49,0,1,100
7400,7400,97290,80,99390,60,49,0,1,100
7500,7500,97290,77,99380,61,49,0,1,100
7600,7600,97290,76,99380,61,48,0,1,100
7700,7700,97290,76,99370,62,48,0,1,100
7800,7800,97290,75,99350,64,47,0,1,100
7900,7900,97290,73,99350,64,46,0,1,100
8000,8000,97290,71,99340,65,45,0,1,100
8100,8100,97290,70,99340,65,45,0,1,100
8200,8200,97290,69,99340,65,44,0,1,100
8300,8300,97290,68,99340,65,43,0,1,100
8400,8400,97290,66,99340,65,43,0,1,100
8500,8500,97290,64,99330,66,43,0,1,100
8600,8600,97290,62,99320,67,43,0,1,100
8700,8700,97290,60,99320,67,43,0,1,100
