,Time\ information,r3_3_100,r3_3_200,r1_0_300,r1_0_400,r2_1_500,Time\ infoAddUp,r3_3_100,r3_3_200,r1_0_300,r1_0_400,r2_1_500,Time\ entropy,r3_3_100,r3_3_200,r1_0_300,r1_0_400,r2_1_500
0,0,3.596935142387232,0.0,0.0,0.0,0,0,3.596935142387232,0.0,0.0,0.0,0.0,0,  - ,  - ,  - ,  - ,  - 
100,100,0.0,0.0,0.0,0.0,0,100,21.621369951045125,0.0,6.6582824188841805,0.0,0.0,100,  - ,  - ,  - ,  - ,  - 
200,200,0.0,0.0,0.0,0.0,0,200,43.36277551388012,0.0,13.330920145172382,0.0,0.0,200,  - ,  - ,  - ,  - ,  - 
300,300,0.0,0.0,0.0,0.0,0,300,57.938660002715,0.0,26.71985336473238,0.0,0.0,300,  - ,  - ,  - ,  - ,  - 
400,400,0.0,0.0,0.0,0.0,0,400,98.09800005202499,0.0,26.71985336473238,7.70967412262326,0.0,400,  - ,  - ,  - ,  - ,  - 
500,500,0.0,0.0,0.0,0.0,0,500,141.91000843186345,0.0,26.71985336473238,7.70967412262326,0.0,500,  - ,  - ,  - ,  - ,  - 
600,600,0.0,0.0,0.0,0.0,0,600,171.2156004837162,0.0,33.436452423505756,7.70967412262326,0.0,600,  - ,  - ,  - ,  - ,  - 
700,700,0.0,0.0,0.0,0.0,0,700,193.20569269462015,0.0,33.436452423505756,7.70967412262326,0.0,700,  - ,  - ,  - ,  - ,  - 
800,800,0.0,0.0,6.731561688872482,0.0,0,800,207.86601909184108,7.652373731112841,40.16801411237824,7.70967412262326,0.0,800,  - ,  - ,  - ,  - ,  - 
900,900,0.0,0.0,0.0,0.0,0,900,248.35055654005413,7.652373731112841,46.914698295612936,20.534796744981342,0.0,900,  - ,  - ,  - ,  - ,  - 
1000,1000,0.0,0.0,0.0,0.0,0,1000,285.4128423564555,7.652373731112841,53.676668257126146,39.1323851713878,0.0,1000,  - ,  - ,  - ,  - ,  - 
