Time\ number,r1_2_200,r2_1_300,Time\ Probability,r1_2_200,r2_1_300
0,2e+19,600,0,9.999999999e-11,2.9999999999990997e-13
10,1.9999999979999957e+19,21999996069,10,9.999999999e-11,1.0999877035874227e-05
20,1.999999996000015e+19,41999867602,20,9.999999999e-11,2.099949281304107e-05
30,1.999999994000026e+19,59999738665,30,9.999999999e-11,2.999896936733887e-05
40,1.999999992000016e+19,81999823693,40,9.999999999e-11,4.099823092264631e-05
50,1.9999999900000186e+19,101999769047,50,9.999999999e-11,5.099728366792192e-05
60,1.9999999879999906e+19,122000084157,60,9.999999999e-11,6.0996321300334046e-05
70,1.9999999859999855e+19,140000147097,70,9.999999999e-11,6.999517388118027e-05
80,1.999999983999999e+19,162000035286,80,9.999999999e-11,8.099345717154013e-05
90,1.999999982000001e+19,182000053816,90,9.999999999e-11,9.099174665660583e-05
100,1.9999999799999615e+19,200000385474,100,9.999999999e-11,9.999019369835836e-05
110,1.9999999779999453e+19,222000496346,110,9.999999999e-11,0.00011098792848539392
120,1.9999999759999484e+19,240000515764,120,9.999999999e-11,0.00011998585954791205
130,1.999999973999948e+19,262000516420,130,9.999999999e-11,0.00013098309939015874
140,1.999999971999951e+19,282000487281,140,9.999999999e-11,0.00014098036537463365
150,1.9999999699999445e+19,302000511548,150,9.999999999e-11,0.00015097745813920485
160,1.9999999679999398e+19,320000601049,160,9.999999999e-11,0.0001599747045236999
170,1.9999999659999343e+19,342000649584,170,9.999999999e-11,0.00017097108868030565
180,1.9999999639999263e+19,362000713583,180,9.999999999e-11,0.00018096760159104432
190,1.9999999619999187e+19,380000812023,190,9.999999999e-11,0.00018996431271495645
200,1.9999999599999066e+19,400000935226,200,9.999999999e-11,0.000199960475424411
210,1.999999957999899e+19,422000996351,210,9.999999999e-11,0.0002109559863572855
220,1.999999955999864e+19,442001348371,220,9.999999999e-11,0.0002209518436790844
230,1.9999999539998634e+19,462001361198,230,9.999999999e-11,0.00023094733160821597
240,1.999999951999874e+19,482001218478,240,9.999999999e-11,0.00024094254193960095
250,1.9999999499998835e+19,502001222624,250,9.999999999e-11,0.0002509376258145194
260,1.9999999479998616e+19,520001384078,260,9.999999999e-11,0.0002599331092507109
270,1.9999999459998433e+19,540001569296,270,9.999999999e-11,0.00026992790390214806
280,1.999999943999845e+19,560001546928,280,9.999999999e-11,0.00027992239497689656
290,1.9999999419998675e+19,582001359306,290,9.999999999e-11,0.00029091602289261625
300,1.999999939999841e+19,600001591820,300,9.999999999e-11,0.0002999108224245706
310,1.9999999379998302e+19,620001698049,310,9.999999999e-11,0.00030990477828011647
320,1.9999999359998448e+19,640001554858,320,9.999999999e-11,0.0003198984096892011
330,1.9999999339998278e+19,662001746793,330,9.999999999e-11,0.00033089134807128906
340,1.9999999319998284e+19,680001718328,340,9.999999999e-11,0.0003398852978707067
350,1.9999999299998364e+19,702001677903,350,9.999999999e-11,0.00035087768059124307
360,1.9999999279998386e+19,720001614462,360,9.999999999e-11,0.0003598712532893166
370,1.9999999259998835e+19,742001208549,370,9.999999999e-11,0.0003708630138722503
380,1.9999999239998878e+19,762001173234,380,9.999999999e-11,0.00038085548045553016
