Time,H2O,H+,OH-
0,2000000000000000000000000,600,600
10,1999999998000055843048495,1999944156952105,1999944156952105
20,1999999996000523045335428,3999476954665172,3999476954665172
30,1999999994001757929065895,5998242070934705,5998242070934705
40,1999999992004266809284630,7995733190715970,7995733190715970
50,1999999990008329232992089,9991670767008511,9991670767008511
60,1999999988014343377496029,11985656622504571,11985656622504571
70,1999999986022812816015230,13977187183985370,13977187183985370
80,1999999984034097438465012,15965902561535588,15965902561535588
90,1999999982048426627915681,17951573372084919,17951573372084919
100,1999999980066388033597515,19933611966403085,19933611966403085
110,1999999978088207438515997,21911792561484603,21911792561484603
120,1999999976114439685819937,23885560314180663,23885560314180663
130,1999999974145385428712896,25854614571287704,25854614571287704
140,1999999972181412215657925,27818587784342675,27818587784342675
150,1999999970223010119099580,29776989880901020,29776989880901020
160,1999999968270132834452618,31729867165547982,31729867165547982
170,1999999966323756246875210,33676243753125390,33676243753125390
180,1999999964383792108057064,35616207891943536,35616207891943536
190,1999999962450798881745684,37549201118254916,37549201118254916
200,1999999960525053083558309,39474946916442291,39474946916442291
210,1999999958606734362801763,41393265637198837,41393265637198837
220,1999999956696339814168288,43303660185832312,43303660185832312
230,1999999954794194697183445,45205805302817155,45205805302817155
240,1999999952900626588166438,47099373411834162,47099373411834162
250,1999999951016047340723344,48983952659277256,48983952659277256
260,1999999949140771843921735,50859228156078865,50859228156078865
270,1999999947274706757630533,52725293242370067,52725293242370067
280,1999999945418768674480605,54581231325519995,54581231325519995
290,1999999943572379558624248,56427620441376352,56427620441376352
300,1999999941736712384530405,58263287615470195,58263287615470195
310,1999999939911938679050458,60088061320950142,60088061320950142
320,1999999938098097584926980,61901902415073620,61901902415073620
330,1999999936295080786633479,63704919213367121,63704919213367121
340,1999999934503893066403226,65496106933597374,65496106933597374
350,1999999932724399969147935,67275600030852665,67275600030852665
360,1999999930956842020143563,69043157979857037,69043157979857037
370,1999999929201027564436401,70798972435564199,70798972435564199
380,1999999927457880686393183,72542119313607417,72542119313607417
390,1999999925727629064459869,74272370935540731,74272370935540731
400,1999999924009887543290582,75990112456710018,75990112456710018
410,1999999922304840373039834,77695159626960766,77695159626960766
420,1999999920613137935592833,79386862064407767,79386862064407767
430,1999999918934808810199985,81065191189800615,81065191189800615
440,1999999917269864471124830,82730135528875770,82730135528875770
450,1999999915618799545462488,84381200454538112,84381200454538112
460,1999999913981433800320278,86018566199680322,86018566199680322
470,1999999912358774396764365,87641225603236235,87641225603236235
480,1999999910749401735023761,89250598264976839,89250598264976839
490,1999999909154495602309295,90845504397691305,90845504397691305
500,1999999907574183942747468,92425816057253132,92425816057253132
510,1999999906008596966562324,93991403033438276,93991403033438276
520,1999999904457660148978944,95542339851021656,95542339851021656
530,1999999902921471406119232,97078528593881368,97078528593881368
540,1999999901400510231261838,98599489768738762,98599489768738762
550,1999999899894281123431298,100105718876569302,100105718876569302
560,1999999898403057631439892,101596942368560708,101596942368560708
570,1999999896926908977263434,103073091022737166,103073091022737166
580,1999999895465895243253362,104534104756747238,104534104756747238
590,1999999894019657678088821,105980342321911779,105980342321911779
600,1999999892588667945534886,107411332054465714,107411332054465714
610,1999999891173174822716190,108826825177284410,108826825177284410
620,1999999889772567525446186,110227432474554414,110227432474554414
630,1999999888388197229970127,111611802770030473,111611802770030473
640,1999999887018520907317914,112981479092682686,112981479092682686
650,1999999885664454451661381,114335545548339219,114335545548339219
660,1999999884326467638988416,115673532361012184,115673532361012184
670,1999999883003416173495719,116996583826504881,116996583826504881
680,1999999881695521307190587,118304478692810013,118304478692810013
690,1999999880403008597763079,119596991402237521,119596991402237521
700,1999999879125863688444398,120874136311556202,120874136311556202
710,1999999877864543763177581,122135456236823019,122135456236823019
720,1999999876618539955441496,123381460044559104,123381460044559104
730,1999999875387325117007119,124612674882993481,124612674882993481
740,1999999874171110974948483,125828889025052117,125828889025052117
750,1999999872970349377402821,127029650622597779,127029650622597779
760,1999999871783984109380294,128216015890620306,128216015890620306
770,1999999870612985125633347,129387014874367253,129387014874367253
780,1999999869457032055484764,130542967944515836,130542967944515836
790,1999999868316848705444034,131683151294556566,131683151294556566
800,1999999867191317269381223,132808682730619377,132808682730619377
810,1999999866080368931218845,133919631068781755,133919631068781755
820,1999999864985002999532028,135014997000468572,135014997000468572
830,1999999863903522044018860,136096477955981740,136096477955981740
840,1999999862836932283983007,137163067716017593,137163067716017593
850,1999999861784871492075092,138215128507925508,138215128507925508
860,1999999860747245509263633,139252754490736967,139252754490736967
870,1999999859723972553709857,140276027446290743,140276027446290743
880,1999999858714112414834013,141285887585166587,141285887585166587
890,1999999857718697892855080,142281302107145520,142281302107145520
900,1999999856738190844393866,143261809155606734,143261809155606734
910,1999999855770489859893364,144229510140107236,144229510140107236
920,1999999854816353478558040,145183646521442560,145183646521442560
930,1999999853877118638028036,146122881361972564,146122881361972564
940,1999999852951799470409485,147048200529591115,147048200529591115
950,1999999852039702106706224,147960297893294376,147960297893294376
960,1999999851140991310458608,148859008689541992,148859008689541992
970,1999999850254971544287045,149745028455713555,149745028455713555
980,1999999849382119454591688,150617880545408912,150617880545408912
990,1999999848522604617354329,151477395382646271,151477395382646271
1000,1999999847675709640562755,152324290359437845,152324290359437845
1010,1999999846842828078364685,153157171921635915,153157171921635915
1020,1999999846021688371974400,153978311628026200,153978311628026200
1030,1999999845212485338209517,154787514661791083,154787514661791083
1040,1999999844416015251188084,155583984748812516,155583984748812516
1050,1999999843631531114959246,156368468885041354,156368468885041354
1060,1999999842859836494354402,157140163505646198,157140163505646198
1070,1999999842100170607755055,157899829392245545,157899829392245545
1080,1999999841353026214766734,158646973785233866,158646973785233866
1090,1999999840617326934558389,159382673065442211,159382673065442211
1100,1999999839893896841192327,160106103158808273,160106103158808273
1110,1999999839181643181212817,160818356818787783,160818356818787783
1120,1999999838480111323361931,161519888676638669,161519888676638669
1130,1999999837790147475532770,162209852524467830,162209852524467830
1140,1999999837111275166459358,162888724833541242,162888724833541242
1150,1999999836443703274621530,163556296725379070,163556296725379070
1160,1999999835786638281321858,164213361718678742,164213361718678742
1170,1999999835139938857843538,164860061142157062,164860061142157062
1180,1999999834503815477788347,165496184522212253,165496184522212253
1190,1999999833877477283169158,166122522716831442,166122522716831442
1200,1999999833262770755987658,166737229244012942,166737229244012942
1210,1999999832658235109649882,167341764890350718,167341764890350718
1220,1999999832063060476966710,167936939523033890,167936939523033890
1230,1999999831477466942520863,168522533057479737,168522533057479737
1240,1999999830901990740655603,169098009259344997,169098009259344997
1250,1999999830336832293357627,169663167706642973,169663167706642973
1260,1999999829781526976301800,170218473023698800,170218473023698800
1270,1999999829234241709822263,170765758290178337,170765758290178337
1280,1999999828695878333261597,171304121666739003,171304121666739003
1290,1999999828168356154447503,171831643845553097,171831643845553097
1300,1999999827648460225917927,172351539774082673,172351539774082673
1310,1999999827137438949566692,172862561050433908,172862561050433908
1320,1999999826635861940138149,173364138059862451,173364138059862451
1330,1999999826143252915676982,173856747084323618,173856747084323618
1340,1999999825659134988177757,174340865011822843,174340865011822843
1350,1999999825182348316970833,174817651683029767,174817651683029767
1360,1999999824715209132362164,175284790867638436,175284790867638436
1370,1999999824255488522844295,175744511477156305,175744511477156305
1380,1999999823803428781077120,176196571218923480,176196571218923480
1390,1999999823360316032761887,176639683967238713,176639683967238713
1400,1999999822924966100710393,177075033899290207,177075033899290207
1410,1999999822497255328942791,177502744671057809,177502744671057809
1420,1999999822075662032371251,177924337967629349,177924337967629349
1430,1999999821661504106354544,178338495893646056,178338495893646056
1440,1999999821255724990901150,178744275009099450,178744275009099450
1450,1999999820856776738835269,179143223261165331,179143223261165331
1460,1999999820464915026111353,179535084973889247,179535084973889247
1470,1999999820078951730205652,179921048269794948,179921048269794948
1480,1999999819702371941514177,180297628058486423,180297628058486423
1490,1999999819330729932478907,180669270067521693,180669270067521693
1500,1999999818967175027853723,181032824972146877,181032824972146877
1510,1999999818609072475431208,181390927524569392,181390927524569392
1520,1999999818257047399888149,181742952600112451,181742952600112451
1530,1999999817911353808683665,182088646191316935,182088646191316935
1540,1999999817572263066954589,182427736933046011,182427736933046011
1550,1999999817238946533356547,182761053466644053,182761053466644053
1560,1999999816912024093787899,183087975906212701,183087975906212701
1570,1999999816591028344960908,183408971655039692,183408971655039692
1580,1999999816276958631563189,183723041368437411,183723041368437411
1590,1999999815967155856141806,184032844143858794,184032844143858794
1600,1999999815663004657971135,184336995342029465,184336995342029465
1610,1999999815365138481073262,184634861518927338,184634861518927338
1620,1999999815072357085914953,184927642914085647,184927642914085647
1630,1999999814784936550967731,185215063449032869,185215063449032869
1640,1999999814503158055191966,185496841944808634,185496841944808634
1650,1999999814225822354601344,185774177645399256,185774177645399256
1660,1999999813953587022484353,186046412977516247,186046412977516247
1670,1999999813686367669378357,186313632330622243,186313632330622243
1680,1999999813425193407932496,186574806592068104,186574806592068104
1690,1999999813168105928268256,186831894071732344,186831894071732344
1700,1999999812915779915830552,187084220084170048,187084220084170048
1710,1999999812668132842923305,187331867157077295,187331867157077295
1720,1999999812425076647335107,187574923352665493,187574923352665493
1730,1999999812186163279817981,187813836720182619,187813836720182619
1740,1999999811951700643831091,188048299356169509,188048299356169509
1750,1999999811721971717557059,188278028282443541,188278028282443541
1760,1999999811496910203877069,188503089796123531,188503089796123531
1770,1999999811275677822688130,188724322177312470,188724322177312470
1780,1999999811059329031548225,188940670968452375,188940670968452375
1790,1999999810845907136303793,189154092863696807,189154092863696807
1800,1999999810636857718966243,189363142281034357,189363142281034357
1810,1999999810430975079993628,189569024920006972,189569024920006972
1820,1999999810229709378941532,189770290621059068,189770290621059068
1830,1999999810031101138818212,189968898861182388,189968898861182388
1840,1999999809837351446222074,190162648553778526,190162648553778526
1850,1999999809648006011374408,190351993988626192,190351993988626192
1860,1999999809461101540702175,190538898459298425,190538898459298425
1870,1999999809278484076854902,190721515923145698,190721515923145698
1880,1999999809099687666743790,190900312333256810,190900312333256810
1890,1999999808922010949741668,191077989050258932,191077989050258932
1900,1999999808749209695839180,191250790304161420,191250790304161420
1910,1999999808579304592290152,191420695407710448,191420695407710448
1920,1999999808413002686975947,191586997313024653,191586997313024653
1930,1999999808249853501100361,191750146498900239,191750146498900239
1940,1999999808089039972716022,191910960027284578,191910960027284578
1950,1999999807932429056734572,192067570943266028,192067570943266028
1960,1999999807778028978263707,192221971021736893,192221971021736893
1970,1999999807626189899141736,192373810100858864,192373810100858864
1980,1999999807478388852067174,192521611147933426,192521611147933426
1990,1999999807333021358830422,192666978641170178,192666978641170178
2000,1999999807189668100499746,192810331899500854,192810331899500854
2010,1999999807050583125879107,192949416874121493,192949416874121493
2020,1999999806913770006736919,193086229993263681,193086229993263681
2030,1999999806779577265400372,193220422734600228,193220422734600228
2040,1999999806646803802833895,193353196197166705,193353196197166705
2050,1999999806516567845401285,193483432154599315,193483432154599315
2060,1999999806389208438793211,193610791561207389,193610791561207389
2070,1999999806264289344873753,193735710655126847,193735710655126847
2080,1999999806142537658627822,193857462341372778,193857462341372778
2090,1999999806023123828582953,193976876171417647,193976876171417647
2100,1999999805905999503347238,194094000496653362,194094000496653362
2110,1999999805790745712440433,194209254287560167,194209254287560167
2120,1999999805677713969042765,194322286030957835,194322286030957835
2130,1999999805567625241050501,194432374758950099,194432374758950099
2140,1999999805458878623350078,194541121376650522,194541121376650522
2150,1999999805352236351803266,194647763648197334,194647763648197334
2160,1999999805248031248519760,194751968751480840,194751968751480840
2170,1999999805145446701018396,194854553298982204,194854553298982204
2180,1999999805044462411821663,194955537588178937,194955537588178937
2190,1999999804946199174382036,195053800825618564,195053800825618564
2200,1999999804849435814757180,195150564185243420,195150564185243420
2210,1999999804753776177881646,195246223822118954,195246223822118954
2220,1999999804660743213287977,195339256786712623,195339256786712623
2230,1999999804568742264700866,195431257735299734,195431257735299734
2240,1999999804479674046580413,195520325953420187,195520325953420187
2250,1999999804391945883144177,195608054116856423,195608054116856423
2260,1999999804306305695948707,195693694304051893,195693694304051893
2270,1999999804221154967617341,195778845032383259,195778845032383259
2280,1999999804137662521619828,195862337478380772,195862337478380772
2290,1999999804056948109796907,195943051890203693,195943051890203693
2300,1999999803976632061171534,196023367938829066,196023367938829066
2310,1999999803898263434421430,196101736565579170,196101736565579170
2320,1999999803822191857512434,196177808142488166,196177808142488166
2330,1999999803747998956189475,196252001043811125,196252001043811125
2340,1999999803674465113050769,196325534886949831,196325534886949831
2350,1999999803601583849955356,196398416150045244,196398416150045244
2360,1999999803530904889602068,196469095110398532,196469095110398532
2370,1999999803461599413297987,196538400586702613,196538400586702613
2380,1999999803394031536146091,196605968463854509,196605968463854509
2390,1999999803326213022781077,196673786977219523,196673786977219523
2400,1999999803260493189219213,196739506810781387,196739506810781387
2410,1999999803196065393771042,196803934606229558,196803934606229558
2420,1999999803133278510637529,196866721489363071,196866721489363071
2430,1999999803071322219560530,196928677780440070,196928677780440070
2440,1999999803011748366975577,196988251633025023,196988251633025023
2450,1999999802951774616496368,197048225383504232,197048225383504232
2460,1999999802893743598043033,197106256401957567,197106256401957567
2470,1999999802837242956936404,197162757043064196,197162757043064196
2480,1999999802781453961079352,197218546038921248,197218546038921248
2490,1999999802725579616881636,197274420383118964,197274420383118964
2500,1999999802671579571215519,197328420428785081,197328420428785081
2510,1999999802618631395972830,197381368604027770,197381368604027770
2520,1999999802566328808571039,197433671191429561,197433671191429561
2530,1999999802516223851937122,197483776148063478,197483776148063478
2540,1999999802466313287754105,197533686712246495,197533686712246495
2550,1999999802417379704163710,197582620295836890,197582620295836890
2560,1999999802369796635876234,197630203364124366,197630203364124366
2570,1999999802322364059303478,197677635940697122,197677635940697122
2580,1999999802277420461575703,197722579538424897,197722579538424897
2590,1999999802232572853113319,197767427146887281,197767427146887281
2600,1999999802189001090742024,197810998909258576,197810998909258576
2610,1999999802145892278133928,197854107721866672,197854107721866672
2620,1999999802103231787019208,197896768212981392,197896768212981392
2630,1999999802062581086937029,197937418913063571,197937418913063571
2640,1999999802022342593614541,197977657406386059,197977657406386059
2650,1999999801982498109973638,198017501890026962,198017501890026962
2660,1999999801944223131078963,198055776868921637,198055776868921637
2670,1999999801905515526125359,198094484473875241,198094484473875241
2680,1999999801868354865586441,198131645134414159,198131645134414159
2690,1999999801831533668428225,198168466331572375,198168466331572375
2700,1999999801795823847314231,198204176152686369,198204176152686369
2710,1999999801760821295825464,198239178704175136,198239178704175136
2720,1999999801726108062140196,198273891937860404,198273891937860404
2730,1999999801692071608232392,198307928391768208,198307928391768208
2740,1999999801659095820121119,198340904179879481,198340904179879481
2750,1999999801625201195671259,198374798804329341,198374798804329341
2760,1999999801592359974981728,198407640025018872,198407640025018872
2770,1999999801561346065521181,198438653934479419,198438653934479419
2780,1999999801530548964416196,198469451035584404,198469451035584404
2790,1999999801499961219922441,198500038780078159,198500038780078159
2800,1999999801471159200799426,198528840799201174,198528840799201174
2810,1999999801441741205816917,198558258794183683,198558258794183683
2820,1999999801413685520382104,198586314479618496,198586314479618496
2830,1999999801386189321488388,198613810678512212,198613810678512212
2840,1999999801359223025511322,198640776974489278,198640776974489278
2850,1999999801333188028226725,198666811971773875,198666811971773875
2860,1999999801307268190629698,198692731809370902,198692731809370902
2870,1999999801282253777419121,198717746222581479,198717746222581479
2880,1999999801256547628782453,198743452371218147,198743452371218147
2890,1999999801232527499684031,198767472500316569,198767472500316569
2900,1999999801208976395035947,198791023604964653,198791023604964653
2910,1999999801185110121410217,198814889878590383,198814889878590383
2920,1999999801162104631198656,198837895368801944,198837895368801944
2930,1999999801137982643647999,198862017356352601,198862017356352601
2940,1999999801114722498459441,198885277501541159,198885277501541159
2950,1999999801092319244818909,198907680755181691,198907680755181691
2960,1999999801071141911800429,198928858088200171,198928858088200171
2970,1999999801050381750835347,198949618249165253,198949618249165253
2980,1999999801029244077052633,198970755922947967,198970755922947967
2990,1999999801009304707235838,198990695292764762,198990695292764762
3000,1999999800989369893234072,199010630106766528,199010630106766528
3010,1999999800969830330511635,199030169669488965,199030169669488965
3020,1999999800950678153971266,199049321846029334,199049321846029334
3030,1999999800931113408969920,199068886591030680,199068886591030680
3040,1999999800912715643769424,199087284356231176,199087284356231176
3050,1999999800895474521174820,199104525478825780,199104525478825780
3060,1999999800878178703422622,199121821296577978,199121821296577978
3070,1999999800860823753544278,199139176246456322,199139176246456322
3080,1999999800843020589489110,199156979410511490,199156979410511490
3090,1999999800827147526331308,199172852473669292,199172852473669292
3100,1999999800810410200774900,199189589799225700,199189589799225700
3110,1999999800795184323694449,199204815676306151,199204815676306151
3120,1999999800779070358624136,199220929641376464,199220929641376464
3130,1999999800763280594348978,199236719405651622,199236719405651622
3140,1999999800748596773826376,199251403226174224,199251403226174224
3150,1999999800733405582900637,199266594417099963,199266594417099963
3160,1999999800718119882902751,199281880117097849,199281880117097849
3170,1999999800703526030960296,199296473969040304,199296473969040304
3180,1999999800688829694017659,199311170305982941,199311170305982941
3190,1999999800675606216705724,199324393783294876,199324393783294876
3200,1999999800662251161001574,199337748838999026,199337748838999026
3210,1999999800648367864746424,199351632135254176,199351632135254176
3220,1999999800635157569875803,199364842430124797,199364842430124797
3230,1999999800622203348006898,199377796651993702,199377796651993702
3240,1999999800610299054720748,199389700945279852,199389700945279852
3250,1999999800597834633634845,199402165366365755,199402165366365755
3260,1999999800587204350882184,199412795649118416,199412795649118416
3270,1999999800575591153716385,199424408846284215,199424408846284215
3280,1999999800563816705867328,199436183294133272,199436183294133272
3290,1999999800552275351601897,199447724648398703,199447724648398703
3300,1999999800540954861877727,199459045138122873,199459045138122873
3310,1999999800530260421383062,199469739578617538,199469739578617538
3320,1999999800520957087484845,199479042912515755,199479042912515755
3330,1999999800510652815910367,199489347184090233,199489347184090233
3340,1999999800500950733587542,199499049266413058,199499049266413058
3350,1999999800491044003955253,199508955996045347,199508955996045347
3360,1999999800482522447840932,199517477552159668,199517477552159668
3370,1999999800473370414201670,199526629585798930,199526629585798930
3380,1999999800464402334454123,199535597665546477,199535597665546477
3390,1999999800454824532537925,199545175467462675,199545175467462675
3400,1999999800445438235109031,199554561764891569,199554561764891569
3410,1999999800437412968173912,199562587031826688,199562587031826688
3420,1999999800428366660652191,199571633339348409,199571633339348409
3430,1999999800420286365587094,199579713634413506,199579713634413506
3440,1999999800410787210068696,199589212789931904,199589212789931904
3450,1999999800401865202070659,199598134797929941,199598134797929941
3460,1999999800393120969537107,199606879030463493,199606879030463493
3470,1999999800385740369473685,199614259630526915,199614259630526915
3480,1999999800378107674862289,199621892325138311,199621892325138311
3490,1999999800371025387879074,199628974612121526,199628974612121526
3500,1999999800363294986259809,199636705013740791,199636705013740791
3510,1999999800356499981892384,199643500018108216,199643500018108216
3520,1999999800349052678690067,199650947321310533,199650947321310533
3530,1999999800342543279429021,199657456720571579,199657456720571579
3540,1999999800336163329172539,199663836670828061,199663836670828061
3550,1999999800329507427076622,199670492572923978,199670492572923978
3560,1999999800322588160619736,199677411839380864,199677411839380864
3570,1999999800316605982808356,199683394017192244,199683394017192244
3580,1999999800310341151671214,199689658848329386,199689658848329386
3590,1999999800303800724763757,199696199275236843,199696199275236843
3600,1999999800297790916325164,199702209083675436,199702209083675436
3610,1999999800291497838870086,199708502161130514,199708502161130514
3620,1999999800285731168554722,199714268831445878,199714268831445878
3630,1999999800280477732694115,199719522267306485,199719522267306485
3640,1999999800274530918822453,199725469081178147,199725469081178147
3650,1999999800269492601156216,199730507398844384,199730507398844384
3660,1999999800264945180623179,199735054819377421,199735054819377421
3670,1999999800259306152779017,199740693847221583,199740693847221583
3680,1999999800254172201609027,199745827798391573,199745827798391573
3690,1999999800249144486994805,199750855513005795,199750855513005795
3700,1999999800244605024302316,199755394975698284,199755394975698284
3710,1999999800238976993382061,199761023006618539,199761023006618539
3720,1999999800233858595838471,199766141404162129,199766141404162129
3730,1999999800227645667531348,199772354332469252,199772354332469252
3740,1999999800223145855710873,199776854144289727,199776854144289727
3750,1999999800219519933837844,199780480066162756,199780480066162756
3760,1999999800213594461752530,199786405538248070,199786405538248070
3770,1999999800209370165258879,199790629834741721,199790629834741721
3780,1999999800205618490740151,199794381509260449,199794381509260449
3790,1999999800201555193847171,199798444806153429,199798444806153429
3800,1999999800197965789645288,199802034210355312,199802034210355312
3810,1999999800194045133905768,199805954866094832,199805954866094832
