Time\ information,r1_2_200,r2_1_300,Time\ infoAddUp,r1_2_200,r2_1_300,Time\ entropy,r1_2_200,r2_1_300
0,26.53220399623731,0.0,0,26.53220399623731,0.0,0,N/A,8.816566413015916e-14
10,25.29468958641041,18.975331725454208,10,281.59614055798926,93.42054167540216,10,N/A,N/A
20,25.2876643367241,23.983557750784566,20,541.96324189584,299.81682117332343,20,N/A,N/A
30,25.136745116830934,20.442654551753805,30,794.8865327179471,504.6745874816562,30,N/A,N/A
40,25.576405747166604,20.57265290420582,40,1048.3875618072361,714.720204286798,40,N/A,N/A
50,26.809895934320853,21.02979311027058,50,1302.0702182700707,928.8555393527326,50,N/A,N/A
60,25.089506558651777,21.475190475737243,60,1560.9034191016756,1147.489018636508,60,N/A,N/A
70,25.213958616954194,21.424712099847174,70,1822.2576487177967,1369.5128267736968,70,N/A,N/A
80,25.52368862049053,22.355495171912946,80,2078.49880840959,1588.8196089106355,80,N/A,N/A
90,25.100013173701985,21.61548722388702,90,2330.5914818802535,1816.3913479822932,90,N/A,N/A
100,25.88760357384688,21.81726491162969,100,2589.205446775347,2037.4900835267572,100,N/A,N/A
110,25.108031414052306,22.03049497794193,110,2841.9566288796445,2264.8879841940343,110,N/A,N/A
120,27.73279385238791,22.32407846824812,120,3104.1719586568006,2489.0094777460135,120,N/A,N/A
130,25.145178860261026,24.42189035640767,130,3357.6382103337924,2718.045658246417,130,N/A,N/A
140,25.167288230998413,23.101438452680654,140,3619.3993901943827,2954.901178258171,140,N/A,N/A
150,25.128699035491643,22.865200925462155,150,3883.9719500674278,3182.6893701872277,150,N/A,N/A
160,25.177418588927882,22.739099511260584,160,4140.513721600912,3414.84931547257,160,N/A,N/A
170,25.246249742005553,22.895863343305454,170,4394.269721402307,3644.67315640011,170,N/A,N/A
180,28.021820284533085,22.604585166734086,180,4654.626556094508,3885.240871992986,180,N/A,N/A
190,28.264093064147175,22.71426848070737,190,4915.294256331683,4116.46018793346,190,N/A,N/A
200,25.092378114579997,22.81241091461912,200,5172.733440707101,4348.747566988427,200,N/A,N/A
210,25.092734831269162,22.816026237059734,210,5429.959615939148,4581.9581784618185,210,N/A,N/A
220,25.45974476452878,24.10258966174009,220,5688.333033988748,4816.414628598627,220,N/A,N/A
230,25.233662312391626,25.719906519099087,230,5941.460545167504,5054.459467307839,230,N/A,N/A
240,25.182052794110543,25.344516062527003,240,6196.210157497275,5293.43664511864,240,N/A,N/A
250,25.551694388997714,24.497787749661907,250,6451.159939870302,5527.021230039365,250,N/A,N/A
260,28.12460383421679,23.289672449770443,260,6708.436265002321,5771.471471376293,260,N/A,N/A
270,25.307952139911283,23.183846175414303,270,6962.946978707897,6010.696602419714,270,N/A,N/A
280,26.893206793261985,23.52378376170992,280,7225.139762535732,6249.128566482139,280,N/A,N/A
290,25.653384168222903,24.49093678181952,290,7483.043271244717,6488.643469254285,290,N/A,N/A
300,27.264243817422294,23.344125851635212,300,7741.4249567816305,6729.1207241185775,300,N/A,N/A
310,25.089389878276414,26.038932036155945,310,7996.542479497676,6972.614863128394,310,N/A,N/A
320,26.0894187051256,23.575264231503727,320,8253.493749597259,7211.4635209008575,320,N/A,N/A
