,Time,Hb,O2,Hb-O2,Hb-(O2)2,Hb-(O2)3,Hb-(O2)4
0,0,10000000000,1000000000000,0,0,0,0
1000,1000,3698936218,990097199030,3678844216,1829257618,606406274,186555674
2000,2000,1381442177,980928077819,2734569833,2706425446,1785748720,1391813824
3000,3000,520249322,973480670906,1537959630,2273067603,2239659522,3429063923
4000,4000,197215199,968140325461,774233704,1519849839,1989063875,5519637383
5000,5000,75077153,964663210684,367233626,898247978,1464705238,7194736005
6000,6000,28660290,962558901541,167768289,491197669,958560176,8353813576
7000,7000,10959301,961355263977,74667963,254546937,578329010,9081496789
8000,8000,4194738,960696879011,32607322,126792529,328693035,9507712376
9000,9000,1607099,960349471693,14027892,61253850,178451921,9744659238
10000,10000,616022,960171581350,5961157,28903407,93426977,9871092437
