Time,Hb,O2,Hb-O2,Hb-(O2)2,Hb-(O2)3,Hb-(O2)4
0,10000000000,1000000000000,0,0,0,0
10,9900545881,999897275140,97059361,1826952,259629,308177
20,9802084188,999785739525,188429258,5531093,1052813,2902648
30,9704620703,999663563565,274335528,9949655,2174859,8919255
40,9608154417,999529489390,355037496,14131598,3496038,19180451
50,9512662714,999384846835,430964489,18202372,4897768,33272657
60,9418127601,999228828436,502270927,22157198,5190855,52253419
70,9324542259,999063630072,569043731,25806236,6717371,73890403
80,9231898003,998887080866,631758099,29299061,5616435,101428402
90,9140190170,998707134681,690390511,33067284,9067900,127284135
100,9049408590,998513288679,745351011,36242336,7116614,161881449
110,8959541316,998316183145,796799008,38680196,10260465,194719015
120,8870605718,998109840704,844896101,41610993,9507543,233379645
130,8782553698,997897105840,889721604,44413661,8898914,274412123
140,8695400021,997680816642,931499367,46900208,10918041,315282363
150,8609131840,997458402908,970358916,49016201,12766398,358726645
160,8523745623,997226233102,1006604627,50269242,10898245,408482263
170,8439213844,996994298753,1040195785,53330065,10195892,457064414
180,8355556237,996758071469,1071262025,55064099,11932248,506185391
190,8272740814,996517210893,1100146022,56256007,13297557,557559600
200,8190758683,996271699412,1126780998,57309074,13703538,611447707
210,8109604892,996025183106,1151369223,57946337,16763195,664316353
220,8029283003,995771285999,1173838462,60595976,11446649,724835910
230,7949771579,995519300064,1194413206,60630456,15713218,779471541
240,7871076555,995264734154,1213339616,61926779,16555528,837101522
250,7793172491,995003972349,1230628853,62808164,13779498,899610994
260,7716065060,994747878691,1246280837,65126796,14522348,958004959
270,7639746818,994485239806,1260447587,65787907,13333959,1020683729
280,7564189678,994224222130,1273245357,66158605,15410137,1080996223
290,7489403647,993962096783,1284542558,67478769,15896983,1142678043
300,7415382301,993693284991,1294664527,66389266,14983674,1208580232
310,7342100313,993426841037,1303541159,66972791,13870726,1273515011
320,7269562333,993161396314,1311296736,67868206,13520362,1337752363
330,7197758194,992897861865,1318058227,68485341,15683726,1400014512
340,7126696788,992633153677,1323780631,68621553,17781526,1463119502
350,7056337513,992364864541,1328517747,68888646,16183956,1530072138
360,6986705506,992100052118,1332240109,68776167,18957433,1593320785
370,6917771374,991834576164,1335136307,70625443,16830861,1659636015
380,6849550722,991566999614,1337289343,70011851,16904995,1726243089
390,6782014864,991300375509,1338657885,69271885,17798628,1792256738
400,6715162586,991035032370,1339383751,69371604,17487565,1858594494
410,6648984086,990770799723,1339355373,70601975,15593310,1925465256
420,6583472006,990506415797,1338609470,70866098,14967167,1992085259
430,6518635622,990243174954,1337343175,70014835,16573271,2057433097
440,6454434193,989983030184,1335425623,70670597,17675349,2121794238
450,6390890677,989720216668,1333041178,69781814,17966798,2188319533
460,6327990348,989457316689,1330242978,69381030,15864303,2256521341
470,6265733540,989198341059,1326910481,68638298,17398860,2321318821
480,6204106648,988938786513,1323134848,69522879,13909619,2389326006
490,6143085940,988684580322,1318983603,70987760,13310233,2453632464
500,6082684716,988431781516,1314387190,69939605,18001872,2514986617
510,6022894191,988177029536,1309470625,68883468,19273961,2579477755
520,5963708083,987920307230,1304277069,67592740,17458211,2646963897
530,5905118905,987666831239,1298767929,67952106,14147620,2714013440
540,5847110489,987422063390,1292917706,67782171,19303974,2772885660
550,5789681837,987174853211,1286805248,68743288,18223543,2836546084
560,5732848304,986921297389,1280520539,67237306,13867944,2905525907
570,5676573589,986678700568,1273963445,66524784,17466309,2965471873
580,5620870422,986431635581,1267108916,66730217,13366711,3031923734
590,5565739777,986191202666,1260031653,66881672,14385255,3092961643
600,5511153572,985953892576,1252852097,67042722,16636553,3152315056
610,5457106961,985711847237,1245450403,66823318,13421548,3217197770
620,5403606019,985474484341,1237883608,66308128,13793185,3278409060
630,5350646354,985239451559,1230250181,65624149,14867302,3338612014
640,5298216908,985004371391,1222427285,65056952,14108000,3400190855
650,5246309392,984770670747,1214479681,63724076,14545984,3460940867
660,5194931409,984543212559,1206331507,63483916,17524570,3517728598
670,5144068971,984313099138,1198090791,63640467,15269947,3578929824
680,5093717665,984085954629,1189810058,64029191,13595413,3638847673
690,5043871521,983860088656,1181456248,63204219,13825390,3697642622
700,4994513635,983638158798,1173031946,62411447,16185526,3753857446
710,4945657674,983412983471,1164572784,60871181,14892061,3814006300
720,4897296967,983191426203,1156053251,61091410,11895762,3873662610
730,4849420233,982975726710,1147413032,60200285,15406112,3927560338
740,4802007351,982756609053,1138746968,59979733,12379279,3986886669
750,4755059977,982544529116,1130066840,58755826,16577036,4039540321
760,4708595417,982328706144,1121390168,58487010,13179952,4098347453
770,4662591343,982121007727,1112644730,59119550,14469065,4151175312
780,4617063342,981910767841,1103893253,58267762,14299190,4206476453
