Time\ number,r2_1_100,r2_1_200,r2_1_300,r2_1_400,Time\ Probability,r2_1_100,r2_1_200,r2_1_300,r2_1_400
0,10000000000,0,0,0,0,0.0009990009990009992,0.0049751243781094535,0.09090826509924983,0.3333311128170484
10,9900545881,97059361,2309145,259629,10,0.0009988979980422763,0.004974615851525955,0.09089973681986781,0.333308199755824
20,9802084188,188429258,5531093,1052813,20,0.0009987853805319246,0.0049740594847988,0.09089135407882813,0.33328571649364225
30,9704620703,274335528,9949655,2174859,30,0.0009986622444317927,0.004973450825382544,0.09088122547292019,0.3332585612957652
40,9608154417,355037496,14131598,4778935,40,0.0009985267965914775,0.004972780940417837,0.09087020407137712,0.3332284738411019
50,9512662714,440461465,18202372,6550950,50,0.0009983870739220463,0.0049720131250753285,0.0908574639987907,0.33319412575505486
60,9418127601,511667202,22157198,7203205,60,0.000998231366876768,0.004971238426926859,0.09084457659234868,0.3331593812475146
70,9324542259,569043731,28635502,6717371,70,0.0009980636745120868,0.00497048897655923,0.09083051065270752,0.33312248816288764
80,9231898003,640970549,29299061,5616435,80,0.0009978857757772137,0.0049695469305049865,0.09081695007912809,0.33308592618884053
90,9140190170,699511642,33067284,9067900,90,0.0009977107138727077,0.0049686492082279005,0.09080122633310962,0.33304387738853847
100,9049408590,754381637,39992787,7116614,100,0.0009975172544447505,0.004967719843183832,0.09078495316706793,0.3329999461632688
110,8959541316,796799008,42637158,10260465,110,0.0009973165928349977,0.004966788787600377,0.09076856299896695,0.33295607344209266
120,8870605718,853737033,41610993,13284317,120,0.0009971146107986524,0.004965704833964958,0.09075212164288103,0.3329092822300075
130,8782553698,889721604,48830210,8898914,130,0.0009968905136546623,0.004964714159743346,0.0907346547106764,0.3328647128883726
140,8695400021,940163943,51564323,10918041,140,0.0009966864416989098,0.004963582535342407,0.09071597989518254,0.3328156320825154
150,8609131840,978939877,49016201,12766398,150,0.000996464471048154,0.0049624568441638634,0.09069793231282341,0.33276614495554907
160,8523745623,1015094984,50269242,15455741,160,0.0009962327636558069,0.004961302965487412,0.09067909411931731,0.3327134653473621
170,8439213844,1040195785,58488876,10195892,170,0.0009959927597989907,0.004960244814761318,0.09065921605313924,0.332663581143739
180,8355556237,1079580827,55064099,11932248,180,0.0009957565870694894,0.004958989801772537,0.09064075560320127,0.33261212540269985
190,8272740814,1100146022,61710533,13297557,190,0.0009955152954202902,0.004957861081345634,0.09061966770191214,0.3325584806489482
200,8190758683,1134929204,57309074,18896134,200,0.000995274947720513,0.004956601514603884,0.09060086242369524,0.33249956577152573
210,8109604892,1159437764,57946337,16763195,210,0.0009950341040802866,0.004955353655809347,0.09057934663870686,0.3324470710540699
220,8029283003,1181824029,60595976,11446649,220,0.0009947769136773284,0.004954104700148033,0.0905585007655924,0.3323922926469135
230,7949771579,1194413206,60630456,21203808,230,0.0009945178436938213,0.00495291556814377,0.0905386342287813,0.3323318285820206
240,7871076555,1213339616,61926779,22159107,240,0.000994263576357246,0.004951654754843933,0.09051757808636136,0.3322750541982151
250,7793172491,1230628853,62808164,19465624,250,0.0009940031656682754,0.004950363415541775,0.09049600844631846,0.3322168986653203
260,7716065060,1253943324,65126796,14522348,260,0.0009937545274745462,0.004949032780662803,0.09047379128566634,0.3321641483642365
270,7639746818,1260447587,65787907,19284127,270,0.0009934786707732628,0.004947762353643786,0.09045309699497563,0.3321042469985564
280,7564189678,1280758065,66158605,21391687,280,0.0009932307524488104,0.004946464499010231,0.09043150312768325,0.332042927963348
290,7489403647,1291978287,73868596,22572940,290,0.0009929751171535008,0.0049451967982328355,0.09040867272664259,0.3319842968347431
300,7415382301,1294664527,72791009,21563185,300,0.0009927004498320076,0.004943902809836089,0.09038643722156901,0.33192434945633253
