Time,E,S,ES,P
0,100,100000,0,0
10,47,99843,53,104
20,47,99720,53,227
30,65,99617,35,348
40,60,99503,40,457
50,59,99384,41,575
60,58,99260,42,698
70,52,99130,48,822
80,50,99010,50,940
90,56,98906,44,1050
100,43,98770,57,1173
110,47,98645,53,1302
120,45,98529,55,1416
130,44,98396,56,1548
140,54,98277,46,1677
150,60,98164,40,1796
160,33,98034,67,1899
170,56,97931,44,2025
180,57,97832,43,2125
190,47,97698,53,2249
200,62,97577,38,2385
210,51,97451,49,2500
220,46,97319,54,2627
230,61,97224,39,2737
240,45,97095,55,2850
250,60,96985,40,2975
260,59,96878,41,3081
270,49,96759,51,3190
280,57,96639,43,3318
290,56,96520,44,3436
300,36,96393,64,3543
310,62,96275,38,3687
320,63,96158,37,3805
330,37,96013,63,3924
340,41,95876,59,4065
350,51,95751,49,4200
360,54,95629,46,4325
370,42,95503,58,4439
380,56,95389,44,4567
390,48,95254,52,4694
400,54,95135,46,4819
410,61,95021,39,4940
420,63,94902,37,5061
430,47,94770,53,5177
440,47,94657,53,5290
450,58,94522,42,5436
460,53,94382,47,5571
470,55,94255,45,5700
480,55,94153,45,5802
490,69,94051,31,5918
500,40,93921,60,6019
510,67,93837,33,6130
520,62,93706,38,6256
530,49,93584,51,6365
540,51,93474,49,6477
550,57,93353,43,6604
560,45,93213,55,6732
570,46,93091,54,6855
580,48,92980,52,6968
590,44,92846,56,7098
600,40,92717,60,7223
610,47,92589,53,7358
620,45,92459,55,7486
630,54,92352,46,7602
640,43,92214,57,7729
650,40,92111,60,7829
660,61,92006,39,7955
670,64,91884,36,8080
680,42,91763,58,8179
690,45,91641,55,8304
700,62,91534,38,8428
710,49,91398,51,8551
720,55,91286,45,8669
730,61,91192,39,8769
740,44,91077,56,8867
750,57,90962,43,8995
760,52,90830,48,9122
770,58,90691,42,9267
780,56,90570,44,9386
790,49,90439,51,9510
800,45,90319,55,9626
810,64,90205,36,9759
820,54,90083,46,9871
830,49,89960,51,9989
840,64,89861,36,10103
850,54,89757,46,10197
860,56,89639,44,10317
870,63,89535,37,10428
880,60,89420,40,10540
890,49,89277,51,10672
900,61,89169,39,10792
910,64,89039,36,10925
920,53,88898,47,11055
930,56,88798,44,11158
940,56,88680,44,11276
950,39,88558,61,11381
960,56,88462,44,11494
970,55,88349,45,11606
980,57,88243,43,11714
990,50,88126,50,11824
1000,43,88000,57,11943
1010,52,87898,48,12054
1020,61,87777,39,12184
1030,41,87645,59,12296
1040,64,87554,36,12410
1050,53,87420,47,12533
1060,46,87291,54,12655
1070,43,87168,57,12775
1080,58,87043,42,12915
1090,38,86906,62,13032
1100,55,86803,45,13152
1110,54,86673,46,13281
1120,61,86574,39,13387
1130,55,86464,45,13491
1140,55,86331,45,13624
1150,67,86238,33,13729
1160,56,86122,44,13834
1170,61,85995,39,13966
1180,57,85873,43,14084
1190,52,85755,48,14197
1200,47,85645,53,14302
1210,69,85551,31,14418
1220,65,85440,35,14525
1230,63,85334,37,14629
1240,53,85222,47,14731
1250,60,85101,40,14859
1260,70,85000,30,14970
1270,62,84886,38,15076
1280,58,84769,42,15189
1290,52,84649,48,15303
1300,51,84539,49,15412
1310,42,84436,58,15506
1320,61,84320,39,15641
1330,53,84210,47,15743
1340,57,84107,43,15850
1350,56,83996,44,15960
1360,57,83878,43,16079
1370,41,83753,59,16188
1380,52,83641,48,16311
1390,63,83533,37,16430
1400,53,83419,47,16534
1410,63,83315,37,16648
1420,66,83202,34,16764
1430,52,83047,48,16905
1440,54,82944,46,17010
1450,53,82826,47,17127
1460,46,82709,54,17237
1470,59,82602,41,17357
1480,63,82471,37,17492
1490,48,82337,52,17611
1500,63,82222,37,17741
1510,43,82084,57,17859
1520,56,81983,44,17973
1530,51,81864,49,18087
1540,52,81738,48,18214
1550,44,81613,56,18331
1560,59,81500,41,18459
1570,46,81389,54,18557
1580,54,81266,46,18688
1590,39,81127,61,18812
1600,66,81031,34,18935
1610,56,80923,44,19033
1620,51,80832,49,19119
1630,58,80740,42,19218
1640,44,80625,56,19319
1650,62,80519,38,19443
1660,65,80401,35,19564
1670,48,80297,52,19651
1680,52,80185,48,19767
1690,44,80057,56,19887
