Time\ information,r2_1_100,Time\ infoAddUp,r2_1_100,Time\ entropy,r2_1_100
0,3.136963030026546,0,3.136963030026546,0,3.6939153784163583
10,3.4262730456405492,10,42.29012151945915,10,3.686610063144035
20,4.556593622426422,20,90.72141989024263,20,3.6770190640795555
30,4.473734504540194,30,128.37905124317223,30,3.668985195556773
40,3.014041179044753,40,165.34612965903102,40,3.6596980937529313
50,3.022643917692433,50,201.1803341394172,50,3.6512438114545285
60,2.930823774440457,60,241.8109186700862,60,3.6419319576526337
70,2.926348328606995,70,276.77486801404496,70,3.6328642627503505
80,2.9391415795950837,80,314.7915924072586,80,3.62475110695756
90,2.92341874555619,90,346.7664511850829,90,3.617090356720024
100,3.4112835056807738,100,380.22965029778834,100,3.609270290301142
110,2.8958484656428203,110,413.8449954482242,110,3.6015573262579736
120,4.489560862342538,120,451.40616007874894,120,3.595136040588429
130,4.546435883722151,130,486.9552522889098,130,3.5883909036286306
140,4.627302729019309,140,529.5109494517721,140,3.5790039563614626
150,2.940331704052096,150,560.010919797373,150,3.5718475566762726
160,3.666380096834553,160,596.2758696879336,160,3.5651001359025667
170,2.965012270436321,170,633.2869655295139,170,3.557253777831337
180,4.233364612672221,180,669.5457361222979,180,3.5491412924648356
190,3.7368621270555016,190,702.8512748439065,190,3.5397861520749005
200,3.0366496833833407,200,735.4349381048926,200,3.531109193302447
210,3.8293064297654236,210,766.4517028422351,210,3.5239239625747416
220,3.3651529711521677,220,806.0575864792941,220,3.5155783926214754
230,3.4322865188384677,230,843.9692812408247,230,3.506138656314835
240,3.990768641201887,240,880.559057355298,240,3.498121192941247
250,4.049010163229847,250,914.8437200454032,250,3.4893040238985
260,2.864202605810109,260,951.8379621985191,260,3.481849092222505
270,3.5809090898065565,270,982.0784928399751,270,3.474640962171445
280,3.627867801004946,280,1015.7275932908494,280,3.46546155262389
290,3.0811511834307255,290,1047.797741113465,290,3.4584288363454965
300,5.911648486260745,300,1082.597317461874,300,3.4513353435768104
310,3.7502108543091555,310,1112.8350546377858,310,3.442872205828186
320,3.2923499687464477,320,1151.9775421690872,320,3.433659110683886
330,8.342575591885794,330,1187.7886431119286,330,3.425010070000351
340,2.7481324314928903,340,1221.170713288135,340,3.415592008405023
350,2.7511977639215868,350,1251.525787691318,350,3.4070899939234223
360,2.857780616978652,360,1282.0347315589336,360,3.4005684890543435
370,4.05263946905876,370,1314.205555399227,370,3.3930672079063404
380,4.847209065919259,380,1353.5471535377771,380,3.3851447413579496
390,4.151993109082025,390,1388.7483074016416,390,3.378089387848956
400,2.763097383487068,400,1421.8983472343025,400,3.3696602592292266
410,3.08908278686563,410,1456.2851804741113,410,3.3610216089392186
420,2.649113592598535,420,1485.135763235665,420,3.3547245280728357
430,2.8072795238333166,430,1514.1469315055265,430,3.347764921366593
440,4.427618400231182,440,1549.4152035270329,440,3.339134821181348
450,3.562758186235708,450,1584.1704195378247,450,3.329407906793947
460,2.6469531405845395,460,1623.8119912494556,460,3.3212110299441213
470,2.865533694218821,470,1655.8790120976835,470,3.3136974274720856
480,3.321099414066234,480,1689.0125597532844,480,3.304949175071604
490,3.357967070134236,490,1723.5373123314869,490,3.295973182972323
500,3.391350445539008,500,1757.9837537199105,500,3.288084959869231
510,2.9400385134082945,510,1792.7268418459191,510,3.2802512224458553
520,2.651905256581795,520,1821.0336148560655,520,3.2730130623256257
530,2.72125925729625,530,1853.3642317559572,530,3.264620371362336
540,2.9992662161017627,540,1885.3946931135258,540,3.2577867553952937
550,2.671069578783622,550,1914.7706112985268,550,3.249646487952556
560,2.679339501584094,560,1945.7920878024947,560,3.2417017657070595
570,3.6471617255389623,570,1975.6292724008815,570,3.2333932175190756
580,2.605184255038772,580,2014.4654131479704,580,3.2228470132411178
590,2.5182919050425703,590,2041.2916511981816,590,3.215350738407872
600,2.573630073671667,600,2070.2657280108456,600,3.2096812577063134
610,3.6935399321702986,610,2101.9924879636965,610,3.200583131083388
620,2.5110162271753804,620,2133.7986803727326,620,3.1919753703902027
630,3.5896465483670488,630,2164.4502015921134,630,3.182970113745896
640,3.962918977999502,640,2193.837316043837,640,3.175233280472232
650,4.015818632564983,650,2223.828526036216,650,3.1661861707485977
660,3.453443321539271,660,2253.5150336579777,660,3.158747624451789
670,2.731410352238485,670,2281.2126418685407,670,3.151866016010162
680,2.8435825499807335,680,2312.3638447061485,680,3.146348237675393
690,2.691063619622219,690,2338.6706981826733,690,3.13999389969651
700,5.171039751640754,700,2371.505252055832,700,3.1311709606769513
710,2.530248257959187,710,2403.661117533011,710,3.1222465704425026
720,4.327482185636486,720,2433.7586538196515,720,3.115855531813007
730,2.406263718766119,730,2459.80440629485,730,3.1092453709051022
740,3.597493084006624,740,2489.594963538228,740,3.1007346746252153
750,2.9851426157091483,750,2521.2103720194295,750,3.0924685006302366
760,2.5279500388823366,760,2548.096633861781,760,3.08565437301419
770,2.3789268424382906,770,2575.1850340023043,770,3.078261421127426
780,0.0,780,2599.154159512108,780,3.0714942996617243
790,2.9999826627244173,790,2625.760653759681,790,3.066248053085896
800,4.70625866627117,800,2657.1464503133893,800,3.059904977052834
810,3.1138213249148072,810,2687.532628282072,810,3.0515441957758127
820,3.9731053011034434,820,2720.2628754779234,820,3.0443562575522614
830,2.6273276163123436,830,2750.011642031235,830,3.038375117713249
840,2.3968163367172592,840,2776.473166091049,840,3.030694679110576
850,2.3820075803431977,850,2802.8061235880305,850,3.0234932691300935
860,3.2440765965148346,860,2836.6985181464725,860,3.014723701078412
870,4.099447155966923,870,2870.606970163511,870,3.0047125300881166
880,2.723870872393296,880,2896.5892370939496,880,2.9970691706054353
890,4.183416852858994,890,2923.297461306965,890,2.9901241524461795
900,2.302975564961229,900,2960.2052444042306,900,2.97958671229815
910,2.753368188102963,910,2988.248029229091,910,2.97267832443023
920,2.2801380696987636,920,3017.3916745226225,920,2.9645052167090484
930,2.368089826848705,930,3047.3319048884787,930,2.957458138221048
940,2.371695766601995,940,3073.305557359622,940,2.9505493962180083
950,2.375261609133389,950,3096.4337504068917,950,2.9444009410346896
960,2.8411359103947604,960,3123.588038158585,960,2.935916892397915
970,2.49849009429762,970,3146.9730643934513,970,2.9288088466557354
980,2.3918460852816095,980,3172.080523210547,980,2.9209973574626646
990,2.906093496172164,990,3200.6830686922603,990,2.9113874016597525
1000,3.716750685484085,1000,3234.119089510739,1000,2.902524551506101
1010,2.957013969890565,1010,3260.7499451901067,1010,2.893336993990494
1020,2.194536924313025,1020,3287.016769928545,1020,2.8862615528936497
1030,2.9962346133409024,1030,3310.9576392126587,1030,2.880015969870872
1040,2.184919624253118,1040,3336.5422911239793,1040,2.872588500489486
1050,0.0,1050,3357.6950270989737,1050,2.868051361374708
1060,2.454245462271497,1060,3382.181097573536,1060,2.8616534342218425
