Time\ number,r2_1_100,Time\ Probability,r2_1_100
0,10000,0,0.0009990009990009992
10,9910,10,0.0009981027954970188
20,9793,20,0.000996935128527189
30,9696,30,0.0009959670606791854
40,9585,40,0.0009948592693965713
50,9485,50,0.0009938612571283457
60,9376,60,0.0009927734214846653
70,9271,70,0.0009917255041747507
80,9178,80,0.0009907973470071852
90,9091,90,0.0009899290693858548
100,9003,100,0.0009890508100265493
110,8917,110,0.000988192509615264
120,8846,120,0.0009874839116526877
130,8772,130,0.0009867453718613052
140,8670,140,0.0009857273827914
150,8593,150,0.0009849588994722436
160,8521,160,0.0009842403165976849
170,8438,170,0.0009834119489456968
180,8353,180,0.0009825636192036047
190,8256,190,0.0009815955235024276
200,8167,200,0.0009807072690951474
210,8094,210,0.0009799786996943219
220,8010,220,0.0009791403445483082
230,7916,230,0.0009782021835499552
240,7837,240,0.0009774137277311998
250,7751,250,0.0009765554073237869
260,7679,260,0.0009758368123600549
270,7610,270,0.0009751481578830904
280,7523,280,0.0009742798530589013
290,7457,290,0.0009736211380474932
300,7391,300,0.000972962422167427
310,7313,310,0.0009721839386437875
320,7229,320,0.0009713455704153409
330,7151,330,0.0009705670843718618
340,7067,340,0.0009697287134297352
350,6992,350,0.0009689801667566595
360,6935,360,0.0009684112705349069
370,6870,370,0.0009677625284387015
380,6802,380,0.0009670838434978173
390,6742,390,0.000966485003078322
400,6671,400,0.0009657763743211801
410,6599,410,0.0009650577638506978
420,6547,420,0.0009645387667568594
430,6490,430,0.0009639698654768014
440,6420,440,0.0009632712138955619
450,6342,450,0.0009624927152682564
460,6277,460,0.0009618439654853497
470,6218,470,0.0009612550995682976
480,6150,480,0.0009605764057858369
490,6081,490,0.0009598877302698795
500,6021,500,0.0009592888812233606
510,5962,510,0.0009587000122942023
520,5908,520,0.0009581610469031363
530,5846,530,0.0009575422340703329
540,5796,540,0.0009570431909048407
550,5737,550,0.0009564543193283046
560,5680,560,0.0009558854088408212
570,5621,570,0.0009552965358994077
580,5547,580,0.0009545579485169304
590,5495,590,0.0009540389405137565
600,5456,600,0.0009536496841574906
610,5394,610,0.0009530308657359399
620,5336,620,0.0009524519703895094
630,5276,630,0.0009518531124286024
640,5225,640,0.0009513440825973465
650,5166,650,0.0009507552043022738
660,5118,660,0.0009502761163636374
670,5074,670,0.0009498369520162402
680,5039,680,0.0009494876164641885
690,4999,690,0.0009490883755341263
700,4944,700,0.0009485394187342769
710,4889,710,0.0009479904613311473
720,4850,720,0.0009476012002615519
730,4810,730,0.0009472019578237872
740,4759,740,0.0009466929232528549
750,4710,750,0.0009462038503333492
760,4670,760,0.0009458046067787625
770,4627,770,0.0009453754196016935
780,4588,780,0.0009449861564942952
790,4558,790,0.0009446867231283443
800,4522,800,0.000944327402852276
810,4475,810,0.0009438582898806352
820,4435,820,0.0009434590444513725
830,4402,830,0.0009431296667320116
840,4360,840,0.000942710458411443
850,4321,850,0.000942321193227336
860,4274,860,0.000941852078371636
870,4221,870,0.0009413230759845766
880,4181,880,0.0009409238285290531
890,4145,890,0.0009405645055462535
900,4091,900,0.0009400255205874241
910,4056,910,0.0009396761781738567
920,4015,920,0.0009392669481786698
930,3980,930,0.0009389176052346006
940,3946,940,0.000938578243283565
950,3916,950,0.0009382788060764853
960,3875,960,0.0009378695749365283
970,3841,970,0.0009375302122735003
980,3804,980,0.0009371609055841258
990,3759,990,0.000936711748431788
1000,3718,1000,0.0009363025160080476
1010,3676,1010,0.0009358833019580577
1020,3644,1020,0.0009355639005409774
1030,3616,1030,0.0009352844241335033
1040,3583,1040,0.0009349550410239585
1050,3563,1050,0.0009347554147912587
1060,3535,1060,0.0009344759379314559
1070,3502,1070,0.0009341465542888088
1080,3479,1080,0.0009339169837427671
1090,3449,1090,0.0009336175437415492
1100,3429,1100,0.0009334179169743499
1110,3387,1110,0.0009329987005035609
1120,3363,1120,0.0009327591480765812
1130,3332,1130,0.0009324497260217096
1140,3311,1140,0.0009322401174240304
1150,3285,1150,0.0009319806018955217
1160,3271,1160,0.0009318408627089427
1170,3244,1170,0.000931571365595864
1180,3210,1180,0.0009312319986540547
1190,3183,1190,0.0009309625012124951
1200,3153,1200,0.0009306630594402397
1210,3127,1210,0.0009304035430924243
1220,3096,1220,0.0009300941195784372
1230,3067,1230,0.0009298046586982893
1240,3036,1240,0.0009294952348133391
1250,3010,1250,0.0009292357178588195
1260,2984,1260,0.0009289762007694765
1270,2950,1270,0.0009286368320645959
1280,2921,1280,0.0009283473703400064
1290,2891,1290,0.0009280479270001303
1300,2867,1300,0.0009278083721989901
1310,2845,1310,0.0009275887801970261
1320,2816,1320,0.0009272993178651303
1330,2787,1330,0.0009270098553655021
1340,2759,1340,0.0009267303741722216
1350,2726,1350,0.0009264009854222572
1360,2703,1360,0.0009261714113165672
1370,2675,1370,0.0009258919296541928
1380,2651,1380,0.0009256523738191328
1390,2626,1390,0.0009254028363687851
1400,2607,1400,0.0009252131878231527
1410,2585,1410,0.0009249935946803652
1420,2562,1420,0.0009247640199278744
1430,2541,1430,0.0009245544081051953
1440,2521,1440,0.0009243547777161093
1450,2494,1450,0.0009240852765642947
1460,2474,1460,0.0009238856459877292
1470,2460,1470,0.0009237459045366654
1480,2433,1480,0.000923476403056363
1490,2406,1490,0.000923206901430664
1500,2384,1500,0.0009229873074059261
1510,2364,1510,0.0009227876763905786
1520,2334,1520,0.0009224882297179722
1530,2312,1530,0.0009222686353773106
1540,2285,1540,0.0009219991331000186
1550,2274,1550,0.0009218893358342523
1560,2256,1560,0.0009217096675291245
1570,2241,1570,0.0009215599438921543
1580,2212,1580,0.0009212704780667651
1590,2185,1590,0.000921000975250965
1600,2160,1600,0.0009207514354770644
1610,2138,1610,0.0009205318403729171
1620,2122,1620,0.0009203721347819962
1630,2109,1630,0.0009202423739517767
1640,2085,1640,0.0009200028154074322
1650,2065,1650,0.0009198031831993874
1660,2045,1660,0.0009196035509115635
1670,2020,1670,0.0009193540104395936
1680,2000,1680,0.0009191543779722655
1690,1981,1690,0.0009189647270544081
1700,1960,1700,0.0009187551127982707
1710,1943,1710,0.0009185854250026899
1720,1926,1720,0.0009184157371494679
1730,1913,1730,0.0009182859758110528
1740,1901,1740,0.0009181661960841367
1750,1885,1750,0.0009180064897369054
1760,1873,1760,0.0009178867099429741
1770,1864,1770,0.0009177968750786776
1780,1848,1780,0.0009176371686133721
1790,1835,1790,0.0009175074070727148
1800,1815,1800,0.0009173077738674236
1810,1793,1810,0.0009170881772494576
1820,1776,1820,0.0009169184888876383
1830,1758,1830,0.0009167388187946504
1840,1740,1840,0.0009165591486370402
1850,1722,1850,0.0009163794784148084
1860,1710,1860,0.0009162596982307527
1870,1697,1870,0.0009161299363322814
1880,1688,1880,0.0009160401011520558
1890,1666,1890,0.0009158205039768246
1900,1646,1900,0.0009156208700973905
1910,1630,1910,0.0009154611629364014
1920,1613,1920,0.0009152914740219043
1930,1599,1930,0.0009151517301666846
1940,1587,1940,0.000915031949688239
1950,1574,1950,0.0009149021874708455
1960,1568,1960,0.0009148422972052951
1970,1548,1970,0.0009146426629349363
1980,1534,1980,0.0009145029188982159
1990,1515,1990,0.0009143132662144239
2000,1499,2000,0.0009141535586353842
2010,1488,2010,0.0009140437596451758
2020,1475,2020,0.0009139139971710878
2030,1460,2030,0.0009137642711975627
2040,1443,2040,0.0009135945817066501
2050,1433,2050,0.0009134947643321282
2060,1421,2060,0.0009133749834563745
2070,1410,2070,0.0009132651842950361
2080,1398,2080,0.0009131454033642332
2090,1377,2090,0.000912935786666218
2100,1361,2100,0.0009127760786467876
2110,1346,2110,0.0009126263523321986
2120,1334,2120,0.000912506571248216
2130,1324,2130,0.000912406753656291
2140,1318,2140,0.0009123468630915622
2150,1313,2150,0.0009122969542821362
2160,1304,2160,0.0009122071184126045
2170,1287,2170,0.000912037428392743
2180,1275,2180,0.0009119176471675479
2190,1259,2190,0.00091175793882261
2200,1244,2200,0.0009116082122028577
2210,1237,2210,0.0009115383397649486
2220,1225,2220,0.0009114185584200812
2230,1218,2230,0.000911348685955645
2240,1207,2240,0.0009112388863489277
2250,1202,2250,0.0009111889774288054
2260,1187,2260,0.0009110392506385202
2270,1177,2270,0.0009109394327533984
2280,1162,2280,0.0009107897058883182
2290,1152,2290,0.0009106898879533327
2300,1145,2300,0.0009106200153869756
2310,1134,2310,0.0009105102156200968
2320,1126,2320,0.0009104303612290263
2330,1113,2330,0.0009103005978163116
2340,1103,2340,0.0009102007797835938
2350,1092,2350,0.0009100909799245673
2360,1081,2360,0.0009099811800414066
2370,1074,2370,0.0009099113073759206
2380,1063,2380,0.0009098015074532679
2390,1052,2390,0.0009096917075064813
2400,1042,2400,0.000909591889352096
2410,1028,2410,0.0009094521439024484
2420,1017,2420,0.0009093423438788718
2430,1008,2430,0.0009092525074779946
2440,998,2440,0.000909152689235849
2450,988,2450,0.0009090528709737583
2460,977,2460,0.0009089430708624215
2470,967,2470,0.0009088432525584453
2480,961,2480,0.0009087833615664857
2490,953,2490,0.0009087035068993699
2500,947,2500,0.0009086436158906559
2510,940,2510,0.0009085737430380811
2520,934,2520,0.0009085138520138098
2530,928,2530,0.000908453960982358
2540,916,2540,0.0009083341788979132
2550,907,2550,0.0009082443423157311
2560,901,2560,0.0009081844512519675
2570,893,2570,0.0009081045964891132
2580,885,2580,0.0009080247417134936
2590,877,2590,0.0009079448869251091
2600,869,2600,0.0009078650321239594
2610,860,2610,0.0009077751954574074
2620,850,2620,0.0009076753769200681
2630,843,2630,0.0009076055039320631
2640,834,2640,0.0009075156672188384
2650,830,2650,0.0009074757397855527
2660,825,2660,0.000907425830489458
2670,814,2670,0.0009073160300204972
2680,802,2680,0.0009071962476631968
2690,796,2690,0.0009071363564737762
2700,785,2700,0.0009070265559411888
2710,782,2710,0.0009069966103372038
2720,771,2720,0.0009068868097739003
2730,761,2730,0.0009067869910590449
2740,753,2740,0.0009067071360727997
2750,744,2750,0.0009066172991980158
2760,739,2760,0.0009065673898161547
2770,735,2770,0.0009065274623070756
2780,727,2780,0.0009064476072793437
2790,720,2790,0.0009063777341196067
2800,716,2800,0.000906337806595369
2810,712,2810,0.0009062978790679399
2820,701,2820,0.0009061880783510549
2830,695,2830,0.0009061281870407633
2840,689,2840,0.0009060682957232916
2850,681,2850,0.0009059884406221595
2860,674,2860,0.0009059185673981975
2870,667,2870,0.0009058486941644619
2880,663,2880,0.0009058087665979392
2890,655,2890,0.0009057289114553202
2900,651,2900,0.0009056889838792236
2910,645,2910,0.0009056290925090951
2920,636,2920,0.000905539255440439
2930,626,2930,0.000905439436456317
2940,620,2940,0.0009053795450562701
2950,616,2950,0.0009053396174522494
2960,611,2960,0.000905289707942736
2970,603,2970,0.0009052098527171427
2980,593,2980,0.0009051100336671999
2990,586,2990,0.0009050401603203722
3000,579,3000,0.0009049702869637711
3010,574,3010,0.0009049203774173579
3020,567,3020,0.0009048505040440024
3030,563,3030,0.0009048105763976969
3040,557,3040,0.000904750684922255
3050,554,3050,0.0009047207391818412
3060,548,3060,0.0009046608476956287
3070,544,3070,0.0009046209200341644
3080,539,3080,0.000904571010452846
3090,538,3090,0.000904561028535984
3100,529,3100,0.0009044711912752505
3110,519,3110,0.0009043713720777091
3120,513,3120,0.0009043114805496101
3130,507,3130,0.0009042515890143308
3140,501,3140,0.0009041916974718709
3150,491,3150,0.0009040918782184812
3160,481,3160,0.0009039920589451459
3170,480,3170,0.0009039820770167154
3180,477,3180,0.0009039521312302267
3190,472,3190,0.0009039022215820902
3200,469,3200,0.0009038722757908149
3210,464,3210,0.0009038223661346999
3220,461,3220,0.0009037924203386374
3230,451,3230,0.0009036926010054645
3240,447,3240,0.0009036526732666104
3250,444,3250,0.0009036227274603758
3260,440,3260,0.0009035827997159368
3270,437,3270,0.0009035528539055135
3280,435,3280,0.0009035328900309005
3290,428,3290,0.0009034630164634723
3300,423,3300,0.0009034131067664687
3310,418,3310,0.0009033631970644783
3320,414,3320,0.0009033232692992957
3330,408,3330,0.0009032633776455383
3340,407,3340,0.0009032533957025472
3350,400,3350,0.0009031835220960252
3360,399,3360,0.0009031735401514385
3370,398,3370,0.0009031635582066524
3380,395,3380,0.0009031336123710971
3390,393,3390,0.0009031136484797298
3400,390,3400,0.0009030837026411827
3410,385,3410,0.0009030337929062816
3420,383,3420,0.0009030138290109252
3430,381,3430,0.0009029938651147706
3440,377,3440,0.0009029539373200682
3450,372,3450,0.0009029040275722025
3460,368,3460,0.0009028640997703196
3470,363,3470,0.0009028141900134781
3480,363,3480,0.0009028141900134781
3490,359,3490,0.0009027742622044147
3500,357,3500,0.0009027542982986863
3510,357,3510,0.0009027542982986863
3520,348,3520,0.000902664460713035
3530,344,3530,0.000902624532892004
3540,341,3540,0.0009025945870241365
3550,337,3550,0.0009025546591975206
3560,335,3560,0.0009025346952830161
3570,333,3570,0.0009025147313677136
3580,330,3580,0.000902484785493264
3590,327,3590,0.000902454839617019
3600,327,3600,0.000902454839617019
3610,324,3610,0.0009024248937389793
3620,321,3620,0.0009023949478591442
3630,319,3630,0.0009023749839382568
3640,317,3640,0.0009023550200165718
3650,315,3650,0.0009023350560940886
3660,311,3660,0.0009022951282467291
3670,309,3670,0.0009022751643218527
3680,308,3680,0.0009022651823591151
3690,306,3690,0.0009022452184330419
3700,303,3700,0.000902215272542436
3710,297,3710,0.0009021553807558388
3720,296,3720,0.0009021453987907081
3730,295,3730,0.0009021354168253776
3740,293,3740,0.0009021154528941182
3750,293,3750,0.0009021154528941182
3760,289,3760,0.0009020755250292062
3770,287,3770,0.0009020555610955536
3780,284,3780,0.0009020256151935787
3790,279,3790,0.0009019757053529644
3800,277,3800,0.0009019557414153225
3810,275,3810,0.0009019357774768827
3820,273,3820,0.0009019158135376452
3830,273,3830,0.0009019158135376452
3840,270,3840,0.000901885867627293
3850,270,3850,0.000901885867627293
3860,268,3860,0.0009018659036860607
3870,264,3870,0.0009018259758012027
3880,262,3880,0.0009018060118575772
3890,260,3890,0.0009017860479131535
3900,259,3900,0.0009017760659406427
3910,255,3910,0.0009017361380486044
3920,252,3920,0.0009017061921274812
3930,251,3930,0.0009016962101533745
3940,247,3940,0.0009016562822549535
3950,243,3950,0.000901616354353341
3960,237,3960,0.0009015564624949385
3970,235,3970,0.000901536498540542
3980,233,3980,0.0009015165345853477
3990,233,3990,0.0009015165345853477
4000,231,4000,0.0009014965706293554
4010,230,4010,0.0009014865886510604
4020,229,4020,0.0009014766066725654
4030,229,4030,0.0009014766066725654
4040,224,4040,0.0009014266967770998
4050,222,4050,0.0009014067328175175
4060,219,4060,0.0009013767868766479
4070,218,4070,0.000901366804895959
4080,215,4080,0.0009013368589526958
4090,213,4090,0.000901316894989523
4100,210,4100,0.0009012869490432681
4110,208,4110,0.0009012669850781009
4120,207,4120,0.0009012570030952179
4130,205,4130,0.0009012370391288537
4140,205,4140,0.0009012370391288537
4150,205,4150,0.0009012370391288537
4160,203,4160,0.0009012170751616918
4170,202,4170,0.0009012070931778117
4180,202,4180,0.0009012070931778117
4190,202,4190,0.0009012070931778117
4200,202,4200,0.0009012070931778117
4210,200,4210,0.0009011871292094532
4220,199,4220,0.0009011771472249745
4230,198,4230,0.0009011671652402965
4240,198,4240,0.0009011671652402965
4250,196,4250,0.0009011472012703422
4260,194,4260,0.00090112723729959
4270,191,4270,0.0009010972913419658
4280,191,4280,0.0009010972913419658
4290,189,4290,0.000901077327369219
4300,186,4300,0.0009010473814086029
4310,185,4310,0.000901037399421332
4320,180,4320,0.0009009874894819851
4330,180,4330,0.0009009874894819851
4340,180,4340,0.0009009874894819851
4350,176,4350,0.0009009475615269174
4360,175,4360,0.000900937579537652
4370,173,4370,0.0009009176155585223
4380,171,4380,0.0009008976515785951
4390,167,4390,0.0009008577236163469
4400,165,4400,0.0009008377596340259
4410,164,4410,0.0009008277776425664
4420,162,4420,0.0009008078136590487
4430,161,4430,0.0009007978316669906
4440,161,4440,0.0009007978316669906
4450,159,4450,0.0009007778676822764
4460,158,4460,0.00090076788568962
4470,157,4470,0.0009007579036967643
4480,155,4480,0.0009007379397104541
4490,154,4490,0.0009007279577169997
4500,153,4500,0.0009007179757233462
4510,152,4510,0.000900707993729493
4520,151,4520,0.0009006980117354403
4530,151,4530,0.0009006980117354403
4540,151,4540,0.0009006980117354403
4550,150,4550,0.0009006880297411882
4560,149,4560,0.0009006780477467368
4570,148,4570,0.0009006680657520857
4580,147,4580,0.0009006580837572353
4590,147,4590,0.0009006580837572353
4600,146,4600,0.0009006481017621856
4610,146,4610,0.0009006481017621856
4620,144,4620,0.0009006281377714874
4630,143,4630,0.0009006181557758389
4640,142,4640,0.0009006081737799914
4650,141,4650,0.000900598191783944
4660,138,4660,0.0009005682457946057
4670,137,4670,0.0009005582637977605
4680,137,4680,0.0009005582637977605
4690,137,4690,0.0009005582637977605
4700,135,4700,0.0009005382998034722
