Time,A,B,C
0,100000,10000,0
10,99897,9897,103
20,99799,9799,201
30,99708,9708,292
40,99637,9637,363
50,99581,9581,419
60,99531,9531,469
70,99483,9483,517
80,99435,9435,565
90,99419,9419,581
100,99385,9385,615
110,99354,9354,646
120,99311,9311,689
130,99288,9288,712
140,99251,9251,749
150,99213,9213,787
160,99207,9207,793
170,99203,9203,797
180,99193,9193,807
190,99166,9166,834
200,99158,9158,842
210,99128,9128,872
220,99097,9097,903
230,99098,9098,902
240,99084,9084,916
250,99091,9091,909
260,99075,9075,925
270,99073,9073,927
280,99063,9063,937
290,99050,9050,950
300,99055,9055,945
310,99064,9064,936
320,99100,9100,900
330,99104,9104,896
340,99132,9132,868
350,99152,9152,848
360,99136,9136,864
370,99128,9128,872
380,99125,9125,875
390,99121,9121,879
400,99121,9121,879
410,99132,9132,868
420,99117,9117,883
430,99116,9116,884
440,99104,9104,896
450,99123,9123,877
460,99132,9132,868
470,99110,9110,890
480,99106,9106,894
490,99100,9100,900
500,99104,9104,896
510,99123,9123,877
520,99106,9106,894
530,99131,9131,869
540,99137,9137,863
550,99117,9117,883
560,99121,9121,879
570,99122,9122,878
580,99131,9131,869
590,99101,9101,899
600,99105,9105,895
610,99077,9077,923
620,99076,9076,924
630,99072,9072,928
640,99054,9054,946
650,99056,9056,944
660,99059,9059,941
670,99057,9057,943
680,99045,9045,955
690,99057,9057,943
700,99035,9035,965
710,99043,9043,957
720,99028,9028,972
730,99025,9025,975
740,99035,9035,965
750,99059,9059,941
760,99043,9043,957
770,99041,9041,959
780,99051,9051,949
790,99055,9055,945
800,99041,9041,959
810,99047,9047,953
820,99057,9057,943
830,99065,9065,935
840,99077,9077,923
850,99084,9084,916
860,99079,9079,921
870,99080,9080,920
880,99105,9105,895
890,99103,9103,897
900,99115,9115,885
910,99090,9090,910
920,99092,9092,908
930,99089,9089,911
940,99085,9085,915
950,99113,9113,887
960,99124,9124,876
970,99104,9104,896
980,99109,9109,891
990,99099,9099,901
1000,99095,9095,905
1010,99108,9108,892
1020,99093,9093,907
1030,99082,9082,918
1040,99098,9098,902
1050,99097,9097,903
1060,99106,9106,894
1070,99109,9109,891
1080,99123,9123,877
1090,99116,9116,884
1100,99121,9121,879
1110,99136,9136,864
1120,99145,9145,855
1130,99153,9153,847
1140,99144,9144,856
1150,99138,9138,862
1160,99132,9132,868
1170,99135,9135,865
1180,99127,9127,873
1190,99110,9110,890
1200,99111,9111,889
1210,99122,9122,878
1220,99115,9115,885
1230,99103,9103,897
1240,99100,9100,900
1250,99112,9112,888
1260,99103,9103,897
1270,99093,9093,907
1280,99076,9076,924
1290,99070,9070,930
1300,99052,9052,948
1310,99054,9054,946
1320,99056,9056,944
1330,99069,9069,931
1340,99055,9055,945
1350,99041,9041,959
1360,99029,9029,971
1370,99042,9042,958
1380,99034,9034,966
1390,99031,9031,969
1400,99026,9026,974
1410,99042,9042,958
1420,99064,9064,936
1430,99072,9072,928
1440,99072,9072,928
1450,99059,9059,941
1460,99101,9101,899
1470,99096,9096,904
1480,99105,9105,895
1490,99093,9093,907
1500,99100,9100,900
1510,99090,9090,910
1520,99086,9086,914
1530,99060,9060,940
1540,99040,9040,960
1550,99065,9065,935
1560,99040,9040,960
1570,99053,9053,947
1580,99043,9043,957
1590,99038,9038,962
1600,99037,9037,963
1610,99028,9028,972
1620,99041,9041,959
1630,99045,9045,955
1640,99065,9065,935
1650,99070,9070,930
1660,99070,9070,930
1670,99074,9074,926
1680,99068,9068,932
1690,99071,9071,929
1700,99085,9085,915
1710,99094,9094,906
1720,99072,9072,928
1730,99092,9092,908
1740,99078,9078,922
1750,99085,9085,915
1760,99096,9096,904
1770,99095,9095,905
1780,99093,9093,907
1790,99100,9100,900
1800,99113,9113,887
1810,99110,9110,890
1820,99101,9101,899
1830,99106,9106,894
1840,99095,9095,905
1850,99067,9067,933
1860,99058,9058,942
1870,99078,9078,922
1880,99088,9088,912
1890,99087,9087,913
1900,99083,9083,917
1910,99071,9071,929
1920,99064,9064,936
1930,99076,9076,924
1940,99087,9087,913
1950,99099,9099,901
1960,99068,9068,932
1970,99082,9082,918
1980,99078,9078,922
1990,99094,9094,906
2000,99080,9080,920
2010,99076,9076,924
2020,99060,9060,940
2030,99058,9058,942
2040,99065,9065,935
2050,99075,9075,925
2060,99078,9078,922
2070,99083,9083,917
2080,99083,9083,917
2090,99094,9094,906
2100,99072,9072,928
2110,99074,9074,926
2120,99061,9061,939
2130,99055,9055,945
2140,99063,9063,937
2150,99083,9083,917
2160,99109,9109,891
2170,99090,9090,910
2180,99112,9112,888
2190,99093,9093,907
2200,99085,9085,915
2210,99098,9098,902
2220,99084,9084,916
2230,99067,9067,933
2240,99095,9095,905
2250,99110,9110,890
2260,99106,9106,894
2270,99090,9090,910
2280,99110,9110,890
2290,99116,9116,884
2300,99124,9124,876
2310,99129,9129,871
2320,99130,9130,870
2330,99110,9110,890
2340,99100,9100,900
2350,99092,9092,908
2360,99083,9083,917
2370,99096,9096,904
2380,99069,9069,931
2390,99077,9077,923
2400,99081,9081,919
2410,99081,9081,919
2420,99093,9093,907
2430,99084,9084,916
2440,99077,9077,923
2450,99070,9070,930
2460,99084,9084,916
2470,99091,9091,909
2480,99097,9097,903
2490,99089,9089,911
2500,99099,9099,901
2510,99084,9084,916
2520,99062,9062,938
2530,99066,9066,934
2540,99076,9076,924
2550,99084,9084,916
2560,99076,9076,924
2570,99074,9074,926
2580,99077,9077,923
2590,99077,9077,923
2600,99078,9078,922
2610,99070,9070,930
2620,99081,9081,919
