Time\ information,r2_1_100,r1_2_200,Time\ infoAddUp,r2_1_100,r1_2_200,Time\ entropy,r2_1_100,r1_2_200
0,8.08324907471974,0.0,0,8.08324907471974,0.0,0,3.6939153784163583,0.0
10,3.4207258986894837,1.435950839229721,10,43.663494850400646,7.7985151435697295,10,3.6856313002824876,1.895251812402276
20,3.882388361676176,1.8835684700154527,20,83.73803060576259,17.6699680861096,20,3.6775135335935736,2.501839016584843
30,3.802180472569384,2.590752415845845,30,127.34766433009821,34.64572898211739,30,3.669983180242014,2.7676566580188124
40,2.9511570909841485,5.742479632882895,40,163.72076824581794,63.28402044701109,40,3.664730697991705,2.9218556077622497
50,5.327087664997769,3.131578615938761,50,199.29746115169635,91.36876491755739,50,3.659361528353943,3.0394495951262113
60,3.261734778434184,2.6380759044827364,60,240.5710489234887,121.22520418066694,60,3.6553968957742837,3.117979908877476
70,3.2409257962900697,3.7457957617497595,70,276.38548057718134,149.62885635233897,70,3.6510738666710276,3.201705028780949
80,4.661297033621341,3.4957564644010137,80,316.646730620875,181.89092675184168,80,3.6476678232559325,3.2582631885571995
90,3.2153363039204503,2.901122935499307,90,351.10643725328043,217.74574369827909,90,3.6456176308960675,3.2881264861333954
100,3.2701276387641753,3.7972027168453977,100,388.5053869524269,248.0570677423685,100,3.64347674321109,3.321657108850696
110,2.9297223486375183,2.7742094535969786,110,421.23939668454244,280.2939784461323,110,3.640040063648387,3.3686035647717327
120,3.5796672356588806,3.9314795770703337,120,461.85673904945907,316.49140619724216,120,3.637194296045836,3.406217344419018
130,3.0452057616038175,3.031441507206694,130,500.3433367031275,347.8474927429389,130,3.634338955024938,3.440925852123314
140,3.697064715958029,2.757129338248799,140,537.0524442886906,378.671006581516,140,3.631734824147497,3.468123399090109
150,4.132459802646774,2.8008808713638116,150,577.4105201658627,414.107383405211,150,3.628424734442511,3.504733182105925
160,2.9446645960750817,3.3530009781311634,160,612.7196248154708,451.07709186746814,160,3.627289360764183,3.5177634531745925
170,3.0563934048285186,2.9927582800704604,170,648.9735502920986,482.33482886012916,170,3.627464132700538,3.514064603485713
180,3.5102769392057893,2.844638637459279,180,683.6246205976388,514.5844113691794,180,3.6260649465446098,3.528746966352986
190,2.9368972626822667,4.387133015085544,190,717.468315104346,548.7781613098492,190,3.6236985655741845,3.554616594729648
200,4.262434449563047,3.642110866048279,200,751.6339443005929,585.3338184595245,200,3.623435225644209,3.554616594729648
210,3.352513881569662,3.449889027403606,210,785.7804678048069,622.904727697701,210,3.620356857215572,3.589670392313072
220,4.307562245354003,4.095376771002918,220,834.3801199688546,660.0520678507153,220,3.617620917308409,3.6166927119365098
230,2.9233726131032842,2.917221952265938,230,868.4731304847456,700.1142178608347,230,3.618504445893365,3.6053525353605527
240,2.9241136086823216,3.338075116449109,240,901.7778674487406,738.4954187535582,240,3.617444100765455,3.6166927119365098
250,3.7759668197640943,2.9168870509634686,250,934.7710231694887,772.2745751872463,250,3.617886072820124,3.61104498668251
260,3.448225357246165,4.177932400770359,260,970.3632318527194,810.290678166442,260,3.6156738986227785,3.6286476102429286
270,3.790044285933799,2.9729615146514026,270,1011.5089105328926,846.6267573263772,270,3.615496674368338,3.6349431962537317
280,3.084951176427702,6.356348077542368,280,1044.4675835654443,883.3355461420813,280,3.614876096689469,3.6333744598873703
290,2.918462339739315,3.5984896359377148,290,1078.814140100925,917.6078381693497,290,3.614521276184988,3.6435106006339284
300,5.721178244395645,5.19862834439309,300,1117.126253565497,958.6621731143522,300,3.614255063011225,3.6396289749080037
310,3.086324163298308,3.592521674382683,310,1151.9342779495787,990.5392369798925,310,3.6152307682962252,3.632588806394856
320,4.297207884212623,3.8223700477037257,320,1187.270331371061,1032.8085185963746,320,3.6189458642973498,3.6037178056533468
330,2.9233645252917517,2.9169825247230774,330,1223.0739358659594,1069.3268010196468,330,3.6182394842249344,3.607797679676937
340,4.070568252927005,6.067075189456504,340,1259.2159322116413,1110.1225841952487,340,3.6207092380462527,3.581277084501812
350,3.1150063258942833,2.9405360920996597,350,1293.682796508805,1143.5422051901487,350,3.622468944407761,3.5659175105222665
360,3.065725785697259,4.626337003969075,360,1331.6446798751574,1181.3175953450257,360,3.622205221601859,3.5736383475242355
370,6.474125782747485,3.026991783674582,370,1370.0206976059114,1211.4831801999842,370,3.620356857215572,3.5938305647204896
380,3.480070776051451,3.4803095121193754,380,1407.5991424098033,1244.394521060689,380,3.6210614721817986,3.582963608183301
390,2.9286962885781875,2.8865506243772674,390,1442.8115900721684,1281.4103236875426,390,3.6197398373793677,3.5930004547680197
400,6.472923134666763,2.8766926420783134,400,1478.459172735103,1316.1264500675366,400,3.6204449661831344,3.5863248254287483
410,2.93066950436995,6.929288693068896,410,1516.10002516102,1357.0084742580116,410,3.6207092380462527,3.5838053877747678
420,3.071001088337075,3.096695366172793,420,1549.3750135823518,1390.7075355477077,420,3.619387052455523,3.597966791840516
430,3.071169301590238,3.0448873595305668,430,1586.1096917315406,1425.6492485976578,430,3.6192988332311002,3.5987911881719206
440,3.0713377189140134,3.4032554424852695,440,1624.414731481126,1459.3767720302521,440,3.6192106048051493,3.600437149244848
450,3.354209886277458,3.4315468506166145,450,1660.8045898610374,1497.7928066437835,450,3.61991617468597,3.5938305647204896
460,3.108623042661892,7.226667267979931,460,1700.0569296261378,1535.29100734372,460,3.6208853734426736,3.577043372909671
470,3.100188117807492,3.9741589894809435,470,1736.1861791567153,1570.8522751644846,470,3.6187693245797927,3.6012587183278106
480,3.0728626643094126,4.345941824768308,480,1774.9203854408902,1610.65299689185,480,3.6184161345602193,3.6069835554531515
490,2.926566990627125,2.9174620203391886,490,1807.9908045617872,1644.8952689290754,490,3.618681040901075,3.6037178056533468
500,4.057322875360953,2.9181365322672432,500,1848.1851100745332,1682.7794489268178,500,3.619034120340346,3.600437149244848
510,4.064288894441273,2.8802773909138972,510,1881.0580425373605,1718.1436752941336,510,3.61991617468597,3.5888354597974064
520,6.077139777581024,3.837465251038961,520,1918.2564717626287,1754.6315032524337,520,3.6184161345602193,3.6012587183278106
530,4.069870081794317,3.2973917928809193,530,1950.6464603670795,1795.2766757303937,530,3.6206211565964064,3.5821208412034613
540,2.9236103351272176,2.9574965480169317,540,1985.8071379395108,1826.1909459727178,540,3.621765500894875,3.572784563408653
550,3.4758659206188516,3.449889027403606,550,2021.892148322964,1859.7992047405014,550,3.620356857215572,3.589670392313072
560,2.9301293308634104,2.8766926420783134,560,2059.3591376418267,1891.4760193375037,560,3.6204449661831344,3.5863248254287483
570,4.069172026775887,2.8755277956457848,570,2097.6290661871717,1928.3703984281542,570,3.620533065976052,3.585485994084759
580,3.477441739642214,2.989818990970628,580,2142.768616179892,1965.7735127129313,580,3.6206211565964064,3.582963608183301
590,2.9233756827632096,3.0601504375076987,590,2180.734131718001,1998.2650043151375,590,3.618592748006293,3.6028990443838578
600,4.302032715491292,3.4541866684253337,600,2220.8123440275863,2035.93975355611,600,3.61832781400477,3.6102345342423896
610,3.453411664891429,2.9423826729150613,610,2256.816676685709,2073.179228933145,610,3.6165594630021927,3.6222964121672256
620,2.923353648190175,2.9441927125730145,620,2289.3487212494497,2110.187945745135,620,3.61647094829656,3.6230933870105875
630,3.7863777287534175,2.9515687913065536,630,2330.017726638735,2143.015180757367,630,3.616116796770549,3.6262724809384106
640,2.918125800276707,3.643839326460194,640,2365.9315835366015,2179.71382753116,640,3.6143438100538905,3.6404069780312414
650,4.328445061016461,3.2596025603906815,650,2398.3662137047177,2215.8879991911535,650,3.6149647785450476,3.6388501291447013
660,7.475171098529815,4.259603678783177,660,2438.9282310838803,2251.4298769641387,660,3.6146987050578834,3.6365085176237777
670,4.979520862924614,3.7014111454207708,670,2476.436977349361,2289.581461903949,670,3.614077540961117,3.648909917272277
680,3.083636337168957,4.545388178244073,680,2515.3029039727007,2324.4863908011985,680,3.6130116247569863,3.655031334319962
690,3.3739367064751735,2.9260969634110072,690,2547.4463241330745,2358.750473986046,690,3.614876096689469,3.638070438905294
700,3.4322336176158528,2.9412097290531927,700,2580.375790999779,2398.0824857220605,700,3.6129227376785322,3.655031334319962
710,3.0840025533872923,3.297566036551812,710,2611.9325609492666,2429.965568326046,710,3.6128338412473826,3.6565535824954796
720,3.3874912763734892,3.361009800868805,720,2646.655870407652,2465.661953764809,720,3.611499271009239,3.6686169636820662
730,3.084921715213811,3.9379887731001646,730,2684.4445280029995,2501.7724874544574,730,3.6123892187267685,3.662610561802718
740,4.853561119302045,3.9889948297196884,740,2722.3006833665345,2535.9446054878917,740,3.613278229897428,3.655031334319962
750,3.4399553278700687,3.6490249166974174,750,2761.89633643231,2568.245982036602,750,3.614255063011225,3.6411841403444165
760,3.436348071477387,2.9349101271448794,760,2795.8507885734466,2604.9629547313034,760,3.613633572609141,3.648909917272277
770,2.916786473568714,3.223423955418814,770,2832.153027309316,2638.4029414009337,770,3.613633572609141,3.650445162936574
780,2.9234396910292464,2.9295255568277407,780,2867.2816574738395,2670.841746781194,780,3.6143438100538905,3.6427359498306866
790,3.0803775800854543,2.985305301695421,790,2905.5294642345066,2708.1415922149317,790,3.6146099952776574,3.6396289749080037
800,3.802705145206146,3.015920182227652,800,2944.274833167492,2743.229357508411,800,3.613367079586347,3.650445162936574
810,4.864781989951199,4.6275921841924,810,2980.770015820631,2777.4991015684527,810,3.614432547777769,3.6458295589407324
820,2.918462339739315,4.272966404624001,820,3021.0022582254337,2815.358982526674,820,3.614521276184988,3.638070438905294
830,5.714882576043817,3.0178814312485898,830,3060.9226171016535,2848.72847043183,830,3.6147874055277853,3.6435106006339284
840,3.4523733255063997,3.527297083000007,840,3095.0288817188175,2887.659907119855,840,3.6163824243226808,3.6222964121672256
850,2.923353648190175,3.14451052738055,850,3126.5123961363347,2920.2131816647143,850,3.61647094829656,3.623889479350397
860,3.0775369766216985,5.496762030977071,860,3159.8154949872255,2957.5306415034065,860,3.6160282357026845,3.6286476102429286
870,3.3690244814159516,4.177932400770359,870,3195.7677809352017,2991.1546188288507,870,3.616116796770549,3.6286476102429286
880,3.7733791007425825,2.9152990540602763,880,3233.186037419448,3026.596845067653,880,3.61832781400477,3.609423166981892
890,2.9267435022256714,3.054007270366927,890,3268.5554618953684,3060.8587166834604,890,3.6187693245797927,3.6012587183278106
900,3.071169301590238,9.558756829511353,900,3302.3400628949607,3104.7030285572,900,3.6192988332311002,3.59133735255394
910,2.9233581199566077,3.356810510711548,910,3343.649642123715,3140.4581069476667,910,3.61797443951832,3.611854526374071
920,3.4570500926673957,2.9171241586892096,920,3375.817923719157,3172.7641216912457,920,3.617178806606545,3.615083598843632
930,3.776485083086809,3.065735238505128,930,3413.403219164407,3209.069418057362,930,3.6177976968871337,3.6126631553817927
940,3.0914946088879143,3.0496303552491963,940,3452.037798479409,3243.0893717044337,940,3.6165594630021927,3.6214985528514285
950,4.060804430382195,3.911657400276928,950,3486.820007168391,3284.136686737733,950,3.6194752624804916,3.5930004547680197
960,3.105097901122596,3.0124331327886416,960,3520.6516654779184,3318.8086781418247,960,3.620004329557687,3.589670392313072
970,2.927628597218733,3.4032554424852695,970,3554.228213622641,3353.6722009770556,970,3.6192106048051493,3.600437149244848
980,2.9233789392270966,3.4161608137399426,980,3593.0088396392366,3394.0061999978147,980,3.618681040901075,3.6037178056533468
990,4.93344665610977,3.3862244890549045,990,3629.951425780202,3430.3282608105205,990,3.6187693245797927,3.6045356352690208
1000,3.094960614352193,3.1012975967855985,1000,3664.1749913501694,3461.9017635058035,1000,3.617444100765455,3.613470875763354
1010,2.9274512400553134,3.3788227537475723,1010,3699.631389896741,3498.496945692037,1010,3.619122367175586,3.5971414487388937
1020,2.9233600680690115,2.916902939762865,1020,3747.7866602610106,3531.1935414935638,1020,3.6180627969837915,3.609423166981892
1030,3.09045777565363,3.537220466837257,1030,3782.723549256349,3570.539926419899,1030,3.6162938910784463,3.623889479350397
1040,3.4601739899792396,3.4541866684253337,1040,3816.261401298345,3609.013797745439,1040,3.617709311717256,3.6102345342423896
1050,3.072352510478459,3.807469586290613,1050,3851.549259763099,3647.3176691920867,1050,3.618681040901075,3.60616850805026
1060,6.090683651493505,4.412417571584274,1060,3891.0324348073545,3685.4845378163936,1060,3.6195634633080744,3.5987911881719206
1070,3.102639299432474,2.891835569381049,1070,3925.7187670949997,3719.997647828899,1070,3.619387052455523,3.5963151566773264
1080,5.654569702923279,2.91907215365485,1080,3963.1556737721126,3752.9412392531763,1080,3.61991617468597,3.5971414487388937
1090,3.4737666998229697,2.8827420561490023,1090,3997.7212070707333,3790.1089538716515,1090,3.620004329557687,3.590504355811906
1100,2.9297700581153614,3.3196475088776314,1100,4031.5393512374194,3825.7134533700782,1100,3.620268739071312,3.5863248254287483
1110,2.931392094620378,5.271810954725627,1110,4069.358770585135,3864.850812455468,1110,3.6210614721817986,3.5804323357365804
1120,3.06637381529453,3.1567179885362204,1120,4100.63459809089,3897.5053300863865,1120,3.621853463315556,3.574491118117713
1130,9.918579085927028,3.203311245644728,1130,4143.36964389496,3928.9951185149675,1130,3.623435225644209,3.558984170352388
1140,3.066536330021345,4.005175955921205,1140,4176.344538844599,3965.154622518931,1140,3.621765500894875,3.575342877607849
1150,3.481123325063669,7.226667267979931,1150,4213.536050963324,4005.577831294951,1150,3.6212375342801213,3.577043372909671
1160,3.0685023520878847,3.937676397216009,1160,4250.573195054567,4042.526068245614,1160,3.6207092380462527,3.585485994084759
1170,2.9235290628927433,2.926577655311971,1170,4290.278676439562,4087.235174790511,1170,3.6209734273933676,3.5821208412034613
1180,4.286911329638562,5.866721554812577,1180,4326.397304234799,4125.2901036316325,1180,3.620268739071312,3.5921693847912612
1190,3.103692077825571,3.1024246916786304,1190,4358.234873635515,4157.477623221405,1190,3.61965165494034,3.5954879134584226
1200,4.294456491053499,3.924084698091091,1200,4396.176138167501,4192.1354614463535,1200,3.6192988332311002,3.594659716877087
1210,3.4727178917936397,4.70866101003214,1210,4432.1832028726185,4228.669129782923,1210,3.619828010627221,3.590504355811906
1220,4.295143954140557,3.0570725501247717,1220,4466.538930583807,4261.92038200639,1220,3.6192106048051493,3.6020793493235055
1230,2.9255114754065086,4.024809647794997,1230,4505.178729920509,4298.910605962863,1230,3.6181511452186395,3.607797679676937
1240,3.0738884932367894,7.458115296571209,1240,4539.69546297346,4338.485190184707,1240,3.617886072820124,3.611854526374071
1250,3.769766358997085,3.0632409043889557,1250,4577.621402163998,4378.211608946863,1250,3.6189458642973498,3.6037178056533468
1260,2.9234166479016213,5.820013224160089,1260,4612.610960038577,4416.741397711824,1260,3.6194752624804916,3.6012587183278106
1270,3.3613935882446704,2.916902939762865,1270,4651.577490308585,4449.285028893283,1270,3.6180627969837915,3.609423166981892
1280,3.3676290265889643,2.9441927125730145,1280,4686.198736868734,4486.136140530157,1280,3.61647094829656,3.6230933870105875
1290,3.7916192839071163,2.9255768913993734,1290,4720.0059903198135,4521.258678889232,1290,3.6152307682962252,3.6372899023477068
1300,3.0801649869904453,4.35382226057696,1300,4751.757047056629,4559.399011300577,1300,3.613633572609141,3.6473713873226306
1310,3.372880399202317,5.363599334018222,1310,4783.442856274885,4598.9572836594625,1310,3.615142114346318,3.6404069780312414
1320,2.9174547701962212,3.6750980103741306,1320,4818.850369964942,4635.304924739386,1320,3.613988765949436,3.6450574033915895
1330,7.468191750973858,2.9289175943067827,1330,4858.963396956193,4669.484552009407,1330,3.615142114346318,3.6419604636715506
1340,3.0818176586106043,3.6908572478545323,1340,4894.794464001564,4700.008051905331,1340,3.6138999816105164,3.6473713873226306
1350,4.993582847240786,3.0013041388850863,1350,4932.8152672758815,4737.868717546993,1350,3.612656020318494,3.6611010919379834
1360,4.355231653409389,3.171786354290299,1360,4972.881300569433,4775.731850078977,1360,3.6115883079863567,3.669364249816519
1370,3.0841859718136964,3.9734807959022507,1370,5007.039798664778,4820.638301622531,1370,3.6127449354614125,3.6573135001407
