Time\ number,r2_1_100,r1_2_200,Time\ Probability,r2_1_100,r1_2_200
0,10000,0.0,0,0.0009990009990009992,0.009900990099009901
10,9898,103.0,10,0.0009979830349077876,0.009900990099009901
20,9799,214.0,20,0.000996995008951017,0.009900990099009901
30,9708,298.0,30,0.0009960868217517677,0.009900990099009901
40,9645,363.0,40,0.0009954580758003689,0.009900990099009901
50,9581,423.0,50,0.0009948193489441278,0.009900990099009901
60,9534,469.0,60,0.0009943502833889316,0.009900990099009901
70,9483,524.0,70,0.000993841296862642,0.009900990099009901
80,9443,565.0,80,0.000993442091381068,0.009900990099009901
90,9419,588.0,90,0.0009932025679389809,0.009900990099009901
100,9394,615.0,100,0.0009929530642313379,0.009900990099009901
110,9354,655.0,110,0.000992553858039883,0.009900990099009901
120,9321,689.0,120,0.0009922245126917494,0.009900990099009901
130,9288,722.0,130,0.0009918951671264635,0.009900990099009901
140,9258,749.0,140,0.0009915957618786746,0.009900990099009901
150,9220,787.0,150,0.000991216514973843,0.009900990099009901
160,9207,801.0,160,0.000991086772545561,0.009900990099009901
170,9209,797.0,170,0.000991106732921336,0.009900990099009901
180,9193,813.0,180,0.0009909470498927998,0.009900990099009901
190,9166,842.0,190,0.0009906775846663897,0.009900990099009901
200,9163,842.0,200,0.0009906476440767044,0.009900990099009901
210,9128,883.0,210,0.0009902983370644347,0.009900990099009901
220,9097,916.0,220,0.000989988950649575,0.009900990099009901
230,9107,902.0,230,0.0009900887527398224,0.009900990099009901
240,9095,916.0,240,0.0009899689902291323,0.009900990099009901
250,9100,909.0,250,0.0009900188912787427,0.009900990099009901
260,9075,931.0,260,0.0009897693859808397,0.009900990099009901
270,9073,939.0,270,0.0009897494255516233,0.009900990099009901
280,9066,937.0,280,0.000989679564043085,0.009900990099009901
290,9062,950.0,290,0.0009896396431766763,0.009900990099009901
300,9059,945.0,300,0.000989609702524776,0.009900990099009901
310,9070,936.0,310,0.0009897194849063033,0.009900990099009901
320,9112,900.0,320,0.0009901386537774681,0.009900990099009901
330,9104,905.0,330,0.0009900588121148418,0.009900990099009901
340,9132,873.0,340,0.0009903382578782,0.009900990099009901
350,9152,855.0,350,0.00099053786189917,0.009900990099009901
360,9149,864.0,360,0.000990507921301109,0.009900990099009901
370,9128,888.0,370,0.0009902983370644347,0.009900990099009901
380,9136,875.0,380,0.000990378178688775,0.009900990099009901
390,9121,887.0,390,0.0009902284756326681,0.009900990099009901
400,9129,879.0,400,0.0009903083172681753,0.009900990099009901
410,9132,876.0,410,0.0009903382578782,0.009900990099009901
420,9117,893.0,420,0.0009901885548101287,0.009900990099009901
430,9116,894.0,430,0.0009901785746039954,0.009900990099009901
440,9115,896.0,440,0.0009901685943976626,0.009900990099009901
450,9123,888.0,450,0.0009902484360427416,0.009900990099009901
460,9134,868.0,460,0.0009903582182838866,0.009900990099009901
470,9110,897.0,470,0.000990118693363008,0.009900990099009901
480,9106,904.0,480,0.0009900787725316948,0.009900990099009901
490,9109,900.0,490,0.0009901087131554786,0.009900990099009901
500,9113,896.0,500,0.000990148633984399,0.009900990099009901
510,9123,882.0,510,0.0009902484360427416,0.009900990099009901
520,9106,897.0,520,0.0009900787725316948,0.009900990099009901
530,9131,874.0,530,0.0009903282776750578,0.009900990099009901
540,9144,863.0,540,0.0009904580203003537,0.009900990099009901
550,9128,883.0,550,0.0009902983370644347,0.009900990099009901
560,9129,879.0,560,0.0009903083172681753,0.009900990099009901
570,9130,878.0,570,0.0009903182974717165,0.009900990099009901
580,9131,875.0,580,0.0009903282776750578,0.009900990099009901
590,9108,899.0,590,0.0009900987329477503,0.009900990099009901
600,9105,908.0,600,0.000990068792323368,0.009900990099009901
610,9085,923.0,610,0.0009898691881149563,0.009900990099009901
