Time,rna,mRNA,amino,protain,stimulus,DNA,DNA_d,ribosome
0,100000,0,100000,0,100,1,0,100
100,99900,10,100000,0,99,1,0,100
200,99840,15,100000,0,97,1,0,100
300,99690,29,100000,0,97,1,0,100
400,99580,40,100000,0,96,1,0,100
500,99460,52,100000,0,93,1,0,100
600,99430,55,99990,1,93,1,0,100
700,99360,60,99990,1,91,1,0,100
800,99300,63,99970,3,91,1,0,100
900,99220,69,99970,3,90,1,0,100
1000,99110,80,99970,3,89,1,0,100
1100,99060,85,99960,4,89,1,0,100
1200,98960,94,99960,4,87,1,0,100
1300,98910,98,99940,6,87,1,0,100
1400,98860,99,99940,6,87,1,0,100
1500,98750,107,99920,8,87,1,0,100
1600,98670,113,99920,8,87,1,0,100
1700,98590,121,99920,8,87,1,0,100
1800,98500,128,99910,9,87,1,0,100
1900,98410,135,99910,9,85,1,0,100
2000,98320,141,99890,11,85,1,0,100
2100,98220,148,99880,12,85,1,0,100
2200,98150,151,99850,15,82,1,0,100
2300,98000,165,99850,15,82,1,0,100
2400,97910,173,99850,15,82,1,0,100
2500,97820,180,99820,18,80,1,0,100
2600,97770,182,99810,19,80,1,0,100
2700,97730,183,99800,20,80,1,0,100
2800,97670,184,99780,22,77,1,0,100
2900,97600,186,99760,24,77,1,0,100
3000,97570,187,99760,24,76,1,0,100
3100,97560,183,99760,24,76,1,0,100
3200,97480,189,99730,27,76,1,0,100
3300,97460,185,99730,27,74,1,0,100
3400,97420,186,99700,30,74,1,0,100
3500,97350,190,99690,31,74,1,0,100
3600,97300,191,99640,36,74,1,0,100
3700,97190,197,99610,39,73,1,0,100
3800,97140,200,99580,42,73,1,0,100
3900,97050,207,99570,43,73,1,0,100
4000,97030,202,99560,44,72,1,0,100
4100,96930,209,99540,46,71,1,0,100
4200,96890,209,99540,46,70,1,0,100
4300,96800,209,99480,52,70,1,0,100
4400,96740,209,99470,53,69,1,0,100
4500,96710,210,99470,53,66,1,0,100
4600,96680,209,99450,55,66,1,0,100
4700,96650,207,99410,58,66,0,1,100
4800,96650,203,99380,61,65,0,1,100
4900,96650,200,99350,64,63,0,1,100
5000,96650,197,99300,69,62,0,1,100
5100,96650,194,99290,70,62,0,1,100
5200,96650,188,99290,70,62,0,1,100
5300,96650,186,99280,71,60,0,1,100
5400,96650,186,99250,74,60,0,1,100
5500,96650,181,99230,76,59,0,1,100
5600,96650,177,99220,77,56,0,1,100
