Time,pX,pY,pZ,pX*,pY*,amino,Sx,Sy,DNA-Y,DNA-Z,DNA-Z_X*,DNA-Z_X*_Y*,DNA-Y_X*
0,100,0,0,0,0,1000000,100,100,1,1,0,0,0
10,100,0,0,0,0,1000000,100,100,1,1,0,0,0
20,100,0,0,0,0,1000000,100,100,1,1,0,0,0
30,100,0,0,0,0,1000000,100,100,1,1,0,0,0
40,100,0,0,0,0,1000000,100,100,1,1,0,0,0
50,100,0,0,0,0,1000000,100,100,1,1,0,0,0
60,100,0,0,0,0,1000000,100,100,1,1,0,0,0
70,100,0,0,0,0,1000000,100,100,1,1,0,0,0
80,100,0,0,0,0,1000000,100,100,1,1,0,0,0
90,100,0,0,0,0,1000000,100,100,1,1,0,0,0
100,100,0,0,0,0,1000000,100,100,1,1,0,0,0
110,100,0,0,0,0,1000000,100,100,1,1,0,0,0
120,100,0,0,0,0,1000000,100,100,1,1,0,0,0
130,100,0,0,0,0,1000000,100,100,1,1,0,0,0
140,100,0,0,0,0,1000000,100,100,1,1,0,0,0
150,100,0,0,0,0,1000000,100,100,1,1,0,0,0
160,100,0,0,0,0,1000000,100,100,1,1,0,0,0
170,100,0,0,0,0,1000000,100,100,1,1,0,0,0
180,100,0,0,0,0,1000000,100,100,1,1,0,0,0
190,100,0,0,0,0,1000000,100,100,1,1,0,0,0
200,100,0,0,0,0,1000000,100,100,1,1,0,0,0
210,100,0,0,0,0,1000000,100,100,1,1,0,0,0
220,100,0,0,0,0,1000000,100,100,1,1,0,0,0
230,99,0,0,1,0,1000000,99,100,1,1,0,0,0
240,99,0,0,1,0,1000000,99,100,1,1,0,0,0
250,99,0,0,1,0,1000000,99,100,1,1,0,0,0
260,99,0,0,1,0,1000000,99,100,1,1,0,0,0
270,99,0,0,1,0,1000000,99,100,1,1,0,0,0
280,99,0,0,1,0,1000000,99,100,1,1,0,0,0
290,99,0,0,1,0,1000000,99,100,1,1,0,0,0
300,99,0,0,1,0,1000000,99,100,1,1,0,0,0
310,99,0,0,1,0,1000000,99,100,1,1,0,0,0
320,99,0,0,1,0,1000000,99,100,1,1,0,0,0
330,99,0,0,1,0,1000000,99,100,1,1,0,0,0
340,99,0,0,1,0,1000000,99,100,1,1,0,0,0
350,99,0,0,1,0,1000000,99,100,1,1,0,0,0
360,99,0,0,1,0,1000000,99,100,1,1,0,0,0
370,99,0,0,1,0,1000000,99,100,1,1,0,0,0
380,99,0,0,1,0,1000000,99,100,1,1,0,0,0
390,99,0,0,1,0,1000000,99,100,1,1,0,0,0
400,99,0,0,1,0,1000000,99,100,1,1,0,0,0
410,99,0,0,1,0,1000000,99,100,1,1,0,0,0
420,98,0,0,2,0,1000000,98,100,1,1,0,0,0
430,98,0,0,2,0,1000000,98,100,1,1,0,0,0
