,Time\ information,r2_1_100,r1_1_200,r1_1_300,Time\ infoAddUp,r2_1_100,r1_1_200,r1_1_300,Time\ entropy,r2_1_100,r1_1_200,r1_1_300
0,0,2.229217065545678,1.6462224903259335,0.0,0,2.229217065545678,1.6462224903259335,0.0,0,  - ,  - ,  - 
200,200,5.8757551819024005,5.283655390587086,4.60209518148663,200,849.9793863923769,711.6789529016977,570.7194202932925,200,  - ,  - ,  - 
400,400,11.203550044088123,9.205648407345027,8.900343877047414,400,2580.908649090237,2318.543529928382,2055.9600697894675,400,  - ,  - ,  - 
600,600,12.190145820248409,10.92690524834718,9.849297158822662,600,4570.896450654504,4318.199237339102,4026.05249611009,600,  - ,  - ,  - 
800,800,10.0228778569138,9.638880032302161,9.284601786318985,800,6588.802546877692,6314.329057458823,6024.4156131856535,800,  - ,  - ,  - 
1000,1000,9.307028112500944,10.34438732995744,10.845096848951721,1000,8594.66401322798,8339.617935249411,8021.590111435909,1000,  - ,  - ,  - 
1200,1200,9.47355160282164,10.33680886899741,9.637601446221659,1200,10581.450359444229,10334.250348079075,10027.823178125016,1200,  - ,  - ,  - 
1400,1400,9.748908839751408,9.271709641322381,9.544773736321154,1400,12570.056884915017,12353.004634730523,12031.414574094702,1400,  - ,  - ,  - 
1600,1600,9.375392300521755,10.813697627055197,10.553328586591064,1600,14551.525854663101,14365.193485431862,14038.32916001738,1600,  - ,  - ,  - 
1800,1800,17.59256755070183,9.389540941038842,9.473200492752811,1800,16556.250836399417,16358.58047367689,16035.09945082541,1800,  - ,  - ,  - 
2000,2000,9.279362111222259,9.865542179225768,9.286702118487664,2000,18566.03328940358,18366.884069380223,18034.52809491257,2000,  - ,  - ,  - 
