Time,S,I,R
0,10000000,20,0
1,9999999,21,0
2,9999998,22,0
3,9999997,21,2
4,9999994,23,3
5,9999993,23,4
6,9999990,26,4
7,9999989,26,5
8,9999988,24,8
9,9999987,25,8
10,9999986,26,8
11,9999986,26,8
12,9999985,27,8
13,9999985,28,7
14,9999985,26,9
15,9999982,29,9
16,9999980,32,8
17,9999978,32,10
18,9999974,36,10
19,9999970,40,10
20,9999970,41,9
21,9999968,42,10
22,9999967,43,10
23,9999967,42,11
24,9999966,43,11
25,9999964,44,12
26,9999964,44,12
27,9999962,45,13
28,9999961,48,11
29,9999957,51,12
30,9999953,54,13
31,9999949,58,13
32,9999943,64,13
33,9999942,65,13
34,9999936,70,14
35,9999932,73,15
36,9999930,73,17
37,9999930,70,20
38,9999930,69,21
39,9999930,67,23
40,9999928,66,26
41,9999924,68,28
42,9999922,67,31
43,9999919,70,31
44,9999917,68,35
45,9999913,68,39
46,9999912,70,38
47,9999912,71,37
48,9999912,72,36
49,9999910,73,37
50,9999910,77,33
51,9999908,78,34
52,9999907,79,34
53,9999903,81,36
54,9999900,81,39
55,9999895,84,41
56,9999893,86,41
57,9999891,89,40
58,9999887,93,40
59,9999880,98,42
60,9999878,99,43
61,9999876,102,42
62,9999868,107,45
63,9999862,111,47
64,9999856,117,47
65,9999853,118,49
66,9999848,123,49
67,9999842,127,51
68,9999832,135,53
69,9999828,137,55
70,9999817,145,58
71,9999813,145,62
72,9999809,151,60
73,9999803,149,68
74,9999797,154,69
75,9999793,157,70
76,9999790,156,74
77,9999784,158,78
78,9999778,165,77
79,9999773,164,83
80,9999768,168,84
81,9999764,168,88
82,9999759,171,90
83,9999755,174,91
84,9999751,179,90
85,9999746,181,93
86,9999730,190,100
87,9999721,198,101
88,9999713,205,102
89,9999702,212,106
90,9999698,209,113
91,9999685,214,121
92,9999674,224,122
93,9999664,229,127
94,9999654,236,130
95,9999649,235,136
96,9999640,240,140
97,9999638,238,144
98,9999635,238,147
99,9999628,242,150
100,9999622,247,151
101,9999608,258,154
102,9999594,267,159
103,9999590,266,164
104,9999576,276,168
105,9999569,279,172
106,9999562,284,174
107,9999550,292,178
108,9999535,301,184
109,9999522,313,185
110,9999510,319,191
111,9999495,330,195
112,9999483,342,195
113,9999475,347,198
114,9999460,359,201
115,9999447,367,206
116,9999430,379,211
117,9999413,393,214
118,9999401,391,228
119,9999385,396,239
120,9999368,405,247
121,9999353,417,250
122,9999338,434,248
123,9999320,447,253
124,9999293,467,260
125,9999275,479,266
126,9999258,492,270
127,9999240,507,273
128,9999230,521,269
129,9999197,546,277
130,9999169,570,281
131,9999136,592,292
132,9999100,614,306
133,9999076,633,311
134,9999051,650,319
135,9999023,670,327
136,9998994,694,332
137,9998961,723,336
138,9998924,739,357
139,9998904,753,363
140,9998866,780,374
141,9998838,796,386
142,9998795,817,408
143,9998757,851,412
144,9998726,861,433
145,9998680,894,446
146,9998636,929,455
147,9998581,973,466
148,9998533,1010,477
149,9998489,1038,493
150,9998438,1082,500
151,9998393,1126,501
152,9998336,1169,515
153,9998286,1214,520
154,9998223,1251,546
155,9998184,1264,572
156,9998141,1294,585
157,9998082,1328,610
158,9998013,1370,637
159,9997943,1417,660
160,9997877,1464,679
161,9997821,1480,719
162,9997734,1537,749
163,9997665,1581,774
164,9997586,1625,809
165,9997511,1672,837
