,Time\ information,r2_2_100,r1_1_150,r1_1_200,r1_1_300,Time\ infoAddUp,r2_2_100,r1_1_150,r1_1_200,r1_1_300,Time\ entropy,r2_2_100,r1_1_150,r1_1_200,r1_1_300
0,0,3.2606881166758797,0.0,1.7124781946144263,0.0,0,3.2606881166758797,0.0,1.7124781946144263,0.0,0,  - ,  - ,  - ,  - 
200,200,4.527836921020751,3.9667322511718828,4.503975751858995,2.9345047196872507,200,734.1271631244769,507.7270070949388,429.23517603878753,299.0774216518136,200,  - ,  - ,  - ,  - 
400,400,8.025170866723897,7.267081158851593,7.107340266572844,6.207389895924661,400,2137.4521303088177,1735.3877475748607,1574.57041044794,1321.452201996252,400,  - ,  - ,  - ,  - 
600,600,9.446777674932829,9.433052015589675,9.12232906384076,8.863741076045754,600,4069.6869581662645,3599.3246103011093,3344.7604629097427,3014.068439725101,600,  - ,  - ,  - ,  - 
800,800,11.917234932477564,9.148120624690613,9.085196562791106,9.259211073049732,800,6036.719365395846,5546.01584901073,5316.1180020337515,4962.948175043654,800,  - ,  - ,  - ,  - 
1000,1000,9.475784687383072,9.13695719962188,9.036775259961873,10.832500273425772,1000,7993.78494159165,7489.494832408318,7250.556066040918,6913.588905725528,1000,  - ,  - ,  - ,  - 
1200,1200,9.145621441856898,9.058711277242441,9.147298277978878,9.166084353125113,1200,9946.378870879043,9434.745842629945,9200.847708864581,8864.698694010402,1200,  - ,  - ,  - ,  - 
1400,1400,9.20311340433091,9.066589988460375,9.068843385435716,9.159586881295143,1400,11894.07998908174,11400.11230871249,11164.596505472075,10833.579177726271,1400,  - ,  - ,  - ,  - 
1600,1600,9.200899504155878,9.11891990986605,9.183842158397107,9.36230441083371,1600,13871.214886708573,13365.049970332644,13086.95687739506,12800.876465880703,1600,  - ,  - ,  - ,  - 
1800,1800,10.29925899816267,9.186122173603787,9.054960075085988,9.383681598122479,1800,15819.287106428621,15352.449499192015,15038.90832431673,14768.713403918759,1800,  - ,  - ,  - ,  - 
2000,2000,9.462823200900615,9.3638231462439,9.161404079210003,9.999347804718404,2000,17772.62498733032,17333.280625855205,16991.23341426558,16738.68841233378,2000,  - ,  - ,  - ,  - 
