Time,S,E,I,R
0,10000000,0,20,0
1,9999997,3,20,0
2,9999993,7,19,1
3,9999988,12,19,1
4,9999986,14,19,1
5,9999984,16,18,2
6,9999980,20,18,2
7,9999977,23,17,3
8,9999976,25,16,3
9,9999972,28,17,3
10,9999969,30,15,6
11,9999967,31,15,7
12,9999966,32,14,8
13,9999963,34,15,8
14,9999963,34,14,9
15,9999962,36,14,8
16,9999960,38,14,8
17,9999956,42,13,9
18,9999953,45,13,9
19,9999952,46,13,9
20,9999950,49,13,8
21,9999949,48,13,10
22,9999947,50,13,10
23,9999945,50,15,10
24,9999941,53,15,11
25,9999939,55,14,12
26,9999937,56,14,13
27,9999937,57,14,12
28,9999937,57,14,12
29,9999936,59,13,12
30,9999933,62,13,12
31,9999933,61,14,12
32,9999928,65,15,12
33,9999925,67,16,12
34,9999924,68,16,12
35,9999922,69,16,13
36,9999919,72,15,14
37,9999918,73,14,15
38,9999913,78,14,15
39,9999912,78,15,15
40,9999909,81,16,14
41,9999906,84,16,14
42,9999904,84,18,14
43,9999901,86,18,15
44,9999900,85,20,15
45,9999897,89,20,14
46,9999895,90,20,15
47,9999892,92,21,15
48,9999890,94,21,15
49,9999887,97,21,15
50,9999885,98,23,14
51,9999883,100,23,14
52,9999879,104,23,14
53,9999875,109,21,15
54,9999873,111,21,15
55,9999869,112,24,15
56,9999867,113,26,14
57,9999865,113,28,14
58,9999861,115,30,14
59,9999854,122,30,14
60,9999849,127,30,14
61,9999846,130,30,14
62,9999844,131,31,14
63,9999839,134,34,13
64,9999831,140,35,14
65,9999830,142,35,13
66,9999828,142,37,13
67,9999819,151,36,14
68,9999809,158,37,16
69,9999800,165,38,17
70,9999793,171,39,17
71,9999789,172,39,20
72,9999782,178,40,20
73,9999773,182,44,21
74,9999767,185,47,21
75,9999760,191,48,21
76,9999756,192,50,22
77,9999748,197,52,23
78,9999740,202,55,23
79,9999730,212,55,23
80,9999720,221,55,24
81,9999717,223,54,26
82,9999709,230,57,24
83,9999698,241,58,23
84,9999693,242,61,24
85,9999679,252,66,23
86,9999662,268,62,28
87,9999653,276,60,31
88,9999642,286,58,34
89,9999637,291,60,32
90,9999630,295,62,33
91,9999618,301,67,34
92,9999603,316,67,34
93,9999596,319,68,37
94,9999593,319,70,38
95,9999584,325,73,38
96,9999573,336,75,36
97,9999556,351,75,38
98,9999547,355,80,38
99,9999536,365,80,39
100,9999530,367,82,41
101,9999517,379,82,42
102,9999506,389,80,45
103,9999487,406,82,45
104,9999475,415,83,47
105,9999459,427,87,47
106,9999449,437,85,49
107,9999438,445,88,49
108,9999428,452,90,50
109,9999409,468,91,52
110,9999394,479,90,57
111,9999377,496,87,60
112,9999362,505,89,64
113,9999346,521,90,63
114,9999324,540,94,62
115,9999312,549,95,64
116,9999302,552,101,65
117,9999282,567,104,67
118,9999262,584,105,69
119,9999253,586,113,68
120,9999233,600,117,70
121,9999210,617,120,73
122,9999190,626,129,75
