Time,S,S1,S1_sum,E,I,I_d,R
0,10000000,0,0,0,20,0,0
1,10000094,2,98,4,20,0,0
2,10000093,100,100,7,18,2,0
3,10000190,101,199,9,17,3,0
4,10000386,3,397,11,16,3,1
5,10000383,100,400,17,15,4,1
6,10000481,100,500,19,12,6,2
7,10000679,1,699,20,9,7,4
8,10000776,2,798,22,9,7,4
9,10000877,1,899,22,8,8,4
10,10000877,100,900,23,8,8,4
11,10000974,101,999,25,8,8,4
12,10001073,101,1099,26,8,8,4
13,10001170,102,1198,28,8,8,4
14,10001369,2,1398,29,8,8,4
15,10001371,100,1400,29,8,8,4
16,10001469,102,1498,29,6,10,4
17,10001667,4,1696,29,6,10,4
18,10001771,0,1800,29,6,10,4
19,10001868,2,1898,30,6,10,4
20,10001869,100,1900,31,3,12,5
21,10001969,100,2000,31,3,12,5
22,10002168,1,2199,31,3,12,5
23,10002269,0,2300,31,2,13,5
24,10002366,2,2398,32,2,13,5
25,10002466,2,2498,32,2,13,5
26,10002469,100,2500,31,3,13,4
27,10002567,101,2599,32,3,13,4
28,10002766,2,2798,32,3,13,4
29,10002866,0,2900,33,3,14,4
30,10002864,100,2900,34,2,14,6
31,10003063,1,3099,32,4,14,6
32,10003062,100,3100,32,6,14,6
33,10003159,102,3198,33,5,14,7
34,10003260,101,3299,34,5,14,6
35,10003458,2,3498,35,4,15,6
36,10003559,0,3600,36,4,15,6
37,10003559,100,3600,37,4,15,5
38,10003755,2,3798,39,4,15,5
39,10003757,100,3800,39,4,15,5
40,10003856,100,3900,40,4,15,5
41,10004054,2,4098,40,4,15,5
42,10004155,0,4200,41,4,15,5
43,10004253,2,4298,40,5,15,5
44,10004354,1,4399,41,5,15,4
45,10004454,1,4499,39,7,15,4
46,10004454,100,4500,40,7,15,4
47,10004651,1,4699,41,8,15,4
48,10004752,1,4799,40,9,15,3
49,10004848,2,4898,42,9,16,3
50,10004850,100,4900,42,9,16,3
51,10005051,0,5100,42,9,16,2
52,10005050,100,5100,43,7,18,2
53,10005147,102,5198,44,7,18,2
54,10005246,101,5299,46,7,18,2
55,10005345,100,5400,47,8,18,2
56,10005543,0,5600,48,9,18,2
57,10005641,0,5700,50,8,19,2
58,10005739,1,5799,50,9,19,2
59,10005836,2,5898,51,9,19,3
60,10005937,0,6000,52,7,21,3
61,10005936,100,6000,53,7,21,3
62,10006032,101,6099,55,8,21,3
63,10006130,101,6199,55,10,21,3
64,10006228,102,6298,56,8,21,5
65,10006328,100,6400,56,9,22,5
66,10006425,101,6499,57,9,23,5
67,10006624,0,6700,58,10,23,5
68,10006620,100,6700,62,10,23,5
69,10006813,3,6897,64,10,24,6
70,10006914,1,6999,65,10,24,6
71,10007015,0,7100,65,10,24,6
72,10007112,1,7199,67,9,25,6
73,10007209,1,7299,69,10,25,6
74,10007308,0,7400,69,12,25,6
75,10007307,100,7400,69,11,26,7
76,10007406,100,7500,70,9,27,8
77,10007504,102,7598,70,9,27,8
78,10007602,103,7697,71,9,27,8
79,10007803,1,7899,70,11,27,8
80,10007801,100,7900,73,11,27,8
81,10007999,2,8098,72,11,28,8
82,10008102,1,8199,72,10,28,7
83,10008199,1,8299,72,12,28,8
84,10008300,0,8400,72,11,29,8
85,10008397,1,8499,74,10,30,8
86,10008494,1,8599,76,11,30,8
