Time,A,B
0,1000,1000
100,1002,998
200,1003,997
300,1001,999
400,999,1001
500,996,1004
600,993,1007
700,1007,993
800,1007,993
900,1014,986
1000,1016,984
1100,1006,994
1200,1003,997
1300,1000,1000
1400,1004,996
1500,1003,997
1600,1008,992
1700,1011,989
1800,1003,997
1900,1006,994
2000,1005,995
2100,1005,995
2200,1006,994
2300,1008,992
2400,1007,993
2500,1010,990
2600,1014,986
2700,1015,985
2800,1013,987
2900,1009,991
3000,1003,997
3100,1003,997
3200,1000,1000
3300,1000,1000
3400,994,1006
3500,991,1009
3600,985,1015
3700,986,1014
3800,988,1012
3900,990,1010
4000,991,1009
4100,993,1007
4200,993,1007
4300,996,1004
4400,990,1010
4500,991,1009
4600,993,1007
4700,995,1005
4800,998,1002
4900,991,1009
5000,997,1003
5100,997,1003
5200,992,1008
5300,990,1010
5400,991,1009
5500,987,1013
5600,985,1015
5700,985,1015
5800,985,1015
5900,987,1013
6000,985,1015
6100,986,1014
6200,979,1021
6300,993,1007
6400,994,1006
6500,984,1016
6600,986,1014
6700,981,1019
6800,981,1019
6900,983,1017
7000,985,1015
7100,980,1020
7200,977,1023
7300,971,1029
7400,973,1027
7500,969,1031
7600,963,1037
7700,965,1035
7800,967,1033
7900,963,1037
8000,960,1040
8100,962,1038
8200,963,1037
8300,959,1041
8400,955,1045
8500,954,1046
8600,959,1041
8700,963,1037
8800,961,1039
8900,954,1046
9000,955,1045
9100,952,1048
9200,953,1047
9300,950,1050
9400,948,1052
9500,951,1049
9600,946,1054
9700,943,1057
9800,945,1055
9900,948,1052
10000,944,1056
10100,945,1055
10200,946,1054
10300,945,1055
10400,949,1051
10500,949,1051
10600,949,1051
10700,954,1046
10800,950,1050
10900,943,1057
11000,938,1062
11100,948,1052
11200,952,1048
11300,954,1046
11400,957,1043
11500,954,1046
11600,957,1043
11700,952,1048
11800,952,1048
11900,959,1041
12000,955,1045
12100,947,1053
12200,947,1053
12300,950,1050
12400,953,1047
12500,949,1051
12600,958,1042
12700,959,1041
12800,961,1039
12900,959,1041
13000,960,1040
13100,956,1044
13200,954,1046
13300,961,1039
13400,969,1031
13500,965,1035
13600,976,1024
13700,975,1025
13800,980,1020
13900,982,1018
14000,979,1021
14100,983,1017
14200,983,1017
14300,983,1017
14400,973,1027
14500,979,1021
14600,981,1019
14700,984,1016
14800,979,1021
14900,973,1027
15000,975,1025
15100,970,1030
15200,974,1026
15300,978,1022
15400,974,1026
15500,975,1025
15600,973,1027
15700,977,1023
15800,973,1027
15900,973,1027
16000,979,1021
16100,977,1023
16200,979,1021
16300,982,1018
16400,980,1020
16500,985,1015
16600,989,1011
16700,982,1018
16800,978,1022
16900,978,1022
17000,985,1015
17100,986,1014
17200,987,1013
17300,985,1015
17400,985,1015
17500,985,1015
17600,990,1010
17700,1004,996
17800,1002,998
17900,997,1003
18000,995,1005
18100,994,1006
18200,996,1004
18300,988,1012
18400,992,1008
18500,994,1006
18600,996,1004
18700,996,1004
18800,1001,999
18900,1008,992
19000,1005,995
19100,1000,1000
19200,1007,993
19300,1007,993
19400,1005,995
19500,1007,993
19600,1002,998
19700,1003,997
19800,997,1003
19900,994,1006
20000,996,1004
20100,999,1001
20200,1003,997
20300,991,1009
20400,990,1010
20500,988,1012
20600,994,1006
20700,987,1013
20800,989,1011
