Time\ number,r2_1_100,r2_1_200,r1_1_300,r1_1_400,Time\ Probability,r2_1_100,r2_1_200,r1_1_300,r1_1_400
0,1000,1000,1000.0,1000.0,0,9.999000099990002e-05,9.999000099990002e-05,9.99990000099999e-06,9.99990000099999e-06
100,998,998,1002.0,998.0,100,0.0001001899609659112,0.0001001899609659112,9.99990000099999e-06,9.99990000099999e-06
200,997,997,1003.0,997.0,200,0.00010028994091892584,0.00010028994091892584,9.99990000099999e-06,9.99990000099999e-06
300,999,999,1001.0,999.0,300,0.0001000899809929026,0.0001000899809929026,9.99990000099999e-06,9.99990000099999e-06
400,999,999,999.0,1001.0,400,0.0001000899809929026,0.0001000899809929026,9.99990000099999e-06,9.99990000099999e-06
500,996,996,996.0,1004.0,500,0.00010038992085194648,0.00010038992085194648,9.99990000099999e-06,9.99990000099999e-06
600,993,994,994.0,1006.0,600,0.00010068986053104453,0.00010058988065800582,9.99990000099999e-06,9.99990000099999e-06
700,993,993,1007.0,993.0,700,0.00010068986053104453,0.00010068986053104453,9.99990000099999e-06,9.99990000099999e-06
800,993,993,1007.0,993.0,800,0.00010068986053104453,0.00010068986053104453,9.99990000099999e-06,9.99990000099999e-06
900,986,986,1014.0,986.0,900,0.00010138971908248506,0.00010138971908248506,9.99990000099999e-06,9.99990000099999e-06
1000,984,984,1016.0,984.0,1000,0.00010158967848866555,0.00010158967848866555,9.99990000099999e-06,9.99990000099999e-06
1100,994,994,1006.0,994.0,1100,0.00010058988065800582,0.00010058988065800582,9.99990000099999e-06,9.99990000099999e-06
1200,997,997,1003.0,997.0,1200,0.00010028994091892584,0.00010028994091892584,9.99990000099999e-06,9.99990000099999e-06
1300,1000,1000,1000.0,1000.0,1300,9.999000099990002e-05,9.999000099990002e-05,9.99990000099999e-06,9.99990000099999e-06
1400,996,996,1004.0,996.0,1400,0.00010038992085194648,0.00010038992085194648,9.99990000099999e-06,9.99990000099999e-06
1500,997,997,1003.0,997.0,1500,0.00010028994091892584,0.00010028994091892584,9.99990000099999e-06,9.99990000099999e-06
1600,992,992,1008.0,992.0,1600,0.00010078984038408928,0.00010078984038408928,9.99990000099999e-06,9.99990000099999e-06
1700,989,989,1011.0,989.0,1700,0.00010108977982325986,0.00010108977982325986,9.99990000099999e-06,9.99990000099999e-06
1800,997,997,1003.0,997.0,1800,0.00010028994091892584,0.00010028994091892584,9.99990000099999e-06,9.99990000099999e-06
1900,994,994,1006.0,994.0,1900,0.00010058988065800582,0.00010058988065800582,9.99990000099999e-06,9.99990000099999e-06
2000,995,995,1005.0,995.0,2000,0.00010048990076497312,0.00010048990076497312,9.99990000099999e-06,9.99990000099999e-06
