Time,x,y
0,10,0
100,10,0
200,10,0
300,10,0
400,10,0
500,10,0
600,10,0
700,10,0
800,10,0
900,10,0
1000,10,0
1100,10,0
1200,10,0
1300,10,0
1400,10,0
1500,11,0
1600,12,0
1700,12,0
1800,13,0
1900,13,0
2000,13,0
2100,13,0
2200,15,0
2300,15,0
2400,15,0
2500,15,0
2600,15,0
2700,15,0
2800,15,0
2900,15,0
3000,15,0
3100,15,0
3200,15,0
3300,15,0
3400,15,0
3500,15,0
3600,15,0
3700,15,0
3800,15,0
3900,15,0
4000,15,0
4100,15,0
4200,16,0
4300,17,0
4400,17,0
4500,17,0
4600,18,0
4700,18,0
4800,18,0
4900,19,0
5000,19,0
5100,19,0
5200,19,0
5300,19,0
5400,20,0
5500,20,0
5600,20,0
5700,20,0
5800,20,0
5900,21,0
6000,21,0
6100,21,0
6200,21,0
6300,21,0
6400,22,0
6500,22,0
6600,23,0
6700,23,0
6800,23,0
6900,23,0
7000,23,0
7100,23,0
7200,24,0
7300,25,0
7400,26,0
7500,26,0
7600,26,0
7700,26,0
7800,26,0
7900,26,0
8000,26,0
8100,26,0
8200,26,0
8300,26,0
8400,26,0
8500,26,0
8600,26,0
8700,26,0
8800,26,0
8900,26,0
9000,26,0
9100,26,0
9200,27,0
9300,27,0
9400,27,0
9500,27,0
9600,27,0
9700,27,0
9800,27,0
9900,27,0
10000,27,0
10100,27,0
10200,27,0
10300,27,0
10400,27,0
10500,27,0
10600,27,0
10700,27,0
10800,27,0
10900,28,0
11000,29,0
11100,29,0
11200,29,0
11300,29,0
11400,29,0
11500,29,0
11600,29,0
11700,31,0
11800,31,0
11900,31,0
12000,31,0
12100,31,0
12200,33,0
12300,34,0
12400,34,0
12500,36,0
12600,38,0
12700,38,0
12800,38,0
12900,38,0
13000,39,0
13100,40,0
13200,40,0
13300,40,0
13400,40,0
13500,40,0
13600,40,0
13700,40,0
13800,41,0
13900,43,0
14000,43,0
14100,44,0
14200,44,0
14300,44,0
14400,44,0
14500,46,0
14600,47,0
14700,48,0
14800,50,0
14900,51,0
15000,52,0
15100,54,0
15200,54,0
15300,54,0
15400,54,0
15500,56,0
15600,56,0
15700,56,0
15800,56,0
15900,58,0
16000,58,0
16100,59,0
16200,59,0
16300,59,0
