Time,A,B,S
0,10000,1,100000000
10,10019,1,99999981
20,9987,1,100000013
30,10026,2,99999973
40,9930,2,100000069
50,9893,2,100000106
60,9869,1,100000131
70,9883,0,100000118
80,9823,0,100000178
90,9844,0,100000157
100,9889,0,100000112
110,9923,0,100000078
120,9946,0,100000055
130,10028,0,99999973
140,10035,0,99999966
150,9995,0,100000006
160,10038,0,99999963
170,10039,0,99999962
180,10111,0,99999890
190,10119,0,99999882
200,10196,0,99999805
210,10177,0,99999824
220,10113,0,99999888
230,10136,0,99999865
240,10046,0,99999955
250,10036,0,99999965
260,10031,0,99999970
270,10040,0,99999961
280,9938,0,100000063
290,9949,0,100000052
300,9903,0,100000098
310,9981,0,100000020
320,10051,0,99999950
330,10061,0,99999940
340,10063,0,99999938
350,9960,0,100000041
360,10024,0,99999977
370,9916,0,100000085
380,9959,0,100000042
390,9876,0,100000125
400,9861,0,100000140
410,9897,0,100000104
420,9951,0,100000050
430,10005,0,99999996
440,10022,0,99999979
450,10048,0,99999953
460,10023,0,99999978
470,10109,0,99999892
480,10235,0,99999766
490,10300,0,99999701
500,10284,0,99999717
510,10280,0,99999721
520,10156,0,99999845
530,10126,0,99999875
540,10138,0,99999863
550,10166,0,99999835
560,10162,0,99999839
570,10143,0,99999858
580,10122,0,99999879
590,10096,0,99999905
600,10004,0,99999997
610,9956,0,100000045
620,9955,0,100000046
630,9927,0,100000074
640,9986,0,100000015
650,9941,0,100000060
660,9901,0,100000100
670,9922,0,100000079
680,9952,0,100000049
690,9993,0,100000008
700,9917,0,100000084
710,9824,0,100000177
720,9862,0,100000139
730,9838,0,100000163
740,9891,0,100000110
750,9891,0,100000110
760,9941,0,100000060
770,9942,0,100000059
780,9943,0,100000058
790,9979,0,100000022
800,9961,0,100000040
810,9968,0,100000033
820,9882,0,100000119
830,9804,0,100000197
840,9848,0,100000153
850,9807,0,100000194
860,9845,0,100000156
870,9912,0,100000089
880,9852,0,100000149
890,9879,0,100000122
900,9842,0,100000159
910,9832,0,100000169
920,9789,0,100000212
930,9800,0,100000201
940,9768,0,100000233
950,9790,0,100000211
960,9749,0,100000252
970,9764,0,100000237
980,9742,0,100000259
990,9641,0,100000360
1000,9624,0,100000377
1010,9633,0,100000368
1020,9625,0,100000376
1030,9626,0,100000375
1040,9586,0,100000415
1050,9644,0,100000357
1060,9632,0,100000369
1070,9641,0,100000360
1080,9702,0,100000299
1090,9699,0,100000302
1100,9726,0,100000275
1110,9699,0,100000302
1120,9682,0,100000319
1130,9681,0,100000320
1140,9626,0,100000375
1150,9570,0,100000431
1160,9565,0,100000436
1170,9520,0,100000481
1180,9524,0,100000477
1190,9508,0,100000493
1200,9503,0,100000498
1210,9423,0,100000578
1220,9386,0,100000615
1230,9332,0,100000669
1240,9287,0,100000714
1250,9287,0,100000714
1260,9364,0,100000637
1270,9264,0,100000737
1280,9236,0,100000765
1290,9245,0,100000756
1300,9277,0,100000724
1310,9307,0,100000694
1320,9356,0,100000645
1330,9361,0,100000640
1340,9334,0,100000667
1350,9328,0,100000673
1360,9330,0,100000671
1370,9413,0,100000588
1380,9367,0,100000634
1390,9395,0,100000606
1400,9452,0,100000549
1410,9433,0,100000568
1420,9381,0,100000620
1430,9275,0,100000726
1440,9215,0,100000786
1450,9212,0,100000789
1460,9113,0,100000888
1470,9058,0,100000943
1480,9057,0,100000944
1490,9036,0,100000965
1500,8946,0,100001055
1510,8976,0,100001025
1520,8979,0,100001022
1530,8963,0,100001038
1540,8870,0,100001131
1550,8790,0,100001211
1560,8719,0,100001282
1570,8768,0,100001233
1580,8695,0,100001306
1590,8664,0,100001337
1600,8659,0,100001342
1610,8660,0,100001341
1620,8626,0,100001375
1630,8693,0,100001308
1640,8713,0,100001288
1650,8704,0,100001297
1660,8720,0,100001281
1670,8715,0,100001286
1680,8721,0,100001280
1690,8719,0,100001282
1700,8740,0,100001261
1710,8725,0,100001276
1720,8698,0,100001303
1730,8669,0,100001332
1740,8678,0,100001323
1750,8694,0,100001307
1760,8694,0,100001307
1770,8603,0,100001398
1780,8626,0,100001375
1790,8566,0,100001435
1800,8572,0,100001429
1810,8463,0,100001538
1820,8547,0,100001454
1830,8504,0,100001497
1840,8513,0,100001488
1850,8504,0,100001497
1860,8551,0,100001450
1870,8589,0,100001412
1880,8532,0,100001469
1890,8439,0,100001562
1900,8395,0,100001606
1910,8363,0,100001638
1920,8359,0,100001642
1930,8355,0,100001646
1940,8378,0,100001623
1950,8286,0,100001715
1960,8257,0,100001744
1970,8223,0,100001778
1980,8152,0,100001849
1990,8062,0,100001939
2000,8049,0,100001952
2010,8060,0,100001941
2020,8041,0,100001960
2030,8002,0,100001999
2040,8021,0,100001980
2050,8014,0,100001987
2060,7969,0,100002032
2070,8016,0,100001985
2080,8097,0,100001904
2090,8078,0,100001923
2100,8146,0,100001855
2110,8167,0,100001834
2120,8121,0,100001880
2130,8119,0,100001882
2140,8126,0,100001875
2150,8163,0,100001838
2160,8134,0,100001867
2170,8143,0,100001858
2180,8131,0,100001870
2190,8170,0,100001831
2200,8155,0,100001846
2210,8138,0,100001863
2220,8079,0,100001922
2230,8094,0,100001907
2240,8011,0,100001990
2250,8008,0,100001993
2260,8005,0,100001996
2270,8013,0,100001988
2280,8057,0,100001944
2290,8149,0,100001852
2300,8093,0,100001908
2310,8085,0,100001916
2320,8159,0,100001842
2330,8136,0,100001865
2340,8146,0,100001855
2350,8110,0,100001891
