,Name,0,1440,2880,4320,5760,7200,8640,10080,11520,12960,14400
0,virus,500,446,325,415,286,204,446,485,579,497,927
1,cell,100000,99998,99998,99997,99997,99996,99991,99991,99988,99983,99979
2,virusCell,0,1,1,0,0,1,2,0,0,4,1
3,macrophage,5000,4991,4992,2147,2074,3175,4132,2396,2463,2915,2295
4,macrophageActive,0,9,8,2853,2926,1825,868,2604,2537,2085,2705
5,macrophageWithVirus,0,0,0,0,0,0,0,0,0,0,0
6,dendricCell,2000,1907,1848,1804,1769,1776,1756,1705,1663,1641,1574
7,dendricMHC,0,93,152,196,231,224,244,295,337,359,426
8,naiveTh1,11000,11000,11000,10819,10897,10971,10981,10901,10924,10951,10912
9,activeTh1,0,0,0,181,103,29,19,99,76,49,88
10,IFN,0,53,109,82339,52809,15585,8639,50150,38382,25574,45346
11,IL-12,0,1180,2220,800,20,20,720,160,130,130,120
