,Time,virus,cell,virusCell,macrophage,macrophageActive,macrophageWithVirus,dendricCell,dendricMHC,naiveTh1,activeTh1,IFN,IL-12
0,0,500,100000,0,5000,0,0,2000,0,11000,0,0,0
1440,1440,446,99998,1,4991,9,0,1907,93,11000,0,53,1180
2880,2880,325,99998,1,4992,8,0,1848,152,11000,0,109,2220
4320,4320,415,99997,0,2147,2853,0,1804,196,10819,181,82339,800
5760,5760,286,99997,0,2074,2926,0,1769,231,10897,103,52809,20
7200,7200,204,99996,1,3175,1825,0,1776,224,10971,29,15585,20
8640,8640,446,99991,2,4132,868,0,1756,244,10981,19,8639,720
10080,10080,485,99991,0,2396,2604,0,1705,295,10901,99,50150,160
11520,11520,579,99988,0,2463,2537,0,1663,337,10924,76,38382,130
12960,12960,497,99983,4,2915,2085,0,1641,359,10951,49,25574,130
14400,14400,927,99979,1,2295,2705,0,1574,426,10912,88,45346,120
