,Time\ information,r2_1_001,r1_1_002,r2_1_003,rM_004,r1_1_005,r2_1_006,rM_007,r1_2_013,r2_1_014,r2_1_015,r1_1_018,r1_1_019,r1_1_020,r1_0_021,Time\ infoAddUp,r2_1_001,r1_1_002,r2_1_003,rM_004,r1_1_005,r2_1_006,rM_007,r1_2_013,r2_1_014,r2_1_015,r1_1_018,r1_1_019,r1_1_020,r1_0_021,Time\ entropy,r2_1_001,r1_1_002,r2_1_003,rM_004,r1_1_005,r2_1_006,rM_007,r1_2_013,r2_1_014,r2_1_015,r1_1_018,r1_1_019,r1_1_020,r1_0_021
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
1440,1440,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1440,18.47421557658343,8.968668233009899,125.72304283043255,126.98229467181916,72.65750970502027,415.59113376041785,0.0,0.0,130.85823523482688,0.0,118.08516290617149,95.44131491897359,0.0,1507.3227565093587,1440,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
2880,2880,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,2880,18.47421557658343,8.968668233009899,261.2356630259889,238.7985535941755,150.49944398117796,800.1845688205248,0.0,0.0,251.6471264973412,0.0,323.774601247577,229.01255693565685,0.0,2941.194306494233,2880,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
4320,4320,0,0,0,0,0,0,0.0,4.557528430232485,8.709193397918899,0,0,2.648361486104168,0,6.181790011532127,4320,27.87656664283647,28.903120750681886,366.86070995075136,374.89086622245424,206.72229206926178,1133.3650848260868,633.6412411425788,4500.353850140831,3284.059252944685,0.0,518.4459275744579,2201.2429430880206,310.89450005871294,10225.63015680302,4320,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
5760,5760,0,0,0,0,0,0,0.0,4.012612181688136,3.5762615085941714,0,0,2.826422934027506,0,10.799554373729865,5760,27.87656664283647,28.903120750681886,419.3517220394536,433.73700089386097,236.99468016074738,1555.307117638611,1059.2244404305434,11182.5143470124,8099.76014577181,19.475263214198314,828.4212190170388,7057.4337554593285,934.4175243060328,19989.770396335745,5760,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
7200,7200,0,0,0,0,0,0,0.0,3.3708817988434574,2.241084131961169,0,0,2.525575879451177,0,5.07851124055192,7200,37.73292092935159,28.903120750681886,464.4322213977334,447.7510335498774,261.2107014912085,1812.787270771704,1147.2531371326738,16858.76136767559,12304.031238374446,30.359217739632548,1113.1954801717354,11452.644796017306,1295.22739588395,28967.668632949873,7200,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
8640,8640,0,0,0,0,0,0,0.0,2.7942449257226696,0.0,0,0,0.0,0,4.660214776995204,8640,85.79502229464859,64.60931065545307,557.4675061325273,541.3152503496559,311.3771828182682,2195.896415465623,1243.4907469189554,21289.978892640673,14936.900262479465,30.359217739632548,1446.792335845544,14622.551517337479,1448.6099293440648,36564.42156798675,8640,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
10080,10080,0,0,0,0,0,0,3.7548185475345823,5.487312686819686,2.8605404289400136,0,0,2.9590430720997536,0,5.821529342270467,10080,85.79502229464859,83.54520514729896,706.7416696230633,664.5455334153633,397.87241899783817,2654.4350243895415,1779.8667027760764,26997.46131874092,19115.80390218829,40.056942186872476,1769.5393048072945,18312.52838615523,1797.1664931866305,45298.96814571372,10080,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
11520,11520,0,0,0,0,0,0,0.0,3.604406826597269,2.43907574999218,0,0,2.870222637142266,0,7.997178934896188,11520,112.82505086435938,112.44832589798084,828.7959629122142,759.8488644345445,466.62303810725035,3147.935550951256,2149.768558665732,33101.009095793146,23589.861264722407,59.13730611830055,2161.1398600623684,22850.059310870976,2238.481565024159,54490.220026016505,11520,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
12960,12960,0,0,0,0,0,0,0.0,3.154889154160172,4.389576245293552,0,0,2.4169272916142788,0,5.861809898270529,12960,157.28572534387013,120.41987807933855,943.3512035861294,850.3270748612067,528.0303107664719,3566.472552363006,2501.184694381208,38931.04856288302,27968.643322130953,59.13730611830055,2527.220018496353,27308.52013523202,2681.7332198814315,63463.18774759445,12960,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
14400,14400,0,0,0,0,0,0,0.0,3.591983829008435,2.5151572327068497,0,0,3.0582026443444215,0,5.8705496780023205,14400,190.3311944641518,183.03351465731333,1122.6608980763547,1007.6164769731209,639.1660514894174,4107.342544658285,2999.3400005358017,44959.814135201195,32484.583330785063,85.65862289023688,2921.894413092474,31683.27271690388,3083.651877831451,72524.36561112381,14400,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
