Time,virus,cell,virusCell,macrophage,macrophageActive,macrophageWithVirus,dendricCell,dendricMHC,naiveTh1,activeTh1,IFN,IL-12
0,500,100000,0,5000,0,0,2000,0,11000,0,0,0
12,500,100000,0,5000,0,0,2000,0,11000,0,0,0
24,498,100000,0,5000,0,0,1999,1,11000,0,9,10
36,496,100000,0,5000,0,0,1997,3,11000,0,5,10
48,496,100000,0,5000,0,0,1997,3,11000,0,5,10
60,495,100000,0,5000,0,0,1996,4,11000,0,5,10
72,495,100000,0,5000,0,0,1996,4,11000,0,5,10
84,494,100000,0,5000,0,0,1995,5,11000,0,4,10
96,493,100000,0,5000,0,0,1994,6,11000,0,3,10
108,491,100000,0,4999,0,1,1993,7,11000,0,13,20
120,489,100000,0,5000,0,0,1992,8,11000,0,39,50
132,487,100000,0,5000,0,0,1991,9,11000,0,44,60
144,486,100000,0,5000,0,0,1990,10,11000,0,39,60
156,485,100000,0,4999,1,0,1989,11,11000,0,30,60
168,484,100000,0,4999,1,0,1988,12,11000,0,25,60
180,482,100000,0,4999,1,0,1986,14,11000,0,22,60
192,480,100000,0,4999,1,0,1984,16,11000,0,15,60
204,480,100000,0,4999,1,0,1984,16,11000,0,14,60
216,478,100000,0,4998,1,1,1983,17,11000,0,51,100
228,478,100000,0,4999,1,0,1983,17,11000,0,81,140
240,478,100000,0,4999,1,0,1983,17,11000,0,72,140
252,478,100000,0,4999,1,0,1983,17,11000,0,60,140
264,477,100000,0,4999,1,0,1982,18,11000,0,53,140
276,476,100000,0,4999,1,0,1981,19,11000,0,44,140
288,474,100000,0,4999,1,0,1980,20,11000,0,49,150
300,473,100000,0,4999,1,0,1979,21,11000,0,45,150
312,471,100000,0,4999,1,0,1977,23,11000,0,44,150
324,470,100000,0,4999,1,0,1978,22,11000,0,58,170
336,467,100000,0,4998,1,1,1976,24,11000,0,51,170
348,465,100000,0,4999,1,0,1975,25,11000,0,128,260
360,464,100000,0,4999,1,0,1974,26,11000,0,106,260
372,463,100000,0,4998,2,0,1973,27,11000,0,89,260
384,462,100000,0,4997,2,1,1973,27,11000,0,81,260
396,457,100000,0,4997,2,1,1968,32,11000,0,109,300
408,457,100000,0,4998,2,0,1968,32,11000,0,118,330
420,456,100000,0,4998,2,0,1967,33,11000,0,108,330
432,455,100000,0,4998,2,0,1966,34,11000,0,87,330
444,453,100000,0,4998,2,0,1964,36,11000,0,78,330
456,452,100000,0,4998,2,0,1963,37,11000,0,65,330
468,451,100000,0,4998,2,0,1962,38,11000,0,58,330
480,451,100000,0,4998,2,0,1962,38,11000,0,50,330
492,450,100000,0,4997,2,1,1962,38,11000,0,44,330
504,447,100000,0,4998,2,0,1959,41,11000,0,36,330
516,444,100000,0,4998,2,0,1956,44,11000,0,34,330
528,443,100000,0,4998,2,0,1955,45,11000,0,23,330
540,441,100000,0,4998,2,0,1953,47,11000,0,17,330
552,440,100000,0,4998,2,0,1952,48,11000,0,13,330
564,438,100000,0,4997,2,1,1951,49,11000,0,21,340
576,437,100000,0,4996,2,2,1951,49,11000,0,36,360
588,435,100000,0,4996,3,1,1951,49,11000,0,85,420
600,432,100000,0,4996,2,2,1949,51,11000,0,175,520
612,431,100000,0,4997,2,1,1948,52,11000,0,227,590
624,430,100000,0,4996,3,1,1948,52,11000,0,270,660
636,428,100000,0,4996,4,0,1946,54,11000,0,270,690
648,428,100000,0,4995,5,0,1946,54,11000,0,239,690
660,428,100000,0,4995,5,0,1946,54,11000,0,206,690
672,428,100000,0,4994,6,0,1946,54,11000,0,184,690
684,426,100000,0,4993,7,0,1945,55,11000,0,165,690
696,426,100000,0,4992,8,0,1945,55,11000,0,152,690
708,425,100000,0,4992,8,0,1944,56,11000,0,134,690
720,425,100000,0,4992,8,0,1945,55,11000,0,127,690
732,425,100000,0,4992,8,0,1945,55,11000,0,113,690
744,423,100000,0,4992,8,0,1943,57,11000,0,98,690
756,420,100000,0,4992,8,0,1941,59,11000,0,89,700
768,418,100000,0,4991,8,1,1940,60,11000,0,88,710
780,417,100000,0,4991,8,1,1940,60,11000,0,148,780
792,417,100000,0,4992,8,0,1940,60,11000,0,131,790
