Time,x,y,z
0,100,50,10
10,99,50,11
20,98,51,11
30,98,52,10
40,98,52,10
50,96,54,10
60,96,54,10
70,97,54,9
80,96,54,10
90,96,54,10
100,95,55,10
110,95,55,10
120,94,56,10
130,93,57,10
140,92,57,11
150,91,58,11
160,89,61,10
170,89,61,10
180,88,62,10
190,88,62,10
200,86,64,10
210,83,65,12
220,82,66,12
230,81,67,12
240,79,69,12
250,79,69,12
260,78,70,12
270,77,71,12
280,77,71,12
290,77,71,12
300,76,72,12
310,76,71,13
320,75,72,13
330,75,72,13
340,75,72,13
350,74,73,13
360,73,74,13
370,72,75,13
380,72,75,13
390,71,76,13
400,69,78,13
410,69,78,13
420,69,78,13
430,69,78,13
440,69,78,13
450,67,79,14
460,67,79,14
470,65,81,14
480,65,81,14
490,65,81,14
500,64,82,14
510,64,82,14
520,63,83,14
530,62,84,14
540,60,86,14
550,60,86,14
560,60,85,15
570,60,85,15
580,60,86,14
590,58,88,14
600,57,89,14
610,56,90,14
620,56,90,14
630,57,89,14
640,57,89,14
650,55,91,14
660,55,91,14
670,55,91,14
680,55,91,14
690,55,90,15
700,55,90,15
710,55,90,15
720,54,91,15
730,53,92,15
740,53,92,15
750,53,92,15
760,52,93,15
770,52,93,15
780,51,94,15
790,51,94,15
800,51,94,15
810,51,93,16
820,51,93,16
830,51,93,16
840,51,92,17
850,51,91,18
860,52,90,18
870,52,90,18
880,52,91,17
890,52,91,17
900,53,90,17
910,52,90,18
920,51,91,18
930,50,91,19
940,50,91,19
950,50,91,19
960,50,91,19
970,50,91,19
980,50,91,19
990,51,90,19
1000,51,90,19
1010,48,93,19
1020,47,94,19
1030,47,94,19
1040,47,94,19
1050,47,95,18
1060,47,97,16
1070,47,97,16
1080,47,97,16
1090,47,97,16
1100,47,97,16
1110,47,97,16
1120,46,98,16
1130,45,99,16
1140,46,97,17
1150,45,98,17
1160,45,98,17
1170,46,97,17
1180,46,96,18
1190,46,96,18
1200,46,96,18
1210,47,95,18
1220,44,97,19
1230,44,97,19
1240,42,98,20
1250,43,97,20
1260,44,97,19
1270,44,97,19
1280,44,97,19
1290,44,95,21
1300,43,96,21
1310,43,96,21
1320,43,95,22
1330,43,94,23
1340,43,94,23
1350,43,94,23
1360,43,94,23
1370,43,94,23
1380,42,96,22
1390,42,96,22
1400,42,96,22
1410,42,95,23
1420,42,94,24
1430,42,92,26
1440,42,91,27
1450,42,90,28
1460,40,93,27
1470,37,95,28
1480,38,95,27
1490,38,95,27
1500,38,95,27
1510,38,94,28
1520,38,94,28
1530,37,95,28
1540,36,96,28
1550,36,96,28
1560,34,98,28
1570,34,98,28
1580,34,97,29
1590,33,100,27
1600,34,99,27
1610,33,100,27
1620,33,98,29
1630,33,98,29
1640,33,97,30
1650,32,98,30
1660,31,99,30
1670,30,100,30
1680,30,100,30
1690,31,99,30
1700,32,99,29
1710,31,100,29
1720,32,99,29
1730,31,102,27
1740,31,101,28
1750,31,102,27
1760,31,102,27
1770,31,102,27
1780,31,102,27
1790,32,102,26
1800,32,102,26
1810,32,102,26
1820,32,102,26
1830,32,101,27
1840,31,101,28
1850,31,101,28
1860,32,101,27
1870,33,101,26
1880,32,102,26
1890,32,101,27
1900,33,101,26
1910,32,102,26
1920,32,102,26
1930,32,102,26
1940,31,103,26
1950,31,103,26
1960,32,102,26
1970,32,103,25
1980,32,103,25
1990,32,101,27
2000,32,101,27
2010,32,100,28
2020,30,103,27
2030,30,102,28
2040,29,103,28
2050,29,103,28
2060,28,104,28
2070,27,105,28
2080,27,105,28
2090,26,106,28
2100,26,105,29
2110,26,105,29
2120,26,105,29
2130,26,105,29
2140,25,106,29
2150,24,106,30
2160,24,105,31
2170,24,105,31
2180,24,104,32
2190,24,104,32
2200,24,104,32
2210,24,104,32
2220,24,104,32
2230,24,104,32
2240,24,103,33
2250,24,103,33
2260,23,104,33
2270,23,104,33
2280,23,104,33
2290,22,105,33
2300,22,104,34
2310,22,104,34
2320,21,105,34
2330,21,105,34
2340,21,105,34
2350,21,104,35
2360,21,104,35
2370,21,104,35
2380,20,104,36
2390,19,104,37
2400,18,104,38
2410,18,102,40
2420,18,102,40
2430,19,101,40
2440,19,100,41
2450,19,99,42
2460,19,99,42
2470,19,98,43
2480,19,98,43
2490,19,98,43
2500,19,97,44
2510,18,97,45
2520,18,97,45
2530,18,97,45
2540,18,97,45
2550,17,97,46
2560,16,97,47
2570,15,98,47
2580,15,98,47
2590,15,96,49
2600,15,96,49
2610,15,96,49
2620,15,95,50
2630,15,95,50
2640,15,95,50
2650,14,94,52
2660,14,95,51
2670,14,95,51
2680,14,94,52
2690,15,94,51
2700,15,94,51
2710,15,93,52
2720,15,94,51
2730,15,94,51
2740,15,92,53
