Time\ number,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1,Time\ Probability,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1
0,10000000000012.0,100000,9999999550.0,100,1000,500,10000.0,0.0,0,0,0,1000000000.0,100,0,3000,0,0,0,9.999999999e-11,9.999000099990002e-05,9.999999999e-11,9.999000099990002e-05,0.009900990099009901,0.9081818181827264,0.09090909090909091,0.09090909090909091,0.7917888563049854,0.0,0.0002999100269919024,9.999999999e-11,0.0009990009990009992,4.948021038985459e-06,0.09090909090909091,0.0,0.01782352959
100,10000000000999.0,99001,9999955826.0,98,1000,500,5493.0,4975.0,18,0,0,1000000005.0,95,967,3000,0,0,100,9.999999999e-11,9.899119977223135e-05,9.999999999e-11,9.799039694109977e-05,0.009891510545452451,0.8472278924626688,0.09090909090909091,0.09090909090909091,0.9655083584176447,0.05177960065255854,0.0002999100269919024,9.999999999e-11,0.0009490983565612668,4.948021038985459e-06,0.07048856979794281,0.8643238956336228,0.017823529590008914
200,10000000001964.0,98036,9999917033.0,96,1000,500,4999.0,5423.0,15,0,0,1000000001.0,99,1951,3000,0,2,200,9.999999999e-11,9.802638988484124e-05,9.999999999e-11,9.599078488465107e-05,0.009881981793690079,0.6339565383757211,0.09090909090909091,0.09090909090909091,0.9665491508765178,0.058602952300676484,0.0002999100269919024,9.999999999e-11,0.000989020869339354,4.947825077678584e-06,0.053993330652981106,0.8796637084199188,0.017823529590001785
300,10000000002921.0,97092,9999900584.0,96,1000,500,5537.0,4909.0,0,0,2,1000000003.0,95,2908,3000,0,2,300,9.999999999e-11,9.708257405871948e-05,9.999999999e-11,9.599078488465107e-05,0.009872443054991843,0.057079759425385526,0.09090909090909091,0.09090909090909091,0.9667399455318263,0.055436910482292226,0.0002999100269919024,9.999999999e-11,0.0009490983565612668,4.9476291162164915e-06,0.04096057388919258,0.8846466631911883,0.017823526349357712
400,10000000003840.0,96160,9999900010.0,96,1000,6,4995.0,5491.0,8,0,4,1000000003.0,94,3913,3000,0,1,400,9.999999999e-11,9.615075414348157e-05,9.999999999e-11,9.599078488465107e-05,0.00986258060981019,0.04757094856549608,0.09090909090909091,0.09090909090909091,0.9667357993952452,0.05556296246916873,0.0002999100269919024,9.999999999e-11,0.0009391172298039843,4.947531135427238e-06,0.030926995854305687,0.8870773487754926,0.017823523108696507
500,10000000004752.0,95248,9999900004.0,96,1000,0,5527.0,4886.0,8,0,9,999999995.0,96,4895,3000,0,0,500,9.999999999e-11,9.523892868252083e-05,9.999999999e-11,9.599078488465107e-05,0.009852914046440432,0.04757094853640336,0.09090909090909091,0.09090909090909091,0.9667253571239779,0.054704644184692564,0.0002999100269919024,9.999999999e-11,0.000959079283887468,4.9471392118821845e-06,0.02321428920280611,0.8884441607540805,0.01782351500698393
600,10000000005660.0,94340,9999900004.0,96,1000,0,4919.0,5500.0,20,1,10,999999992.0,97,5000,3000,0,0,600,9.999999999e-11,9.433110080395015e-05,9.999999999e-11,9.599078488465107e-05,0.009843139449167223,0.04757094853640336,0.09090909090909091,0.09090909090909091,0.9667146740191195,0.05557777333422205,0.0002999100269919024,9.999999999e-11,0.0009690600117885652,5.8200597733543165e-06,0.01735450213774528,0.8892932955412939,0.017823511766277916
700,10000000006550.0,93450,9999900004.0,96,1000,0,4998.0,5432.0,11,0,15,999999987.0,98,5000,3000,0,0,700,9.999999999e-11,9.344126791351347e-05,9.999999999e-11,9.599078488465107e-05,0.00983302150829819,0.04757094853640336,0.09090909090909091,0.09090909090909091,0.9667032179814464,0.05866597546224296,0.0002999100269919024,9.999999999e-11,0.000979040540270535,6.853609426181942e-06,0.012978347706013625,0.8898438206376561,0.01782350528483054
800,10000000007380.0,92620,9999900005.0,95,1000,0,5348.0,5115.0,11,0,17,999999983.0,101,5000,3000,0,0,800,9.999999999e-11,9.26114223300638e-05,9.999999999e-11,9.499097585729357e-05,0.009823001405704777,0.04757094853640336,0.09090909090909091,0.09090909090909091,0.9666918227017582,0.05635713812959165,0.0002999100269919024,9.999999999e-11,0.001008980929261446,7.85052844159697e-06,0.00969018157330521,0.8902199834121471,0.01782350204408739
900,10000000008215.0,91795,9999900006.0,94,1000,0,5285.0,5159.0,24,0,17,999999985.0,98,5000,3000,0,0,900,9.999999999e-11,9.178657445139824e-05,9.999999999e-11,9.399116483050592e-05,0.009813069342632324,0.04757094853640337,0.09090909090909091,0.09090909090909091,0.9666801513254782,0.05679346034675984,0.0002999100269919024,9.999999999e-11,0.000979040540270535,8.861174322297073e-06,0.007239211668513201,0.890479725225171,0.01782350042372031
1000,10000000009052.0,90959,9999900006.0,94,1000,0,5505.0,4922.0,11,1,17,999999978.0,101,5000,3000,0,2,1000,9.999999999e-11,9.095072721280345e-05,9.999999999e-11,9.399116483050592e-05,0.009803441032062068,0.04757094853640337,0.09090909090909091,0.09090909090909091,0.966668455799474,0.05152561888313185,0.0002999100269919024,9.999999999e-11,0.001008980929261446,9.814493559656669e-06,0.005365060861711927,0.8906704876925036,0.017823495562574655
1100,10000000009867.0,90142,9999900007.0,93,1000,0,5504.0,4930.0,13,1,20,999999975.0,99,5000,3000,0,2,1100,9.999999999e-11,9.013387515222604e-05,9.999999999e-11,9.29913518042822e-05,0.009793724288489509,0.047570948536403375,0.09090909090909091,0.09090909090909091,0.9666565484475167,0.05503460593882564,0.0002999100269919024,9.999999999e-11,0.000989020869339354,1.0798048860068856e-05,0.004023744073941278,0.8907992790804177,0.017823487460616995
1200,10000000010683.0,89323,9999900007.0,93,1000,0,4987.0,5436.0,14,0,22,999999965.0,107,5000,3000,0,5,1200,9.999999999e-11,8.931502211427968e-05,9.999999999e-11,9.29913518042822e-05,0.00978371319581434,0.047570948536403375,0.09090909090909091,0.09090909090909091,0.9666439630363916,0.05544433322211101,0.0002999100269919024,9.999999999e-11,0.0010688563237336052,1.1788122705861811e-05,0.0030109070606767563,0.8908946216747895,0.01782348421979834
