Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,n:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1
0,10000000000000,100000,100000,1000000,100000,10000,0,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,0,10000000,10000000,10000000,1000,500,300,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000
100,9999999999047,100953,100953,999986,99564,9096,0,9999999563,101,101,1,423,904,3000,2000,13,99736,0,0,0,9999564,10000436,10000436,1000,500,300,1000000000,100,100,0,264,100000,0,10000,1000000,1000000,1000000,5000,3000,2000
200,9999999901501,198499,198499,999026,55472,5000,0,9999955375,197,197,0,43554,5000,3000,2000,974,75565,0,0,0,9955472,10044528,10044528,1000,500,300,1000000004,96,96,0,24435,100000,0,10000,1000000,1000000,1000000,5000,3000,2000
300,9999999807804,292196,292196,998118,17124,4764,0,9999916922,302,302,12,81006,5236,3000,2000,1870,56985,0,0,0,9917124,10082876,10082876,1000,500,300,1000000005,95,95,0,43015,100000,0,10000,1000000,1000000,1000000,5000,3000,2000
400,9999999719301,380699,380699,997199,580,4954,0,9999900290,390,390,12,96631,5046,3000,2000,2788,42727,1,0,0,9900580,10099420,10099420,1000,500,300,1000000006,94,94,0,57272,99998,1,10000,1000000,1000000,1000000,5000,3000,2000
500,9999999636657,463343,463343,996247,3,4902,0,9999899640,463,463,10,96254,5096,3000,2000,3741,31974,2,0,2,9900003,10099997,10099997,1000,500,300,1000000004,94,94,0,68024,99996,0,10000,999998,1000002,1000002,5000,3000,2000
600,9999999561693,538307,538307,995270,0,4747,0,9999899564,536,536,0,95270,5248,3000,2000,4725,23938,5,0,5,9900000,10100000,10100000,1000,500,300,1000000005,90,90,0,76057,99990,0,10000,999995,1000005,1000005,5000,3000,2000
700,9999999494303,605697,605697,994304,0,4955,0,9999899487,613,613,10,94314,5039,3000,2000,5676,17867,10,0,6,9900000,10100000,10100000,1000,500,300,1000000000,94,94,0,82123,99980,4,10000,999994,1000006,1000006,5000,3000,2000
800,9999999435311,664689,664689,993318,0,4936,0,9999899410,690,690,0,93318,5050,3000,2000,6667,13257,15,0,14,9900000,10100000,10100000,1000,500,300,999999992,94,94,0,86728,99970,1,10000,999986,1000014,1000014,5000,3000,2000
900,9999999382723,717277,717277,992388,0,4838,1,9999899383,717,717,0,92388,5144,3000,2000,7590,9935,22,2,17,9900000,10100000,10100000,1000,500,300,999999984,96,96,0,90043,99956,2,10000,999980,1000020,1000020,5000,3000,2000
1000,9999999337538,762462,762462,991380,0,4923,1,9999899350,750,750,7,91387,5053,3000,2000,8588,7345,25,0,23,9900000,10100000,10100000,1000,500,300,999999977,99,99,0,92630,99950,1,10000,999976,1000024,1000024,5000,3000,2000
1100,9999999298875,801125,801125,990374,0,4978,3,9999899312,788,788,1,90375,4997,3000,2000,9595,5454,30,2,22,9900000,10100000,10100000,1000,500,300,999999977,96,96,0,94516,99940,3,10000,999973,1000027,1000027,5000,3000,2000
1200,9999999265899,834101,834101,989373,0,5084,5,9999899261,839,839,0,89373,4886,3000,2000,10596,4094,31,1,25,9900000,10100000,10100000,1000,500,300,999999973,96,96,0,95875,99938,0,10000,999969,1000031,1000031,5000,3000,2000
1300,9999999238590,861410,861410,988361,0,4854,6,9999899252,848,848,0,88361,5113,3000,2000,11602,3047,37,0,27,9900000,10100000,10100000,1000,500,300,999999972,95,95,0,96916,99926,4,10000,999967,1000033,1000033,5000,3000,2000
1400,9999999214773,885227,885227,987427,0,4923,6,9999899231,869,869,1,87428,5039,3000,2000,12527,2256,45,1,32,9900000,10100000,10100000,1000,500,300,999999963,98,98,0,97699,99910,6,10000,999961,1000039,1000039,5000,3000,2000
1500,9999999195354,904646,904646,986461,0,4961,7,9999899183,917,917,3,86464,4993,3000,2000,13486,1661,50,2,39,9900000,10100000,10100000,1000,500,300,999999949,103,103,0,98289,99900,2,10000,999952,1000048,1000048,5000,3000,2000
1600,9999999178619,921381,921381,985432,0,5155,7,9999899152,948,948,14,85446,4795,3000,2000,14500,1246,54,1,43,9900000,10100000,10100000,1000,500,300,999999944,105,105,0,98700,99892,3,10000,999949,1000051,1000051,5000,3000,2000
1700,9999999164576,935424,935424,984439,0,4993,7,9999899141,959,959,8,84447,4953,3000,2000,15495,932,58,1,47,9900000,10100000,10100000,1000,500,300,999999937,108,108,0,99010,99884,3,10000,999945,1000055,1000055,5000,3000,2000
1800,9999999153037,946963,946963,983476,0,4741,7,9999899151,949,949,1,83477,5199,3000,2000,16457,698,66,2,53,9900000,10100000,10100000,1000,500,300,999999939,99,99,0,99236,99868,4,10000,999938,1000062,1000062,5000,3000,2000
1900,9999999143067,956933,956933,982475,0,4968,8,9999899156,944,944,1,82476,4965,3000,2000,17453,526,71,2,59,9900000,10100000,10100000,1000,500,300,999999926,105,105,0,99403,99858,2,10000,999931,1000069,1000069,5000,3000,2000
2000,9999999136110,963890,963890,981440,0,4894,10,9999899148,952,952,3,81443,5028,3000,2000,18473,393,84,1,68,9900000,10100000,10100000,1000,500,300,999999915,106,106,0,99523,99832,5,10000,999921,1000079,1000079,5000,3000,2000
2100,9999999129724,970276,970276,980449,0,4805,12,9999899137,963,963,12,80461,5110,3000,2000,19446,290,93,1,73,9900000,10100000,10100000,1000,500,300,999999906,108,108,0,99617,99814,7,10000,999914,1000086,1000086,5000,3000,2000
2200,9999999124284,975716,975716,979510,0,5052,14,9999899137,963,963,9,79519,4851,3000,2000,20381,213,100,2,83,9900000,10100000,10100000,1000,500,300,999999894,107,107,0,99687,99800,1,10000,999901,1000099,1000099,5000,3000,2000
2300,9999999119576,980424,980424,978519,0,4817,15,9999899112,988,988,0,78519,5078,3000,2000,21370,158,111,1,90,9900000,10100000,10100000,1000,500,300,999999892,102,102,0,99731,99778,5,10000,999894,1000106,1000106,5000,3000,2000
2400,9999999116059,983941,983941,977523,0,4955,18,9999899105,995,995,10,77533,4931,3000,2000,22345,123,122,4,96,9900000,10100000,10100000,1000,500,300,999999879,103,103,1,99756,99757,3,10000,999882,1000118,1000118,5000,3000,2000
2500,9999999113912,986088,986088,976571,0,4847,20,9999899111,989,989,17,76588,5029,3000,2000,23283,84,129,2,104,9900000,10100000,10100000,1000,500,300,999999873,101,101,0,99787,99742,3,10000,999874,1000126,1000126,5000,3000,2000
2600,9999999111143,988857,988857,975571,0,4870,23,9999899112,988,988,11,75582,4994,3000,2000,24275,63,143,1,113,9900000,10100000,10100000,1000,500,300,999999866,97,97,0,99794,99714,6,10000,999863,1000137,1000137,5000,3000,2000
2700,9999999109672,990328,990328,974567,0,4977,27,9999899105,995,995,8,74575,4879,3000,2000,25270,42,155,4,117,9900000,10100000,10100000,1000,500,300,999999854,98,98,0,99803,99690,7,10000,999852,1000148,1000148,5000,3000,2000
2800,9999999108318,991682,991682,973543,0,4911,30,9999899106,994,994,0,73543,4930,3000,2000,26290,29,167,1,129,9900000,10100000,10100000,1000,500,300,999999842,98,98,0,99804,99666,7,10000,999840,1000160,1000160,5000,3000,2000
2900,9999999106931,993069,993069,972547,0,4867,34,9999899121,979,979,0,72547,4962,3000,2000,27274,20,179,2,137,9900000,10100000,10100000,1000,500,300,999999827,100,100,0,99801,99642,6,10000,999827,1000173,1000173,5000,3000,2000
3000,9999999105773,994227,994227,971594,0,4912,37,9999899097,1003,1003,1,71595,4905,3000,2000,28205,17,200,4,146,9900000,10100000,10100000,1000,500,300,999999806,107,107,0,99783,99600,13,10000,999813,1000187,1000187,5000,3000,2000
3100,9999999104235,995765,995765,970659,0,4967,41,9999899095,1005,1005,1,70660,4832,3000,2000,29131,12,209,1,160,9900000,10100000,10100000,1000,500,300,999999790,108,108,0,99779,99582,7,10000,999798,1000202,1000202,5000,3000,2000
3200,9999999103482,996518,996518,969708,0,4835,46,9999899102,998,998,0,69708,4952,3000,2000,30070,10,222,3,167,9900000,10100000,10100000,1000,500,300,999999780,104,104,0,99768,99556,6,10000,999784,1000216,1000216,5000,3000,2000
3300,9999999102460,997540,997540,968766,0,4883,51,9999899078,1022,1022,2,68768,4892,3000,2000,30999,10,233,1,174,9900000,10100000,10100000,1000,500,300,999999770,104,104,0,99757,99534,7,10000,999774,1000226,1000226,5000,3000,2000
