Time\ number,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000:=C1_2,r2_1_001:=C1_2,r2_2_100:=C1_2,rM_110:=C1_2,r1_1_120:=C1_2,r3_2_130:=C1_2,r3_2_140:=C1_2,r2_2_150:=C1_2,r1_2_000:=C2_1,r2_1_001:=C2_1,r2_2_100:=C2_1,rM_110:=C2_1,r1_1_120:=C2_1,r3_2_130:=C2_1,r3_2_140:=C2_1,r2_2_150:=C2_1,r1_2_000:=C2_2,r2_1_001:=C2_2,r2_2_100:=C2_2,rM_110:=C2_2,r1_1_120:=C2_2,r3_2_130:=C2_2,r3_2_140:=C2_2,r2_2_150:=C2_2,r1_2_000:=C2_3,r2_1_001:=C2_3,r2_2_100:=C2_3,rM_110:=C2_3,r1_1_120:=C2_3,r3_2_130:=C2_3,r3_2_140:=C2_3,r2_2_150:=C2_3,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r2_2_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1,r1_2_000::C1_1::M1_2,r2_1_001::C1_1::M1_2,r2_2_100::C1_1::M1_2,r2_2_110::C1_1::M1_2,rM_120::C1_1::M1_2,rM_130::C1_1::M1_2,r1_2_000::C1_2::M1_1,r2_1_001::C1_2::M1_1,r2_2_100::C1_2::M1_1,r2_2_110::C1_2::M1_1,rM_120::C1_2::M1_1,rM_130::C1_2::M1_1,r1_2_000::C1_2::M1_2,r2_1_001::C1_2::M1_2,r2_2_100::C1_2::M1_2,r2_2_110::C1_2::M1_2,rM_120::C1_2::M1_2,rM_130::C1_2::M1_2,r1_2_000::C2_1::M2_1,r2_1_001::C2_1::M2_1,r2_2_100::C2_1::M2_1,r2_2_110::C2_1::M2_1,rM_120::C2_1::M2_1,rM_130::C2_1::M2_1,r1_2_000::C2_2::M2_1,r2_1_001::C2_2::M2_1,r2_2_100::C2_2::M2_1,r2_2_110::C2_2::M2_1,rM_120::C2_2::M2_1,rM_130::C2_2::M2_1,r1_2_000::C2_3::M2_1,r2_1_001::C2_3::M2_1,r2_2_100::C2_3::M2_1,r2_2_110::C2_3::M2_1,rM_120::C2_3::M2_1,rM_130::C2_3::M2_1,Time\ Probability,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000:=C1_2,r2_1_001:=C1_2,r2_2_100:=C1_2,rM_110:=C1_2,r1_1_120:=C1_2,r3_2_130:=C1_2,r3_2_140:=C1_2,r2_2_150:=C1_2,r1_2_000:=C2_1,r2_1_001:=C2_1,r2_2_100:=C2_1,rM_110:=C2_1,r1_1_120:=C2_1,r3_2_130:=C2_1,r3_2_140:=C2_1,r2_2_150:=C2_1,r1_2_000:=C2_2,r2_1_001:=C2_2,r2_2_100:=C2_2,rM_110:=C2_2,r1_1_120:=C2_2,r3_2_130:=C2_2,r3_2_140:=C2_2,r2_2_150:=C2_2,r1_2_000:=C2_3,r2_1_001:=C2_3,r2_2_100:=C2_3,rM_110:=C2_3,r1_1_120:=C2_3,r3_2_130:=C2_3,r3_2_140:=C2_3,r2_2_150:=C2_3,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r2_2_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1,r1_2_000::C1_1::M1_2,r2_1_001::C1_1::M1_2,r2_2_100::C1_1::M1_2,r2_2_110::C1_1::M1_2,rM_120::C1_1::M1_2,rM_130::C1_1::M1_2,r1_2_000::C1_2::M1_1,r2_1_001::C1_2::M1_1,r2_2_100::C1_2::M1_1,r2_2_110::C1_2::M1_1,rM_120::C1_2::M1_1,rM_130::C1_2::M1_1,r1_2_000::C1_2::M1_2,r2_1_001::C1_2::M1_2,r2_2_100::C1_2::M1_2,r2_2_110::C1_2::M1_2,rM_120::C1_2::M1_2,rM_130::C1_2::M1_2,r1_2_000::C2_1::M2_1,r2_1_001::C2_1::M2_1,r2_2_100::C2_1::M2_1,r2_2_110::C2_1::M2_1,rM_120::C2_1::M2_1,rM_130::C2_1::M2_1,r1_2_000::C2_2::M2_1,r2_1_001::C2_2::M2_1,r2_2_100::C2_2::M2_1,r2_2_110::C2_2::M2_1,rM_120::C2_2::M2_1,rM_130::C2_2::M2_1,r1_2_000::C2_3::M2_1,r2_1_001::C2_3::M2_1,r2_2_100::C2_3::M2_1,r2_2_110::C2_3::M2_1,rM_120::C2_3::M2_1,rM_130::C2_3::M2_1
0,10000000000009.0,100000,10000000000.0,100,1000,500,9061.0,0,0,0,10000000000.0,100,1000,500,8268.0,0,0,0,10000000000.0,100,1000,100,7522.0,12,0,0,9999999905.0,100,1000,100,10000.0,0,0,0,9999999911.0,100,1000,100,6820.0,0,0,0,1000000000.0,101,0,3000,0,0,1000000000.0,101,0,3000,0,0,1000000000.0,100,0,3000,0,0,1000000000.0,100,0,3000,0,0,1000000000.0,100,0,1000,0,0,1000000000.0,100,0,1000,0,0,1000000000.0,100,0,1000,0,0,0,9.999999999e-11,9.999000099990002e-05,9.999999999e-11,9.999000099990002e-05,0.009900696010107726,0.9081033165015222,0.09090909090909091,0.0,0.012245591278297665,0.0002999100269919024,9.999999999e-11,9.999000099990002e-05,0.00990081364568956,0.9076545055557013,0.09090909090909091,0.0,0.0,0.0002999100269919024,9.999999999e-11,9.999000099990002e-05,0.009900931281243443,0.9077329502379828,0.09090909090909091,0.46890588626538077,0.0,0.0002999100269919024,9.999999999e-11,9.999000099990002e-05,0.009900990099009901,0.9081818181827264,0.09090909090909091,0.47146401985111663,0.0,0.0002999100269919024,9.999999999e-11,9.999000099990002e-05,0.009900637192306327,0.9072686745337569,0.09090909090909091,0.08797653958944282,0.0,0.0002999100269919024,9.999999999e-11,0.001008980929261446,0.0049751243781094535,0.09066522385548853,0.19191533630152946,0.01782352958999822,9.999999999e-11,0.001008980929261446,0.0049751243781094535,0.09090909090909091,0.20503980900020502,0.01782352958999822,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.0906660507444717,0.0,0.01782352959,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.09090909090909091,0.0,0.01782352959,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.09090909090909091,0.0,0.01782352959,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.09090909090909091,0.07127784601664584,0.01782352959,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.09090909090909091,0.0,0.01782352959
100,10000000001010.0,98997,9999962736.0,99,1000,500,0.0,11,95,71,9999962744.0,100,1000,500,0.0,13,88,71,9999992607.0,100,1000,100,0.0,0,54,40,9999992586.0,99,1000,100,0.0,1,48,45,9999992552.0,99,1000,100,0.0,10,52,37,999999903.0,105,590,3000,7,106,999999934.0,98,585,3000,4,80,999999930.0,101,596,3000,7,118,999999917.0,100,596,3000,1,101,999999905.0,103,777,1000,6,120,999999909.0,104,782,1000,2,137,999999906.0,107,784,1000,5,129,100,9.999999999e-11,9.898720056410575e-05,9.999999999e-11,9.899019997020294e-05,0.009852747379899569,0.25790111674755944,0.09090909090909091,0.9650850555819276,0.02563885598239973,0.0002999100269919024,9.999999999e-11,9.999000099990002e-05,0.009852884634702005,0.2508525822364422,0.09090909090909091,0.9650737010812575,0.02901662812465588,0.0002999100269919024,9.999999999e-11,9.999000099990002e-05,0.009852463066259188,0.24189485721215684,0.09090909090909091,0.9528650417792764,0.02705645836823589,0.0002999100269919024,9.999999999e-11,9.899019997020294e-05,0.00985256110546397,0.24344090257856257,0.09090909090909091,0.9528764679649175,0.03014416775884666,0.0002999100269919024,9.999999999e-11,9.899019997020294e-05,0.009852649340731675,0.259602279536466,0.09090909090909091,0.9529627367135004,0.023874800091386796,0.0002999100269919024,9.999999999e-11,0.0010488986564107686,0.0049751243781094535,0.05399422558075295,0.859479587483159,0.01782337888724305,9.999999999e-11,0.000979040540270535,0.0049751243781094535,0.05411949875900479,0.8596621399304816,0.017823421021772964,9.999999999e-11,0.001008980929261446,0.0049751243781094535,0.05395037212862113,0.8596100954563415,0.01782341778072161,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.05408728882498723,0.8595498911401472,0.017823395093071327,9.999999999e-11,0.0010289401916026492,0.0049751243781094535,0.08358023209247044,0.8068962573052612,0.017823385369609722,9.999999999e-11,0.0010389195236953567,0.0049751243781094535,0.08367260355186826,0.8049756032104707,0.017823388610773597,9.999999999e-11,0.0010688563237336052,0.0049751243781094535,0.08368771710874152,0.8048959598309566,0.017823388610766468
200,10000000001944.0,98068,9999961563.0,98,1000,0,0.0,13,243,300,9999961485.0,99,1000,0,0.0,16,221,300,9999992345.0,100,1000,0,0.0,11,172,268,9999992322.0,99,1000,0,0.0,14,149,300,9999992290.0,99,1000,0,0.0,8,161,286,999999616.0,99,833,3000,0,208,999999674.0,101,828,3000,8,196,999999626.0,96,768,3000,3,202,999999652.0,103,781,3000,2,222,999999566.0,99,1280,1000,16,298,999999527.0,103,1323,1000,7,290,999999547.0,103,1265,1000,10,263,200,9.999999999e-11,9.805838361043609e-05,9.999999999e-11,9.799039694109977e-05,0.009802970397010193,0.04757124518996083,0.09090909090909091,0.9650973983043227,0.020685527429856066,0.0004637848038510131,9.999999999e-11,9.899019997020294e-05,0.009803244934178158,0.04757124482119685,0.09090909090909091,0.9651050364771029,0.023813605325562127,0.0004997501249375313,9.999999999e-11,9.999000099990002e-05,0.009803186104797837,0.009891081539059628,0.09090909090909091,0.950858789365869,0.024253040530918,0.0002999100269919024,9.999999999e-11,9.899019997020294e-05,0.00980309786071425,0.009891081515308337,0.09090909090909091,0.9507610276845401,0.02696283878178262,0.00032289570468738594,9.999999999e-11,9.899019997020294e-05,0.009802842933273317,0.00989108148363977,0.09090909090909091,0.9511568123393316,0.02072387624051372,0.0002999100269919024,9.999999999e-11,0.000989020869339354,0.0049751243781094535,0.031126044688342312,0.8737532050460013,0.01782290879027439,9.999999999e-11,0.001008980929261446,0.0049751243781094535,0.03104061393266701,0.8740442251571301,0.01782300607205726,9.999999999e-11,0.000959079283887468,0.0049751243781094535,0.031172978251771018,0.8738999602641517,0.01782291689750075,9.999999999e-11,0.0010289401916026492,0.0049751243781094535,0.031086616980788385,0.8739018570912709,0.017822970403297958,9.999999999e-11,0.000989020869339354,0.0049751243781094535,0.07679666908238204,0.8475477222837461,0.017822824470805042,9.999999999e-11,0.0010289401916026492,0.0049751243781094535,0.07680860118962443,0.8474538124342941,0.017822774199629233,9.999999999e-11,0.0010289401916026492,0.0049751243781094535,0.07692364497006464,0.8469461808091883,0.017822805011326253
300,10000000002909.0,97091,9999961564.0,97,1000,0,0.0,9,497,300,9999961485.0,99,1000,0,0.0,11,385,300,9999992346.0,99,1000,0,0.0,24,300,300,9999992322.0,99,1000,0,0.0,3,250,300,9999992291.0,98,1000,0,0.0,1,289,300,999999200.0,96,935,3000,4,229,999999281.0,102,931,3000,6,262,999999233.0,95,888,3000,3,223,999999251.0,102,883,3000,1,244,999998910.0,105,1582,1000,1,378,999998947.0,97,1648,1000,15,389,999998990.0,103,1588,1000,24,348,300,9.999999999e-11,9.708157425287422e-05,9.999999999e-11,9.699059191258448e-05,0.009754953465662089,0.04757124518996083,0.09090909090909091,0.9650232537907486,0.013141734217636947,0.0009999990009999988,9.999999999e-11,9.899019997020294e-05,0.009754580843126043,0.04757124482119685,0.09090909090909091,0.9650350407523002,0.015823453102844904,0.0010977935249161172,9.999999999e-11,9.899019997020294e-05,0.009754865212981528,0.00989108153905963,0.09090909090909091,0.9472822751142331,0.017630927896509583,0.0007714044757447251,9.999999999e-11,9.899019997020294e-05,0.009754806377852412,0.009891081515308337,0.09090909090909091,0.947134142990603,0.0210553905294426,0.0007873795449186041,9.999999999e-11,9.799039694109977e-05,0.009754649484140596,0.00989108148363977,0.09090909090909091,0.9478500149189404,0.015123961932472571,0.0006855297266075472,9.999999999e-11,0.000959079283887468,0.0049751243781094535,0.017525382231750042,0.8779944230020896,0.017822227520406315,9.999999999e-11,0.001018960660126671,0.0049751243781094535,0.017568816848301815,0.878184564172536,0.017822365438458332,9.999999999e-11,0.0009490983565612668,0.0049751243781094535,0.017657604558068717,0.8781087584661724,0.01782227782240961,9.999999999e-11,0.001018960660126671,0.0049751243781094535,0.017595840893752008,0.8780500219991374,0.017822324876538103,9.999999999e-11,0.0010488986564107686,0.0049751243781094535,0.07032438241648724,0.8622932112258022,0.01782176980412482,9.999999999e-11,0.0009690600117885652,0.0049751243781094535,0.07047733777273357,0.8621757527598549,0.017821816885087997,9.999999999e-11,0.0010289401916026492,0.0049751243781094535,0.07066910894824835,0.8619660467069944,0.017821907792981522
400,10000000003841.0,96159,9999961564.0,97,1000,0,0.0,1,307,300,9999961485.0,99,1000,0,0.0,24,469,300,9999992347.0,98,1000,0,0.0,9,504,300,9999992323.0,98,1000,0,0.0,16,485,300,9999992291.0,98,1000,0,0.0,24,524,300,999998761.0,94,959,3000,5,252,999998828.0,100,965,3000,7,279,999998801.0,93,964,3000,7,280,999998815.0,103,971,3000,13,258,999998158.0,105,1706,1000,9,445,999998123.0,98,1775,1000,9,454,999998287.0,109,1718,1000,11,471,400,9.999999999e-11,9.614975433577283e-05,9.999999999e-11,9.699059191258448e-05,0.009706608252560464,0.04757124518996083,0.09090909090909091,0.9649476585356312,0.013014351126271475,0.0015047323683209405,9.999999999e-11,9.899019997020294e-05,0.009706961297595228,0.04757124482119685,0.09090909090909091,0.9649565856810738,0.010582506087282261,0.0016193733763835059,9.999999999e-11,9.799039694109977e-05,0.009706696513842756,0.00989108153905963,0.09090909090909091,0.9421131765992345,0.010230899192791442,0.0012803585803000553,9.999999999e-11,9.799039694109977e-05,0.009706882843164814,0.009891081515308339,0.09090909090909091,0.9414159851170627,0.013170012893718917,0.0013431934048704494,9.999999999e-11,9.799039694109977e-05,0.009706765161495884,0.00989108148363977,0.09090909090909091,0.9430546412113233,0.008343624331085148,0.0011317177637736443,9.999999999e-11,0.0009391172298039843,0.0049751243781094535,0.009819618839964078,0.879699487005764,0.017821510002503375,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.009798048311953222,0.8798409877394116,0.01782162854637818,9.999999999e-11,0.000929135903609643,0.0049751243781094535,0.009850992475857691,0.8797578374975683,0.01782157333612873,9.999999999e-11,0.0010289401916026492,0.0049751243781094535,0.009819618839964078,0.8797754595681532,0.017821612308413916,9.999999999e-11,0.0010488986564107686,0.0049751243781094535,0.06449817343268363,0.8696770601694953,0.01782056596120706,9.999999999e-11,0.000979040540270535,0.0049751243781094535,0.06460055637558906,0.8695585908037686,0.017820479794137152,9.999999999e-11,0.0010888131936189554,0.0049751243781094535,0.06478513906177376,0.8695143022639265,0.017820761025749993
500,10000000004807.0,95211,9999961565.0,96,1000,0,0.0,20,62,300,9999961489.0,95,1000,0,0.0,3,113,300,9999992347.0,98,1000,0,0.0,1,228,300,9999992324.0,97,1000,0,0.0,2,324,300,9999992293.0,96,1000,0,0.0,1,166,300,999998279.0,95,978,3000,6,274,999998344.0,94,963,3000,7,271,999998311.0,96,992,3000,10,276,999998343.0,104,996,3000,0,256,999997361.0,115,1813,1000,6,481,999997269.0,96,1790,1000,22,552,999997431.0,104,1723,1000,10,512,500,9.999999999e-11,9.520193572849734e-05,9.999999999e-11,9.599078488465107e-05,0.009660239483762819,0.04757124518996084,0.09090909090909091,0.9648647482221381,0.022566142140757393,0.0016991081179831924,9.999999999e-11,9.499097585729357e-05,0.009660131598738528,0.04757124482119688,0.09090909090909091,0.9648742120929984,0.018912529550827426,0.0019272784253606288,9.999999999e-11,9.799039694109977e-05,0.009659886405414085,0.00989108153905963,0.09090909090909091,0.9336304819948379,0.013424052960647298,0.0016532621978004422,9.999999999e-11,9.699059191258448e-05,0.009660072752351735,0.009891081515308339,0.09090909090909091,0.9322545157741581,0.012274201018990277,0.0018286499133587269,9.999999999e-11,9.599078488465107e-05,0.009659994290491797,0.009891081483639774,0.09090909090909091,0.935676264990701,0.015453940603641202,0.0014488976495105601,9.999999999e-11,0.0009490983565612668,0.0049751243781094535,0.005316582864588773,0.8804258455016868,0.01782072851797676,9.999999999e-11,0.0009391172298039843,0.0049751243781094535,0.0053017417166502535,0.8805805115079708,0.01782083253876543,9.999999999e-11,0.000959079283887468,0.0049751243781094535,0.005440241876933175,0.880464748379166,0.017820782155207097,9.999999999e-11,0.0010389195236953567,0.0049751243781094535,0.005425404418894928,0.880517105726192,0.017820852041295587,9.999999999e-11,0.0011486790191280029,0.0049751243781094535,0.05901128433667823,0.8742344552264516,0.017819267696788987,9.999999999e-11,0.000959079283887468,0.0049751243781094535,0.059152936571854366,0.8740444618349568,0.01781910650228089,9.999999999e-11,0.0010389195236953567,0.0049751243781094535,0.05925118275645048,0.8740617131409717,0.017819378399443586
600,10000000005638.0,94370,9999961565.0,96,1000,0,0.0,2,4,300,9999961492.0,92,1000,0,0.0,0,9,300,9999992347.0,98,1000,0,0.0,12,42,300,9999992326.0,95,1000,0,0.0,18,68,300,9999992294.0,95,1000,0,0.0,1,16,300,999997795.0,100,946,2907,3,258,999997837.0,93,949,2896,2,273,999997833.0,94,1000,3000,7,274,999997832.0,100,998,3000,1,251,999996459.0,106,1877,1000,2,478,999996353.0,99,1889,1000,17,506,999996556.0,99,1826,1000,14,478,600,9.999999999e-11,9.436109514345132e-05,9.999999999e-11,9.599078488465107e-05,0.009612189091020878,0.04757124518996084,0.09090909090909091,0.9647807594626848,0.03327997865812992,0.001707080891675235,9.999999999e-11,9.199153677861637e-05,0.00961245392531438,0.04757124482119689,0.09090909090909091,0.9647868178110852,0.029785370127025843,0.0019651306577349197,9.999999999e-11,9.799039694109977e-05,0.009612091004209565,0.00989108153905963,0.09090909090909091,0.9160463192721258,0.023000890727810825,0.0017927801668203907,9.999999999e-11,9.499097585729357e-05,0.009612365647232283,0.00989108151530834,0.09090909090909091,0.9119321352829558,0.021284019539427775,0.002019911698721787,9.999999999e-11,9.499097585729357e-05,0.009612277369134451,0.009891081483639774,0.09090909090909091,0.9208552138034509,0.0247864703044749,0.0015575701905028157,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.0029910269192422734,0.8806904030037868,0.01781994960230855,9.999999999e-11,0.000929135903609643,0.0049751243781094535,0.0029910269192422734,0.8808259055564587,0.01782000653984454,9.999999999e-11,0.0009391172298039843,0.0049751243781094535,0.0029979850589278044,0.8807154045146783,0.01782000653984276,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.00300394910135761,0.8807791345026482,0.01782000979329519,9.999999999e-11,0.0010588775897548597,0.0049751243781094535,0.05400227985450554,0.8771753316444246,0.017817797959853596,9.999999999e-11,0.000989020869339354,0.0049751243781094535,0.05404075949175501,0.8770868451184773,0.017817616927119213,9.999999999e-11,0.000989020869339354,0.0049751243781094535,0.054136497562036826,0.8771743851361066,0.01781793819427375
700,10000000006553.0,93452,9999961567.0,94,1000,0,0.0,7,0,300,9999961493.0,91,1000,0,0.0,7,1,300,9999992347.0,98,1000,0,0.0,14,0,300,9999992326.0,95,1000,0,0.0,7,3,300,9999992295.0,94,1000,0,0.0,13,2,300,999997313.0,97,949,1613,7,246,999997380.0,95,950,1616,5,286,999997289.0,94,986,1638,5,267,999997340.0,106,981,1636,1,261,999995560.0,103,1905,1000,13,508,999995383.0,97,1880,1000,10,511,999995653.0,96,1892,1000,13,513,700,9.999999999e-11,9.344326753976188e-05,9.999999999e-11,9.399116483050592e-05,0.009564595087820718,0.04757124518996085,0.09090909090909091,0.9646938333846431,0.04251092570520461,0.0016622323830821682,9.999999999e-11,9.099171975350243e-05,0.00956481089947778,0.047571244821196894,0.09090909090909091,0.9646943133402548,0.04025080906148868,0.0019143283182855282,9.999999999e-11,9.799039694109977e-05,0.009564693184040133,0.00989108153905963,0.09090909090909091,0.8598554320854462,0.03291603135114892,0.0017778336782190917,9.999999999e-11,9.499097585729357e-05,0.009564761851382162,0.00989108151530834,0.09090909090909091,0.8436724565756825,0.03181217466353805,0.0020179197662326775,9.999999999e-11,9.399116483050592e-05,0.009564496991581873,0.009891081483639774,0.09090909090909091,0.8767887460586952,0.03497682258744206,0.001521680958219673,9.999999999e-11,0.0009690600117885652,0.0049751243781094535,0.0029910269192422734,0.8807187311218859,0.017819171634888796,9.999999999e-11,0.0009490983565612668,0.0049751243781094535,0.0029910269192422734,0.8808589497899522,0.01781926606874233,9.999999999e-11,0.0009391172298039843,0.0049751243781094535,0.0029910269192422734,0.8807377799323114,0.017819127670903462,9.999999999e-11,0.0010588775897548597,0.0049751243781094535,0.0029910269192422734,0.8808065381409347,0.017819233506453817,9.999999999e-11,0.0010289401916026492,0.0049751243781094535,0.04944411491840428,0.8792246242845652,0.017816311101656893,9.999999999e-11,0.0009690600117885652,0.0049751243781094535,0.0493926094077811,0.879133109054658,0.017816031734053345,9.999999999e-11,0.000959079283887468,0.0049751243781094535,0.04958504883232019,0.8792075315105414,0.017816451569384464
800,10000000007452.0,92556,9999961567.0,94,1000,0,0.0,20,0,300,9999961494.0,90,1000,0,0.0,8,0,300,9999992347.0,98,1000,0,0.0,0,0,300,9999992326.0,95,1000,0,0.0,0,0,300,9999992296.0,93,1000,0,0.0,16,0,300,999996873.0,100,930,891,3,266,999996887.0,89,937,890,12,277,999996812.0,104,929,891,9,264,999996902.0,110,922,892,1,291,999994656.0,101,1787,1000,17,534,999994472.0,98,1651,1000,9,506,999994747.0,96,1871,1000,21,579,800,9.999999999e-11,9.254743417968207e-05,9.999999999e-11,9.399116483050592e-05,0.00951852695595329,0.04757124518996085,0.09090909090909091,0.9646020570390319,0.05068429598700998,0.0016123959804915063,9.999999999e-11,8.99919007289344e-05,0.009518762408748946,0.0475712448211969,0.09090909090909091,0.9646063299514086,0.04840464533219802,0.0018485764364397136,9.999999999e-11,9.799039694109977e-05,0.00951863487183186,0.00989108153905963,0.09090909090909091,0.6171107994389903,0.04198149672078003,0.0017290053627117832,9.999999999e-11,9.499097585729357e-05,0.009518311124125602,0.00989108151530834,0.09090909090909091,0.6996693771780895,0.04114575488276347,0.00196811886958917,9.999999999e-11,9.29913518042822e-05,0.009518428850588727,0.009891081483639775,0.09090909090909091,0.23460410557184752,0.04362003199212502,0.0014798069261354673,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.0029910269192422734,0.8806239616786504,0.017818448396631405,9.999999999e-11,0.0008892086043421354,0.0049751243781094535,0.0029910269192422734,0.8807777779472428,0.01781846469224589,9.999999999e-11,0.0010389195236953567,0.0049751243781094535,0.0029910269192422734,0.8806505704073289,0.01781835550605948,9.999999999e-11,0.0010987913295375086,0.0049751243781094535,0.0029910269192422734,0.8807258489421645,0.017818511947753447,9.999999999e-11,0.001008980929261446,0.0049751243781094535,0.04516831295563375,0.8807301537873601,0.017814829949582636,9.999999999e-11,0.000979040540270535,0.0049751243781094535,0.04514643156898674,0.8806715434406426,0.017814523931881966,9.999999999e-11,0.000959079283887468,0.0049751243781094535,0.04534241658202036,0.8806929096964182,0.017814975557663162
900,10000000008264.0,91741,9999961567.0,94,1000,0,0.0,19,0,300,9999961495.0,89,1000,0,0.0,25,0,300,9999992347.0,98,1000,0,0.0,0,0,300,9999992326.0,95,1000,0,0.0,0,0,300,9999992297.0,92,1000,0,0.0,0,0,300,999996439.0,96,905,509,0,252,999996391.0,85,901,511,2,276,999996336.0,105,931,474,7,272,999996417.0,118,953,473,1,262,999993790.0,100,1053,1000,5,396,999993699.0,94,1001,1000,6,370,999993819.0,103,1124,1000,10,406,900,9.999999999e-11,9.173258436097813e-05,9.999999999e-11,9.399116483050592e-05,0.009472326989508758,0.04757124518996085,0.09090909090909091,0.9645088005931726,0.0577626764244642,0.0015715264174189826,9.999999999e-11,8.899207970490625e-05,0.009472219063539187,0.0475712448211969,0.09090909090909091,0.9645081523672371,0.05588789187991581,0.0017937765834794873,9.999999999e-11,9.799039694109977e-05,0.009472101326091017,0.00989108153905963,0.09090909090909091,0.8886780518659076,0.049576132265467664,0.001672199066563506,9.999999999e-11,9.499097585729357e-05,0.009471954154241442,0.00989108151530834,0.09090909090909091,0.8960042086133098,0.048084904541681496,0.0019133321422832431,9.999999999e-11,9.199153677861637e-05,0.009471875662570453,0.009891081483639777,0.09090909090909091,0.8775516339476296,0.05154947736796058,0.0014319465885919592,9.999999999e-11,0.000959079283887468,0.0049751243781094535,0.0029910269192422734,0.8804887270817173,0.017817734357948003,9.999999999e-11,0.0008492781136034371,0.0049751243781094535,0.0029910269192422734,0.8805976360961398,0.01781763976212332,9.999999999e-11,0.0010488986564107686,0.0049751243781094535,0.0029910269192422734,0.8804906040588963,0.01781758593584685,9.999999999e-11,0.0011786092410955074,0.0049751243781094535,0.0029910269192422734,0.880591588043595,0.01781773598878388,9.999999999e-11,0.0009990009990009992,0.0049751243781094535,0.04120424746518373,0.8819830349689305,0.017813410258159426,9.999999999e-11,0.0009391172298039843,0.0049751243781094535,0.04124193684468887,0.8819343374559624,0.017813251283029886,9.999999999e-11,0.0010289401916026492,0.0049751243781094535,0.0413375258838868,0.8819419398563495,0.01781346269737661
