Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O:=C1_2,OH-:=C1_2,H+:=C1_2,a:=C1_2,b:=C1_2,c:=C1_2,en_X:=C1_2,en_Z:=C1_2,l:=C1_2,m:=C1_2,q:=C1_2,r:=C1_2,ATP:=C1_2,ADP:=C1_2,Pi:=C1_2,mem_P1:=C1_2,mem_P2:=C1_2,mem_P6:=C1_2,H2O:=C2_1,OH-:=C2_1,H+:=C2_1,a:=C2_1,b:=C2_1,c:=C2_1,en_X:=C2_1,en_Z:=C2_1,l:=C2_1,m:=C2_1,q:=C2_1,r:=C2_1,ATP:=C2_1,ADP:=C2_1,Pi:=C2_1,mem_P1:=C2_1,mem_P2:=C2_1,mem_P6:=C2_1,H2O:=C2_2,OH-:=C2_2,H+:=C2_2,a:=C2_2,b:=C2_2,c:=C2_2,en_X:=C2_2,en_Z:=C2_2,l:=C2_2,m:=C2_2,q:=C2_2,r:=C2_2,ATP:=C2_2,ADP:=C2_2,Pi:=C2_2,mem_P1:=C2_2,mem_P2:=C2_2,mem_P6:=C2_2,H2O:=C2_3,OH-:=C2_3,H+:=C2_3,a:=C2_3,b:=C2_3,c:=C2_3,en_X:=C2_3,en_Z:=C2_3,l:=C2_3,m:=C2_3,q:=C2_3,r:=C2_3,ATP:=C2_3,ADP:=C2_3,Pi:=C2_3,mem_P1:=C2_3,mem_P2:=C2_3,mem_P6:=C2_3,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1,H2O::C1_1::M1_2,OH-::C1_1::M1_2,H+::C1_1::M1_2,l::C1_1::M1_2,m::C1_1::M1_2,n::C1_1::M1_2,q::C1_1::M1_2,en_Y::C1_1::M1_2,ATP::C1_1::M1_2,ADP::C1_1::M1_2,Pi::C1_1::M1_2,mem_P3::C1_1::M1_2,mem_P4::C1_1::M1_2,mem_P5::C1_1::M1_2,H2O::C1_2::M1_1,OH-::C1_2::M1_1,H+::C1_2::M1_1,l::C1_2::M1_1,m::C1_2::M1_1,n::C1_2::M1_1,q::C1_2::M1_1,en_Y::C1_2::M1_1,ATP::C1_2::M1_1,ADP::C1_2::M1_1,Pi::C1_2::M1_1,mem_P3::C1_2::M1_1,mem_P4::C1_2::M1_1,mem_P5::C1_2::M1_1,H2O::C1_2::M1_2,OH-::C1_2::M1_2,H+::C1_2::M1_2,l::C1_2::M1_2,m::C1_2::M1_2,n::C1_2::M1_2,q::C1_2::M1_2,en_Y::C1_2::M1_2,ATP::C1_2::M1_2,ADP::C1_2::M1_2,Pi::C1_2::M1_2,mem_P3::C1_2::M1_2,mem_P4::C1_2::M1_2,mem_P5::C1_2::M1_2,H2O::C2_1::M2_1,OH-::C2_1::M2_1,H+::C2_1::M2_1,l::C2_1::M2_1,m::C2_1::M2_1,n::C2_1::M2_1,q::C2_1::M2_1,en_Y::C2_1::M2_1,ATP::C2_1::M2_1,ADP::C2_1::M2_1,Pi::C2_1::M2_1,mem_P3::C2_1::M2_1,mem_P4::C2_1::M2_1,mem_P5::C2_1::M2_1,H2O::C2_2::M2_1,OH-::C2_2::M2_1,H+::C2_2::M2_1,l::C2_2::M2_1,m::C2_2::M2_1,n::C2_2::M2_1,q::C2_2::M2_1,en_Y::C2_2::M2_1,ATP::C2_2::M2_1,ADP::C2_2::M2_1,Pi::C2_2::M2_1,mem_P3::C2_2::M2_1,mem_P4::C2_2::M2_1,mem_P5::C2_2::M2_1,H2O::C2_3::M2_1,OH-::C2_3::M2_1,H+::C2_3::M2_1,l::C2_3::M2_1,m::C2_3::M2_1,n::C2_3::M2_1,q::C2_3::M2_1,en_Y::C2_3::M2_1,ATP::C2_3::M2_1,ADP::C2_3::M2_1,Pi::C2_3::M2_1,mem_P3::C2_3::M2_1,mem_P4::C2_3::M2_1,mem_P5::C2_3::M2_1
0,10000000000000,100000,100000,1000000,100000,10000,0,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000
100,9999999998998,101002,101002,999936,98834,6176,0,9999999555,100,100,10,445,817,3000,2000,0,99446,0,0,9999555,10000445,10000445,1000,500,300,9999999550,100,100,16,450,763,3000,2000,0,99453,0,0,9999550,10000450,10000450,1000,500,300,9999999909,101,101,14,90,596,3000,2000,0,99909,0,0,9999910,10000090,10000090,1000,100,300,9999999905,100,100,12,95,698,3000,2000,0,99906,0,0,9999905,10000095,10000095,1000,100,300,9999999913,101,101,3,77,950,3000,2000,9,99908,0,0,9999914,10000086,10000086,1000,100,300,1000000000,100,100,0,275,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,279,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000001,99,99,0,272,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000001,99,99,0,275,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,91,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,94,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,92,100000,0,10000,1000000,1000000,1000000,5000,1000,2000
200,9999999901589,198411,198411,995058,3165,0,1,9999962608,194,194,5,36371,1861,3000,2000,597,56988,64,75,9962702,10037298,10037298,1000,500,300,9999962725,182,182,0,36203,2031,3000,2000,636,56770,71,76,9962807,10037193,10037193,1000,500,300,9999992509,186,186,11,6378,1793,3000,2000,792,91040,56,39,9992595,10007405,10007405,1000,100,300,9999992414,194,194,0,6479,1870,3000,2000,799,91362,32,45,9992508,10007492,10007492,1000,100,300,9999992459,194,194,0,6478,2170,3000,2000,773,91201,42,39,9992553,10007447,10007447,1000,100,300,999999920,106,106,4,21268,99832,94,10000,999926,1000074,1000074,5000,3000,2000,999999943,92,92,1,21419,99843,92,10000,999935,1000065,1000065,5000,3000,2000,999999932,96,96,0,21417,99824,104,10000,999928,1000072,1000072,5000,3000,2000,999999930,95,95,0,21459,99822,103,10000,999925,1000075,1000075,5000,3000,2000,999999905,100,100,0,8725,99765,140,10000,999905,1000095,1000095,5000,1000,2000,999999923,99,99,5,8429,99791,131,10000,999922,1000078,1000078,5000,1000,2000,999999914,105,105,6,8609,99810,109,10000,999919,1000081,1000081,5000,1000,2000
300,9999999807940,292060,292060,990201,0,0,28,9999961271,315,315,0,36654,1529,3000,2000,813,32184,256,402,9961486,10038514,10038514,1000,500,300,9999961416,271,271,8,36440,1642,3000,2000,872,31972,244,457,9961587,10038413,10038413,1000,500,300,9999992176,289,289,0,5580,1509,3000,2000,1278,83011,175,321,9992365,10007635,10007635,1000,100,300,9999992088,289,289,3,5739,1643,3000,2000,1271,83307,167,267,9992277,10007723,10007723,1000,100,300,9999992093,292,292,0,5799,1918,3000,2000,1216,83220,142,284,9992285,10007715,10007715,1000,100,300,999999665,104,104,4,33260,99472,197,10000,999669,1000331,1000331,5000,3000,2000,999999676,92,92,2,33515,99487,181,10000,999668,1000332,1000332,5000,3000,2000,999999643,90,90,4,33377,99445,188,10000,999633,1000367,1000367,5000,3000,2000,999999658,100,100,5,33559,99463,195,10000,999658,1000342,1000342,5000,3000,2000,999999501,101,101,10,16222,99233,269,10000,999502,1000498,1000498,5000,1000,2000,999999569,91,91,3,15983,99290,270,10000,999560,1000440,1000440,5000,1000,2000,999999555,112,112,2,16082,99302,265,10000,999567,1000433,1000433,5000,1000,2000
400,9999999719331,380669,380669,985324,0,0,126,9999961185,401,401,9,35717,915,3000,2000,876,18051,409,996,9961486,10038514,10038514,1000,500,300,9999961327,360,360,10,35486,1023,3000,2000,933,17764,400,1045,9961587,10038413,10038413,1000,500,300,9999992090,375,375,7,4574,1058,3000,2000,1569,75616,303,761,9992365,10007635,10007635,1000,100,300,9999991994,383,383,12,4732,1182,3000,2000,1566,75992,304,710,9992277,10007723,10007723,1000,100,300,9999991988,397,397,8,4861,1437,3000,2000,1458,75823,236,747,9992285,10007715,10007715,1000,100,300,999999278,102,102,11,39946,99028,252,10000,999280,1000720,1000720,5000,3000,2000,999999293,97,97,4,40097,99066,224,10000,999290,1000710,1000710,5000,3000,2000,999999276,85,85,1,39961,99015,246,10000,999261,1000739,1000739,5000,3000,2000,999999257,98,98,2,40284,98994,261,10000,999255,1000745,1000745,5000,3000,2000,999998922,101,101,12,22904,98520,403,10000,998923,1001077,1001077,5000,1000,2000,999998965,97,97,1,22584,98576,386,10000,998962,1001038,1001038,5000,1000,2000,999998987,105,105,13,22794,98617,375,10000,998992,1001008,1001008,5000,1000,2000
500,9999999637430,462570,462570,980531,0,0,259,9999961097,489,489,2,34781,386,3000,2000,898,9884,772,1493,9961486,10038514,10038514,1000,500,300,9999961235,452,452,7,34555,429,3000,2000,935,9902,756,1616,9961587,10038413,10038413,1000,500,300,9999992005,460,460,8,3607,547,3000,2000,1702,68843,575,1247,9992365,10007635,10007635,1000,100,300,9999991909,468,468,0,3738,655,3000,2000,1786,69341,495,1205,9992277,10007723,10007723,1000,100,300,9999991912,473,473,2,3869,885,3000,2000,1667,69217,424,1278,9992285,10007715,10007715,1000,100,300,999998824,96,96,0,43510,98549,271,10000,998820,1001180,1001180,5000,3000,2000,999998864,94,94,1,43772,98617,241,10000,998858,1001142,1001142,5000,3000,2000,999998795,93,93,2,43483,98558,230,10000,998788,1001212,1001212,5000,3000,2000,999998781,97,97,4,43698,98525,253,10000,998778,1001222,1001222,5000,3000,2000,999998137,103,103,2,28833,97676,464,10000,998140,1001860,1001860,5000,1000,2000,999998244,100,100,9,28469,97810,434,10000,998244,1001756,1001756,5000,1000,2000,999998246,106,106,6,28610,97827,425,10000,998252,1001748,1001748,5000,1000,2000
600,9999999562708,537292,537292,975710,0,0,491,9999961042,544,544,8,33816,85,3000,2000,889,5362,1418,1742,9961486,10038514,10038514,1000,500,300,9999961159,528,528,0,33523,96,3000,2000,977,5433,1330,1886,9961587,10038413,10038413,1000,500,300,9999991929,536,536,10,2643,152,3000,2000,1762,62668,1060,1608,9992365,10007635,10007635,1000,100,300,9999991815,562,562,12,2833,197,3000,2000,1769,63170,886,1624,9992277,10007723,10007723,1000,100,300,9999991829,556,556,0,2925,368,3000,2000,1761,63066,711,1751,9992285,10007715,10007715,1000,100,300,999998331,91,91,0,45297,98056,266,10000,998322,1001678,1001678,5000,3000,2000,999998407,102,102,0,45532,98135,274,10000,998409,1001591,1001591,5000,3000,2000,999998350,88,88,1,45267,98058,280,10000,998338,1001662,1001662,5000,3000,2000,999998324,97,97,10,45398,98040,281,10000,998321,1001679,1001679,5000,3000,2000,999997251,109,109,9,34111,96779,481,10000,997260,1002740,1002740,5000,1000,2000,999997395,100,100,12,33721,96891,504,10000,997395,1002605,1002605,5000,1000,2000,999997442,106,106,8,33913,96979,469,10000,997448,1002552,1002552,5000,1000,2000
700,9999999495354,604646,604646,970806,0,0,756,9999960969,617,617,9,32856,7,3000,2000,916,2924,2249,1767,9961486,10038514,10038514,1000,500,300,9999961081,606,606,3,32488,17,3000,2000,1029,2960,2240,1919,9961587,10038413,10038413,1000,500,300,9999991855,610,610,2,1711,20,3000,2000,1761,57079,1818,1686,9992365,10007635,10007635,1000,100,300,9999991744,633,633,12,1807,38,3000,2000,1932,57554,1595,1732,9992277,10007723,10007723,1000,100,300,9999991768,617,617,0,1970,90,3000,2000,1790,57391,1327,1968,9992285,10007715,10007715,1000,100,300,999997875,91,91,1,46043,97578,288,10000,997866,1002134,1002134,5000,3000,2000,999997954,102,102,1,46293,97682,274,10000,997956,1002044,1002044,5000,3000,2000,999997878,89,89,3,46098,97571,296,10000,997867,1002133,1002133,5000,3000,2000,999997808,95,95,2,46051,97538,265,10000,997803,1002197,1002197,5000,3000,2000,999996367,103,103,1,38759,95838,532,10000,996370,1003630,1003630,5000,1000,2000,999996525,102,102,4,38466,96020,507,10000,996527,1003473,1003473,5000,1000,2000,999996548,106,106,1,38655,96046,508,10000,996554,1003446,1003446,5000,1000,2000
800,9999999435589,664411,664411,966103,0,0,1036,9999960901,685,685,0,31936,1,3000,2000,902,1622,3243,1726,9961486,10038514,10038514,1000,500,300,9999961033,654,654,0,31567,0,3000,2000,939,1625,3267,1883,9961587,10038413,10038413,1000,500,300,9999991801,664,664,1,764,2,3000,2000,1823,51892,2719,1644,9992365,10007635,10007635,1000,100,300,9999991703,674,674,18,893,3,3000,2000,1918,52309,2465,1716,9992277,10007723,10007723,1000,100,300,9999991695,690,690,4,966,7,3000,2000,1902,52151,2129,1982,9992285,10007715,10007715,1000,100,300,999997392,84,84,0,46242,97126,250,10000,997376,1002624,1002624,5000,3000,2000,999997443,103,103,2,46462,97200,246,10000,997446,1002554,1002554,5000,3000,2000,999997314,95,95,7,46250,97043,266,10000,997309,1002691,1002691,5000,3000,2000,999997319,98,98,4,46229,97061,256,10000,997317,1002683,1002683,5000,3000,2000,999995448,103,103,8,43068,94960,491,10000,995451,1004549,1004549,5000,1000,2000,999995622,100,100,0,42779,95088,534,10000,995622,1004378,1004378,5000,1000,2000,999995663,106,106,1,43003,95154,515,10000,995669,1004331,1004331,5000,1000,2000
900,9999999383565,716435,716435,961294,0,0,1285,9999960852,734,734,1,30982,0,3000,2000,909,910,4164,1680,9961486,10038514,10038514,1000,500,300,9999960987,700,700,0,30605,0,3000,2000,977,898,4212,1831,9961587,10038413,10038413,1000,500,300,9999991758,707,707,202,0,0,3000,2000,1720,47141,3592,1595,9992365,10007635,10007635,1000,100,300,9999991657,720,720,71,2,0,3000,2000,1854,47503,3389,1672,9992277,10007723,10007723,1000,100,300,9999991649,736,736,37,16,1,3000,2000,1932,47452,3005,1936,9992285,10007715,10007715,1000,100,300,999996923,86,86,2,46112,96643,266,10000,996909,1003091,1003091,5000,3000,2000,999996988,103,103,5,46362,96741,250,10000,996991,1003009,1003009,5000,3000,2000,999996836,99,99,9,46114,96560,275,10000,996835,1003165,1003165,5000,3000,2000,999996846,100,100,0,46166,96618,228,10000,996846,1003154,1003154,5000,3000,2000,999994579,97,97,0,46944,94085,491,10000,994576,1005424,1005424,5000,1000,2000,999994701,94,94,10,46640,94143,552,10000,994695,1005305,1005305,5000,1000,2000,999994786,101,101,0,46781,94233,554,10000,994787,1005213,1005213,5000,1000,2000
