Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O:=C1_2,OH-:=C1_2,H+:=C1_2,a:=C1_2,b:=C1_2,c:=C1_2,en_X:=C1_2,en_Z:=C1_2,l:=C1_2,m:=C1_2,q:=C1_2,r:=C1_2,ATP:=C1_2,ADP:=C1_2,Pi:=C1_2,mem_P1:=C1_2,mem_P2:=C1_2,mem_P6:=C1_2,H2O:=C2_1,OH-:=C2_1,H+:=C2_1,a:=C2_1,b:=C2_1,c:=C2_1,en_X:=C2_1,en_Z:=C2_1,l:=C2_1,m:=C2_1,q:=C2_1,r:=C2_1,ATP:=C2_1,ADP:=C2_1,Pi:=C2_1,mem_P1:=C2_1,mem_P2:=C2_1,mem_P6:=C2_1,H2O:=C2_2,OH-:=C2_2,H+:=C2_2,a:=C2_2,b:=C2_2,c:=C2_2,en_X:=C2_2,en_Z:=C2_2,l:=C2_2,m:=C2_2,q:=C2_2,r:=C2_2,ATP:=C2_2,ADP:=C2_2,Pi:=C2_2,mem_P1:=C2_2,mem_P2:=C2_2,mem_P6:=C2_2,H2O:=C2_3,OH-:=C2_3,H+:=C2_3,a:=C2_3,b:=C2_3,c:=C2_3,en_X:=C2_3,en_Z:=C2_3,l:=C2_3,m:=C2_3,q:=C2_3,r:=C2_3,ATP:=C2_3,ADP:=C2_3,Pi:=C2_3,mem_P1:=C2_3,mem_P2:=C2_3,mem_P6:=C2_3,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1,H2O::C1_1::M1_2,OH-::C1_1::M1_2,H+::C1_1::M1_2,l::C1_1::M1_2,m::C1_1::M1_2,n::C1_1::M1_2,q::C1_1::M1_2,en_Y::C1_1::M1_2,ATP::C1_1::M1_2,ADP::C1_1::M1_2,Pi::C1_1::M1_2,mem_P3::C1_1::M1_2,mem_P4::C1_1::M1_2,mem_P5::C1_1::M1_2,H2O::C1_2::M1_1,OH-::C1_2::M1_1,H+::C1_2::M1_1,l::C1_2::M1_1,m::C1_2::M1_1,n::C1_2::M1_1,q::C1_2::M1_1,en_Y::C1_2::M1_1,ATP::C1_2::M1_1,ADP::C1_2::M1_1,Pi::C1_2::M1_1,mem_P3::C1_2::M1_1,mem_P4::C1_2::M1_1,mem_P5::C1_2::M1_1,H2O::C1_2::M1_2,OH-::C1_2::M1_2,H+::C1_2::M1_2,l::C1_2::M1_2,m::C1_2::M1_2,n::C1_2::M1_2,q::C1_2::M1_2,en_Y::C1_2::M1_2,ATP::C1_2::M1_2,ADP::C1_2::M1_2,Pi::C1_2::M1_2,mem_P3::C1_2::M1_2,mem_P4::C1_2::M1_2,mem_P5::C1_2::M1_2,H2O::C1_1::M2_1,OH-::C1_1::M2_1,H+::C1_1::M2_1,l::C1_1::M2_1,m::C1_1::M2_1,n::C1_1::M2_1,q::C1_1::M2_1,en_Y::C1_1::M2_1,ATP::C1_1::M2_1,ADP::C1_1::M2_1,Pi::C1_1::M2_1,mem_P3::C1_1::M2_1,mem_P4::C1_1::M2_1,mem_P5::C1_1::M2_1,H2O::C1_2::M2_1,OH-::C1_2::M2_1,H+::C1_2::M2_1,l::C1_2::M2_1,m::C1_2::M2_1,n::C1_2::M2_1,q::C1_2::M2_1,en_Y::C1_2::M2_1,ATP::C1_2::M2_1,ADP::C1_2::M2_1,Pi::C1_2::M2_1,mem_P3::C1_2::M2_1,mem_P4::C1_2::M2_1,mem_P5::C1_2::M2_1,H2O::C2_1::M2_1,OH-::C2_1::M2_1,H+::C2_1::M2_1,l::C2_1::M2_1,m::C2_1::M2_1,n::C2_1::M2_1,q::C2_1::M2_1,en_Y::C2_1::M2_1,ATP::C2_1::M2_1,ADP::C2_1::M2_1,Pi::C2_1::M2_1,mem_P3::C2_1::M2_1,mem_P4::C2_1::M2_1,mem_P5::C2_1::M2_1,H2O::C2_2::M2_1,OH-::C2_2::M2_1,H+::C2_2::M2_1,l::C2_2::M2_1,m::C2_2::M2_1,n::C2_2::M2_1,q::C2_2::M2_1,en_Y::C2_2::M2_1,ATP::C2_2::M2_1,ADP::C2_2::M2_1,Pi::C2_2::M2_1,mem_P3::C2_2::M2_1,mem_P4::C2_2::M2_1,mem_P5::C2_2::M2_1,H2O::C2_3::M2_1,OH-::C2_3::M2_1,H+::C2_3::M2_1,l::C2_3::M2_1,m::C2_3::M2_1,n::C2_3::M2_1,q::C2_3::M2_1,en_Y::C2_3::M2_1,ATP::C2_3::M2_1,ADP::C2_3::M2_1,Pi::C2_3::M2_1,mem_P3::C2_3::M2_1,mem_P4::C2_3::M2_1,mem_P5::C2_3::M2_1
0,10000000000000,100000,100000,1000000,100000,10000,0,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000
100,9999999999001,100999,100999,999949,98804,6197,0,9999999542,101,101,14,457,725,3000,2000,0,99353,0,0,9999543,10000457,10000457,1000,500,300,9999999535,101,101,9,464,943,3000,2000,0,99363,0,0,9999536,10000464,10000464,1000,500,300,9999999904,102,102,6,87,876,3000,2000,7,99920,0,0,9999906,10000094,10000094,1000,100,300,9999999909,101,101,3,90,662,3000,2000,0,99890,0,0,9999910,10000090,10000090,1000,100,300,9999999907,102,102,7,86,597,3000,2000,5,99914,0,0,9999909,10000091,10000091,1000,100,300,1000000001,99,99,0,286,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,999999999,101,101,0,273,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,283,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,259,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,88,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,95,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,999999999,101,101,0,80,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,110,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,86,100000,0,10000,1000000,1000000,1000000,5000,1000,2000
200,9999999901528,198472,198472,995001,3121,0,2,9999962627,199,199,1,36301,1667,3000,2000,526,51763,108,92,9962726,10037274,10037274,1000,500,300,9999962612,195,195,1,36342,2171,3000,2000,459,51795,103,110,9962707,10037293,10037293,1000,500,300,9999992545,188,188,1,6325,2049,3000,2000,836,91161,29,46,9992633,10007367,10007367,1000,100,300,9999992378,197,197,0,6512,1909,3000,2000,785,91242,47,49,9992475,10007525,10007525,1000,100,300,9999992488,192,192,0,6403,1869,3000,2000,813,91197,40,36,9992580,10007420,10007420,1000,100,300,999999936,97,97,1,20600,99841,92,10000,999933,1000067,1000067,5000,3000,2000,999999938,99,99,2,20495,99852,85,10000,999937,1000063,1000063,5000,3000,2000,999999929,101,101,1,20592,99848,82,10000,999930,1000070,1000070,5000,3000,2000,999999930,101,101,1,20338,99835,96,10000,999931,1000069,1000069,5000,3000,2000,999999927,103,103,1,6699,99864,66,10000,999930,1000070,1000070,5000,1000,2000,999999921,104,104,3,6788,99830,95,10000,999925,1000075,1000075,5000,1000,2000,999999922,103,103,0,8633,99794,131,10000,999925,1000075,1000075,5000,1000,2000,999999904,100,100,2,8532,99774,130,10000,999904,1000096,1000096,5000,1000,2000,999999917,106,106,6,8605,99802,121,10000,999923,1000077,1000077,5000,1000,2000
300,9999999807247,292753,292753,990217,0,0,35,9999961304,286,286,11,36543,1209,3000,2000,634,26400,292,541,9961490,10038510,10038510,1000,500,300,9999961373,275,275,0,36487,1670,3000,2000,627,26209,250,601,9961548,10038452,10038452,1000,500,300,9999992212,265,265,1,5597,1821,3000,2000,1305,83057,147,266,9992377,10007623,10007623,1000,100,300,9999992046,293,293,7,5870,1641,3000,2000,1187,83180,142,315,9992239,10007761,10007761,1000,100,300,9999992151,295,295,0,5739,1642,3000,2000,1219,83126,143,259,9992346,10007654,10007654,1000,100,300,999999724,92,92,0,31209,99554,162,10000,999716,1000284,1000284,5000,3000,2000,999999729,98,98,6,31104,99574,153,10000,999727,1000273,1000273,5000,3000,2000,999999705,108,108,0,31332,99569,144,10000,999713,1000287,1000287,5000,3000,2000,999999699,104,104,4,31050,99541,162,10000,999703,1000297,1000297,5000,3000,2000,999999711,104,104,2,9962,99547,168,10000,999715,1000285,1000285,5000,1000,2000,999999720,102,102,0,10075,99556,166,10000,999722,1000278,1000278,5000,1000,2000,999999582,97,97,0,16222,99279,300,10000,999579,1000421,1000421,5000,1000,2000,999999542,99,99,5,16121,99301,240,10000,999541,1000459,1000459,5000,1000,2000,999999583,110,110,1,16179,99305,288,10000,999593,1000407,1000407,5000,1000,2000
400,9999999718360,381640,381640,985351,0,0,125,9999961197,393,393,3,35591,602,3000,2000,634,13295,607,1135,9961490,10038510,10038510,1000,500,300,9999961303,345,345,10,35505,966,3000,2000,649,13124,459,1279,9961548,10038452,10038452,1000,500,300,9999992118,359,359,1,4631,1351,3000,2000,1540,75733,295,718,9992377,10007623,10007623,1000,100,300,9999991961,378,378,8,4863,1243,3000,2000,1519,75816,280,698,9992239,10007761,10007761,1000,100,300,9999992076,370,370,0,4783,1194,3000,2000,1482,75795,294,689,9992346,10007654,10007654,1000,100,300,999999422,86,86,1,36491,99249,159,10000,999408,1000592,1000592,5000,3000,2000,999999436,95,95,4,36440,99259,172,10000,999431,1000569,1000569,5000,3000,2000,999999424,113,113,0,36731,99266,171,10000,999437,1000563,1000563,5000,3000,2000,999999365,111,111,2,36246,99214,162,10000,999376,1000624,1000624,5000,3000,2000,999999391,106,106,5,11499,99217,180,10000,999397,1000603,1000603,5000,1000,2000,999999404,108,108,4,11607,99228,184,10000,999412,1000588,1000588,5000,1000,2000,999998965,96,96,5,22820,98553,408,10000,998961,1001039,1001039,5000,1000,2000,999999003,102,102,2,22807,98623,382,10000,999005,1000995,1000995,5000,1000,2000,999998986,108,108,7,22823,98618,376,10000,998994,1001006,1001006,5000,1000,2000
500,9999999636804,463196,463196,980457,0,0,268,9999961118,472,472,0,34585,147,3000,2000,651,6670,1124,1564,9961490,10038510,10038510,1000,500,300,9999961215,433,433,0,34510,367,3000,2000,665,6533,815,1835,9961548,10038452,10038452,1000,500,300,9999992021,456,456,1,3643,752,3000,2000,1727,68970,467,1284,9992377,10007623,10007623,1000,100,300,9999991880,459,459,9,3900,726,3000,2000,1731,69152,463,1192,9992239,10007761,10007761,1000,100,300,9999991993,453,453,8,3837,681,3000,2000,1653,69015,477,1184,9992346,10007654,10007654,1000,100,300,999999095,86,86,6,38964,98899,182,10000,999081,1000919,1000919,5000,3000,2000,999999116,91,91,1,39011,98938,169,10000,999107,1000893,1000893,5000,3000,2000,999999120,113,113,1,39240,98947,186,10000,999133,1000867,1000867,5000,3000,2000,999999041,112,112,6,38730,98882,171,10000,999053,1000947,1000947,5000,3000,2000,999999070,106,106,0,12088,98896,180,10000,999076,1000924,1000924,5000,1000,2000,999999080,104,104,6,12233,98907,177,10000,999084,1000916,1000916,5000,1000,2000,999998194,96,96,12,28789,97759,431,10000,998190,1001810,1001810,5000,1000,2000,999998305,100,100,8,28726,97878,427,10000,998305,1001695,1001695,5000,1000,2000,999998296,102,102,2,28823,97838,460,10000,998298,1001702,1001702,5000,1000,2000
600,9999999561624,538376,538376,975584,0,0,541,9999961033,557,557,5,33648,16,3000,2000,622,3322,1963,1645,9961490,10038510,10038510,1000,500,300,9999961138,510,510,0,33551,59,3000,2000,644,3315,1469,2064,9961548,10038452,10038452,1000,500,300,9999991950,527,527,2,2698,290,3000,2000,1780,62879,881,1693,9992377,10007623,10007623,1000,100,300,9999991796,543,543,16,2896,271,3000,2000,1814,62977,850,1599,9992239,10007761,10007761,1000,100,300,9999991928,518,518,17,2831,263,3000,2000,1790,62723,864,1559,9992346,10007654,10007654,1000,100,300,999998756,93,93,4,40030,98554,195,10000,998749,1001251,1001251,5000,3000,2000,999998812,88,88,5,40198,98640,160,10000,998800,1001200,1001200,5000,3000,2000,999998786,115,115,4,40292,98614,187,10000,998801,1001199,1001199,5000,3000,2000,999998734,116,116,0,39767,98572,178,10000,998750,1001250,1001250,5000,3000,2000,999998739,106,106,1,12220,98576,169,10000,998745,1001255,1001255,5000,1000,2000,999998750,107,107,8,12381,98569,188,10000,998757,1001243,1001243,5000,1000,2000,999997316,98,98,1,33977,96856,458,10000,997314,1002686,1002686,5000,1000,2000,999997466,97,97,2,33974,96951,512,10000,997463,1002537,1002537,5000,1000,2000,999997488,105,105,0,34244,96967,526,10000,997493,1002507,1002507,5000,1000,2000
700,9999999495122,604878,604878,970707,0,0,825,9999960977,613,613,8,32698,1,3000,2000,630,1663,2890,1612,9961490,10038510,10038510,1000,500,300,9999961064,584,584,9,32593,4,3000,2000,627,1652,2372,2052,9961548,10038452,10038452,1000,500,300,9999991887,590,590,0,1703,42,3000,2000,1869,57198,1518,1866,9992377,10007623,10007623,1000,100,300,9999991714,625,625,10,1860,37,3000,2000,1898,57270,1551,1778,9992239,10007761,10007761,1000,100,300,9999991843,603,603,10,1890,35,3000,2000,1782,57046,1574,1748,9992346,10007654,10007654,1000,100,300,999998447,89,89,4,40429,98239,197,10000,998436,1001564,1001564,5000,3000,2000,999998525,83,83,6,40593,98339,169,10000,998508,1001492,1001492,5000,3000,2000,999998447,110,110,0,40599,98250,207,10000,998457,1001543,1001543,5000,3000,2000,999998447,115,115,2,40230,98279,183,10000,998462,1001538,1001538,5000,3000,2000,999998409,99,99,0,12143,98250,158,10000,998408,1001592,1001592,5000,1000,2000,999998429,102,102,3,12292,98244,187,10000,998431,1001569,1001569,5000,1000,2000,999996434,95,95,2,38753,95951,478,10000,996429,1003571,1003571,5000,1000,2000,999996530,98,98,0,38727,95997,531,10000,996528,1003472,1003472,5000,1000,2000,999996551,104,104,3,38975,96021,534,10000,996555,1003445,1003445,5000,1000,2000
800,9999999435241,664759,664759,965904,0,0,1108,9999960922,668,668,1,31737,0,3000,2000,650,840,3831,1570,9961490,10038510,10038510,1000,500,300,9999961014,634,634,0,31609,0,3000,2000,635,833,3384,1988,9961548,10038452,10038452,1000,500,300,9999991806,671,671,2,747,2,3000,2000,1894,51976,2381,1845,9992377,10007623,10007623,1000,100,300,9999991657,682,682,12,853,1,3000,2000,1962,52105,2443,1752,9992239,10007761,10007761,1000,100,300,9999991792,654,654,4,977,2,3000,2000,1824,51760,2471,1732,9992346,10007654,10007654,1000,100,300,999998099,89,89,1,40491,97926,162,10000,998088,1001912,1001912,5000,3000,2000,999998227,87,87,2,40621,98025,189,10000,998214,1001786,1001786,5000,3000,2000,999998086,109,109,3,40622,97919,176,10000,998095,1001905,1001905,5000,3000,2000,999998137,114,114,2,40279,97976,175,10000,998151,1001849,1001849,5000,3000,2000,999998110,98,98,0,11928,97929,179,10000,998108,1001892,1001892,5000,1000,2000,999998085,103,103,2,12065,97904,184,10000,998088,1001912,1001912,5000,1000,2000,999995531,95,95,0,43042,95018,508,10000,995526,1004474,1004474,5000,1000,2000,999995591,109,109,2,42951,95056,544,10000,995600,1004400,1004400,5000,1000,2000,999995625,100,100,0,43387,95147,478,10000,995625,1004375,1004375,5000,1000,2000
900,9999999383217,716783,716783,961156,0,0,1361,9999960873,717,717,0,30738,0,3000,2000,676,428,4777,1534,9961490,10038510,10038510,1000,500,300,9999960970,678,678,1,30676,0,3000,2000,632,401,4299,1929,9961548,10038452,10038452,1000,500,300,9999991749,728,728,164,0,0,3000,2000,1743,47343,3300,1784,9992377,10007623,10007623,1000,100,300,9999991617,722,722,92,1,0,3000,2000,1815,47364,3415,1709,9992239,10007761,10007761,1000,100,300,9999991725,721,721,28,26,0,3000,2000,1894,47013,3329,1683,9992346,10007654,10007654,1000,100,300,999997800,93,93,6,40314,97584,209,10000,997793,1002207,1002207,5000,3000,2000,999997893,92,92,7,40507,97717,168,10000,997885,1002115,1002115,5000,3000,2000,999997786,111,111,4,40500,97623,174,10000,997797,1002203,1002203,5000,3000,2000,999997830,114,114,0,40136,97647,197,10000,997844,1002156,1002156,5000,3000,2000,999997787,99,99,3,11671,97619,167,10000,997786,1002214,1002214,5000,1000,2000,999997774,104,104,5,11828,97595,183,10000,997778,1002222,1002222,5000,1000,2000,999994609,96,96,3,46780,94123,482,10000,994605,1005395,1005395,5000,1000,2000,999994621,106,106,15,46706,94070,557,10000,994627,1005373,1005373,5000,1000,2000,999994767,98,98,0,47253,94266,499,10000,994765,1005235,1005235,5000,1000,2000
1000,9999999338254,761746,761746,956325,0,0,1609,9999960821,769,769,3,29787,0,3000,2000,636,207,5805,1494,9961490,10038510,10038510,1000,500,300,9999960899,749,749,0,29707,0,3000,2000,668,199,5264,1885,9961548,10038452,10038452,1000,500,300,9999991708,769,769,1113,0,0,3000,2000,1065,43076,4081,1731,9992377,10007623,10007623,1000,100,300,9999991575,764,764,1076,0,0,3000,2000,1110,43011,4281,1653,9992239,10007761,10007761,1000,100,300,9999991689,757,757,977,0,0,3000,2000,1163,42850,4177,1628,9992346,10007654,10007654,1000,100,300,999997433,86,86,5,40074,97228,191,10000,997419,1002581,1002581,5000,3000,2000,999997560,90,90,5,40262,97393,157,10000,997550,1002450,1002450,5000,3000,2000,999997461,99,99,0,40242,97286,174,10000,997460,1002540,1002540,5000,3000,2000,999997520,115,115,3,39936,97355,180,10000,997535,1002465,1002465,5000,3000,2000,999997468,99,99,0,11380,97302,165,10000,997467,1002533,1002533,5000,1000,2000,999997459,100,100,3,11552,97288,171,10000,997459,1002541,1002541,5000,1000,2000,999993833,91,91,0,50366,93442,382,10000,993824,1006176,1006176,5000,1000,2000,999993761,100,100,0,50338,93349,412,10000,993761,1006239,1006239,5000,1000,2000,999993921,96,96,0,50659,93509,408,10000,993917,1006083,1006083,5000,1000,2000
1100,9999999300056,799944,799944,951640,0,0,1897,9999960807,783,783,14,28826,0,3000,2000,627,110,6753,1442,9961490,10038510,10038510,1000,500,300,9999960882,766,766,0,28755,0,3000,2000,644,105,6234,1815,9961548,10038452,10038452,1000,500,300,9999991680,797,797,1991,0,0,3000,2000,659,39038,4636,1672,9992377,10007623,10007623,1000,100,300,9999991527,812,812,2014,0,0,3000,2000,663,39068,4868,1600,9992239,10007761,10007761,1000,100,300,9999991630,816,816,1922,0,0,3000,2000,709,38900,4781,1574,9992346,10007654,10007654,1000,100,300,999997114,82,82,3,39804,96914,182,10000,997096,1002904,1002904,5000,3000,2000,999997268,90,90,1,39994,97088,170,10000,997258,1002742,1002742,5000,3000,2000,999997137,93,93,0,39952,96957,173,10000,997130,1002870,1002870,5000,3000,2000,999997195,111,111,1,39659,97034,172,10000,997206,1002794,1002794,5000,3000,2000,999997130,104,104,8,11047,96953,181,10000,997134,1002866,1002866,5000,1000,2000,999997147,101,101,1,11233,96958,190,10000,997148,1002852,1002852,5000,1000,2000,999993281,88,88,0,53998,93036,233,10000,993269,1006731,1006731,5000,1000,2000,999993177,97,97,4,53838,92906,268,10000,993174,1006826,1006826,5000,1000,2000,999993320,93,93,1,54156,93056,257,10000,993313,1006687,1006687,5000,1000,2000
