Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O:=C1_2,OH-:=C1_2,H+:=C1_2,a:=C1_2,b:=C1_2,c:=C1_2,en_X:=C1_2,en_Z:=C1_2,l:=C1_2,m:=C1_2,q:=C1_2,r:=C1_2,ATP:=C1_2,ADP:=C1_2,Pi:=C1_2,mem_P1:=C1_2,mem_P2:=C1_2,mem_P6:=C1_2,H2O:=C2_1,OH-:=C2_1,H+:=C2_1,a:=C2_1,b:=C2_1,c:=C2_1,en_X:=C2_1,en_Z:=C2_1,l:=C2_1,m:=C2_1,q:=C2_1,r:=C2_1,ATP:=C2_1,ADP:=C2_1,Pi:=C2_1,mem_P1:=C2_1,mem_P2:=C2_1,mem_P6:=C2_1,H2O:=C2_2,OH-:=C2_2,H+:=C2_2,a:=C2_2,b:=C2_2,c:=C2_2,en_X:=C2_2,en_Z:=C2_2,l:=C2_2,m:=C2_2,q:=C2_2,r:=C2_2,ATP:=C2_2,ADP:=C2_2,Pi:=C2_2,mem_P1:=C2_2,mem_P2:=C2_2,mem_P6:=C2_2,H2O:=C2_3,OH-:=C2_3,H+:=C2_3,a:=C2_3,b:=C2_3,c:=C2_3,en_X:=C2_3,en_Z:=C2_3,l:=C2_3,m:=C2_3,q:=C2_3,r:=C2_3,ATP:=C2_3,ADP:=C2_3,Pi:=C2_3,mem_P1:=C2_3,mem_P2:=C2_3,mem_P6:=C2_3,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1,H2O::C1_1::M1_2,OH-::C1_1::M1_2,H+::C1_1::M1_2,l::C1_1::M1_2,m::C1_1::M1_2,n::C1_1::M1_2,q::C1_1::M1_2,en_Y::C1_1::M1_2,ATP::C1_1::M1_2,ADP::C1_1::M1_2,Pi::C1_1::M1_2,mem_P3::C1_1::M1_2,mem_P4::C1_1::M1_2,mem_P5::C1_1::M1_2,H2O::C1_2::M1_1,OH-::C1_2::M1_1,H+::C1_2::M1_1,l::C1_2::M1_1,m::C1_2::M1_1,n::C1_2::M1_1,q::C1_2::M1_1,en_Y::C1_2::M1_1,ATP::C1_2::M1_1,ADP::C1_2::M1_1,Pi::C1_2::M1_1,mem_P3::C1_2::M1_1,mem_P4::C1_2::M1_1,mem_P5::C1_2::M1_1,H2O::C1_2::M1_2,OH-::C1_2::M1_2,H+::C1_2::M1_2,l::C1_2::M1_2,m::C1_2::M1_2,n::C1_2::M1_2,q::C1_2::M1_2,en_Y::C1_2::M1_2,ATP::C1_2::M1_2,ADP::C1_2::M1_2,Pi::C1_2::M1_2,mem_P3::C1_2::M1_2,mem_P4::C1_2::M1_2,mem_P5::C1_2::M1_2,H2O::C1_1::M2_1,OH-::C1_1::M2_1,H+::C1_1::M2_1,l::C1_1::M2_1,m::C1_1::M2_1,n::C1_1::M2_1,q::C1_1::M2_1,en_Y::C1_1::M2_1,ATP::C1_1::M2_1,ADP::C1_1::M2_1,Pi::C1_1::M2_1,mem_P3::C1_1::M2_1,mem_P4::C1_1::M2_1,mem_P5::C1_1::M2_1,H2O::C1_2::M2_1,OH-::C1_2::M2_1,H+::C1_2::M2_1,l::C1_2::M2_1,m::C1_2::M2_1,n::C1_2::M2_1,q::C1_2::M2_1,en_Y::C1_2::M2_1,ATP::C1_2::M2_1,ADP::C1_2::M2_1,Pi::C1_2::M2_1,mem_P3::C1_2::M2_1,mem_P4::C1_2::M2_1,mem_P5::C1_2::M2_1,H2O::C2_1::M1_1,OH-::C2_1::M1_1,H+::C2_1::M1_1,l::C2_1::M1_1,m::C2_1::M1_1,n::C2_1::M1_1,q::C2_1::M1_1,en_Y::C2_1::M1_1,ATP::C2_1::M1_1,ADP::C2_1::M1_1,Pi::C2_1::M1_1,mem_P3::C2_1::M1_1,mem_P4::C2_1::M1_1,mem_P5::C2_1::M1_1,H2O::C2_1::M1_2,OH-::C2_1::M1_2,H+::C2_1::M1_2,l::C2_1::M1_2,m::C2_1::M1_2,n::C2_1::M1_2,q::C2_1::M1_2,en_Y::C2_1::M1_2,ATP::C2_1::M1_2,ADP::C2_1::M1_2,Pi::C2_1::M1_2,mem_P3::C2_1::M1_2,mem_P4::C2_1::M1_2,mem_P5::C2_1::M1_2,H2O::C2_1::M2_1,OH-::C2_1::M2_1,H+::C2_1::M2_1,l::C2_1::M2_1,m::C2_1::M2_1,n::C2_1::M2_1,q::C2_1::M2_1,en_Y::C2_1::M2_1,ATP::C2_1::M2_1,ADP::C2_1::M2_1,Pi::C2_1::M2_1,mem_P3::C2_1::M2_1,mem_P4::C2_1::M2_1,mem_P5::C2_1::M2_1,H2O::C2_2::M2_1,OH-::C2_2::M2_1,H+::C2_2::M2_1,l::C2_2::M2_1,m::C2_2::M2_1,n::C2_2::M2_1,q::C2_2::M2_1,en_Y::C2_2::M2_1,ATP::C2_2::M2_1,ADP::C2_2::M2_1,Pi::C2_2::M2_1,mem_P3::C2_2::M2_1,mem_P4::C2_2::M2_1,mem_P5::C2_2::M2_1,H2O::C2_3::M2_1,OH-::C2_3::M2_1,H+::C2_3::M2_1,l::C2_3::M2_1,m::C2_3::M2_1,n::C2_3::M2_1,q::C2_3::M2_1,en_Y::C2_3::M2_1,ATP::C2_3::M2_1,ADP::C2_3::M2_1,Pi::C2_3::M2_1,mem_P3::C2_3::M2_1,mem_P4::C2_3::M2_1,mem_P5::C2_3::M2_1
0,10000000000000,100000,100000,1000000,100000,10000,0,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000
100,9999999902394,197606,197606,994997,3540,0,0,9999962839,182,182,10,36116,1786,3000,2000,502,51925,119,87,9962921,10037079,10037079,1000,500,300,9999962792,204,204,2,36110,1844,3000,2000,502,52129,90,106,9962896,10037104,10037104,1000,500,300,9999992476,183,183,13,6447,2205,3000,2000,518,51850,103,111,9992559,10007441,10007441,1000,100,300,9999992502,190,190,8,6395,1781,3000,2000,783,91335,47,47,9992592,10007408,10007408,1000,100,300,9999992475,197,197,1,6423,1999,3000,2000,801,91178,41,34,9992572,10007428,10007428,1000,100,300,999999925,97,97,2,20363,99840,82,10000,999922,1000078,1000078,5000,3000,2000,999999928,103,103,0,20465,99845,86,10000,999931,1000069,1000069,5000,3000,2000,999999949,97,97,0,20355,99870,76,10000,999946,1000054,1000054,5000,3000,2000,999999919,107,107,2,20405,99811,115,10000,999926,1000074,1000074,5000,3000,2000,999999944,97,97,4,6792,99860,81,10000,999941,1000059,1000059,5000,1000,2000,999999931,101,101,5,6626,99834,98,10000,999932,1000068,1000068,5000,1000,2000,999999933,97,97,0,20748,99849,81,10000,999930,1000070,1000070,5000,3000,2000,999999931,94,94,0,20293,99829,96,10000,999925,1000075,1000075,5000,3000,2000,999999932,99,99,2,6635,99848,83,10000,999931,1000069,1000069,5000,1000,2000,999999904,102,102,2,8437,99772,134,10000,999906,1000094,1000094,5000,1000,2000,999999923,102,102,5,8623,99801,124,10000,999925,1000075,1000075,5000,1000,2000
200,9999999809054,290946,290946,990098,0,0,33,9999961388,259,259,0,36470,1317,3000,2000,655,26452,312,548,9961547,10038453,10038453,1000,500,300,9999961358,283,283,0,36452,1370,3000,2000,668,26655,315,575,9961541,10038459,10038459,1000,500,300,9999992114,284,284,11,5730,1716,3000,2000,632,26490,269,590,9992298,10007702,10007702,1000,100,300,9999992140,280,280,0,5664,1536,3000,2000,1273,83390,162,289,9992320,10007680,10007680,1000,100,300,9999992091,303,303,8,5801,1740,3000,2000,1220,83262,128,286,9992294,10007706,10007706,1000,100,300,999999694,98,98,2,31051,99556,136,10000,999692,1000308,1000308,5000,3000,2000,999999724,101,101,0,31110,99566,159,10000,999725,1000275,1000275,5000,3000,2000,999999709,98,98,0,31013,99559,148,10000,999707,1000293,1000293,5000,3000,2000,999999670,105,105,0,31044,99543,132,10000,999675,1000325,1000325,5000,3000,2000,999999722,93,93,1,10062,99553,162,10000,999715,1000285,1000285,5000,1000,2000,999999718,105,105,2,9951,99561,162,10000,999723,1000277,1000277,5000,1000,2000,999999732,98,98,5,31289,99564,166,10000,999730,1000270,1000270,5000,3000,2000,999999709,95,95,1,30908,99544,160,10000,999704,1000296,1000296,5000,3000,2000,999999703,94,94,3,9982,99561,136,10000,999697,1000303,1000303,5000,1000,2000,999999540,106,106,6,15873,99263,283,10000,999546,1000454,1000454,5000,1000,2000,999999576,103,103,0,16053,99315,264,10000,999579,1000421,1000421,5000,1000,2000
300,9999999720214,379786,379786,985156,0,0,145,9999961304,343,343,0,35521,688,3000,2000,685,13371,539,1160,9961547,10038453,10038453,1000,500,300,9999961256,385,385,0,35429,706,3000,2000,698,13456,544,1214,9961541,10038459,10038459,1000,500,300,9999992014,384,384,0,4744,1002,3000,2000,655,13242,452,1272,9992298,10007702,10007702,1000,100,300,9999992042,378,378,1,4638,1080,3000,2000,1574,76005,317,730,9992320,10007680,10007680,1000,100,300,9999991988,406,406,4,4829,1297,3000,2000,1507,75991,257,706,9992294,10007706,10007706,1000,100,300,999999406,101,101,0,36404,99239,168,10000,999407,1000593,1000593,5000,3000,2000,999999450,101,101,4,36369,99263,188,10000,999451,1000549,1000549,5000,3000,2000,999999413,100,100,4,36292,99241,172,10000,999413,1000587,1000587,5000,3000,2000,999999392,95,95,0,36395,99210,177,10000,999387,1000613,1000613,5000,3000,2000,999999423,95,95,4,11617,99259,159,10000,999418,1000582,1000582,5000,1000,2000,999999409,103,103,2,11531,99223,189,10000,999412,1000588,1000588,5000,1000,2000,999999415,103,103,6,36537,99236,182,10000,999418,1000582,1000582,5000,3000,2000,999999404,102,102,7,36376,99240,166,10000,999406,1000594,1000594,5000,3000,2000,999999410,100,100,0,11555,99234,176,10000,999410,1000590,1000590,5000,1000,2000,999998930,105,105,9,22536,98541,394,10000,998935,1001065,1001065,5000,1000,2000,999999011,96,96,2,22641,98632,375,10000,999007,1000993,1000993,5000,1000,2000
400,9999999637681,462319,462319,980310,0,0,325,9999961218,429,429,12,34562,212,3000,2000,637,6698,1023,1603,9961547,10038453,10038453,1000,500,300,9999961163,478,478,8,34450,206,3000,2000,674,6729,1029,1675,9961541,10038459,10038459,1000,500,300,9999991939,459,459,5,3778,397,3000,2000,650,6705,814,1831,9992298,10007702,10007702,1000,100,300,9999991954,466,466,11,3676,557,3000,2000,1741,69255,524,1224,9992320,10007680,10007680,1000,100,300,9999991911,483,483,1,3881,761,3000,2000,1673,69281,469,1209,9992294,10007706,10007706,1000,100,300,999999087,105,105,2,38967,98905,187,10000,999092,1000908,1000908,5000,3000,2000,999999120,104,104,4,38871,98928,196,10000,999124,1000876,1000876,5000,3000,2000,999999091,103,103,0,38894,98908,186,10000,999094,1000906,1000906,5000,3000,2000,999999064,91,91,2,38875,98866,189,10000,999055,1000945,1000945,5000,3000,2000,999999101,99,99,1,12217,98920,180,10000,999100,1000900,1000900,5000,1000,2000,999999071,107,107,1,12170,98894,184,10000,999078,1000922,1000922,5000,1000,2000,999999098,102,102,0,39024,98920,180,10000,999100,1000900,1000900,5000,3000,2000,999999098,100,100,1,38848,98908,190,10000,999098,1000902,1000902,5000,3000,2000,999999069,100,100,0,12150,98899,170,10000,999069,1000931,1000931,5000,1000,2000,999998204,101,101,5,28487,97742,463,10000,998205,1001795,1001795,5000,1000,2000,999998262,97,97,0,28567,97848,411,10000,998259,1001741,1001741,5000,1000,2000
500,9999999562220,537780,537780,975580,0,0,572,9999961141,506,506,0,33577,24,3000,2000,626,3310,1835,1739,9961547,10038453,10038453,1000,500,300,9999961089,552,552,9,33519,26,3000,2000,626,3274,1829,1799,9961541,10038459,10038459,1000,500,300,9999991868,530,530,6,2834,70,3000,2000,616,3365,1448,2094,9992298,10007702,10007702,1000,100,300,9999991882,538,538,7,2738,177,3000,2000,1759,63128,1030,1561,9992320,10007680,10007680,1000,100,300,9999991841,553,553,12,2946,289,3000,2000,1761,62989,788,1649,9992294,10007706,10007706,1000,100,300,999998751,107,107,4,40067,98565,193,10000,998758,1001242,1001242,5000,3000,2000,999998793,105,105,2,39985,98608,190,10000,998798,1001202,1001202,5000,3000,2000,999998747,100,100,1,40069,98562,185,10000,998747,1001253,1001253,5000,3000,2000,999998737,94,94,1,40018,98547,184,10000,998731,1001269,1001269,5000,3000,2000,999998757,103,103,3,12397,98586,174,10000,998760,1001240,1001240,5000,1000,2000,999998764,105,105,1,12328,98580,189,10000,998769,1001231,1001231,5000,1000,2000,999998770,105,105,2,40094,98591,184,10000,998775,1001225,1001225,5000,3000,2000,999998761,101,101,1,39990,98577,185,10000,998762,1001238,1001238,5000,3000,2000,999998769,100,100,3,12305,98586,183,10000,998769,1001231,1001231,5000,1000,2000,999997319,100,100,1,33690,96818,501,10000,997319,1002681,1002681,5000,1000,2000,999997470,98,98,13,34025,97014,454,10000,997468,1002532,1002532,5000,1000,2000
600,9999999494903,605097,605097,970710,0,0,852,9999961098,549,549,8,32632,1,3000,2000,631,1667,2809,1703,9961547,10038453,10038453,1000,500,300,9999961012,629,629,13,32573,2,3000,2000,620,1598,2779,1765,9961541,10038459,10038459,1000,500,300,9999991787,611,611,0,1773,1,3000,2000,660,1697,2399,2103,9992298,10007702,10007702,1000,100,300,9999991818,602,602,13,1781,12,3000,2000,1818,57503,1764,1673,9992320,10007680,10007680,1000,100,300,9999991773,621,621,0,1985,60,3000,2000,1813,57379,1421,1828,9992294,10007706,10007706,1000,100,300,999998418,111,111,2,40435,98275,154,10000,998429,1001571,1001571,5000,3000,2000,999998460,97,97,0,40374,98282,175,10000,998457,1001543,1001543,5000,3000,2000,999998434,104,104,3,40479,98255,183,10000,998438,1001562,1001562,5000,3000,2000,999998410,89,89,2,40414,98235,164,10000,998399,1001601,1001601,5000,3000,2000,999998428,105,105,6,12342,98261,172,10000,998433,1001567,1001567,5000,1000,2000,999998429,107,107,4,12252,98253,183,10000,998436,1001564,1001564,5000,1000,2000,999998416,104,104,0,40474,98235,185,10000,998420,1001580,1001580,5000,3000,2000,999998428,105,105,2,40348,98249,184,10000,998433,1001567,1001567,5000,3000,2000,999998435,98,98,8,12222,98257,176,10000,998433,1001567,1001567,5000,1000,2000,999996413,107,107,2,38418,95921,499,10000,996420,1003580,1003580,5000,1000,2000,999996606,100,100,0,38713,96092,514,10000,996606,1003394,1003394,5000,1000,2000
700,9999999435082,664918,664918,966029,0,0,1114,9999961035,612,612,0,31722,0,3000,2000,620,846,3715,1645,9961547,10038453,10038453,1000,500,300,9999960957,684,684,0,31634,0,3000,2000,638,774,3730,1709,9961541,10038459,10038459,1000,500,300,9999991713,685,685,13,853,0,3000,2000,656,867,3362,2047,9992298,10007702,10007702,1000,100,300,9999991745,675,675,2,789,0,3000,2000,1875,52241,2660,1639,9992320,10007680,10007680,1000,100,300,9999991719,675,675,12,1058,5,3000,2000,1788,52142,2275,1841,9992294,10007706,10007706,1000,100,300,999998128,105,105,8,40490,97955,178,10000,998133,1001867,1001867,5000,3000,2000,999998180,91,91,1,40430,97996,175,10000,998171,1001829,1001829,5000,3000,2000,999998105,105,105,2,40529,97954,156,10000,998110,1001890,1001890,5000,3000,2000,999998110,86,86,5,40444,97924,172,10000,998096,1001904,1001904,5000,3000,2000,999998108,100,100,4,12136,97951,157,10000,998108,1001892,1001892,5000,1000,2000,999998104,110,110,0,12073,97942,172,10000,998114,1001886,1001886,5000,1000,2000,999998100,96,96,1,40509,97934,162,10000,998096,1001904,1001904,5000,3000,2000,999998087,105,105,0,40391,97923,169,10000,998092,1001908,1001908,5000,3000,2000,999998137,97,97,2,12043,97953,181,10000,998134,1001866,1001866,5000,1000,2000,999995499,113,113,3,42746,94987,525,10000,995512,1004488,1004488,5000,1000,2000,999995698,99,99,13,43011,95153,544,10000,995697,1004303,1004303,5000,1000,2000
800,9999999382738,717262,717262,961210,0,0,1372,9999960962,685,685,0,30788,0,3000,2000,610,440,4650,1598,9961547,10038453,10038453,1000,500,300,9999960919,722,722,0,30662,0,3000,2000,651,385,4685,1660,9961541,10038459,10038459,1000,500,300,9999991677,721,721,105,0,0,3000,2000,535,428,4304,1993,9992298,10007702,10007702,1000,100,300,9999991701,719,719,210,0,0,3000,2000,1695,47360,3619,1579,9992320,10007680,10007680,1000,100,300,9999991663,731,731,10,85,0,3000,2000,1857,47464,3230,1798,9992294,10007706,10007706,1000,100,300,999997811,105,105,2,40348,97640,176,10000,997816,1002184,1002184,5000,3000,2000,999997852,96,96,0,40296,97678,170,10000,997848,1002152,1002152,5000,3000,2000,999997803,107,107,2,40395,97649,161,10000,997810,1002190,1002190,5000,3000,2000,999997784,89,89,4,40273,97597,176,10000,997773,1002227,1002227,5000,3000,2000,999997811,102,102,5,11868,97634,179,10000,997813,1002187,1002187,5000,1000,2000,999997771,111,111,4,11811,97618,164,10000,997782,1002218,1002218,5000,1000,2000,999997780,101,101,4,40374,97603,178,10000,997781,1002219,1002219,5000,3000,2000,999997788,103,103,2,40264,97613,178,10000,997791,1002209,1002209,5000,3000,2000,999997812,96,96,3,11776,97626,182,10000,997808,1002192,1002192,5000,1000,2000,999994552,101,101,7,46662,94022,531,10000,994553,1005447,1005447,5000,1000,2000,999994739,98,98,15,46787,94251,486,10000,994737,1005263,1005263,5000,1000,2000
900,9999999337789,762211,762211,956484,0,0,1641,9999960909,738,738,11,29830,0,3000,2000,627,211,5628,1548,9961547,10038453,10038453,1000,500,300,9999960894,747,747,12,29755,0,3000,2000,574,184,5657,1603,9961541,10038459,10038459,1000,500,300,9999991656,742,742,1016,0,0,3000,2000,129,199,4996,1928,9992298,10007702,10007702,1000,100,300,9999991679,741,741,1185,0,0,3000,2000,1003,43046,4466,1530,9992320,10007680,10007680,1000,100,300,9999991607,787,787,877,0,0,3000,2000,1205,43135,4036,1750,9992294,10007706,10007706,1000,100,300,999997484,104,104,1,40152,97342,146,10000,997488,1002512,1002512,5000,3000,2000,999997522,97,97,4,40074,97366,153,10000,997519,1002481,1002481,5000,3000,2000,999997481,111,111,0,40160,97330,162,10000,997492,1002508,1002508,5000,3000,2000,999997454,92,92,4,40032,97264,182,10000,997446,1002554,1002554,5000,3000,2000,999997492,100,100,1,11573,97302,190,10000,997492,1002508,1002508,5000,1000,2000,999997448,107,107,0,11498,97280,175,10000,997455,1002545,1002545,5000,1000,2000,999997534,105,105,0,40337,97467,72,10000,997539,1002461,1002461,5000,3000,2000,999997563,101,101,1,40223,97470,94,10000,997564,1002436,1002436,5000,3000,2000,999997587,98,98,0,11669,97491,94,10000,997585,1002415,1002415,5000,1000,2000,999993712,94,94,4,50281,93327,379,10000,993706,1006294,1006294,5000,1000,2000,999993933,98,98,7,50371,93506,425,10000,993931,1006069,1006069,5000,1000,2000
