Time,H2O,OH-,H+,glucose,O2,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_channel:=Cell_1,glucose_in:=Cell_1,O2:=Cell_1,O2_in:=Cell_1,Pyruvate:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,Pi-:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic:=Cell_1,H2O:=Cell_2,OH-:=Cell_2,H+:=Cell_2,glucose:=Cell_2,glucose_channel:=Cell_2,glucose_in:=Cell_2,O2:=Cell_2,O2_in:=Cell_2,Pyruvate:=Cell_2,Pyruvate-:=Cell_2,Pyruvate_created:=Cell_2,ATP:=Cell_2,ADP:=Cell_2,Pi:=Cell_2,Pi-:=Cell_2,NAD+:=Cell_2,NADH:=Cell_2,Lactic:=Cell_2,H2O::Cell_1::Mito_1,OH-::Cell_1::Mito_1,H+::Cell_1::Mito_1,O2::Cell_1::Mito_1,O2_in::Cell_1::Mito_1,CO2::Cell_1::Mito_1,ATP::Cell_1::Mito_1,ATP_created::Cell_1::Mito_1,ADP::Cell_1::Mito_1,Pi::Cell_1::Mito_1,NAD+::Cell_1::Mito_1,NADH::Cell_1::Mito_1,NADH_created::Cell_1::Mito_1,Pyruvate::Cell_1::Mito_1,Pyruvate_trans::Cell_1::Mito_1,Pyruvate-::Cell_1::Mito_1,Pyruvate-_in::Cell_1::Mito_1,CoA-SH::Cell_1::Mito_1,Acetyl_CoA::Cell_1::Mito_1,FAD::Cell_1::Mito_1,GDP::Cell_1::Mito_1,GTP::Cell_1::Mito_1,FADH2::Cell_1::Mito_1,FADH2_created::Cell_1::Mito_1,ADP_ATP_trans::Cell_1::Mito_1,NADH_shuttle::Cell_1::Mito_1,Pi_trans::Cell_1::Mito_1,H2O::Cell_1::Mito_2,OH-::Cell_1::Mito_2,H+::Cell_1::Mito_2,O2::Cell_1::Mito_2,O2_in::Cell_1::Mito_2,CO2::Cell_1::Mito_2,ATP::Cell_1::Mito_2,ATP_created::Cell_1::Mito_2,ADP::Cell_1::Mito_2,Pi::Cell_1::Mito_2,NAD+::Cell_1::Mito_2,NADH::Cell_1::Mito_2,NADH_created::Cell_1::Mito_2,Pyruvate::Cell_1::Mito_2,Pyruvate_trans::Cell_1::Mito_2,Pyruvate-::Cell_1::Mito_2,Pyruvate-_in::Cell_1::Mito_2,CoA-SH::Cell_1::Mito_2,Acetyl_CoA::Cell_1::Mito_2,FAD::Cell_1::Mito_2,GDP::Cell_1::Mito_2,GTP::Cell_1::Mito_2,FADH2::Cell_1::Mito_2,FADH2_created::Cell_1::Mito_2,ADP_ATP_trans::Cell_1::Mito_2,NADH_shuttle::Cell_1::Mito_2,Pi_trans::Cell_1::Mito_2,H2O::Cell_1::Mito_3,OH-::Cell_1::Mito_3,H+::Cell_1::Mito_3,O2::Cell_1::Mito_3,O2_in::Cell_1::Mito_3,CO2::Cell_1::Mito_3,ATP::Cell_1::Mito_3,ATP_created::Cell_1::Mito_3,ADP::Cell_1::Mito_3,Pi::Cell_1::Mito_3,NAD+::Cell_1::Mito_3,NADH::Cell_1::Mito_3,NADH_created::Cell_1::Mito_3,Pyruvate::Cell_1::Mito_3,Pyruvate_trans::Cell_1::Mito_3,Pyruvate-::Cell_1::Mito_3,Pyruvate-_in::Cell_1::Mito_3,CoA-SH::Cell_1::Mito_3,Acetyl_CoA::Cell_1::Mito_3,FAD::Cell_1::Mito_3,GDP::Cell_1::Mito_3,GTP::Cell_1::Mito_3,FADH2::Cell_1::Mito_3,FADH2_created::Cell_1::Mito_3,ADP_ATP_trans::Cell_1::Mito_3,NADH_shuttle::Cell_1::Mito_3,Pi_trans::Cell_1::Mito_3
0,10000000000000,1000000,1000000,0,0,10000000000000,100000,100000,0,50,0,0,0,0,0,0,100000000,100000000,100000000,0,10000000,0,0,10000000000000,100000,100000,0,50,0,0,0,0,0,0,100000000,100000000,100000000,0,10000000,0,0,100000000000,1000,1000,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,100000000000,1000,1000,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,100000000000,1000,1000,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000
100,9999999999814,1000186,1000186,734000,20000,9999980481542,10095521,10354549,626,50,130300,0,939900,0,257848,259348,90757211,109242789,109263589,0,9942212,57788,160,9999990481979,96125,344459,1181,50,125700,1020100,1020100,0,248686,249038,90727142,109272858,109272858,0,9751314,248686,352,99999900352,101196,100976,278948,0,1200,228,4828,9999772,9995152,9999720,280,0,0,50,2,320,9999976,24,9999990,9999980,20,10,294,2000,2000,2000,100000000499,1484,1018,298412,0,2014,132,8432,9999868,9991565,9800066,199934,0,0,50,3,520,9999982,18,9999997,9999997,3,3,499,2000,2000,2000,100000000457,1495,1022,358766,0,1917,226,8126,9999774,9991874,9999973,27,0,0,50,20,500,9999999,1,9999999,10000000,0,1,479,2000,2000,2000
200,10000000000812,999188,999188,1232000,20000,9999981824694,91815,838007,3113,50,379000,200,1859800,0,740503,751774,82707083,117292917,117431717,0,9703817,296183,2791,9999971833794,10089432,10830756,931,50,379000,2100200,2100200,0,748731,756138,82579364,117420636,117420636,0,9251269,748731,7407,100000002563,3428,984,612230,0,10006,330,42330,9999670,9957655,9799944,200056,0,0,50,57,2590,9999958,42,9999999,9999985,15,1,2491,2000,2000,2000,99999903291,103317,100606,491488,0,11309,68,47668,9999932,9952332,9800411,199589,0,0,50,3,2900,9999907,93,10000000,10000000,0,0,2804,2000,2000,2000,99999902978,103675,100994,731312,0,11799,32,49232,9999968,9950723,9954681,45319,0,0,50,17,2990,9999969,31,9999954,9999955,45,46,2942,2000,2000,2000
300,10000000000788,999212,999212,1646000,20000,9999964008988,10008926,11322170,3604,50,676300,0,2999900,0,1306388,1345392,75640906,124359094,124736694,0,9292582,707418,16074,9999963952628,10090792,11336420,1689,50,667700,2960100,2960100,0,1288825,1332022,75275442,124724558,124724558,0,8711175,1288825,43197,100000008153,7587,348,1017112,0,29741,2032,125732,9997968,9874268,9800439,199561,0,0,50,116,7630,9999895,105,9999987,10000000,0,13,7409,2000,2000,2000,99999908263,107769,100396,877772,0,30507,92,128792,9999908,9871208,9799873,200127,0,0,50,11,7700,9999917,83,9999970,10000000,0,30,7606,2000,2000,2000,100000007548,8272,1015,1037744,0,30003,1484,126684,9998516,9873316,9799657,200343,0,0,50,16,7600,9999889,111,9999979,10000000,0,21,7473,2000,2000,2000
400,10000000000824,999176,999176,2009900,20000,9999966694473,83907,1921779,1318,50,996800,0,3980400,0,1870948,1990964,69394844,130605156,131330656,0,8727482,1272518,76546,9999966765871,85041,1768827,4547,50,983300,3979600,3979600,0,1820646,1957506,68708418,131291582,131291582,0,8179354,1820646,136860,100000014966,14398,396,1376952,0,57078,72,241672,9999928,9758328,9800102,199898,0,0,50,41,14420,9999854,146,9999983,10000000,0,17,14233,2000,2000,2000,99999916671,113417,99013,1116768,0,58316,1448,247248,9998552,9752752,9800204,199796,0,0,50,26,14710,9999860,140,10000000,10000000,0,0,14544,2000,2000,2000,99999915097,113325,100079,1358376,0,56794,36,238136,9999964,9761770,9799446,200554,0,0,50,86,14340,9999926,74,9999828,9999906,94,172,14180,2000,2000,2000
500,10000000000891,999109,999109,2322200,20000,9999960037946,89276,2345666,1461,50,1340100,0,5020400,0,2397854,2677278,63857500,136142500,137295500,0,8199866,1800134,210444,9999960198310,82285,2146635,2061,50,1327700,4939600,4939600,0,2357814,2651278,62831873,137168127,137168127,0,7642186,2357814,293464,99999923269,122947,100525,1731670,0,90628,2170,384370,9997830,9615630,9800722,199278,0,0,50,35,22830,9999816,184,9999999,10000000,0,1,22611,2000,2000,2000,99999923484,122832,100746,1431036,0,93354,1296,392496,9998704,9607504,9799286,200714,0,0,50,15,23460,9999858,142,9999785,10000000,0,215,23303,2000,2000,2000,99999922729,122659,100855,1653592,0,89876,112,379712,9999888,9620288,9799604,200396,0,0,50,35,22690,9999752,248,9999929,10000000,0,71,22407,2000,2000,2000
600,10000000000359,999641,999641,2614800,20000,9999953907138,88388,2666566,2532,50,1698800,0,6161100,0,2885457,3392536,58970262,141029738,142711938,0,7712743,2287257,407179,9999954183377,90017,2279261,4923,50,1676400,5798900,5798900,0,2766099,3342954,57516348,142483652,142483652,0,7233901,2766099,576855,99999934980,132218,99358,2100294,0,132650,2134,562734,9997866,9437140,9799960,200040,0,0,50,25,33270,9999890,110,9999967,9999874,126,33,33135,2000,2000,2000,99999933439,133270,101159,1781178,0,134259,58,565658,9999942,9434153,9799011,200989,0,0,50,24,33690,9999865,135,9999743,9999811,189,257,33531,2000,2000,2000,100000032894,33214,853,1982370,0,131189,70,556070,9999930,9443930,9800261,199739,0,0,50,115,32940,9999963,37,9999922,10000000,0,78,32788,2000,2000,2000
700,10000000000277,999723,999723,2881000,20000,9999938320450,10002919,12787607,5158,50,2066400,0,7081300,0,3318346,4122484,54622553,145377447,147654147,0,7278914,2721086,668898,9999948679825,89681,2309467,2260,50,2042600,6878700,6878700,0,3150233,4080680,52750186,147249814,147249814,0,6849767,3150233,930447,99999946162,143198,99329,2427116,0,177771,1976,753576,9998024,9246424,9799969,200031,0,0,50,155,44720,9999837,163,9999926,10000000,0,74,44402,2000,2000,2000,99999946498,145260,100264,2164494,0,182514,34,773534,9999966,9226384,9800396,199604,0,0,50,118,45880,9999822,178,9999918,9999918,82,82,45584,2000,2000,2000,99999945814,142964,99754,2087552,0,177870,72,751672,9999928,9248118,9799210,200790,0,0,50,66,44640,9999858,142,9999784,9999790,210,216,44432,2000,2000,2000
800,10000000000257,999743,999743,3131100,20000,9999942969215,88156,2802858,2751,50,2441900,0,8201000,0,3622210,4878298,50771069,149228931,152164331,0,6972500,3027500,1081798,9999933638233,10078396,12316434,5118,50,2417000,7759000,7759000,0,3530901,4823764,48440393,151559607,151559607,0,6469099,3530901,1292863,100000057413,57971,1305,2847986,0,230524,46,976446,9999954,9023390,9800566,199434,0,0,50,202,57920,9999884,116,9999836,9999836,164,164,57602,2000,2000,2000,99999959006,156654,100276,2486428,0,233742,108,986408,9999892,9013592,9799178,200822,0,0,50,31,58660,9999742,258,9999653,10000000,0,347,58371,2000,2000,2000,100000057281,57952,1359,2348534,0,229517,74,972774,9999926,9027157,9800893,199107,0,0,50,69,57710,9999651,349,9999930,9999931,69,70,57292,2000,2000,2000
900,9999999999739,1000261,1000261,3368100,20000,9999938082375,78134,2724480,4939,50,2823700,0,9280500,0,3927044,5637522,47320831,152679169,156301969,0,6669666,3330334,1495588,9999928986781,10085192,12011072,4741,50,2798200,8679500,8679500,0,3756399,5586918,44558891,155441109,155441109,0,6243601,3756399,1830519,99999971317,170868,101179,3087270,0,285361,70,1207170,9999930,8792553,9798789,201211,0,0,50,63,71560,9999791,209,9999722,9999723,277,278,71288,2000,2000,2000,99999972055,170837,100425,2886068,0,286308,48,1212848,9999952,8787152,9799812,200188,0,0,50,181,71860,9999864,136,9999801,10000000,0,199,71543,2000,2000,2000,100000071496,69518,553,2667814,0,284845,54,1202954,9999946,8796880,9798865,201135,0,0,50,168,71470,9999879,121,9999581,9999834,166,419,71181,2000,2000,2000
