Time\ number,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r1_2_600:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100:=Cell_2,r2_1_110:=Cell_2,r2_3_300:=Cell_2,r1_2_400:=Cell_2,rM_500:=Cell_2,r1_2_600:=Cell_2,r3_2_700:=Cell_2,r2_2_800:=Cell_2,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r2_2_800::Cell_1::Mito_1,r2_2_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1,r1_2_100::Cell_1::Mito_2,r2_1_110::Cell_1::Mito_2,rM_300::Cell_1::Mito_2,rM_400::Cell_1::Mito_2,rM_500::Cell_1::Mito_2,r2_2_510::Cell_1::Mito_2,rM_600::Cell_1::Mito_2,rM_700::Cell_1::Mito_2,rM_710::Cell_1::Mito_2,r2_2_800::Cell_1::Mito_2,r2_2_810::Cell_1::Mito_2,rM_900::Cell_1::Mito_2,r1_1_1100::Cell_1::Mito_2,r1_2_100::Cell_1::Mito_3,r2_1_110::Cell_1::Mito_3,rM_300::Cell_1::Mito_3,rM_400::Cell_1::Mito_3,rM_500::Cell_1::Mito_3,r2_2_510::Cell_1::Mito_3,rM_600::Cell_1::Mito_3,rM_700::Cell_1::Mito_3,rM_710::Cell_1::Mito_3,r2_2_800::Cell_1::Mito_3,r2_2_810::Cell_1::Mito_3,rM_900::Cell_1::Mito_3,r1_1_1100::Cell_1::Mito_3,Time\ Probability,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r1_2_600:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100:=Cell_2,r2_1_110:=Cell_2,r2_3_300:=Cell_2,r1_2_400:=Cell_2,rM_500:=Cell_2,r1_2_600:=Cell_2,r3_2_700:=Cell_2,r2_2_800:=Cell_2,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r2_2_800::Cell_1::Mito_1,r2_2_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1,r1_2_100::Cell_1::Mito_2,r2_1_110::Cell_1::Mito_2,rM_300::Cell_1::Mito_2,rM_400::Cell_1::Mito_2,rM_500::Cell_1::Mito_2,r2_2_510::Cell_1::Mito_2,rM_600::Cell_1::Mito_2,rM_700::Cell_1::Mito_2,rM_710::Cell_1::Mito_2,r2_2_800::Cell_1::Mito_2,r2_2_810::Cell_1::Mito_2,rM_900::Cell_1::Mito_2,r1_1_1100::Cell_1::Mito_2,r1_2_100::Cell_1::Mito_3,r2_1_110::Cell_1::Mito_3,rM_300::Cell_1::Mito_3,rM_400::Cell_1::Mito_3,rM_500::Cell_1::Mito_3,r2_2_510::Cell_1::Mito_3,rM_600::Cell_1::Mito_3,rM_700::Cell_1::Mito_3,rM_710::Cell_1::Mito_3,r2_2_800::Cell_1::Mito_3,r2_2_810::Cell_1::Mito_3,rM_900::Cell_1::Mito_3,r1_1_1100::Cell_1::Mito_3
0,10000000000980.0,1000000,10000000000000.0,10100184,0,0.0,0,0.0,0,100000000,10000000000000.0,10093923,0,0.0,0,0.0,0,100000000,100000000518.0,1000,0,0,0,0,0,0,0,2000,2000,0,0.0,100000000458.0,1000,0,0,0,0,0,0,0,2000,2000,0,0.0,100000000000.0,100639,0,0,0,0,0,0,0,2000,2000,0,0.0,0,9.999999999e-11,0.0009990009990009992,9.99999000001e-07,0.9901962552832381,0.0049751243781094535,0.999000999000999,0.7552397258279612,0.999999999999999,0.0,0.0009990009990642724,9.99999000001e-07,0.9901902339266248,0.0049751243781094535,0.999000999000999,0.7553563831844375,0.999999999999999,0.0,0.0009990009990841326,9.99999000001e-07,0.5,4.999750012499375e-05,0.8264462809917354,0.5779171247182413,0.9999999999,0.0,0.9999490025508724,0.9999490025508724,0.9999999998997996,0.9999999990196079,0.9950149254726359,0.9999999999999,9.99999000001e-07,0.5,4.999750012499375e-05,0.8264462809917354,0.5789491195838891,0.9999999999,0.0,0.9999490025508724,0.9999490025508724,0.9999999999,0.9999999990196079,0.9950149254726359,0.9999999999999,9.99999000001e-07,0.990161256997806,4.999750012499375e-05,0.8264462809917354,0.5779171247009668,0.9999999998999999,0.0,0.9999490025508724,0.9999490025508724,0.9999999998995984,0.9999999990196079,0.9950149254726359,0.9999999999999
100,10000000000793.0,1000186,9999990479944.0,10095521,50,3.0,2426,0.0,88,90761527,9999990556345.0,96125,50,200.0,1181,0.0,250488,90728944,99999900352.0,201010,50,12,34,20,5,579,577,2000,2000,3,3.0,100000000499.0,101088,50,3,21,11,1,1999,2000,2000,2000,1,0.0,100000000454.0,101068,50,20,17,0,5,0,0,2000,2000,2,0.0,100,9.999999999e-11,0.0009991866275237634,9.99999000001e-07,0.9904347858525508,0.42329873125720874,0.999000999000999,0.7580984451328138,0.999999999999999,0.00012659246837576715,0.0009989990509458536,9.99999000001e-07,0.7750073685086813,0.42269945733748987,0.999000999000999,0.7555791301123697,0.999999999999999,0.00012210237900623158,0.0009989990581352676,9.99999000001e-07,0.9950551352420511,0.025136656343513766,0.8264457250167638,0.577890390734928,0.9999999999,0.9031287496145557,0.9999490025420729,0.9999490025228731,0.999999999908978,0.999999998999515,0.9950157673082154,0.9999999999999,9.99999000001e-07,0.990248754278359,0.025135705984048493,0.8249162043294427,0.5751648015080086,0.9999999999,0.9083093356658914,0.9999489963424851,0.9999607611535625,0.999999999908812,0.9999999989991558,0.9950157672832024,0.9999999999999,9.99999000001e-07,0.9902456154041241,0.02548683267043699,0.8264460706230945,0.576802008710006,0.9999999999,0.37633129101172313,0.9999490025420729,0.9999490025481725,0.9999999999087181,0.9999999989991868,0.9950157673248906,0.9999999999999
200,10000000001856.0,999188,9999981906701.0,91815,50,200.0,3113,0.0,245043,82712843,9999981748441.0,10089432,50,0.0,931,0.0,750143,82580776,100000002563.0,101680,50,57,42,15,13,2000,1008,2000,2000,3,0.0,99999903291.0,200407,50,3,96,0,0,2000,2000,2000,2000,0,202.0,100000003044.0,100764,50,17,31,45,23,450,0,2000,2000,8,0.0,200,9.999999999e-11,0.0009981906199108726,9.99999000001e-07,0.8939180007362091,0.5519713261648745,0.999000999000999,0.757055421826387,0.999999999999999,2.802308228522783e-05,0.0009989981956328308,9.99999000001e-07,0.9908526835665167,0.55150917163744,0.999000999000999,0.7507766717465528,0.999999999999999,0.00038255371107643167,0.0009989991857415278,9.99999000001e-07,0.9904759183595722,0.06934782594533553,0.8249146605205246,0.5749851572406619,0.9999999998999999,0.9057572667486076,0.9999657515525271,0.9999489821247168,0.9999999999149856,0.9999999990154802,0.9950163920515455,0.9999999999999,9.99999000001e-07,0.9951008010190334,0.06934869205799855,0.8233302449070786,0.5749633995495975,0.9999999999,0.9059194654190873,0.9999739751219496,0.9999657408453102,0.9999999999148408,0.9999999989952104,0.9950163920515455,0.9999999999999,9.99999000001e-07,0.990446620491999,0.06934418825454666,0.8264450788729197,0.5776519749580675,0.9999999998999999,0.9966615596990086,0.9999489821392937,0.9999489980217857,0.9999999999151299,0.9999999989949689,0.9950163921094097,0.9999999999999
300,10000000001805.0,999212,9999964008988.0,20005021,50,200.0,5904,0.0,707418,75640906,9999973955128.0,10090792,50,0.0,4689,0.0,666960,75282428,100000008000.0,100336,50,116,105,0,6,2000,2000,2000,2000,22,0.0,100000007565.0,100396,50,11,83,53,29,2000,2000,2000,2000,0,200.0,100000007748.0,101079,50,16,111,61,41,2000,2000,2000,2000,27,0.0,300,9.999999999e-11,0.0009982145720210617,9.99999000001e-07,0.9953307114655641,0.6220710506424793,0.999000999000999,0.749680337516164,0.999999999999999,0.0012421382937162287,0.0009989964094739216,9.99999000001e-07,0.9912560049386084,0.6217422551726747,0.999000999000999,0.7437612786799102,0.999999999999999,0.00016190670601950422,0.0009989974014579697,9.99999000001e-07,0.9907680093058466,0.11616171659778474,0.8249177210264574,0.571757321554736,0.9999999999,0.7764924003577762,0.9999739073647705,0.9999848266734711,0.9999999999199595,0.9999999989872667,0.995016878580773,0.9999999999999,9.99999000001e-07,0.9908062039735587,0.11616484126718277,0.8249133707988124,0.5745247831682206,0.9999999998999999,0.804921126662739,0.9999489769952384,0.9999880754252474,0.9999999999199595,0.9999999989869528,0.9950168787543049,0.9999999999999,9.99999000001e-07,0.9908683304568574,0.11615702955226195,0.824914234073045,0.5745331456937496,0.9999999999,0.9223818944888497,0.999948988160921,0.9999899630196546,0.9999999999198796,0.9999999990071542,0.9950168787543049,0.9999999999999
400,10000000000824.0,1000186,9999966694473.0,10085478,50,200.0,4418,0.0,960889,69395044,9999966765871.0,10083404,50,0.0,8347,0.0,884413,68708418,100000014702.0,100619,50,41,182,0,8,1998,2000,2000,2000,2,0.0,100000014888.0,99253,50,86,140,80,40,2000,2000,2000,2000,14,0.0,100000014049.0,99219,50,206,242,94,86,1998,2000,2000,2000,29,200.0,400,9.999999999e-11,0.0009991866275237634,9.99999000001e-07,0.9916825170167385,0.667763048606266,0.999000999000999,0.7413669373478021,0.999999999999999,0.0002307723090173717,0.0009989966769396253,9.99999000001e-07,0.99157303323444,0.6674205135027271,0.999000999000999,0.73531545866896,0.999999999999999,0.0003197270101201913,0.0009989966843853262,9.99999000001e-07,0.9913279508815138,0.15759019239544872,0.8249155249913587,0.5766168632463237,0.9999999999,0.8115328958480049,0.9999488567842549,0.9999922359848274,0.9999999999239721,0.99999999897522,0.9950172571075258,0.9999999999999,9.99999000001e-07,0.9912600400290167,0.1575845151229164,0.8249150943748881,0.5710998388670244,0.9999999998999999,0.998388592455708,0.9999738827974864,0.9999911197603308,0.9999999999240123,0.99999999897464,0.9950172611619471,0.9999999999999,9.99999000001e-07,0.9912530067789197,0.1575802571182994,0.8249176548602605,0.5739185015574729,0.9999999999,0.9983910912786199,0.9999488299414103,0.9999930187353011,0.9999999999239721,0.9999999989755957,0.9950172610803684,0.9999999999999
500,10000000001838.0,999109,9999960123575.0,89276,50,0.0,5061,0.0,1800134,63859700,9999960198310.0,10085701,50,200.0,2061,0.0,1074842,62834923,100000022605.0,100525,50,105,184,0,0,2000,2000,2000,2000,21,0.0,99999923484.0,199595,50,15,150,0,107,2000,2000,2000,2000,49,0.0,100000022333.0,100855,50,115,248,0,107,2000,2000,2000,2000,1,0.0,500,9.999999999e-11,0.0009981117775400537,9.99999000001e-07,0.9591113422683228,0.6989946421046295,0.999000999000999,0.7393433035612673,0.999999999999999,0.0013528289507774114,0.0009989960209091358,9.99999000001e-07,0.9918380212882362,0.698668113059724,0.999000999000999,0.7252147825151453,0.999999999999999,0.0005319539690867048,0.000998996028436474,9.99999000001e-07,0.9919320354667721,0.19339513217188686,0.8233301326904003,0.5731353190484412,0.9999999998999999,0.998401297351378,0.9999737917663027,0.9999934162654018,0.9999999999272999,0.999999998960014,0.9950175669742092,0.9999999999999,9.99999000001e-07,0.9955305864317543,0.19340359003156535,0.8249091947416555,0.5730613271198477,0.9999999998999999,0.9988934929956649,0.9999489632304487,0.9999939935832936,0.9999999999271644,0.9999999989803726,0.995017569863006,0.9999999999999,9.99999000001e-07,0.9919132452955305,0.1934087947801289,0.8249169469708902,0.5742469771279564,0.9999999999,0.9984086221803725,0.9999738619934293,0.9999934161405533,0.9999999999270581,0.9999999989816851,0.9950175668614722,0.9999999999999
600,10000000000359.0,1000612,9999953907138.0,10085394,50,0.0,6232,0.0,1328538,58970262,9999954183377.0,10083917,50,200.0,8323,0.0,2766099,57528298,100000033226.0,99198,50,25,131,126,16,2000,2000,2000,2000,26,0.0,99999934786.0,199870,50,24,154,189,128,2000,2000,2000,2000,0,0.0,100000032816.0,100829,50,225,37,26,1,1998,2000,2000,2000,0,0.0,600,9.999999999e-11,0.0009996117764611316,9.99999000001e-07,0.992165202656435,0.723099075150911,0.999000999000999,0.7303031547916286,0.999999999999999,0.000573309490167894,0.000998996399866546,9.99999000001e-07,0.9919124114156312,0.723359521965254,0.999000999000999,0.7163901446972591,0.999999999999999,0.0015562493851895719,0.0009989964273485546,9.99999000001e-07,0.9924935068834542,0.2238699119045782,0.823327763337842,0.5693251865320462,0.9999999998999999,0.998396954884678,0.9999737460626316,0.9999946075798084,0.9999999999297319,0.9999999989622892,0.9950178227351274,0.9999999999999,9.99999000001e-07,0.9957309107674969,0.2239312893597798,0.8249071035548323,0.5720682808645301,0.9999999998999999,0.9986607136765718,0.9999737200195644,0.9999941885388879,0.9999999999299288,0.9999999989615773,0.9950178202459511,0.9999999999999,9.99999000001e-07,0.9925335244751068,0.223923459606419,0.8264461457549606,0.5732870737957484,0.9999999998999999,0.8377938209829016,0.999948769934305,0.999994626083523,0.9999999999298305,0.9999999989630747,0.9950178202459511,0.9999999999999
700,10000000000277.0,1000740,9999948190965.0,10002919,50,200.0,9058,0.0,2520586,54622553,9999948679825.0,10089735,50,0.0,5960,0.0,1154733,52758620,100000045768.0,99883,50,295,163,0,74,2000,2000,2000,2000,19,0.0,100000046044.0,100264,50,118,276,82,41,2000,2000,2000,2000,14,0.0,99999947048.0,198421,50,186,142,284,145,1995,2000,2000,2000,50,200.0,700,9.999999999e-11,0.0009997395206720826,9.99999000001e-07,0.9922406075852561,0.7423344498840505,0.999000999000999,0.7213169915706006,0.999999999999999,0.0019404918472013613,0.0009989948433633917,9.99999000001e-07,0.9919402969436397,0.7420752624384205,0.999000999000999,0.7068338306577254,0.999999999999999,0.0009327063351263623,0.000998995878056782,9.99999000001e-07,0.9930650910553545,0.24915601381733135,0.8233244660732729,0.5693790044440329,0.9999999999,0.8965977521285642,0.9999736610836858,0.9999953046036166,0.9999999999322742,0.9999999989413871,0.9950180335799733,0.9999999999999,9.99999000001e-07,0.9931628606591002,0.2488684390817657,0.8249175763320289,0.5680849764811509,0.9999999999,0.9986610631612445,0.9999736486925693,0.99999501309911,0.9999999999321824,0.9999999989391478,0.9950180334905817,0.9999999999999,9.99999000001e-07,0.9958992696599265,0.24887520940420255,0.8264453042769985,0.5709749619995647,0.9999999999,0.9984046698016266,0.9999487002991988,0.9999953177682096,0.9999999999322992,0.9999999989410592,0.9950180338152033,0.9999999999999
800,10000000000257.0,1000782,9999943003858.0,88156,50,0.0,2751,0.0,1358873,50771069,9999933638233.0,20073578,50,200.0,5118,0.0,3530901,48447611,100000056915.0,101363,50,202,279,330,60,1995,2000,2000,2000,20,0.0,100000058668.0,100276,50,31,287,163,134,2000,2000,2000,2000,1,0.0,100000057281.0,101221,50,189,505,356,16,1991,2000,2000,2000,3,0.0,800,9.999999999e-11,0.0009997814367341824,9.99999000001e-07,0.9655511912742546,0.757710852130933,0.999000999000999,0.7095561732050824,0.999999999999999,0.0011578751501876154,0.0009989953073115372,9.99999000001e-07,0.995536652784169,0.7579337222531529,0.999000999000999,0.6964996495996757,0.999999999999999,0.0019784128309766405,0.000998995372975744,9.99999000001e-07,0.9936855930491009,0.26589825790315585,0.8249193661575179,0.569600686901651,0.9999999999000001,0.9422999488514188,0.9999485262124475,0.9999960812321241,0.9999999999344755,0.9999999989157804,0.995018210128306,0.9999999999999,9.99999000001e-07,0.9936569956994431,0.26580474591154196,0.8249074829360612,0.5709174181950551,0.9999999999,0.9612207115427626,0.9999487381485492,0.9999958987479014,0.9999999999344755,0.9999999988905643,0.9950182101461664,0.9999999999999,9.99999000001e-07,0.9936971347174426,0.26590472471060134,0.8264436062279834,0.5710163268451043,0.9999999999000001,0.6778681963873536,0.9999485683678301,0.999996079779449,0.9999999999343879,0.9999999988922316,0.9950182101417013,0.9999999999999
900,10000000000785.0,1000261,9999938157711.0,78134,50,200.0,4939,0.0,1328004,47331395,9999938988805.0,10085192,50,0.0,8741,0.0,3756399,44570935,99999972625.0,200253,50,63,264,277,121,2000,2000,2000,2000,37,0.0,100000071901.0,100665,50,361,136,0,139,2000,2000,2000,2000,0,0.0,100000071868.0,100309,50,328,121,242,55,2000,2000,2000,2000,0,200.0,900,9.999999999e-11,0.0009992614777150392,9.99999000001e-07,0.9646810843189665,0.771067512190655,0.999000999000999,0.7013001518105237,0.999999999999999,0.0013635134185797898,0.0009989938292669853,9.99999000001e-07,0.9917430926015468,0.770910173879178,0.999000999000999,0.689144877711763,0.999999999999999,0.0020505118834802903,0.0009989939122049276,9.99999000001e-07,0.9963232185074473,0.2822131264269603,0.8264438016147845,0.5693844590369379,0.9999999998999999,0.9318789687715455,0.9999487561605735,0.9999963228622074,0.9999999999361002,0.9999999988875269,0.9950183582750917,0.9999999999999,9.99999000001e-07,0.9941805315502482,0.28232625046756443,0.8249120689986252,0.5680764352147213,0.9999999999,0.9984137671335965,0.999948589384526,0.9999964588612829,0.9999999999361197,0.9999999988619644,0.9950183582750917,0.9999999999999,9.99999000001e-07,0.9941271472617824,0.2822213698202223,0.8249087607013695,0.5707977865024169,0.9999999999,0.8770757193390943,0.9999487838273617,0.9999961713448646,0.9999999999360213,0.9999999988885035,0.9950183582750917,0.9999999999999
