Time,H2O,OH-,H+,glucose,O2,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_channel:=Cell_1,glucose_in:=Cell_1,O2:=Cell_1,O2_in:=Cell_1,Pyruvate:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,Pi-:=Cell_1,Pi_total:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic:=Cell_1,H2O::Cell_1::Mito_1,OH-::Cell_1::Mito_1,H+::Cell_1::Mito_1,H+_inter::Cell_1::Mito_1,O2::Cell_1::Mito_1,O2_in::Cell_1::Mito_1,CO2::Cell_1::Mito_1,ATP::Cell_1::Mito_1,ATP_created::Cell_1::Mito_1,ADP::Cell_1::Mito_1,Pi::Cell_1::Mito_1,Pi-::Cell_1::Mito_1,Pi_total::Cell_1::Mito_1,NAD+::Cell_1::Mito_1,NADH::Cell_1::Mito_1,NADH_created::Cell_1::Mito_1,Pyruvate::Cell_1::Mito_1,Pyruvate-::Cell_1::Mito_1,Pyruvate_trans::Cell_1::Mito_1,Pyruvate-_in::Cell_1::Mito_1,CoA-SH::Cell_1::Mito_1,Acetyl_CoA::Cell_1::Mito_1,FAD::Cell_1::Mito_1,GDP::Cell_1::Mito_1,GTP::Cell_1::Mito_1,FADH2::Cell_1::Mito_1,FADH2_created::Cell_1::Mito_1,ATP_ase::Cell_1::Mito_1,ADP_ATP_trans::Cell_1::Mito_1,NADH_shuttle::Cell_1::Mito_1,Pi_trans::Cell_1::Mito_1,Commp1::Cell_1::Mito_1,Commp2::Cell_1::Mito_1
0,10000000000000,1000000,1000000,0,0,10000000000000,100000,100000,0,1000,0,0,0,0,0,0,100000000,100000000,100000000,0,0,10000000,0,0,100000000000,1000,1000,1000,0,0,0,0,0,10000000,20000000,0,0,10000000,0,0,0,0,200,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,2000,1000,1000
10,9999999999985,1000015,1000015,65000,20000,9999999136611,615034,94072,3737,1000,25000,20000,160000,0,34839,42526,99143785,100856215,100354415,0,0,9977301,22699,1627,99999515440,0,582860,600,125700,0,12360,0,92800,10000000,20501800,0,0,9996040,3960,0,0,0,200,6060,9996040,3960,9999900,10000000,0,100,2100,2000,2000,2000,2000,1000,1000
20,10000000000161,999839,999839,93000,20000,9999998450064,949544,95680,10871,1000,97000,20000,360000,0,111128,172258,98677428,101322572,100716772,0,0,9990192,9808,44750,99999670584,0,968734,13200,243450,0,65334,147618,618000,9852382,20458182,0,0,9993866,6134,0,0,0,200,16380,9999938,62,9999882,10000000,0,118,16318,2000,2000,2000,2000,1000,1000
30,10000000000279,999721,999721,97000,20000,9999997924232,1077742,94904,14468,1000,193000,0,560000,0,241381,357064,98550374,101449626,101122626,0,0,9973719,26281,91083,99999939151,9,1233319,18400,383050,0,91880,3270,1144000,9996730,20323730,0,0,9999920,80,0,0,130,200,24600,9998000,2000,9999930,10000000,0,70,22470,2000,2000,2000,2000,1000,1000
40,9999999999996,1000004,1000004,111000,20000,9999997375693,1242948,89096,3899,1000,279000,0,760000,0,352724,550202,98148041,101851959,101512259,0,0,9970476,29524,166578,99999946304,97896,1336996,300000,510750,0,115600,0,1523600,10000000,20337700,0,0,10000000,0,0,0,2000,200,30900,10000000,0,9999900,9998000,2000,100,28900,2000,2000,2000,2000,1000,1000
50,9999999999947,1000053,1000053,110000,20000,9999996774651,1655727,86165,11672,1000,380000,20000,960000,0,441684,736656,97888708,102111292,101706692,0,0,9999946,54,257902,100000088128,99862,2112142,2600,613300,0,140280,80400,2130800,9919600,20324130,0,0,9999420,580,0,0,2000,200,37070,10000000,0,9999930,9999930,70,70,35070,2000,2000,2000,2000,1000,1000
60,10000000000105,999895,999895,114000,20000,9999986346559,11717458,10069114,5002,1000,476000,0,1160000,0,591953,941996,97842167,102157833,102087133,0,0,9968697,31303,298893,100000484358,99894,2368191,13200,734750,0,198597,2049,2765600,9997951,20068651,0,0,9991103,8897,0,0,0,200,51150,9997999,2001,9999851,10000000,0,149,49149,2000,2000,2000,2000,1000,1000
70,9999999999955,1000045,1000045,118000,20000,9999985796484,12084429,10128545,3610,1000,572000,0,1360000,0,731588,1136780,97640773,102359227,102276427,0,0,9966272,33728,347852,100000790222,0,2722097,200,839200,0,229277,59719,3396000,9940281,20023081,0,0,9999923,77,0,0,20,200,57340,9999999,1,9999881,10000000,0,119,57319,2000,2000,2000,2000,1000,1000
80,10000000000301,999699,999699,106000,20000,9999985325320,12487408,10053102,12649,1000,684000,0,1560000,0,830112,1342702,97533058,102466942,102356742,0,0,9976718,23282,443120,100000836425,5,3284625,4200,948300,0,277800,40,3984400,9999960,20110150,0,0,9999900,100,0,0,20,200,69470,10000000,0,9999950,9999990,10,50,69450,2000,2000,2000,2000,1000,1000
90,10000000000247,999753,999753,110000,20000,9999994855333,2782563,87269,9317,1000,780000,0,1760000,0,995353,1541366,97258396,102741604,102535804,0,0,9999047,953,472313,100000936522,38,3068698,624200,1042100,0,294560,80,4480400,9999920,20205680,0,0,9999740,260,0,0,0,200,73700,9999920,80,9999780,9999960,40,220,73620,2000,2000,2000,2000,1000,1000
