Time\ number,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1,Time\ Probability,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1
0,10000000000976.0,1000000,10000000049958.0,100000,0,0.0,0,0,100000000,100000000473.0,1000,0,0,0,0,0,0,0,0,0,1011,1000,0,0.0,0,9.999999999e-11,0.0009990009990009992,9.99999000001e-07,0.5,0.09090909090909091,0.999000999000999,0.7553994806623993,0.0,0.0009990000061546834,9.99999000001e-07,0.5,0.9514400318407511,0.9998000299960005,0.9994501874426223,0.999999000001,0.0,0.0,0.9944281391841289,0.9999490025508724,0.9999490025508724,0.9999999499001021,3.9207844705568695e-06,0.9999949900250499,0.9999999999999
10,10000000000970.0,1000015,9999999136611.0,10093308,65,200.0,7737,99,99143785,99999511232.0,0,200,2000,3960,3954,39,0,0,347,226,0,2000,39,400.0,10,9.999999999e-11,0.0009990159690457146,9.99999000001e-07,0.9906666529777577,0.09090909090909091,0.999000999000999,0.7551795288476709,0.08278641361258014,0.000999000912812163,9.99999000001e-07,0.9982872606446751,0.9961381915570838,0.999800029716084,0.9994514017120691,0.999999000001,0.9662823218602143,0.9560403781931659,0.9944330061392366,0.9999490025415728,0.9999490013372644,0.9999999499003557,1.2350549538888682e-05,0.9999949901196246,0.9999999999999
20,10000000000161.0,1000845,9999998453598.0,95680,93,200.0,10871,17290,98841510,99999670584.0,97438,200,0,62,0,159,0,136,8,98,0,2000,1476,400.0,20,9.999999999e-11,0.0009998443108207365,9.99999000001e-07,0.9047205262475895,0.09090909090909091,0.999000999000999,0.755724549720974,0.09678466277671464,0.0009990008546008438,9.99999000001e-07,0.9988926563181708,0.9982130203145488,0.9997998698297794,0.9994511741300337,0.9999989850180545,0.9773754893445203,0.9704840846488522,0.9944325918456202,0.9999490008992347,0.9999490019371278,0.9999999499007142,1.728078150793774e-05,0.9999949901555801,0.9999999999999
30,10000000001265.0,999721,9999997826440.0,10097014,97,200.0,14468,26281,98550374,99999935164.0,9,7,130,2000,1998,0,10,24,62,484,1008,2000,32,0.0,30,9.999999999e-11,0.0009987225560875058,9.99999000001e-07,0.9910553377629686,0.09090909090909091,0.999000999000999,0.7556577575638204,0.2199317260328043,0.0009990007918387308,9.99999000001e-07,0.9991898366629696,0.9520110942640738,0.9997999692173236,0.9994509803015732,0.999998999994,0.9792800648438857,0.9758702929912116,0.9944321709792308,0.9999489983032253,0.9999490025504725,0.999999949901187,2.345789714114185e-05,0.999994990175323,0.9999999999999
40,9999999999996.0,1001048,9999997471102.0,89708,111,200.0,7899,41414,98261131,100000141339.0,95896,200,4000,0,2000,338,0,250,0,298,1000,2000,1012,200.0,40,9.999999999e-11,0.0010000469050457977,9.99999000001e-07,0.9307933572696042,0.09090909090909091,0.999000999000999,0.7556656953195481,0.2827842102043299,0.0009989997480945613,9.99999000001e-07,0.9993886020753291,0.9986964119779509,0.9997997311950448,0.9994510181104604,0.999999000001,0.9819762815484477,0.9764786349216976,0.9944313614185551,0.9999489995591031,0.9999490025508724,0.9999999499014807,2.478385031056479e-05,0.9999949902057312,0.9999999999999
50,10000000000988.0,1000053,9999996694396.0,10110457,110,200.0,11672,17886,97888708,100000187948.0,99862,200,4000,0,70,45,0,39,0,0,974,2000,804,400.0,50,9.999999999e-11,0.0009990538931569867,9.99999000001e-07,0.9915645691321098,0.09090909090909091,0.999000999000999,0.7561550855633454,0.3106522150573738,0.0009990006771102026,9.99999000001e-07,0.9995267710357373,0.9987692007281188,0.9998000241974039,0.9994509655815931,0.999999000001,0.9837515699922873,0.9809695721091655,0.9944322408846963,0.9999490013110013,0.9999490024928721,0.9999999499017581,3.2926385534201145e-05,0.999994990241211,0.9999999999999
60,10000000000105.0,1000927,9999986256163.0,20065233,114,200.0,5002,7595,97849759,100000524058.0,199976,7,60,2001,1999,401,10,341,64,313,0,2000,1380,0.0,60,9.999999999e-11,0.0009999261469215402,9.99999000001e-07,0.9954151782998188,0.09090909090909091,0.999000999000999,0.7562383867771771,0.8403827846922267,0.0009989996371411788,9.99999000001e-07,0.9995912645050009,0.9522204275546642,0.9998000290362795,0.9994503419934346,0.9999989999961,0.9844374014780308,0.9817213938250023,0.9944287181696989,0.9999490024266635,0.9999490016604264,0.9999999499021337,0.00022632108875775587,0.9999949902449283,0.9999999999999
70,10000000000951.0,1000045,9999995692725.0,10071673,118,200.0,3610,39198,97705943,100000790280.0,0,200,20,21,21,1,0,0,0,52,0,2000,597,200.0,70,9.999999999e-11,0.0009990459091338002,9.99999000001e-07,0.9917928037497695,0.09090909090909091,0.999000999000999,0.755889676626008,0.8635015123137363,0.0009989995820317524,9.99999000001e-07,0.9996326311690411,0.9988578056584785,0.9998000292162285,0.9994502409474229,0.9999989999991,0.9851665803016161,0.9831396097302997,0.9944283676422563,0.9999490020214197,0.9999490025448727,0.9999999499023166,0.0002343850190151722,0.9999949902550117,0.9999999999999
80,10000000001276.0,999699,9999995258748.0,10091466,106,200.0,12649,40130,97533058,100000837630.0,5,200,20,20,10,0,0,3,1,318,0,2000,12,200.0,80,9.999999999e-11,0.0009987006000088715,9.99999000001e-07,0.9920555526602458,0.09090909090909091,0.999000999000999,0.7560948203264687,0.2671098370611642,0.0009989995344635363,9.99999000001e-07,0.999695643903367,0.9988799814129008,0.9998000289962904,0.9994504570804896,0.999998999997,0.9859750993621101,0.9842881492426104,0.9944292263423488,0.9999490002173607,0.9999490025428728,0.9999999499023975,4.869168847722616e-05,0.9999949902732058,0.9999999999999
90,10000000000247.0,1000792,9999994953731.0,87269,110,200.0,9317,15005,97272448,100000936972.0,8,3,30,80,119,4,1,524,17,16,0,2000,1,0.0,90,9.999999999e-11,0.0009997914167484494,9.99999000001e-07,0.9653086506695604,0.09090909090909091,0.999000999000999,0.7564222164260906,0.8920769515547046,0.00099899949714521,9.99999000001e-07,0.9996742350550445,0.952286611000535,0.999800029016285,0.9994506857116738,0.9999989999929999,0.9857696692729575,0.9840120782807495,0.9944301585971168,0.9999490025457727,0.999949002538173,0.9999999499024622,0.0002483858406529751,0.9999949902997352,0.9999999999999
