Time,glucose,O2,glucose:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1
0,0,0,0,1000,0
100,16000,20000,974000,1000,1960000
200,21000,20000,1969000,1000,3960000
300,25000,20000,2965000,1000,5960000
400,19000,20000,3971000,1000,7960000
500,21000,20000,4969000,1000,9960000
600,19000,20100,5971000,1000,11959900
700,22000,20000,6968000,1000,13960000
800,17000,20000,7973000,1000,15960000
900,21000,20000,8969000,1000,17960000
1000,19000,20000,9971000,1000,19960000
1100,23000,20100,10967000,1000,21959900
1200,20000,20000,11970000,1000,23960000
1300,20000,20000,12970000,1000,25960000
1400,22000,20000,13968000,1000,27960000
1500,18000,20000,14972000,1000,29960000
1600,24000,20000,15966000,1000,31960000
1700,24000,20000,16966000,1000,33960000
1800,21000,20000,17969000,1000,35960000
1900,22000,20000,18968000,1000,37960000
2000,24000,20000,19966000,1000,39960000
2100,19000,20000,20971000,1000,41960000
2200,21000,20000,21969000,1000,43960000
2300,22000,20000,22968000,1000,45960000
2400,25000,20100,23965000,1000,47959900
2500,23000,20000,24967000,1000,49960000
2600,19000,20000,25971000,1000,51960000
2700,27000,20000,26963000,1000,53960000
2800,17000,20000,27973000,1000,55960000
2900,20000,20000,28970000,1000,57960000
3000,20000,20000,29970000,1000,59960000
3100,26000,20000,30964000,1000,61960000
3200,22000,20000,31968000,1000,63960000
3300,21000,20000,32969000,1000,65960000
3400,20000,20100,33970000,1000,67959900
3500,21000,20000,34969000,1000,69960000
3600,19000,20000,35971000,1000,71960000
3700,17000,20000,36973000,1000,73960000
3800,23000,20000,37967000,1000,75960000
3900,19000,20000,38971000,1000,77960000
4000,23000,20100,39967000,1000,79959900
4100,20000,20000,40970000,1000,81960000
4200,24000,20000,41966000,1000,83960000
4300,23000,20000,42967000,1000,85960000
4400,22000,20000,43968000,1000,87960000
4500,19000,20100,44971000,1000,89959900
4600,21000,20000,45969000,1000,91960000
4700,23000,20000,46967000,1000,93960000
4800,16000,20200,47974000,1000,95959800
4900,15000,20000,48975000,1000,97960000
5000,18000,20000,49972000,1000,99960000
5100,28000,20000,50962000,1000,101960000
5200,24000,20000,51966000,1000,103960000
5300,20000,20000,52970000,1000,105960000
5400,20000,20000,53970000,1000,107960000
5500,18000,20000,54972000,1000,109960000
5600,21000,20000,55969000,1000,111960000
5700,27000,20000,56963000,1000,113960000
5800,19000,20000,57971000,1000,115960000
5900,24000,20100,58966000,1000,117959900
6000,17000,20000,59973000,1000,119960000
6100,19000,20000,60971000,1000,121960000
6200,20000,20000,61970000,1000,123960000
6300,17000,20100,62973000,1000,125959900
6400,17000,20100,63973000,1000,127959900
6500,17000,20000,64973000,1000,129960000
6600,21000,20100,65969000,1000,131959900
6700,24000,20000,66966000,1000,133960000
6800,22000,20000,67968000,1000,135960000
6900,22000,20000,68968000,1000,137960000
7000,19000,20000,69971000,1000,139960000
7100,21000,20000,70969000,1000,141960000
7200,24000,20000,71966000,1000,143960000
7300,20000,20100,72970000,1000,145959900
7400,18000,20000,73972000,1000,147960000
7500,23000,20000,74967000,1000,149960000
7600,22000,20000,75968000,1000,151960000
7700,19000,20000,76971000,1000,153960000
7800,24000,20000,77966000,1000,155960000
