Time\ number,r2_2_100:=Cell_1,r1_1_200:=Cell_1,Time\ Probability,r2_2_100:=Cell_1,r1_1_200:=Cell_1
0,0,0.0,0,0.4736842105263158,0.999000999000999
100,16,200.0,100,0.4736842105263158,0.999000999000999
200,21,200.0,200,0.4736842105263158,0.999000999000999
300,25,200.0,300,0.4736842105263158,0.999000999000999
400,19,200.0,400,0.4736842105263158,0.999000999000999
500,21,200.0,500,0.4736842105263158,0.999000999000999
600,19,201.0,600,0.4736842105263158,0.999000999000999
700,22,200.0,700,0.4736842105263158,0.999000999000999
800,17,200.0,800,0.4736842105263158,0.999000999000999
900,21,200.0,900,0.4736842105263158,0.999000999000999
1000,19,200.0,1000,0.4736842105263158,0.999000999000999
1100,23,201.0,1100,0.4736842105263158,0.999000999000999
1200,20,200.0,1200,0.4736842105263158,0.999000999000999
1300,20,200.0,1300,0.4736842105263158,0.999000999000999
1400,22,200.0,1400,0.4736842105263158,0.999000999000999
1500,18,200.0,1500,0.4736842105263158,0.999000999000999
1600,24,200.0,1600,0.4736842105263158,0.999000999000999
1700,24,200.0,1700,0.4736842105263158,0.999000999000999
1800,21,200.0,1800,0.4736842105263158,0.999000999000999
1900,22,200.0,1900,0.4736842105263158,0.999000999000999
2000,24,200.0,2000,0.4736842105263158,0.999000999000999
2100,19,200.0,2100,0.4736842105263158,0.999000999000999
2200,21,200.0,2200,0.4736842105263158,0.999000999000999
2300,22,200.0,2300,0.4736842105263158,0.999000999000999
2400,25,201.0,2400,0.4736842105263158,0.999000999000999
2500,23,200.0,2500,0.4736842105263158,0.999000999000999
2600,19,200.0,2600,0.4736842105263158,0.999000999000999
2700,27,200.0,2700,0.4736842105263158,0.999000999000999
2800,17,200.0,2800,0.4736842105263158,0.999000999000999
2900,20,200.0,2900,0.4736842105263158,0.999000999000999
3000,20,200.0,3000,0.4736842105263158,0.999000999000999
3100,26,200.0,3100,0.4736842105263158,0.999000999000999
3200,22,200.0,3200,0.4736842105263158,0.999000999000999
3300,21,200.0,3300,0.4736842105263158,0.999000999000999
3400,20,201.0,3400,0.4736842105263158,0.999000999000999
3500,21,200.0,3500,0.4736842105263158,0.999000999000999
3600,19,200.0,3600,0.4736842105263158,0.999000999000999
3700,17,200.0,3700,0.4736842105263158,0.999000999000999
3800,23,200.0,3800,0.4736842105263158,0.999000999000999
3900,19,200.0,3900,0.4736842105263158,0.999000999000999
4000,23,201.0,4000,0.4736842105263158,0.999000999000999
4100,20,200.0,4100,0.4736842105263158,0.999000999000999
4200,24,200.0,4200,0.4736842105263158,0.999000999000999
4300,23,200.0,4300,0.4736842105263158,0.999000999000999
4400,22,200.0,4400,0.4736842105263158,0.999000999000999
4500,19,201.0,4500,0.4736842105263158,0.999000999000999
4600,21,200.0,4600,0.4736842105263158,0.999000999000999
4700,23,200.0,4700,0.4736842105263158,0.999000999000999
4800,16,202.0,4800,0.4736842105263158,0.999000999000999
4900,15,200.0,4900,0.4736842105263158,0.999000999000999
5000,18,200.0,5000,0.4736842105263158,0.999000999000999
5100,28,200.0,5100,0.4736842105263158,0.999000999000999
5200,24,200.0,5200,0.4736842105263158,0.999000999000999
5300,20,200.0,5300,0.4736842105263158,0.999000999000999
5400,20,200.0,5400,0.4736842105263158,0.999000999000999
5500,18,200.0,5500,0.4736842105263158,0.999000999000999
5600,21,200.0,5600,0.4736842105263158,0.999000999000999
5700,27,200.0,5700,0.4736842105263158,0.999000999000999
5800,19,200.0,5800,0.4736842105263158,0.999000999000999
5900,24,201.0,5900,0.4736842105263158,0.999000999000999
6000,17,200.0,6000,0.4736842105263158,0.999000999000999
6100,19,200.0,6100,0.4736842105263158,0.999000999000999
6200,20,200.0,6200,0.4736842105263158,0.999000999000999
6300,17,201.0,6300,0.4736842105263158,0.999000999000999
