Time,glucose,O2,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic:=Cell_1,Lactic_created:=Cell_1,H2O::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1
0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,100000000,100000000,100000000,100000000,0,0,0,10000000000,1000,1000,0,2000
100,21000,20000,9999979032935,11467187,10001867,5000,969000,1000,1960000,220340,1928000,92328122,107671878,107671878,99757660,242340,1685660,1685660,10000000658,342,22342,22000,2000
200,22000,20000,9999977992029,3628877,71733,8000,1968000,1000,3960000,163428,3920000,85440906,114559094,114559094,99800572,199428,3720572,3720572,10000000644,356,36356,36000,2000
300,18000,20100,9999967956590,5439955,65163,20,2972000,1000,5959900,255584,5943960,79240505,120759495,120759495,99686416,313584,5630376,5630376,10000000840,160,58160,58000,2000
400,24000,20000,9999948277025,17483175,10052065,7000,3966000,1000,7960000,202445,7918000,73578200,126421800,126421800,99715555,284445,7633555,7633555,9999991180,9820,91820,82000,2000
500,24000,20000,9999939187933,19478486,9980004,6000,4966000,1000,9960000,160759,9920000,68486419,131513581,131513581,99739241,260759,9659241,9659241,10000000926,74,100074,100000,2000
600,23000,20000,9999930649921,21406476,10004562,7000,5967000,1000,11960000,199543,11920000,63876397,136123603,136123603,99681457,318543,11601457,11601457,9999991239,9761,128761,119000,2000
700,21000,20000,9999932305742,13578221,59485,9000,6969000,1000,13960000,134632,13920000,59703963,140296037,140296037,99733368,266632,13653368,13653368,10000000882,118,132118,132000,2000
800,22000,20000,9999924534040,15574559,55943,8000,7968000,1000,15960000,128692,15920000,55928599,144071401,144071401,99727308,272692,15647308,15647308,9999991105,9895,153895,144000,2000
900,15000,20000,9999917304426,17388289,66665,8,8975000,1000,17960000,229180,17949984,52542699,147457301,147457301,99600820,399180,17550804,17550804,10000000905,95,170095,170000,2000
1000,20000,20000,9999910076114,19520470,50344,10011,9970000,1000,19960000,130426,19919978,49416562,150583438,150583438,99680574,319426,19600552,19600552,10000000910,90,189090,189000,2000
1100,19000,20000,9999903382635,21414945,85591,22,10971000,1000,21960000,204301,21941956,46639536,153360464,153360464,99591699,408301,21533655,21533655,9999991044,9956,213956,204000,2000
1200,22000,20000,9999896842567,23423660,84546,21,11968000,1000,23960000,189422,23935958,44102185,155897815,155897815,99592578,407422,23528536,23528536,10000000957,43,218043,218000,2000
1300,21000,20000,9999880600565,35376266,10021402,11,12969000,1000,25960000,177057,25937978,41814809,158185191,158185191,99593943,406057,25531921,25531921,10000000923,77,229077,229000,2000
1400,21000,20000,9999884485311,27419276,26602,9000,13969000,1000,27960000,142163,27920000,39724587,160275413,160275413,99614837,385163,27534837,27534837,9999990910,10090,253090,243000,2000
1500,21000,20200,9999868676603,39351646,9921874,6000,14969000,1000,29959800,118614,29926000,37854249,162145751,162145751,99622386,377614,29548386,29548386,10000000922,78,259078,259000,2000
1600,22000,20000,9999862966068,41361466,10036570,12005,15968000,1000,31960000,156547,31911990,36139524,163860476,163860476,99569453,430547,31481443,31481443,10000000967,33,274033,274000,2000
1700,22000,20000,9999857333706,43458111,10046045,28,16968000,1000,33960000,115939,33935944,34627761,165372239,165372239,99592061,407939,33528005,33528005,9999991121,9879,301879,292000,2000
1800,22000,20000,9999861910808,35489581,57365,17,17968000,1000,35960000,100875,35935966,33236355,166763645,166763645,99597125,402875,35533091,35533091,9999990950,10050,312050,302000,2000
1900,19000,20000,9999856718759,37424274,20746,11012,18971000,1000,37960000,98224,37919976,31963009,168036991,168036991,99581776,418224,37501752,37501752,10000000964,36,320036,320000,2000
2000,21000,20100,9999851544078,39461395,33423,5013,19969000,1000,39959900,84001,39927974,30833447,169166553,169166553,99583999,416001,39511973,39511973,10000000929,71,332071,332000,2000
2100,18000,20100,9999836694401,51283248,9936990,12000,20972000,1000,41959900,111371,41920000,29797649,170202351,170202351,99537629,462371,41457629,41457629,9999990901,10099,361099,351000,2000
2200,21000,20000,9999831746561,53301309,10036013,26,21969000,1000,43960000,156826,43937948,28885818,171114182,171114182,99484174,515826,43422122,43422122,9999991048,9952,368952,359000,2000
2300,18000,20100,9999826992439,55210730,9943922,25,22972000,1000,45959900,155571,45943950,28047119,171952881,171952881,99478429,521571,45422379,45422379,9999991002,9998,375998,366000,2000
2400,24000,20000,9999822173556,57267505,10015873,15,23966000,1000,47960000,152169,47931970,27273031,172726969,172726969,99471831,528169,47403801,47403801,9999990882,10118,386118,376000,2000
2500,22000,20000,9999827364340,49385753,28769,8000,24968000,1000,49960000,89008,49920000,26570093,173429907,173429907,99525992,474008,49445992,49445992,10000000961,39,385039,385000,2000
2600,21000,20000,9999822762287,51362994,44082,8,25969000,1000,51960000,110036,51937984,25963265,174036735,174036735,99490964,509036,51428948,51428948,9999990920,10080,409080,399000,2000
2700,19000,20000,9999808221707,63339192,9982792,28,26971000,1000,53960000,89272,53941944,25402843,174597157,174597157,99503728,496272,53445672,53445672,9999991036,9964,416964,407000,2000
2800,23000,20000,9999803817174,65230566,10018082,25,27967000,1000,55960000,153233,55933950,24881690,175118310,175118310,99431767,568233,55365717,55365717,10000000961,39,415039,415000,2000
2900,17000,20000,9999799300840,67282555,9999547,13016,28973000,1000,57960000,105480,57919968,24403363,175596637,175596637,99468520,531480,57388488,57388488,10000000977,23,426023,426000,2000
3000,20000,20000,9999804836827,59326578,14520,30,29970000,1000,59960000,95941,59939940,24003345,175996655,175996655,99468059,531941,59407999,59407999,9999991014,9986,445986,436000,2000
3100,24000,20000,9999800499233,61285275,13621,8013,30966000,1000,61960000,99160,61915974,23600482,176399518,176399518,99454840,545160,61370814,61370814,10000000978,22,446022,446000,2000
3200,18000,20000,9999796191475,63252726,23900,31,31972000,1000,63960000,127056,63943938,23288139,176711861,176711861,99411944,588056,63355882,63355882,9999991106,9894,470894,461000,2000
3300,23000,20000,9999781814389,75316881,10011685,43,32967000,1000,65960000,78859,65933914,22965184,177034816,177034816,99450141,549859,65384055,65384055,10000000958,42,471042,471000,2000
3400,22000,20000,9999777617671,77233770,9962728,23,33968000,1000,67960000,89456,67935954,22687395,177312605,177312605,99424544,575456,67360498,67360498,10000000968,32,486032,486000,2000
3500,20000,20000,9999773489684,79109119,10002673,10013,34970000,1000,69960000,159764,69919974,22418777,177581223,177581223,99346236,653764,69266210,69266210,9999990930,10070,504070,494000,2000
3600,23000,20000,9999779071318,71295559,21865,10019,35967000,1000,71960000,67634,71913962,22180839,177819161,177819161,99427366,572634,71341328,71341328,9999990960,10040,515040,505000,2000
3700,23000,20000,9999764964332,83194352,10018000,8,36967000,1000,73960000,119316,73933984,21992668,178007332,178007332,99361684,638316,73295668,73295668,10000000963,37,519037,519000,2000
3800,22000,20000,9999760674872,85295267,10013693,12011,37968000,1000,75960000,50702,75911978,21782117,178217883,178217883,99420298,579702,75332276,75332276,10000000964,36,529036,529000,2000
3900,27000,20100,9999756609212,87192097,10045647,23,38963000,1000,77959900,120252,77925954,21627263,178372737,178372737,99340748,659252,77266702,77266702,10000000980,20,539020,539000,2000
4000,20000,20000,9999762424278,79223554,38038,15,39970000,1000,79960000,102227,79939970,21487802,178512198,178512198,99347773,652227,79287743,79287743,9999990985,10015,560015,550000,2000
4100,21000,20000,9999748514009,90994567,10024015,21,40969000,1000,81960000,206203,81937958,21346534,178653466,178653466,99238797,761203,81176755,81176755,9999991070,9930,564930,555000,2000
4200,20000,20000,9999754190689,83188321,10407,23,41970000,1000,83960000,95520,83939954,21218964,178781036,178781036,99333480,666520,83273434,83273434,9999991006,9994,580994,571000,2000
4300,20000,20100,9999750180800,85084435,17913,11000,42970000,1000,85959900,138239,85918000,21083235,178916765,178916765,99286761,713239,85204761,85204761,9999991165,9835,584835,575000,2000
4400,23000,20000,9999736282359,96882315,10006893,13000,43967000,1000,87960000,219289,87908000,20972674,179027326,179027326,99186711,813289,87094711,87094711,10000000973,27,594027,594000,2000
4500,16000,20000,9999741962931,89105688,18414,31,44974000,1000,89960000,123832,89947938,20916557,179083443,179083443,99263168,736832,89211106,89211106,9999990903,10097,623097,613000,2000
4600,20000,20000,9999727877762,101106838,10024896,9019,45970000,1000,91960000,109510,91921962,20806562,179193438,179193438,99269490,730510,91191452,91191452,9999991088,9912,630912,621000,2000
4700,17000,20100,9999723919838,102986616,10012116,12,46973000,1000,93959900,172238,93945976,20752430,179247570,179247570,99200762,799238,93146738,93146738,9999991019,9981,636981,627000,2000
4800,17000,20100,9999719768867,105067583,9954505,12017,47973000,1000,95959900,83944,95921966,20658416,179341584,179341584,99275056,724944,95197022,95197022,10000000968,32,641032,641000,2000
4900,19000,20000,9999725614016,97156579,16979,11006,48971000,1000,97960000,65194,97919988,20590583,179409417,179409417,99284806,715194,97204794,97204794,10000000973,27,650027,650000,2000
5000,26000,20000,9999711644941,109069693,10011181,9,49964000,1000,99960000,105735,99927982,20542616,179457384,179457384,99236265,763735,99164247,99164247,10000000973,27,658027,658000,2000
5100,19000,20000,9999717538068,101124336,16038,17000,50971000,1000,101960000,66851,101908000,20470404,179529596,179529596,99267149,732851,101175149,101175149,9999990880,10120,676120,666000,2000
5200,25000,20100,9999703596259,113020591,9998901,8000,51965000,1000,103959900,107155,103914000,20430850,179569150,179569150,99214845,785155,103128845,103128845,10000000965,35,678035,678000,2000
5300,22000,20000,9999699786969,114788473,10040415,36,52968000,1000,105960000,249935,105935928,20411370,179588630,179588630,99062065,937935,104997993,104997993,9999990890,10110,698110,688000,2000
5400,24000,20000,9999695591469,116945083,9996915,10000,53966000,1000,107960000,131416,107912000,20348552,179651448,179651448,99167584,832416,107079584,107079584,9999990814,10186,711186,701000,2000
5500,25000,20000,9999691494513,119007042,9997678,6012,54965000,1000,109960000,99306,109917976,20319531,179680469,179680469,99190694,809306,109108670,109108670,9999991034,9966,719966,710000,2000
5600,27000,20000,9999697375190,111095736,46894,34,55963000,1000,111960000,81045,111925932,20296858,179703142,179703142,99203955,796045,111129887,111129887,9999990924,10076,725076,715000,2000
5700,20000,20000,9999693416996,113028074,60468,42,56970000,1000,113960000,125655,113939916,20284986,179715014,179715014,99153345,846655,113093261,113093261,9999990980,10020,731020,721000,2000
5800,20000,20000,9999689370484,115049982,7928,8000,57970000,1000,115960000,76473,115924000,20244466,179755534,179755534,99194527,805473,115118527,115118527,9999990936,10064,739064,729000,2000
5900,27000,20000,9999685366718,117029079,39655,29,58963000,1000,117960000,100759,117925942,20221739,179778261,179778261,99164241,835759,117090183,117090183,10000000981,19,735019,735000,2000
6000,21000,20000,9999671451036,128920801,10014143,11,59969000,1000,119960000,144160,119937978,20209815,179790185,179790185,99112840,887160,119050818,119050818,10000000983,17,743017,743000,2000
6100,25000,20000,9999667308985,131042884,10007488,11000,60965000,1000,121960000,62302,121908000,20159869,179840131,179840131,99189698,810302,121097698,121097698,10000000985,15,748015,748000,2000
6200,19000,20000,9999663378560,132960031,9975809,32,61971000,1000,123960000,100857,123941936,20180527,179819473,179819473,99143143,856857,123085079,123085079,10000000985,15,756015,756000,2000
6300,23000,20100,9999659284084,135038620,10001822,9,62967000,1000,125959900,66092,125933982,20156686,179843314,179843314,99168908,831092,125102890,125102890,9999991168,9832,774832,765000,2000
6400,19000,20000,9999655250895,137060168,10056282,31,63971000,1000,127960000,84526,127941938,20153001,179846999,179846999,99146474,853526,127088412,127088412,10000000968,32,769032,769000,2000
6500,20000,20000,9999651324771,138972315,9979815,34,64970000,1000,129960000,86216,129939932,20137018,179862982,179862982,99138784,861216,129078716,129078716,10000000974,26,775026,775000,2000
6600,23000,20000,9999657286419,130999713,13185,8018,65967000,1000,131960000,73218,131917964,20104096,179895904,179895904,99141782,858218,131059746,131059746,9999991003,9997,794997,785000,2000
6700,20000,20100,9999643401388,142873590,10027218,11,66970000,1000,133959900,151803,133939978,20114956,179885044,179885044,99058197,941803,132998175,132998175,9999991017,9983,799983,790000,2000
6800,20000,20000,9999639315194,144949633,10000607,11000,67970000,1000,135960000,83987,135918000,20082827,179917173,179917173,99115013,884987,135033013,135033013,9999991040,9960,810960,801000,2000
6900,24000,20000,9999635316721,146942847,9996723,6020,68966000,1000,137960000,81918,137919960,20079528,179920472,179920472,99108082,891918,137028042,137028042,9999991032,9968,819968,810000,2000
7000,20000,20000,9999631292662,148960652,9963288,43,69970000,1000,139960000,61275,139939914,20093228,179906772,179906772,99118725,881275,139058639,139058639,10000000969,31,820031,820000,2000
7100,25000,20000,9999627376967,150869687,10025261,21,70965000,1000,141960000,126766,141929958,20076612,179923388,179923388,99041234,958766,140971192,140971192,9999991045,9955,841955,832000,2000
7200,18000,20000,9999623268671,152971380,10013048,13016,71972000,1000,143960000,60818,143917968,20058019,179941981,179941981,99101182,898818,143019150,143019150,9999990867,10133,848133,838000,2000
7300,18000,20000,9999619301274,154933911,10016577,19006,72972000,1000,145960000,70827,145905988,20041173,179958827,179958827,99082173,917827,144988161,144988161,10000000974,26,847026,847000,2000
7400,24000,20000,9999615311901,156920769,9966773,14,73966000,1000,147960000,58488,147931972,20064642,179935358,179935358,99080512,919488,147012484,147012484,9999990959,10041,871041,861000,2000
7500,19000,20000,9999611415097,158813044,9998714,10024,74971000,1000,149960000,119311,149921952,20050093,179949907,179949907,99011689,988311,148933641,148933641,9999990968,10032,879032,869000,2000
7600,23000,20000,9999607315589,160909016,10011238,9000,75967000,1000,151960000,72611,151916000,20040605,179959395,179959395,99054389,945611,150970389,150970389,9999991044,9956,882956,873000,2000
7700,22000,20100,9999613348455,152873414,33202,24,76968000,1000,153959900,106870,153935952,20057821,179942179,179942179,99011130,988870,152947082,152947082,9999990960,10040,892040,882000,2000
7800,24000,20000,9999609313168,154904733,6075,35,77966000,1000,155960000,72636,155931930,20049831,179950169,179950169,99039364,960636,154971294,154971294,9999990813,10187,898187,888000,2000
7900,19000,20000,9999605309243,156904944,11160,11025,78971000,1000,157960000,66583,157919950,20034137,179965863,179965863,99040417,959583,156960367,156960367,10000000989,11,893011,893000,2000
8000,23000,20000,9999601586022,158625506,5386,12000,79967000,1000,159960000,194940,159910000,20021528,179978472,179978472,98905060,1094940,158815060,158815060,10000000992,8,900008,900000,2000
8100,19000,20000,9999597300236,160909684,5814,11017,80971000,1000,161960000,51048,161919966,20029886,179970114,179970114,99034952,965048,160954918,160954918,10000000990,10,914010,914000,2000
8200,26000,20000,9999593387071,162820755,5735,28,81964000,1000,163960000,94462,163927944,20035770,179964230,179964230,98981538,1018462,162909482,162909482,9999991015,9985,933985,924000,2000
8300,20000,20000,9999589335766,164870683,5679,12014,82970000,1000,165960000,58484,165915972,20022421,179977579,179977579,99007516,992484,164923488,164923488,10000000993,7,934007,934000,2000
8400,22000,20000,9999585335986,166868606,5610,12,83968000,1000,167960000,66490,167935976,20040568,179959432,179959432,98993510,1006490,166929486,166929486,10000000979,21,940021,940000,2000
8500,15000,20000,9999571392450,178807341,9999169,20,84975000,1000,169960000,96894,169949960,20049751,179950249,179950249,98955106,1044894,168905066,168905066,10000000984,16,948016,948000,2000
8600,23000,20000,9999567370831,180825263,9952787,7017,85967000,1000,171960000,44245,171919966,20016060,179983940,179983940,98996755,1003245,170916721,170916721,9999991047,9953,968953,959000,2000
8700,20000,20000,9999563412543,182780489,10023237,12022,86970000,1000,173960000,95352,173915956,20008988,179991012,179991012,98936648,1063352,172852604,172852604,10000000979,21,968021,968000,2000
8800,23000,20000,9999569440252,174752945,5427,18,87967000,1000,175960000,104223,175933964,20027161,179972839,179972839,98917777,1082223,174851741,174851741,10000000990,10,978010,978000,2000
8900,27000,20000,9999555436092,186755772,10022540,22,88963000,1000,177960000,104862,177925956,20017820,179982180,179982180,98912138,1087862,176838094,176838094,9999991076,9924,992924,983000,2000
9000,22000,20000,9999561412255,178779070,5270,10000,89968000,1000,179960000,74600,179916000,20007325,179992675,179992675,98932400,1067600,178848400,178848400,10000000994,6,993006,993000,2000
9100,19000,20100,9999547458780,190732118,9912632,7000,90971000,1000,181959900,56257,181928000,20018898,179981102,179981102,98947743,1052257,180875743,180875743,9999991028,9972,1005972,996000,2000
9200,19000,20000,9999543498834,192693944,10017580,14,91971000,1000,183960000,132304,183941972,20034750,179965250,179965250,98866696,1133304,182808668,182808668,9999990910,10090,1011090,1001000,2000
9300,18000,20000,9999539508185,194682859,9911239,10016,92972000,1000,185960000,73174,185923968,20015012,179984988,179984988,98920826,1079174,184844794,184844794,9999990843,10157,1016157,1006000,2000
9400,23000,20000,9999545412717,186775494,5104,7021,93967000,1000,187960000,70284,187919958,20008169,179991831,179991831,98920716,1079284,186840674,186840674,9999990920,10080,1019080,1009000,2000
9500,18000,20200,9999541383914,188802986,9340,12017,94972000,1000,189959800,55160,189919966,20006866,179993134,179993134,98928840,1071160,188848806,188848806,10000000991,9,1016009,1016000,2000
9600,22000,20000,9999527421625,200764705,9940417,7000,95968000,1000,191960000,38356,191922000,20008330,179991670,179991670,98940644,1059356,190862644,190862644,9999991083,9917,1030917,1021000,2000
9700,21000,20000,9999523443324,202742684,10003520,4000,96969000,1000,193960000,83418,193930000,20016008,179983992,179983992,98892582,1107418,192822582,192822582,10000000993,7,1024007,1024000,2000
9800,20000,20000,9999519418878,204766290,9947012,8000,97970000,1000,195960000,36861,195924000,20009168,179990832,179990832,98932139,1067861,194856139,194856139,9999991030,9970,1040970,1031000,2000
9900,20000,20100,9999515446992,206735893,9996445,12000,98970000,1000,197959900,70276,197916000,19998885,180001115,180001115,98893724,1106276,196809724,196809724,10000000989,11,1036011,1036000,2000
10000,19000,20000,9999521361397,198823608,9168,19,99971000,1000,199960000,40761,199941962,20026967,179973033,179973033,98913239,1086761,198855201,198855201,9999990776,10224,1056224,1046000,2000
10100,19000,20100,9999517427026,200757142,9230,10000,100971000,1000,201959900,59544,201922000,20006168,179993832,179993832,98885456,1114544,200807456,200807456,10000000991,9,1055009,1055000,2000
10200,24000,20000,9999503432345,212752226,9998794,11000,101966000,1000,203960000,45284,203910000,19994571,180005429,180005429,98888716,1111284,202798716,202798716,10000000987,13,1066013,1066000,2000
10300,18000,20000,9999499414441,214770587,10021137,15,102972000,1000,205960000,60760,205943970,20028998,179971002,179971002,98866240,1133760,204810210,204810210,10000000993,7,1073007,1073000,2000
10400,27000,20100,9999505453397,206731957,4639,5012,103963000,1000,207959900,52829,207915976,20001330,179998670,179998670,98864171,1135829,206780147,206780147,9999990966,10034,1093034,1083000,2000
10500,18000,20000,9999491511556,218673261,9941645,39,104972000,1000,209960000,61153,209943922,20028739,179971261,179971261,98848847,1151153,208792769,208792769,10000000983,17,1090017,1090000,2000
10600,22000,20000,9999497479017,210705794,4492,12013,105968000,1000,211960000,56336,211911974,19996785,180003215,180003215,98845664,1154336,210757638,210757638,10000000985,15,1098015,1098000,2000
10700,17000,20000,9999493423900,212760334,8582,8000,106973000,1000,213960000,37124,213930000,20014234,179985766,179985766,98858876,1141124,212788876,212788876,10000000991,9,1104009,1104000,2000
10800,21000,20000,9999489547941,214638839,4417,9000,107969000,1000,215960000,87789,215920000,20006780,179993220,179993220,98802211,1197789,214722211,214722211,9999990807,10193,1120193,1110000,2000
10900,20000,20000,9999475618238,226568015,10000155,13000,108970000,1000,217960000,113570,217914000,20000253,179999747,179999747,98767430,1232570,216681430,216681430,10000000981,19,1119019,1119000,2000
11000,24000,20000,9999481451290,218736910,20510,13,109966000,1000,219960000,46287,219931974,20020174,179979826,179979826,98830713,1169287,218762687,218762687,9999991032,9968,1132968,1123000,2000
11100,15000,20000,9999467584392,230602709,10026745,8029,110975000,1000,221960000,112989,221933942,20021043,179978957,179978957,98755011,1244989,220688953,220688953,10000000990,10,1132010,1132000,2000
11200,17000,20000,9999473485195,222702532,26290,13017,111973000,1000,223960000,51862,223919966,20007693,179992307,179992307,98808138,1191862,222728104,222728104,9999991134,9866,1149866,1140000,2000
11300,27000,20000,9999459602702,234585703,9922963,13,112963000,1000,225960000,58617,225925974,20014379,179985621,179985621,98795383,1204617,224721357,224721357,10000000984,16,1146016,1146000,2000
11400,21000,20100,9999465529933,226658392,8054,31,113969000,1000,227959900,67300,227937938,20026263,179973737,179973737,98779700,1220300,226717638,226717638,10000000989,11,1153011,1153000,2000
11500,23000,20000,9999461512149,228677436,15734,9003,114967000,1000,229960000,49146,229915994,20005579,179994421,179994421,98794854,1205146,228710848,228710848,9999990892,10108,1166108,1156000,2000
11600,28000,20000,9999447723727,240465524,9877780,6012,115962000,1000,231960000,81116,231911976,20001227,179998773,179998773,98756884,1243116,230668860,230668860,9999990791,10209,1172209,1162000,2000
11700,22000,20000,9999443625793,242564892,9995360,12000,116968000,1000,233960000,86734,233912000,20002685,179997315,179997315,98744266,1255734,232656266,232656266,9999990942,10058,1179058,1169000,2000
11800,18000,20000,9999449579110,234611076,4112,28,117972000,1000,235960000,81490,235943944,20034130,179965870,179965870,98744510,1255490,234688454,234688454,9999991143,9857,1183857,1174000,2000
11900,17000,20000,9999445555876,236633843,7639,12023,118973000,1000,237960000,56375,237921954,20011673,179988327,179988327,98760625,1239375,236682579,236682579,9999991000,10000,1193000,1183000,2000
12000,21000,20000,9999441608070,238580925,7725,11025,119969000,1000,239960000,76375,239915950,20004945,179995055,179995055,98733625,1266375,238649575,238649575,10000000988,12,1190012,1190000,2000
12100,20000,20000,9999427549920,250635834,9965648,25,120970000,1000,241960000,34882,241939950,20025704,179974296,179974296,98765118,1234882,240705068,240705068,10000000989,11,1200011,1200000,2000
12200,16000,20100,9999423662486,252525640,9946478,13027,121974000,1000,243959900,65392,243921946,20010072,179989928,179989928,98722608,1277392,242644554,242644554,10000000992,8,1212008,1212000,2000
12300,23000,20000,9999419578190,254608484,10043386,34,122967000,1000,245960000,74917,245933932,20020606,179979394,179979394,98706083,1293917,244640015,244640015,10000000995,5,1219005,1219000,2000
