Time\ number,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_200::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1,Time\ Probability,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_200::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1
0,10000000000000.0,10096038,0,0.0,0,0,100000000,10000000000.0,10815,0,0,9.99999000001e-07,0.9901922688008813,0.4736842105263158,0.999000999000999,0.9988015154995018,0.0,0.0009990000013934107,9.99999000001e-07,0.9153618281845112,1.955420530920411e-05
100,9999988796371.0,9942053,21,200.0,16000,251296,92328122,10000000658.0,10399,220,100,9.99999000001e-07,0.9913548557657104,0.4736842105263158,0.999000999000999,0.9988411725026543,0.17947533665137133,0.0009989989064816257,9.99999000001e-07,0.9709293874821943,0.0017828337333191469
200,9999977992029.0,10115035,22,200.0,21000,35866,85482868,10000000990.0,356,70,200,9.99999000001e-07,0.9927176626901464,0.4736842105263158,0.999000999000999,0.9988680030811211,0.023356023585497765,0.0009989978042986881,9.99999000001e-07,0.9732305386015634,3.183235537231146e-05
300,9999967938207.0,61943,18,201.0,10020,32581,79240505,10000000840.0,10168,65,300,9.99999000001e-07,0.9819493118626414,0.4736842105263158,0.999000999000999,0.9988854689592988,0.0485941439190143,0.0009989978071288249,9.99999000001e-07,0.9855424473745085,4.998675166454725e-05
400,9999958198330.0,10052065,24,200.0,18000,28723,73578200,9999991180.0,20043,91,400,9.99999000001e-07,0.994312744996282,0.4736842105263158,0.999000999000999,0.9988956726234935,0.03728418255993332,0.0009989968344984513,9.99999000001e-07,0.9902953136069408,4.643506609340388e-05
500,9999949060543.0,9991998,24,200.0,6000,172753,68498413,10000000926.0,10117,141,500,9.99999000001e-07,0.9948923527590438,0.4736842105263158,0.999000999000999,0.9988999069918616,0.1787307710142708,0.0009989959220416686,9.99999000001e-07,0.9910004769747204,0.0017804580314752356
600,9999940558568.0,10018542,23,200.0,7000,213523,63890377,9999991239.0,19685,213,600,9.99999000001e-07,0.9953502377609423,0.4736842105263158,0.999000999000999,0.9988993166758773,0.20810566844648928,0.0009989950730536843,9.99999000001e-07,0.9928410351863121,0.0017896804890835337
700,9999932339193.0,93935,21,200.0,18000,29742,59703963,10000000882.0,10137,57,700,9.99999000001e-07,0.9926891077428855,0.4736842105263158,0.999000999000999,0.9988949335244058,0.02497785178057078,0.0009989942430937238,9.99999000001e-07,0.9930136861887562,2.621607812303633e-05
800,9999924534040.0,10097736,22,200.0,20000,19616,55968551,10000000941.0,9895,55,800,9.99999000001e-07,0.9961053730273715,0.4736842105263158,0.999000999000999,0.9988873546466447,0.0343709710130256,0.0009989934731305093,9.99999000001e-07,0.993544013686691,2.5201293441640163e-05
900,9999917314519.0,63163,15,200.0,9008,33332,52542699,10000000905.0,10109,66,900,9.99999000001e-07,0.9942818877249798,0.4736842105263158,0.999000999000999,0.9988766385234925,0.05319323644982318,0.0009989927522264267,9.99999000001e-07,0.9944784632458906,4.483450318755554e-05
1000,9999910126183.0,50344,20,200.0,10011,150418,49436554,10000000910.0,10130,150,1000,9.99999000001e-07,0.9949032821334045,0.4736842105263158,0.999000999000999,0.9988641876413402,0.211242101076639,0.0009989910316116454,9.99999000001e-07,0.9950032478888722,0.0017857375531096296
1100,9999903439415.0,103619,19,200.0,9022,240,46657564,10000000948.0,9956,222,1100,9.99999000001e-07,0.9953520680624561,0.4736842105263158,0.999000999000999,0.9988495548527372,0.05436672372878293,0.0009989913668522357,9.99999000001e-07,0.9953478851485885,0.0017818123190894515
1200,9999896878956.0,80666,22,200.0,11021,42273,44102185,10000000957.0,10116,0,1200,9.99999000001e-07,0.9957489608334757,0.4736842105263158,0.999000999000999,0.998833099061796,0.04610145068340155,0.0009989907118804213,9.99999000001e-07,0.9956353986626861,3.669238485361697e-05
1300,9999880600565.0,19944434,21,200.0,10011,175057,41834803,10000000999.0,77,177,1300,9.99999000001e-07,0.9978009229174664,0.4736842105263158,0.999000999000999,0.9988161415509714,0.26255750974434783,0.0009989900712456179,9.99999000001e-07,0.995691085286349,0.003270527650908258
1400,9999884510835.0,65592,21,200.0,20000,13301,39764523,9999990910.0,20123,65,1400,9.99999000001e-07,0.9963661834708152,0.4736842105263158,0.999000999000999,0.9987975529481908,0.0346100455449466,0.0009989894771221454,9.99999000001e-07,0.9962138851974269,3.5548376082926214e-05
1500,9999878535718.0,9921874,21,202.0,17000,29454,37854249,10000000922.0,9911,58,1500,9.99999000001e-07,0.9974652515132069,0.4736842105263158,0.999000999000999,0.9987780711517112,0.038594929932976946,0.0009989888806018685,9.99999000001e-07,0.996295075043255,2.986933151646291e-05
1600,9999862930302.0,19962184,22,200.0,12005,180527,36139524,10000000967.0,10252,156,1600,9.99999000001e-07,0.9980566447629803,0.4736842105263158,0.999000999000999,0.998758067476354,0.2606708748081358,0.000998987322973343,9.99999000001e-07,0.9964943278224166,0.0017884553307693837
1700,9999867322144.0,10046045,22,200.0,28,11442,34627817,9999991121.0,19937,22,1700,9.99999000001e-07,0.9977042163283895,0.4736842105263158,0.999000999000999,0.9987388943253241,0.03010235564317149,0.0009989877611763106,9.99999000001e-07,0.9968044686310663,2.2649884293185172e-05
1800,9999861934721.0,57365,22,200.0,11017,122895,33236355,9999990950.0,19983,57,1800,9.99999000001e-07,0.9971901888926424,0.4736842105263158,0.999000999000999,0.9987182929477669,0.24858531758198027,0.0009989872176580758,9.99999000001e-07,0.9969038618131605,1.975947938987135e-05
1900,9999856707458.0,20746,19,200.0,22012,142182,31963009,10000001000.0,36,98,1900,9.99999000001e-07,0.9973350583678181,0.4736842105263158,0.999000999000999,0.9986979361581807,0.2636072155985935,0.0009989866994900155,9.99999000001e-07,0.9968850845388056,0.001782757896970911
2000,9999851544078.0,9989513,21,201.0,5013,94023,30843469,10000000929.0,9960,70,2000,9.99999000001e-07,0.9979820045253549,0.4736842105263158,0.999000999000999,0.998678771481427,0.24910718152242362,0.0009989851857778078,9.99999000001e-07,0.997084208070912,0.0017808316318444707
2100,9999846582609.0,9936990,18,201.0,20000,9560,29797649,9999990901.0,20061,151,2100,9.99999000001e-07,0.9980538404267476,0.4736842105263158,0.999000999000999,0.9986584636109366,0.0316844432487904,0.0009989856908594551,9.99999000001e-07,0.9973122686871239,0.0017923383057873536
2200,9999841645823.0,9946721,21,200.0,26,156878,28885870,9999991048.0,19807,112,2200,9.99999000001e-07,0.9981273867275425,0.4736842105263158,0.999000999000999,0.9986402972907163,0.28376687554652846,0.000998985198100351,9.99999000001e-07,0.9973670838083553,0.001773893239599562
2300,9999826992439.0,19853260,18,201.0,25,155571,28047169,10000000977.0,9998,111,2300,9.99999000001e-07,0.9984688071517731,0.4736842105263158,0.999000999000999,0.9986219901196857,0.28538553990013954,0.0009989827350078148,9.99999000001e-07,0.9973474660343026,0.0032479684561199026
2400,9999822173556.0,20011502,24,200.0,15,14847,27273031,10000000976.0,10118,152,2400,9.99999000001e-07,0.9985155084975708,0.4736842105263158,0.999000999000999,0.9986031053455632,0.045656431964818854,0.0009989822543014903,9.99999000001e-07,0.9974168083116776,0.0017851030156954412
2500,9999827364340.0,9981547,22,200.0,18000,89008,26570093,10000000961.0,9985,28,2500,9.99999000001e-07,0.9983189441960918,0.4736842105263158,0.999000999000999,0.9985857569536088,0.2681125309288223,0.0009989827718400147,9.99999000001e-07,0.9974746518176194,1.7437028669130024e-05
2600,9999822804759.0,42576,21,200.0,8,22041,25963281,10000000969.0,10080,0,2600,9.99999000001e-07,0.9980568561557067,0.4736842105263158,0.999000999000999,0.9985703784932402,0.03343848771532246,0.0009989823171321684,9.99999000001e-07,0.9975614514241123,2.140621277912882e-05
2700,9999808221707.0,19982163,19,200.0,28,13469,25402899,10000000976.0,9964,26,2700,9.99999000001e-07,0.9986383165442075,0.4736842105263158,0.999000999000999,0.9985549190252104,0.027200126087561633,0.0009989808615348621,9.99999000001e-07,0.9976074494454068,1.7427437901987357e-05
2800,9999803817174.0,20015003,23,200.0,10025,13449,24881690,10000001000.0,39,45,2800,9.99999000001e-07,0.9986724633466134,0.4736842105263158,0.999000999000999,0.9985389468507542,0.04814499060139823,0.0009989804222000531,9.99999000001e-07,0.9975963791856052,3.377876714285865e-05
2900,9999809287020.0,10025551,17,200.0,13016,7468,24429367,10000001000.0,23,105,2900,9.99999000001e-07,0.9985159363577116,0.4736842105263158,0.999000999000999,0.998525278817483,0.0415942506162804,0.0009989819682267153,9.99999000001e-07,0.9976582057640924,0.0017824577861180449
3000,9999804836827.0,9959903,20,200.0,30,95941,24003345,10000000980.0,9986,68,3000,9.99999000001e-07,0.9985596469982864,0.4736842105263158,0.999000999000999,0.9985119726876623,0.28943513746807636,0.0009989805235699162,9.99999000001e-07,0.9977627934655672,0.0017760311746207573
3100,9999800489016.0,13621,24,200.0,19013,19003,23600482,10000001000.0,22,13,3100,9.99999000001e-07,0.9983709448234939,0.4736842105263158,0.999000999000999,0.9984987119280917,0.04442323990778662,0.0009989810901212697,9.99999000001e-07,0.9977629736344072,1.942387653892596e-05
3200,9999796191475.0,9959667,18,200.0,6031,126056,23288139,10000000981.0,9894,127,3200,9.99999000001e-07,0.9986367771328416,0.4736842105263158,0.999000999000999,0.9984881589837925,0.30871489177088146,0.0009989796605611606,9.99999000001e-07,0.9978808800281419,0.0017868650941470926
3300,9999781791384.0,19960076,23,200.0,43,78859,22965184,10000001000.0,42,23,3300,9.99999000001e-07,0.9988292027920048,0.4736842105263158,0.999000999000999,0.998476966826246,0.2957075347217769,0.000998979224011178,9.99999000001e-07,0.9978815444388424,1.0894727498919741e-05
3400,9999777617671.0,19921467,22,200.0,13023,89456,22687395,10000000968.0,10150,59,3400,9.99999000001e-07,0.9988548652954572,0.4736842105263158,0.999000999000999,0.9984669873336876,0.33198922918205315,0.000998977807952747,9.99999000001e-07,0.9979885346474907,0.0032537262858925507
3500,9999773467097.0,19998155,20,200.0,22013,33211,22418777,9999990930.0,20044,22,3500,9.99999000001e-07,0.9988789815897501,0.4736842105263158,0.999000999000999,0.9984568953317525,0.06955761370710413,0.0009989783932030881,9.99999000001e-07,0.998058418309892,3.127630623191556e-05
3600,9999779049019.0,9991196,23,200.0,10019,87650,22200855,9999990960.0,20091,41,3600,9.99999000001e-07,0.9987714896255862,0.4736842105263158,0.999000999000999,0.998448954921745,0.31033175631106824,0.0009989789502518583,9.99999000001e-07,0.9980991881632645,1.71712239320275e-05
3700,9999774870698.0,9940240,23,200.0,8,119332,21992684,10000000963.0,9873,80,3700,9.99999000001e-07,0.9987994384060999,0.4736842105263158,0.999000999000999,0.9984416010481237,0.32478326660538,0.0009989775423703653,9.99999000001e-07,0.9981127553206146,0.0017850586271647448
3800,9999760653173.0,19983241,22,200.0,12011,50702,21782117,10000001000.0,36,33,3800,9.99999000001e-07,0.998951768840291,0.4736842105263158,0.999000999000999,0.9984326564005832,0.3336344842876288,0.0009989771142809515,9.99999000001e-07,0.9981133356979526,0.003265691538553795
3900,9999766541921.0,9965787,27,201.0,23,120252,21627263,10000000980.0,10036,80,3900,9.99999000001e-07,0.9988544209219765,0.4736842105263158,0.999000999000999,0.9984263629576615,0.33134993324165996,0.0009989767085268459,9.99999000001e-07,0.9981819371822935,0.001784241125859775
4000,9999762402666.0,10037414,20,200.0,9015,19019,21487802,10000000977.0,10015,29,4000,9.99999000001e-07,0.9988804821056035,0.4736842105263158,0.999000999000999,0.998420648828903,0.036612014776394836,0.000998977288872203,9.99999000001e-07,0.9982175164656917,2.3426487508094138e-05
4100,9999758505789.0,10024057,21,200.0,21,206245,21346576,9999991070.0,19881,206,4100,9.99999000001e-07,0.9989022396911992,0.4736842105263158,0.999000999000999,0.9984155170703691,0.36025210589407586,0.0009989759006231215,9.99999000001e-07,0.9982635301390391,0.0017864287376250993
4200,9999754190689.0,10007334,20,200.0,23,5226,21219010,10000000980.0,9994,10,4200,9.99999000001e-07,0.9989280228672447,0.4736842105263158,0.999000999000999,0.9984104091577214,0.034888757481487495,0.0009989754694288192,9.99999000001e-07,0.9982817692278615,1.8711538503127697e-05
