Time,glucose,O2,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic:=Cell_1,Lactic_created:=Cell_1,H2O::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,100000000,100000000,100000000,100000000,0,0,0,100000000000,1000,1000,1000,0,0,0,0,0,10000000,5000000,0,15000000,10000000,0,0,0,0,10000000,0,8000000,0,0,2000,2000,2000,2000,2000,2000,2000
100,24000,20000,9999990078093,293149,61877,11000,966000,1000,20000,1678364,1910000,95341042,104658958,101429158,99999636,364,224636,224636,100004619823,100477,233977,0,1146250,0,28000,0,3152800,10000000,5000000,0,18229800,9867500,132500,0,0,7000,10000000,0,8000000,0,7000,2000,2000,2000,2000,2000,2000,2000
200,22000,20000,9999970417931,10619648,10046694,25,1968000,1000,20000,3322998,3935950,91481929,108518071,101361671,99960002,39998,580952,580952,100009852164,636,12236,93000,2254300,0,128000,0,6576400,10000000,5000000,0,22156400,9896400,103600,0,0,32000,10000000,0,8000000,0,32000,2000,2000,2000,2000,2000,2000,2000
300,18000,20000,9999960981727,11095838,9988948,12010,2972000,1000,20000,4812945,5919980,87798545,112201455,101673455,99999855,145,1035035,1035035,100014561562,100741,30238,268600,3416350,0,287997,999,9830000,9999001,5000000,0,25527001,9802903,197097,0,0,72000,9999999,1,7999601,399,71999,2000,2000,2000,2000,2000,2000,2000
400,18000,20000,9999961828950,1652878,86632,30,3972000,1000,0,6376697,7943940,84324768,115675232,99308232,99999003,997,1451243,1451243,100019301374,100438,158326,149800,4528600,0,463988,2996,12886000,9997004,5000000,0,31364004,9793312,206688,0,0,116000,9999996,4,7997804,2196,115996,2000,2000,2000,2000,2000,2000,2000
500,20000,20000,9999952923321,2310716,81390,11000,4970000,1000,20000,7688587,9918000,80605837,119394163,96343363,99999913,87,2057413,2057413,100023316219,100390,223081,49600,5665600,0,687990,0,15382800,10000000,4999003,997,38049803,9828710,171290,0,1,172000,9999998,2,7999603,397,171997,2000,2000,2000,2000,2000,2000,2000
600,16000,20000,9999944387013,2917237,99045,10,5974000,1000,20000,9107594,11947980,78005230,121994770,93932770,99977806,22194,2584386,2584386,100028226056,844,25344,201000,6743550,0,1021000,0,18598000,10000000,5000000,0,43062000,9775500,224500,0,0,256000,9999000,1000,8000000,0,255000,2000,2000,2000,2000,2000,2000,2000
700,25000,20000,9999936103639,3485473,73999,8000,6965000,1000,0,10502513,13914000,76500012,123499988,90362888,99999987,13,3037487,3037487,100034129838,73268,227662,0,7663950,0,1495994,8100,22732000,9991900,4999002,998,48128002,9846606,153394,0,0,374000,9999998,2,7999002,998,373998,2000,2000,2000,2000,2000,2000,2000
800,25000,20100,9999918101919,13938216,9989326,7000,7965000,1000,0,11967005,15916000,74627335,125372665,86610465,99999895,105,3470995,3470995,100039416095,100405,41005,239000,8631750,0,1912000,0,26293200,10000000,5000000,0,53762200,9821400,178600,0,0,478000,10000000,0,8000000,0,478000,2000,2000,2000,2000,2000,2000,2000
900,20000,20000,9999910157957,14467424,9995130,8017,8970000,1000,0,13451586,17923966,73761047,126238953,82917453,99999914,86,3850380,3850380,100045760038,268,226862,24000,9499250,0,2478994,2098,30694800,9997902,5000000,0,58319402,9750406,249594,0,0,622000,9996998,3002,7999602,398,618998,2000,2000,2000,2000,2000,2000,2000
