Time\ number,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_110::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1,rM_400::Cell_1::Mitochondria_1,rM_500::Cell_1::Mitochondria_1,r2_2_510::Cell_1::Mitochondria_1,rM_600::Cell_1::Mitochondria_1,rM_610::Cell_1::Mitochondria_1,rM_620::Cell_1::Mitochondria_1,rM_700::Cell_1::Mitochondria_1,r3_3_800::Cell_1::Mitochondria_1,rM_900::Cell_1::Mitochondria_1,r1_1_1100::Cell_1::Mitochondria_1,Time\ Probability,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_110::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1,rM_400::Cell_1::Mitochondria_1,rM_500::Cell_1::Mitochondria_1,r2_2_510::Cell_1::Mitochondria_1,rM_600::Cell_1::Mitochondria_1,rM_610::Cell_1::Mitochondria_1,rM_620::Cell_1::Mitochondria_1,rM_700::Cell_1::Mitochondria_1,r3_3_800::Cell_1::Mitochondria_1,rM_900::Cell_1::Mitochondria_1,r1_1_1100::Cell_1::Mitochondria_1
0,10000000000000.0,10102923,0,0.0,0,0,100000000,100000000000.0,101024,0,0,0,0,0,0,0,0,10,0,0.0,0,9.99999000001e-07,0.9901988871228372,0.4736842105263158,0.999000999000999,0.9988015077764105,0.0,0.0009990009991125755,9.99999000001e-07,0.9902935238391054,1.7687357489907505e-06,0.9998000299960005,0.9993086219115123,0.999999000001,0.0,0.0,0.994361879320513,0.9948269138669141,0.9999999499000025,0.9999949900250499,0.9999999999999
100,9999990028288.0,61573,24,200.0,11000,64,95363004,100004739160.0,100477,1700,0,0,0,195,0,0,3,1930,0,200.0,100,9.99999000001e-07,0.7456435092038897,0.4736842105263158,0.999000999000999,0.9988138142567815,0.01871696907121021,0.000999000013358768,9.99999000001e-07,0.9953698773480509,0.0001743009758440508,0.9997988823115159,0.9993175536302994,0.999999000001,0.987157614255374,0.9252844599262263,0.9944111160215492,0.979100708862364,0.9999999499014115,0.9999949904702039,0.9999999999999
200,9999970417931.0,20005982,22,200.0,25,348,91515579,100009886764.0,100213,2000,2000,2000,0,10,10,85,400,22,336,399.0,200,9.99999000001e-07,0.9951739957905661,0.4736842105263158,0.999000999000999,0.9988189565222905,0.6987247854647167,0.0009989970485561235,9.99999000001e-07,0.9960398078514769,0.0002876939259745916,0.9997985868894624,0.9993256824835952,0.9999989966296791,0.9852936730049391,0.8997220233194426,0.9944474924885759,0.9948253321367824,0.9999999499013459,0.9999949908099867,0.9999999999999
300,9999970881489.0,9988948,18,200.0,22010,45,87843415,100014665862.0,201048,89,0,1,0,190,1,215,1,2000,9,399.0,300,9.99999000001e-07,0.9910681094170888,0.4736842105263158,0.999000999000999,0.9988223928699786,0.03530756974455902,0.0009989970945109682,9.99999000001e-07,0.9973555117745838,8.489057350536484e-05,0.9997982151757846,0.9993308212726874,0.9999989999910999,0.9898596173171684,0.9300981133972439,0.9944724016245016,0.9838914779082908,0.9999999626715653,0.9999949911125041,0.9999999999999
400,9999961828950.0,10090830,18,200.0,30,1057,84327728,100019403168.0,100438,84,0,4,0,122,10,69,10,2000,29,0.0,400,9.99999000001e-07,0.9914944404260401,0.4736842105263158,0.999000999000999,0.9988151292054684,0.0356205482476016,0.0009989971895923112,9.99999000001e-07,0.9937235604986003,0.00011195460203299276,0.999798047099027,0.9993375706033059,0.9999989999914,0.9901245725384994,0.7812474936495567,0.9945009912304084,0.9834707904394874,0.9999999646632228,0.9999949913801457,0.9999999999999
500,9999952923321.0,10075520,20,200.0,19000,87,80644689,100023416444.0,100390,2000,2001,2,999,258,1,0,380,496,9,400.0,500,9.99999000001e-07,0.9919397700932262,0.4736842105263158,0.999000999000999,0.998802369408382,0.03460309648108352,0.0009989963005229315,9.99999000001e-07,0.996356840214655,0.0006615967267717814,0.9997978960691039,0.9993437386991554,0.999999000001,0.9902444936819397,0.9397125658494051,0.9945226113531667,0.9948252804938584,0.9999999498962071,0.9999949916467598,0.9999999999999
600,9999944482856.0,99045,16,200.0,10,14,78005250,100028226056.0,100515,2000,0,1000,1000,210,0,0,222,2000,0,200.0,600,9.99999000001e-07,0.9668570947525832,0.4736842105263158,0.999000999000999,0.9987907721099607,0.7506364690905707,0.0009989944601435101,9.99999000001e-07,0.9922489632988413,0.0007750586806411001,0.9997977027385511,0.9993451476739386,0.999999000001,0.9909826302211796,0.8819954709549261,0.9945350680779025,0.9948236195679413,0.9999999501423877,0.999994991833199,0.9999999999999
700,9999936103639.0,10037251,25,200.0,24000,47949,76556048,100034202798.0,73268,2000,0,2,998,212,4,0,114,0,81,199.0,700,9.99999000001e-07,0.9926412491979881,0.4736842105263158,0.999000999000999,0.9987729802241941,0.762689770905105,0.0009989936237437345,9.99999000001e-07,0.9956267329070856,0.0009045038112741591,0.999798472609416,0.999350091682626,0.999999000001,0.9885158359474653,0.9362032987995816,0.9945440441757117,0.9948250454252154,0.9999999498893376,0.9999949919278737,0.9999999999999
800,9999918101919.0,19981397,25,201.0,18000,275,74627335,100039419495.0,199955,2000,0,0,0,34,0,227,360,18,904,0.0,800,9.99999000001e-07,0.9958391538370096,0.4736842105263158,0.999000999000999,0.9987524287149105,0.8391190215944997,0.0009989918280082712,9.99999000001e-07,0.9975958937865875,0.0019659130846900047,0.9997982472916379,0.9993501579845314,0.999999000001,0.989427334776827,0.9541299075085732,0.9945530283588179,0.9948739166900148,0.9999999498845954,0.9999949920513196,0.9999999999999
900,9999910083884.0,19995721,20,200.0,19017,86,73761047,100045780093.0,268,81,0,3002,3000,209,1,20,0,2000,100,200.0,900,9.99999000001e-07,0.9959296892899827,0.4736842105263158,0.999000999000999,0.9987298095020626,0.7756065514381371,0.0009989920327381106,9.99999000001e-07,0.9566386263116815,0.00023134732378043656,0.9997975948491811,0.9993510756746999,0.9999989999911999,0.9910020482993187,0.5738679550088419,0.9945587267548402,0.99482352153381,0.9999999518025849,0.9999949921081996,0.9999999999999
