H2O::,9.97E+10,,Rate constant Ratio,1,0.6,0.3,0.1,0.06,0.03
DHO::,3.12E+08,,ATP_created_by_D+,877311,449457,73281,1305,143,3
,,,ATP_created_by_H+,227191779,228052368,227912499,228082692,228092808,228115959
,,,,,,,,,
,,,,,,,,,
H2O::,1.00E+11,,Rate constant Ratio,1,0.6,0.3,0.1,0.06,0.03
DHO::,3.12E+07,,ATP_created_by_D+,86904,39849,6933,128,15,0
,,,ATP_created_by_H+,228033567,228071283,228095520,228112272,228109710,228115101
,,,,,,,,,
,,,,,,,,,
H2O::,1.00E+11,,Rate constant Ratio,1,0.6,0.3,0.1,0.06,0.03
DHO::,3.12E+06,,ATP_created_by_D+,7479,3300,600,9,0,0
,,,ATP_created_by_H+,228128850,228113121,228122085,228115200,228125799,228123999
