H2O::,9.99E+10,,Rate constant Ratio,1,0.6,0.3,0.1,0.06,0.03
DHO::,1.34E+08,,ATP_created_by_D+,375921,169188,30534,558,63,0
,,,ATP_created_by_H+,227718636,227896407,228037920,228093738,228110883,228121668
,,,,,,,,,
,,,,,,,,,
H2O::,1.00E+11,,Rate constant Ratio,1,0.6,0.3,0.1,0.06,0.03
DHO::,1.34E+07,,ATP_created_by_D+,36942,16584,3009,60,6,0
,,,ATP_created_by_H+,228073623,228091716,228106602,228123774,228129141,228125733
,,,,,,,,,
,,,,,,,,,
H2O::,1.00E+11,,Rate constant Ratio,1,0.6,0.3,0.1,0.06,0.03
DHO::,1.34E+06,,ATP_created_by_D+,2580,1182,186,3,0,0
,,,ATP_created_by_H+,228121632,228113115,228129582,228124674,228119697,228110061
,,,,,,,,,
,Rate constant Ratio,,,,,,,,
Rate constant,1,0.6,0.3,0.1,0.06,0.03,,,
rM_301::,1.00E+05,6.00E+04,3.00E+04,1.00E+04,6.00E+03,3.00E+03,,,
rM_311::,1.00E+05,6.00E+04,3.00E+04,1.00E+04,6.00E+03,3.00E+03,,,
rM_321::,6.00E+03,3.60E+03,1.80E+03,6.00E+02,3.60E+02,1.80E+02,,,
