Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
600000,10390,62339,600000000,3600000000,300000000,6000,9998756161867,8274786,1198995615,1226084,599989610,1000,6164,166240,1197527052,21519893,1978480107,2169271356,840885421,1159114579,1031440010,100043752325,136805018,972347,983103,265908893,1245411100,3531528988,3599931497,168477850,1787786,228277554,98212214,99999690,310,7420655,66391991,1153,99998847,199171632,6972463,58830516,165920802,23603496,76396504,99965988,34012,30693782,1000,1000,1000,1000,1000,1000,1000
601000,300000390,62146,900000000,3600006000,0,6000,9998750675140,13761257,1204483886,1235120,599999610,1000,1107,166112,1197528980,21519790,1978480210,2169271451,840885413,1159114587,1031441930,100043757651,136805086,967089,978012,265908888,1245411772,3531540204,3599942747,168477942,1787766,228277683,98212234,99999694,306,7420687,66392152,1127,99998873,199171724,6972463,58830560,165920938,23603404,76396596,99965990,34010,30693782,1000,1000,1000,1000,1000,1000,1000
602000,290003900,61940,900000000,3606006000,0,6000,9998761533167,9031651,1209234657,6984316,609996100,1000,6686,1151908,1206023568,27799276,1972200724,2162999671,839534015,1160465985,1038585113,100043904964,136895678,902202,1114687,266072853,1246306724,3537489535,3605937374,168562981,1786361,228424590,98213639,99999725,275,7414417,66535511,1209,99998791,199259485,6972470,59116574,166286547,23526531,76473469,99966010,33990,30696504,1000,1000,1000,1000,1000,1000,1000
603000,280007640,62426,900000000,3612006000,0,6000,9998774180140,12483771,1233102793,7165531,619992360,1000,6356,1937848,1225653658,44049266,1955950734,2146756346,838137606,1161862394,1056818780,100044113391,137000620,789357,1307931,266377181,1247344232,3543436908,3611937218,168661745,1785766,228571827,98214234,99999670,330,7408292,66679743,1275,99998725,199361369,6972484,59634533,166897030,23437127,76562873,99965868,34132,30699624,1000,1000,1000,1000,1000,1000,1000
604000,270011310,63109,900000000,3618006000,0,6000,9998788123780,17177626,1261826259,5163752,629988690,1000,6370,1971252,1249649876,62837375,1937162625,2127975613,837437364,1162562636,1080114745,100044295748,137120082,716202,1450244,266828367,1248525468,3549376480,3617936521,168774235,1785239,228718530,98214761,99999634,366,7401407,66822981,1470,99998530,199477279,6972495,60195732,167563879,23334897,76665103,99965794,34206,30703044,1000,1000,1000,1000,1000,1000,1000
605000,260015470,63052,900000000,3624006000,0,6000,9998806835067,13944850,1280979775,3872265,639984530,1000,608,1782906,1272224530,78466392,1921533608,2112354139,836973982,1163026018,1102226001,100044442442,137249138,687059,1523987,267377188,1249801028,3555317771,3623942340,168895653,1784457,228864474,98215543,99999579,421,7394591,66965944,1507,99998493,199602532,6972511,60733728,168215623,23224984,76775016,99965709,34291,30706879,1000,1000,1000,1000,1000,1000,1000
606000,250019240,61337,900000000,3630006000,0,6000,9998816395210,17134200,1305333600,3238489,649980760,1000,700,1687389,1293484542,91366323,1908633677,2099461245,836436362,1163563638,1122948373,100044587504,137381252,662558,1557716,267951991,1251106728,3561253337,3629943963,169019912,1784769,229011348,98215231,99999604,396,7387267,67109345,1631,99998369,199730642,6972531,61250328,168848780,23112278,76887722,99965718,34282,30710730,1000,1000,1000,1000,1000,1000,1000
607000,240023300,62703,900000000,3636006000,0,6000,9998827659775,16883289,1325747859,2875062,659976700,1000,5784,1633834,1314203276,102530528,1897469472,2088304611,835867003,1164132997,1143097739,100044700195,137516726,673380,1583924,268559559,1252445276,3567179150,3635937513,169147373,1785168,229158348,98214832,99999567,433,7379260,67252325,1600,99998400,199862090,6972540,61753764,169471703,22996778,77003222,99965779,34221,30714717,1000,1000,1000,1000,1000,1000,1000
608000,230027450,63293,900000000,3642006000,0,6000,9998845636384,8641090,1337956739,2626480,669972550,1000,1086,1596064,1334692140,112415420,1887584580,2078426795,835287996,1164712004,1163007581,100044858497,137652254,638558,1555410,269169957,1253785292,3573115494,3641941621,169274968,1785295,229304901,98214705,99999607,393,7372097,67395731,1686,99998314,199993701,6972555,62250993,170088495,22881231,77118769,99965579,34421,30718733,1000,1000,1000,1000,1000,1000,1000
609000,220032070,62039,900000000,3648006000,0,6000,9998851499885,11449575,1361088152,2444330,679967930,1000,1114,1563942,1355047200,121237634,1878762366,2069611574,834708183,1165291817,1182782818,100044963906,137787850,656817,1574728,269780898,1255125404,3579048922,3647942847,169402671,1785539,229451385,98214461,99999619,381,7364872,67538966,1631,99998369,200125380,6972565,62743187,170700440,22765456,77234544,99965565,34435,30722709,1000,1000,1000,1000,1000,1000,1000
