figure_4A_70_Re_xxxx.txt,,ATP produced over 300 seconds,,,,,,,,,,,,
,,,,,,,,,,,,,,
glucose_transport:=,Numbers,ATP amounts,,Pyruvate_transport::,Numbers,ATP amounts,,ATP_synthase::,Numbers,ATP amounts,,ADP_ATP_transport::,Numbers,ATP amounts
_x001,0 ,4.2511E+07,,_x011,0 ,4.2408E+07,,_x021,0 ,0.0000E+00,,_x031,0 ,4.2538E+07
_x002,1 ,4.2532E+07,,_x012,1 ,4.2401E+07,,_x022,1 ,1.2506E+05,,_x032,1 ,4.2548E+07
_x003,10 ,4.2733E+07,,_x013,10 ,4.2440E+07,,_x023,10 ,1.2444E+06,,_x033,10 ,4.2650E+07
_x004,100 ,4.4167E+07,,_x014,100 ,4.2600E+07,,_x024,100 ,1.1285E+07,,_x034,100 ,4.3310E+07
Re1,1000 ,4.4216E+07,,Re1,1000 ,4.4216E+07,,Re1,1000 ,4.4216E+07,,Re1,1000 ,4.4216E+07
_x005,10000 ,4.4215E+07,,_x015,10000 ,5.0787E+07,,_x025,10000 ,5.1121E+07,,_x035,10000 ,4.4280E+07
_x006,100000 ,4.4233E+07,,_x016,100000 ,5.5562E+07,,_x026,100000 ,5.1804E+07,,_x036,100000 ,4.4286E+07
_x007,1000000 ,4.4224E+07,,_x017,1000000 ,5.6304E+07,,_x027,1000000 ,5.2460E+07,,_x037,1000000 ,4.4275E+07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NADH_shuttle::,Numbers,ATP amounts,,Pi_transport::,Numbers,ATP amounts,,Commp1-3-4::,Numbers,ATP amounts,,Commp2-3-4::,Numbers,ATP amounts
_x041,0 ,4.4218E+07,,_x051,0 ,7.3472E+06,,_x061,0 ,3.2209E+07,,_x071,0 ,4.4164E+07
_x042,1 ,4.4218E+07,,_x052,1 ,7.3863E+06,,_x062,1 ,3.2433E+07,,_x072,1 ,4.4166E+07
_x043,10 ,4.4226E+07,,_x053,10 ,7.7389E+06,,_x063,10 ,3.4353E+07,,_x073,10 ,4.4159E+07
_x044,100 ,4.4215E+07,,_x054,100 ,1.1239E+07,,_x064,100 ,4.2800E+07,,_x074,100 ,4.4188E+07
Re1,1000 ,4.4216E+07,,Re1,1000 ,4.4216E+07,,Re1,1000 ,4.4216E+07,,Re1,1000 ,4.4216E+07
_x045,10000 ,4.4218E+07,,_x055,10000 ,2.0592E+08,,_x065,10000 ,4.6097E+07,,_x075,10000 ,4.4213E+07
_x046,100000 ,4.4248E+07,,_x056,100000 ,2.2823E+08,,_x066,100000 ,5.9477E+07,,_x076,100000 ,4.4216E+07
_x047,1000000 ,4.4421E+07,,_x057,1000000 ,2.0176E+08,,_x067,1000000 ,3.6979E+07,,_x077,1000000 ,4.4229E+07
