Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,DHO:=Cell_1,OD-:=Cell_1,D+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,DHO::Cell_1::Mitochondria_1,DHO_created::Cell_1::Mitochondria_1,OD-::Cell_1::Mitochondria_1,D+::Cell_1::Mitochondria_1,D+_inter::Cell_1::Mitochondria_1,D+_inter_by_D+::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ATP_created_by_D+::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,0,0,0,0,9998660000000,100000,100000,1340000000,10,10,0,0,1000,0,0,0,1000000000,1000000000,1000000000,1000000000,1000000000,0,99998660000,0,1000,1000,0,0,1340000,0,10,10,0,0,0,0,0,0,0,0,100000000,100000000,0,200000000,0,100000000,0,0,0,0,0,100000000,0,100000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,1000,6000,9998649900164,10101338,10101343,1339997260,1383,1377,0,0,1000,0,0,0,999900135,1000099865,1000099865,1000000001,999999999,0,99998561202,0,99798,99799,0,0,1340000,0,10,10,0,0,0,0,0,0,0,0,100000000,100000000,0,200000000,0,99999999,1,0,1,0,0,100000000,0,100000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,10320,63052,1000000,6000000,1000,6000,9998466632555,99987163,102589012,1339972103,13546,14371,76844,989680,1000,6486,1003684,1825672,906513340,1093486660,1093494591,998902167,1001097833,501157,99997255922,31226,514027,2010007,271320,273652,1339995,0,8,17,0,0,5914849,5930462,933942,252431,570,0,99747569,99952416,47584,199692054,52,98553522,1446478,1241370,226682,1745,320831,99988342,11658,99702224,297776,307428,1000,1000,1000,1000,1000,1000,1000
3000,10490,63814,2000000,12000000,1000,6000,9998385248780,97018752,101747001,1339971783,14142,14095,74978,1989510,1000,611,1352075,3829064,822208037,1177791963,1177846033,998237934,1001762066,1614061,99995971893,210354,358529,3190685,1754524,1786148,1339976,0,5,39,0,0,11830398,11935575,2554868,743008,7776,0,99256992,99942835,57165,199145757,520,96276214,3723786,3401855,452937,2034,862928,99986093,13907,99232361,767639,846987,1000,1000,1000,1000,1000,1000,1000
4000,10510,62813,3000000,18000000,1000,6000,9998309711961,96223507,102834462,1339971685,13988,14347,73934,2989490,1000,1145,1456723,5831112,745964708,1254035292,1254176747,997775916,1002224084,2930507,99994605797,528652,302751,3546089,4289234,4414560,1339953,0,5,38,24,24,17671716,17936042,4295842,1254932,30801,0,98745068,99940656,59344,198544269,2122,93911253,6088747,5722894,676521,2144,1443882,99985314,14686,98790932,1209068,1427052,1000,1000,1000,1000,1000,1000,1000
5000,10580,64039,4000000,24000000,1000,6000,9998239982305,96869818,105279853,1339971682,13310,15028,74627,3989420,1000,5964,1481560,7829586,677010663,1322989337,1323257579,997384397,1002615603,4314590,99993196475,917988,333415,3546611,7280648,7585976,1339933,2,4,39,44,44,23471002,23929997,6064223,1757447,75003,0,98242553,99939611,60389,197913922,5316,91539513,8460487,8080614,899393,1995,2033436,99984950,15050,98382079,1617921,2016391,1000,1000,1000,1000,1000,1000,1000
6000,10260,63402,5000000,30000000,1000,6000,9998176553446,97783959,107966957,1339972180,13151,14689,76039,4989740,1000,647,1477643,9827402,614661933,1385338067,1385766944,997017713,1002982287,5724606,99991828605,1340714,350845,3395425,10410114,10989136,1339863,6,7,54,96,96,29265591,29935951,7837933,2249066,142173,0,97750934,99938630,61370,197260687,10330,89170316,10829684,10445403,1120509,2160,2625153,99984477,15523,97997022,2002978,2607470,1000,1000,1000,1000,1000,1000,1000
7000,10350,62264,6000000,36000000,1000,6000,9998123841832,93908516,105862142,1339971564,13541,14915,77939,5989650,1000,6847,1471151,11823422,558272849,1441727151,1442347242,996653839,1003346161,7137688,99990497894,1776690,350792,3222401,13531041,14471792,1339809,10,6,45,160,160,35042539,35930889,9605228,2729030,230859,0,97270970,99939174,60826,196590053,17315,86811734,13188266,12801631,1339573,2161,3214583,99983981,16019,97627359,2372641,3196403,1000,1000,1000,1000,1000,1000,1000
8000,10420,64453,7000000,42000000,1000,6000,9998073763155,92752324,106473064,1339972088,12928,15004,80621,6989580,1000,5892,1461304,13817918,507263776,1492736224,1493573289,996291227,1003708773,8552739,99989131449,2219218,392852,3149774,16593342,17985828,1339786,12,7,47,180,192,40820040,41929655,11372481,3202885,341565,3,96797115,99939226,60774,195899276,26226,84453391,15546609,15157863,1556406,2158,3803875,99983665,16335,97266188,2733812,3785382,1000,1000,1000,1000,1000,1000,1000
9000,10560,63146,8000000,48000000,1000,6000,9998024949311,95193404,110679203,1339971408,13220,15392,83599,7989440,1000,1126,1447565,15811682,461144402,1538855598,1539935712,995931443,1004068557,9971849,99987864908,2670394,346996,3017403,19620909,21548980,1339781,14,4,35,200,212,46600524,47935728,13136446,3667969,472779,3,96332031,99939013,60987,195190930,36955,82100721,17899279,17509689,1771276,2308,4392268,99983283,16717,96915479,3084521,4373243,1000,1000,1000,1000,1000,1000,1000
