Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,DHO:=Cell_1,OD-:=Cell_1,D+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,DHO::Cell_1::Mitochondria_1,DHO_created::Cell_1::Mitochondria_1,OD-::Cell_1::Mitochondria_1,D+::Cell_1::Mitochondria_1,D+_inter::Cell_1::Mitochondria_1,D+_inter_by_D+::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ATP_created_by_D+::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,0,0,0,0,9998660000000,100000,100000,1340000000,10,10,0,0,1000,0,0,0,1000000000,1000000000,1000000000,1000000000,1000000000,0,99986600000,0,1000,1000,0,0,13400000,0,10,10,0,0,0,0,0,0,0,0,100000000,100000000,0,200000000,0,100000000,0,0,0,0,0,100000000,0,100000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,1000,6000,9998650001365,10000582,10000554,1339997395,1325,1300,0,0,1000,0,0,0,999900657,1000099343,1000099343,1000000053,999999947,0,99986500549,0,100464,100520,0,0,13399971,0,26,23,0,0,0,0,0,0,0,0,100000000,100000000,0,200000000,0,99999947,53,0,53,0,0,100000000,0,100000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,10420,62240,1000000,6000000,1000,6000,9998470712359,95911340,98513478,1339972380,13643,13997,76941,989580,1000,6221,1003626,1825278,906517763,1093482237,1093490247,998901845,1001098155,500711,99985177429,30592,532149,2034444,265219,267456,13399648,0,77,271,24,24,5916243,5931539,933928,252344,549,0,99747656,99952413,47587,199692059,41,98553209,1446791,1241361,226412,1879,320941,99988371,11629,99702177,297823,307433,1000,1000,1000,1000,1000,1000,1000
3000,10720,63161,2000000,12000000,1000,6000,9998384811843,97464462,102192844,1339972027,13463,14530,74031,1989280,1000,5814,1351160,3830498,822216370,1177783630,1177837682,998238993,1001761007,1617282,99983929006,209458,343829,3180628,1745115,1776512,13399338,20,45,377,260,260,11826286,11931025,2552127,742402,7716,0,99257598,99943181,56819,199146727,533,96279550,3720450,3398217,452209,2109,862056,99986143,13857,99233412,766588,846090,1000,1000,1000,1000,1000,1000,1000
4000,10950,62755,3000000,18000000,1000,6000,9998309461940,96504336,103111386,1339972062,13476,14482,73659,2989050,1000,1150,1454045,5830782,745995912,1254004088,1254146145,997781029,1002218971,2935040,99982525265,526760,328761,3578534,4272609,4397924,13398990,38,44,426,560,560,17672696,17936095,4289364,1252515,30816,0,98747485,99940891,59109,198546319,2051,93918373,6081627,5714280,676771,2165,1441697,99985384,14616,98792458,1207542,1424916,1000,1000,1000,1000,1000,1000,1000
5000,10160,63664,4000000,24000000,1000,6000,9998240256212,96642552,105051230,1339971895,13360,14765,74984,3989840,1000,1017,1480535,7829712,677057835,1322942165,1323210737,997388592,1002611408,4318140,99981144625,916816,333555,3542878,7271182,7577252,13398682,64,48,398,892,916,23476879,23935319,6056108,1754618,75204,6,98245382,99939574,60426,197916384,5254,91549290,8450710,8069768,900164,2249,2031037,99984872,15128,98383998,1616002,2013660,1000,1000,1000,1000,1000,1000,1000
6000,10870,62183,5000000,30000000,1000,6000,9998177796413,96578090,106766302,1339972267,13389,14364,75735,4989130,1000,6201,1483204,9826790,614699157,1385300843,1385729524,997014774,1002985226,5720757,99979800571,1340448,327139,3358124,10410389,10989312,13398262,96,36,366,1356,1416,29261344,29931616,7831108,2247667,142149,15,97752333,99939329,60671,197262981,10327,89179769,10820231,10436290,1120807,2085,2622829,99984438,15562,97998496,2001504,2605182,1000,1000,1000,1000,1000,1000,1000
7000,10470,63930,6000000,36000000,1000,6000,9998120892188,96894711,108847357,1339971762,13387,14871,77887,5989530,1000,6405,1471010,11823286,558308530,1441691470,1442310725,996655677,1003344323,7138797,99978393634,1775936,399852,3265544,13528135,14472660,13397833,128,47,380,1760,1868,35041633,35929665,9601575,2729943,231822,27,97270057,99939350,60650,196590152,17237,86817559,13182441,12796811,1340166,2376,3213479,99984133,15867,97626292,2373708,3195236,1000,1000,1000,1000,1000,1000,1000
8000,10960,62943,7000000,42000000,1000,6000,9998073258588,93302710,107017932,1339971797,13095,15128,80174,6989040,1000,6962,1456399,13817732,507309971,1492690029,1493527745,996298177,1003701823,8559033,99977127471,2218584,343214,3090169,16591077,17990876,13397430,156,34,348,2208,2316,40820725,41930095,11367699,3202598,343431,27,96797402,99939064,60936,195898750,26075,84461746,15538254,15151566,1556876,2335,3802300,99983902,16098,97264685,2735315,3783867,1000,1000,1000,1000,1000,1000,1000
9000,10380,62970,8000000,48000000,1000,6000,9998026757694,93424388,108907615,1339971935,13164,14921,84093,7989620,1000,6380,1445566,15811054,461185025,1538814975,1539895881,995937320,1004062680,9976738,99975757660,2668670,405472,3061721,19612648,21549796,13396997,184,47,392,2584,2752,46596223,47930650,13126400,3666503,475050,42,96333497,99939369,60631,195191960,36948,82116924,17883076,17496296,1771636,2142,4388750,99983288,16712,96914102,3085898,4369896,1000,1000,1000,1000,1000,1000,1000
