time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
1000,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
2000,1000000.0,1000000.0,1000000.0,0.0,1000000.0,0.0,1.0
3000,2000000.0,2000000.0,2000000.0,0.0,2000000.0000000002,0.0,1.0
4000,3000000.0,3000000.0,3000000.0,0.0,3000000.000000001,0.0,1.0
5000,4000000.0,4000000.0,4000000.0,0.0,4000000.000000001,0.0,1.0
6000,5000000.0,5000000.0,5000000.0,0.0,4999999.999999999,0.0,1.0
7000,6000000.0,6000000.0,6000000.0,0.0,6000000.000000003,0.0,1.0
8000,7000000.0,7000000.0,7000000.0,0.0,6999999.99999993,4.516810283266961e-15,1.0000000000000104
9000,8000000.0,8000000.0,8000000.0,0.0,8000000.000000003,0.0,1.0
10000,9000000.0,9000000.0,9000000.0,0.0,9000000.000000007,0.0,1.0
11000,10000000.0,10000000.0,10000000.0,0.0,10000000.0,0.0,1.0
12000,11000000.0,11000000.0,11000000.0,0.0,11000000.000000076,2.710086169960177e-15,1.0000000000000062
13000,12000000.0,12000000.0,12000000.0,0.0,12000000.000000007,0.0,1.0
14000,13000000.0,13000000.0,13000000.0,0.0,13000000.000000086,2.710086169960177e-15,1.0000000000000062
15000,14000000.0,14000000.0,14000000.0,0.0,13999999.999999832,5.420172339920354e-15,1.0000000000000124
16000,15000000.0,15000000.0,15000000.0,0.0,15000000.000000004,0.0,1.0
17000,16000000.0,16000000.0,16000000.0,0.0,16000000.00000001,0.0,1.0
18000,17000000.0,17000000.0,17000000.0,0.0,16999999.99999987,3.613448226613569e-15,1.0000000000000082
19000,18000000.0,18000000.0,18000000.0,0.0,18000000.000000015,0.0,1.0
20000,19000000.0,19000000.0,19000000.0,0.0,18999999.99999988,2.710086169960177e-15,1.0000000000000062
21000,20000000.0,20000000.0,20000000.0,0.0,20000000.000000004,0.0,1.0
22000,21000000.0,21000000.0,21000000.0,0.0,20999999.999999754,5.420172339920354e-15,1.0000000000000124
23000,22000000.0,22000000.0,22000000.0,0.0,22000000.000000153,2.710086169960177e-15,1.0000000000000062
24000,23000000.0,23000000.0,23000000.0,0.0,23000000.00000001,0.0,1.0
25000,24000000.0,24000000.0,24000000.0,0.0,24000000.00000002,0.0,1.0
26000,25000000.0,25000000.0,25000000.0,0.0,24999999.999999993,0.0,1.0
27000,26000000.0,26000000.0,26000000.0,0.0,26000000.000000175,2.710086169960177e-15,1.0000000000000062
28000,27000000.0,27000000.0,27000000.0,0.0,26999999.999999974,0.0,1.0
29000,28000000.0,28000000.0,28000000.0,0.0,27999999.99999967,5.420172339920354e-15,1.0000000000000124
30000,29000000.0,29000000.0,29000000.0,0.0,29000000.00000021,2.710086169960177e-15,1.0000000000000062
31000,30000000.0,30000000.0,30000000.0,0.0,30000000.00000001,0.0,1.0
32000,31000000.0,31000000.0,31000000.0,0.0,31000000.000000283,3.613448226613569e-15,1.0000000000000082
33000,32000000.0,32000000.0,32000000.0,0.0,32000000.000000022,0.0,1.0
34000,33000000.0,33000000.0,33000000.0,0.0,33000000.00000017,2.710086169960177e-15,1.0000000000000062
35000,34000000.0,34000000.0,34000000.0,0.0,33999999.99999974,3.613448226613569e-15,1.0000000000000082
36000,35000000.0,35000000.0,35000000.0,0.0,34999999.999999575,5.420172339920354e-15,1.0000000000000124
37000,36000000.0,36000000.0,36000000.0,0.0,35999999.99999996,0.0,1.0
38000,37000000.0,37000000.0,37000000.0,0.0,37000000.0,0.0,1.0
39000,38000000.0,38000000.0,38000000.0,0.0,37999999.99999976,2.710086169960177e-15,1.0000000000000062
40000,39000000.0,39000000.0,39000000.0,0.0,39000000.00000027,2.710086169960177e-15,1.0000000000000062
41000,40000000.0,40000000.0,40000000.0,0.0,40000000.00000001,0.0,1.0
42000,41000000.0,41000000.0,41000000.0,0.0,41000000.00000033,3.613448226613569e-15,1.0000000000000082
43000,42000000.0,42000000.0,42000000.0,0.0,41999999.999999516,5.420172339920354e-15,1.0000000000000124
44000,43000000.0,43000000.0,43000000.0,0.0,43000000.00000014,1.8067241133067846e-15,1.0000000000000042
45000,44000000.0,44000000.0,44000000.0,0.0,44000000.00000031,2.710086169960177e-15,1.0000000000000062
46000,45000000.0,45000000.0,45000000.0,0.0,45000000.00000003,0.0,1.0
47000,46000000.0,46000000.0,46000000.0,0.0,46000000.00000002,0.0,1.0
48000,47000000.0,47000000.0,47000000.0,0.0,46999999.99999948,4.516810283266961e-15,1.0000000000000104
49000,48000000.0,48000000.0,48000000.0,0.0,48000000.000000045,0.0,1.0
50000,49000000.0,49000000.0,49000000.0,0.0,48999999.99999932,6.3235343965737456e-15,1.0000000000000147
51000,50000000.0,50000000.0,50000000.0,0.0,49999999.99999999,0.0,1.0
52000,51000000.0,51000000.0,51000000.0,0.0,50999999.99999962,3.613448226613569e-15,1.0000000000000082
53000,52000000.0,52000000.0,52000000.0,0.0,52000000.00000035,2.710086169960177e-15,1.0000000000000062
54000,53000000.0,53000000.0,53000000.0,0.0,53000000.00000066,5.420172339920354e-15,1.0000000000000124
55000,54000000.0,54000000.0,54000000.0,0.0,53999999.999999955,0.0,1.0
56000,55000000.0,55000000.0,55000000.0,0.0,55000000.00000037,2.710086169960177e-15,1.0000000000000062
57000,56000000.0,56000000.0,56000000.0,0.0,55999999.999999344,5.420172339920354e-15,1.0000000000000124
58000,57000000.0,57000000.0,57000000.0,0.0,56999999.99999966,2.710086169960177e-15,1.0000000000000062
59000,58000000.0,58000000.0,58000000.0,0.0,58000000.000000425,3.613448226613569e-15,1.0000000000000082
60000,59000000.0,59000000.0,59000000.0,0.0,59000000.000000305,2.710086169960177e-15,1.0000000000000062
61000,60000000.0,60000000.0,60000000.0,0.0,60000000.00000003,0.0,1.0
62000,61000000.0,61000000.0,61000000.0,0.0,61000000.00000039,2.710086169960177e-15,1.0000000000000062
63000,62000000.0,62000000.0,62000000.0,0.0,62000000.00000057,4.516810283266961e-15,1.0000000000000104
64000,63000000.0,63000000.0,63000000.0,0.0,62999999.999999285,5.420172339920354e-15,1.0000000000000124
65000,64000000.0,64000000.0,64000000.0,0.0,64000000.00000005,0.0,1.0
66000,65000000.0,65000000.0,65000000.0,0.0,65000000.00000042,2.710086169960177e-15,1.0000000000000062
67000,66000000.0,66000000.0,66000000.0,0.0,66000000.00000035,2.710086169960177e-15,1.0000000000000062
68000,67000000.0,67000000.0,67000000.0,0.0,66999999.99999939,3.613448226613569e-15,1.0000000000000082
69000,68000000.0,68000000.0,68000000.0,0.0,67999999.9999995,3.613448226613569e-15,1.0000000000000082
70000,69000000.0,69000000.0,69000000.0,0.0,69000000.00000006,0.0,1.0
71000,70000000.0,70000000.0,70000000.0,0.0,69999999.99999915,5.420172339920354e-15,1.0000000000000124
72000,71000000.0,71000000.0,71000000.0,0.0,71000000.00000061,3.613448226613569e-15,1.0000000000000082
73000,72000000.0,72000000.0,72000000.0,0.0,71999999.99999994,0.0,1.0
74000,73000000.0,73000000.0,73000000.0,0.0,73000000.00000075,4.516810283266961e-15,1.0000000000000104
75000,74000000.0,74000000.0,74000000.0,0.0,74000000.00000001,0.0,1.0
76000,75000000.0,75000000.0,75000000.0,0.0,75000000.00000001,0.0,1.0
77000,76000000.0,76000000.0,76000000.0,0.0,75999999.99999954,2.710086169960177e-15,1.0000000000000062
78000,77000000.0,77000000.0,77000000.0,0.0,76999999.9999996,2.710086169960177e-15,1.0000000000000062
79000,78000000.0,78000000.0,78000000.0,0.0,78000000.00000055,2.710086169960177e-15,1.0000000000000062
80000,79000000.0,79000000.0,79000000.0,0.0,79000000.00000055,2.710086169960177e-15,1.0000000000000062
81000,80000000.0,80000000.0,80000000.0,0.0,80000000.00000003,0.0,1.0
82000,81000000.0,81000000.0,81000000.0,0.0,80999999.99999996,0.0,1.0
83000,82000000.0,82000000.0,82000000.0,0.0,82000000.00000067,3.613448226613569e-15,1.0000000000000082
84000,83000000.0,83000000.0,83000000.0,0.0,83000000.00000064,3.613448226613569e-15,1.0000000000000082
85000,84000000.0,84000000.0,84000000.0,0.0,83999999.99999905,5.420172339920354e-15,1.0000000000000124
86000,85000000.0,85000000.0,85000000.0,0.0,84999999.99999933,3.613448226613569e-15,1.0000000000000082
87000,86000000.0,86000000.0,86000000.0,0.0,86000000.0000003,1.8067241133067846e-15,1.0000000000000042
88000,87000000.0,87000000.0,87000000.0,0.0,87000000.00000066,3.613448226613569e-15,1.0000000000000082
89000,88000000.0,88000000.0,88000000.0,0.0,88000000.00000046,2.710086169960177e-15,1.0000000000000062
90000,89000000.0,89000000.0,89000000.0,0.0,88999999.99999936,2.710086169960177e-15,1.0000000000000062
91000,90000000.0,90000000.0,90000000.0,0.0,90000000.00000007,0.0,1.0
92000,91000000.0,91000000.0,91000000.0,0.0,91000000.00000061,2.710086169960177e-15,1.0000000000000062
93000,92000000.0,92000000.0,92000000.0,0.0,92000000.00000006,0.0,1.0
94000,93000000.0,93000000.0,93000000.0,0.0,93000000.00000088,4.516810283266961e-15,1.0000000000000104
95000,94000000.0,94000000.0,94000000.0,0.0,93999999.99999897,4.516810283266961e-15,1.0000000000000104
96000,95000000.0,95000000.0,95000000.0,0.0,94999999.99999939,2.710086169960177e-15,1.0000000000000062
97000,96000000.0,96000000.0,96000000.0,0.0,95999999.99999991,0.0,1.0
98000,97000000.0,97000000.0,97000000.0,0.0,97000000.00000067,2.710086169960177e-15,1.0000000000000062
99000,98000000.0,98000000.0,98000000.0,0.0,98000000.00000146,6.3235343965737456e-15,1.0000000000000147
100000,99000000.0,99000000.0,99000000.0,0.0,99000000.00000055,2.710086169960177e-15,1.0000000000000062
101000,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
