time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
1000,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
2000,99746283.0,99748267.0,99747435.63333334,408.5118901180431,99747435.63252427,1.7786387780146453e-06,1.0000040954755225
3000,99255441.0,99258500.0,99257143.8,711.4583080813175,99257143.79753521,3.1129530778472193e-06,1.0000071678650413
4000,98744838.0,98748529.0,98746942.43333334,1008.435205835167,98746942.42835566,4.435162709476862e-06,1.0000102123916859
5000,98241307.0,98246001.0,98243715.33333333,1270.648336638544,98243715.3253901,5.6170085910783905e-06,1.000012933723889
6000,97748804.0,97754769.0,97751391.36666666,1580.9097442739196,97751391.35430884,7.0237264713963455e-06,1.0000161728586496
7000,97266690.0,97273674.0,97269610.8,1700.5415040205733,97269610.78563054,7.592638256168038e-06,1.0000174828484885
8000,96794437.0,96801527.0,96797688.06666666,1573.385279193119,96797688.05430591,7.059166564948047e-06,1.0000162544638038
9000,96330423.0,96338565.0,96334354.46666667,1865.4312570321754,96334354.44920734,8.409736708489222e-06,1.000019364321867
10000,95874475.0,95883343.0,95878404.46666667,1925.9393003170546,95878404.44796841,8.723802517349464e-06,1.0000200874993819
11000,95424128.0,95433557.0,95428386.53333333,2383.2277552372816,95428386.50456597,1.0846030756847142e-05,1.0000249742205896
12000,94979890.0,94988806.0,94984104.4,2292.0688080181308,94984104.3732668,1.0480003575621734e-05,1.000024131391165
13000,94540114.0,94549062.0,94544647.03333333,2306.1901480256506,94544647.0061442,1.059357547354713e-05,1.000024392906469
14000,94104299.0,94114195.0,94109342.86666666,2575.2013343899303,94109342.83260714,1.1884036258043753e-05,1.0000273643791302
15000,93671419.0,93684878.0,93677706.53333333,3302.816945383538,93677706.47705047,1.5312015432815147e-05,1.0000352578400222
16000,93241343.0,93254845.0,93249023.26666667,3401.7031832784055,93249023.20668772,1.5843105061916043e-05,1.0000364807629492
