time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
1000,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
2000,932280.0,937804.0,934742.3,1217.4952849869758,934741.5337705582,0.0005655382285567102,1.0013030481250242
3000,2550389.0,2559620.0,2554271.066666667,2302.489581141328,2554270.0637011407,0.000391424726098766,1.0009016950220904
4000,4286811.0,4299979.0,4293159.566666666,3050.358516897513,4293158.519071672,0.000308584895862136,1.0007107954765988
5000,6053675.0,6068974.0,6061902.266666667,3620.6407980502217,6061901.221429453,0.00025939731827781407,1.000597462808074
6000,7827031.0,7843392.0,7835920.833333333,4254.3277525875665,7835919.716900271,0.00023579566042623547,1.0005430869910585
7000,9597892.0,9615341.0,9607256.6,4400.189992763244,9607255.625909448,0.0001989130166374838,1.0004581190514066
8000,11365598.0,11383730.0,11373830.433333334,4446.936602940806,11373829.592969514,0.00016980192937455734,1.000391059835308
9000,13124728.0,13141554.0,13133853.633333333,4770.863946074549,13133852.795669472,0.00015776295759277554,1.0003633286222406
10000,14878160.0,14897173.0,14887658.566666666,4943.084390186531,14887657.773404839,0.00014419694498586256,1.0003320808626255
11000,16627063.0,16646773.0,16635707.433333334,4943.903460468942,16635706.723201439,0.00012906492334205534,1.000297227131749
12000,18368368.0,18387943.0,18377022.9,5341.6106078791345,18377022.149595298,0.00012623099075864447,1.000290699842607
13000,20102246.0,20123172.0,20112304.1,5231.250238577839,20112303.442361884,0.00011295911429583796,1.000260131801106
14000,21831920.0,21850679.0,21841129.0,5108.179755430803,21841128.42257132,0.00010157134333861347,1.0002339040123254
15000,23553233.0,23572686.0,23563161.4,5441.7779967136885,23563160.792574074,0.00010029756180913439,1.000230970340228
16000,25268829.0,25292072.0,25279434.833333332,5780.192754710624,25279434.194531176,9.930269491875656e-05,1.000228679048082
17000,26974776.0,27003168.0,26988914.9,6697.8339079601465,26988914.09658233,0.00010778088475893806,1.000248205456434
18000,28678584.0,28705993.0,28692216.733333334,7017.816346361907,28692215.903696325,0.00010622415644138652,1.0002446200737496
19000,30375561.0,30402081.0,30389159.833333332,6965.062175544122,30389159.06175821,9.953843021018903e-05,1.0002292219729245
20000,32064836.0,32091143.0,32078979.866666667,7315.11637418135,32078979.060410965,9.90348598021931e-05,1.0002280621940962
21000,33746559.0,33778451.0,33762511.7,7972.186323021151,33762510.7901319,0.00010254998835010512,1.0002361579553622
22000,35423716.0,35454836.0,35439779.166666664,8038.0052255361925,35439778.28549332,9.850275357325852e-05,1.00022683669555
23000,37094505.0,37125298.0,37110198.96666667,7529.557927598238,37110198.22825209,8.81183563556566e-05,1.0002029205993637
24000,38760995.0,38786234.0,38774154.96666667,7083.144248645967,38774154.34125221,7.933715880691326e-05,1.0001826972462988
25000,40416993.0,40444560.0,40430710.06666667,7626.9096689845865,40430709.371251635,8.192759540496367e-05,1.0001886630545203
26000,42065853.0,42096116.0,42080864.333333336,7999.25429857892,42080863.59835875,8.255770572959484e-05,1.0001901142119414
27000,43709180.0,43741044.0,43724543.4,8020.894582491924,43724542.6888284,7.966861550146148e-05,1.0001834605932698
28000,45345090.0,45377294.0,45360910.4,8590.124428467363,45360909.61373441,8.224434544840402e-05,1.0001893925363148
29000,46973989.0,47007641.0,46990812.7,8841.052286214928,46990811.89602146,8.171039950641156e-05,1.0001881628482545
30000,48596163.0,48631637.0,48613874.7,8561.667454214261,48613873.97120482,7.648638243108025e-05,1.0001761319134073
31000,50211136.0,50248708.0,50229668.56666667,8671.94057621887,50229667.8430352,7.497890876407374e-05,1.0001726602216696
32000,51820420.0,51859035.0,51838742.9,8909.380207360686,51838742.15990512,7.464098275421513e-05,1.000171881984232
33000,53423279.0,53461819.0,53440994.766666666,9408.289124703968,53440993.96610945,7.645739716237733e-05,1.0001760651606066
34000,55017229.0,55058146.0,55036691.0,10005.397712200667,55036690.12084341,7.895301068136533e-05,1.0001818125513409
35000,56603837.0,56647346.0,56625470.266666666,10085.897412530625,56625469.398375675,7.735492038122419e-05,1.0001781321501872
36000,58184923.0,58227929.0,58206664.8,10319.913055634823,58206663.9156553,7.699886291870482e-05,1.0001773121518758
37000,59760399.0,59801187.0,59781201.2,10376.81586734715,59781200.3294297,7.538395859293464e-05,1.000173593044836
38000,61325052.0,61367351.0,61347407.766666666,10492.671418442604,61347406.89927032,7.427974565127454e-05,1.000171050062442
39000,62883118.0,62927082.0,62906276.0,10398.5803440861,62906275.16920084,7.178947249975132e-05,1.000165315032236
40000,64434012.0,64477348.0,64456429.7,10624.931283023223,64456428.853494756,7.158827424305796e-05,1.0001648516796502
41000,65976038.0,66017602.0,65997306.63333333,10309.89278342637,65997305.854894824,6.784358964204519e-05,1.0001562278404632
42000,67507458.0,67547574.0,67526683.0,10507.814543603186,67526682.20969298,6.758045147062491e-05,1.0001556218479577
43000,69025841.0,69063608.0,69043258.2,10348.498443135903,69043257.4503245,6.509314745485415e-05,1.0001498937439304
44000,70524241.0,70563865.0,70542969.4,10385.031707155287,70542968.66106527,6.393465224003304e-05,1.0001472258138302
45000,71999810.0,72036948.0,72018299.33333333,10191.114447309525,72018298.6363151,6.145548019900412e-05,1.0001415164851022
46000,73438019.0,73474508.0,73456567.0,9915.299202538574,73456566.35311693,5.862162676117931e-05,1.0001349903942907
47000,74815392.0,74847833.0,74831792.73333333,9431.904831688187,74831792.15874161,5.473908329778279e-05,1.0001260493407562
48000,76076249.0,76108549.0,76092002.06666666,8400.597548259058,76092001.61840898,4.794630450922402e-05,1.0001104065403805
49000,77123100.0,77147909.0,77135896.33333333,6324.676049129851,77135896.08268175,3.5609754367491045e-05,1.0000819978512119
50000,77818546.0,77833322.0,77826196.43333334,3868.4980573266703,77826196.34039187,2.1587539215478378e-05,1.0000497083814126
51000,78145629.0,78157242.0,78151744.5,2839.1892450073697,78151744.45014624,1.5777609262283306e-05,1.000036329947807
52000,78319611.0,78329987.0,78324592.73333333,2612.9275684872937,78324592.6912018,1.448817393568835e-05,1.0000333608097884
53000,78467138.0,78477695.0,78471617.53333333,2584.4680868515334,78471617.49219254,1.4303444554218206e-05,1.0000329354405688
54000,78608800.0,78619287.0,78613553.56666666,2715.739547251494,78613553.52132209,1.500285497030952e-05,1.0000345459469044
55000,78749782.0,78760199.0,78754212.73333333,2690.3781292154677,78754212.68891147,1.4836158834372399e-05,1.0000341621016806
56000,78890535.0,78900338.0,78894796.26666667,2712.7019986230216,78894796.22158515,1.4932619999213357e-05,1.0000343842193333
57000,79030577.0,79040672.0,79035705.96666667,2770.09020746099,79035705.91974136,1.5221382628818575e-05,1.0000350491429428
58000,79171234.0,79181496.0,79176864.06666666,2741.5349455134196,79176864.02078524,1.503767070138141e-05,1.0000346261158604
59000,79312950.0,79322880.0,79318591.56666666,2742.390081201299,79318591.52083841,1.5015484437428375e-05,1.0000345750283322
60000,79454624.0,79465276.0,79460733.1,2744.224296528104,79460733.05419266,1.4998668141110027e-05,1.000034536306041
61000,79597555.0,79608212.0,79603059.36666666,2714.639018147823,79603059.321922,1.4810424397691427e-05,1.000034102843928
62000,79740403.0,79751078.0,79745962.06666666,2802.2429185765905,79745962.01907274,1.5260998961180286e-05,1.0000351403661205
63000,79883634.0,79894444.0,79889362.86666666,2932.8265962511587,79889362.81462711,1.5943495140625752e-05,1.0000367119281073
64000,80027008.0,80038797.0,80033280.13333334,3066.56662705393,80033280.07654203,1.6640534224581896e-05,1.0000383169801217
65000,80170865.0,80183214.0,80177501.23333333,3025.0622186058877,80177501.17816836,1.638576518454111e-05,1.0000377303304222
66000,80315698.0,80327046.0,80321962.93333334,2889.517009315993,80321962.88309164,1.5623420482104602e-05,1.000035974902185
67000,80461286.0,80472740.0,80467269.76666667,2871.520955669759,80467269.71713822,1.5498069877217788e-05,1.000035686261409
68000,80606416.0,80618323.0,80613022.83333333,2871.8947978442843,80613022.78388153,1.5472086509785077e-05,1.0000356264303611
69000,80752529.0,80764778.0,80759319.96666667,2919.740239784371,80759319.91564617,1.570134705291755e-05,1.0000361543412164
70000,80899121.0,80911761.0,80905998.0,2902.275088556419,80905997.94967948,1.5579130187337305e-05,1.0000358729163488
71000,81046420.0,81058728.0,81053221.9,2952.5275945453445,81053221.84801643,1.5820113416593707e-05,1.0000364278207994
72000,81194358.0,81206396.0,81200948.43333334,2902.626393141378,81200948.38318324,1.5524432797803637e-05,1.000035746966445
73000,81342431.0,81355094.0,81349223.63333334,2967.5398667784643,81349223.5810104,1.5842673232192337e-05,1.0000364797685881
74000,81491583.0,81504006.0,81498238.83333333,2962.036579011526,81498238.78129974,1.578440622295367e-05,1.000036345598956
75000,81640659.0,81653303.0,81647585.2,3040.3386426628467,81647585.14527993,1.6172010031598257e-05,1.0000372381225442
76000,81790187.0,81803676.0,81797434.8,3061.7040826401185,81797434.74460956,1.6255819360337563e-05,1.00003743110786
77000,81940762.0,81954498.0,81948131.73333333,3168.632152765643,81948131.67411551,1.6792544176650337e-05,1.000038667009444
78000,82091883.0,82106076.0,82099318.86666666,3157.1428127707304,82099318.80798599,1.6700830009737714e-05,1.000038455821627
79000,82243911.0,82257623.0,82251048.86666666,3241.72589976318,82251048.80491398,1.7116599512404066e-05,1.00003941320356
80000,82395898.0,82409569.0,82403490.46666667,3181.66660657623,82403490.40729067,1.676848641054732e-05,1.0000386116122502
81000,82549910.0,82563747.0,82556739.03333333,3257.1260494949915,82556738.97122313,1.713425040968373e-05,1.0000394538478556
82000,82703895.0,82717961.0,82710523.5,3288.2019061885585,82710523.43681704,1.726550894179022e-05,1.0000397560937648
83000,82858348.0,82872727.0,82865304.06666666,3312.389979261597,82865304.00267075,1.736005379985074e-05,1.000039973800024
