time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
1000,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
2000,99987986.0,99988441.0,99988228.0,129.30130543117843,99988227.99991888,5.616145032122273e-07,1.0000012931660192
3000,99985814.0,99986515.0,99986154.73333333,173.50284372773032,99986154.73318742,7.536176588537943e-07,1.0000017352702926
4000,99984865.0,99985633.0,99985340.73333333,162.28475045390147,99985340.73320591,7.048973952438702e-07,1.0000016230875517
5000,99984616.0,99985224.0,99984890.53333333,157.04397217149824,99984890.53321381,6.821363178675603e-07,1.0000015706781504
6000,99984210.0,99984905.0,99984552.76666667,139.4874072510103,99984552.76657271,6.058797090218868e-07,1.0000013950905593
7000,99983724.0,99984462.0,99984146.0,163.92113326546544,99984145.99987021,7.120135598607296e-07,1.0000016394731528
8000,99983498.0,99984079.0,99983820.96666667,154.87736713469377,99983820.96655035,6.727328134049549e-07,1.0000015490257474
9000,99983186.0,99983820.0,99983477.76666667,133.01145486925844,99983477.76658122,5.777567118837787e-07,1.0000013303348771
10000,99982788.0,99983406.0,99983091.73333333,156.8434170479092,99983091.73321462,6.812773758405862e-07,1.0000015687003603
11000,99982410.0,99983075.0,99982735.16666667,147.9114561167414,99982735.16656092,6.424822795389026e-07,1.0000014793712138
12000,99981889.0,99982537.0,99982270.7,169.50600640359787,99982270.69986133,7.36286081855813e-07,1.0000016953627935
13000,99981509.0,99982031.0,99981817.6,129.75722689328126,99981817.59991859,5.636311508108864e-07,1.000001297809528
14000,99981077.0,99981716.0,99981416.4,132.26034931150002,99981416.39991558,5.745061299395195e-07,1.0000013228501257
15000,99980488.0,99981122.0,99980850.9,152.03365099372823,99980850.89988878,6.604004348326959e-07,1.0000015206293529
16000,99979972.0,99980536.0,99980298.96666667,151.30386947973352,99980298.96655574,6.572340058640337e-07,1.0000015133383695
17000,99979563.0,99980050.0,99979783.9,134.58092040824744,99979783.89991234,5.845957280730053e-07,1.000001346082315
